index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)"
"(-3.0, -3.0)",(0.008408873465570905+0.00466957147657509j),(-0.0011002362198045666+0.008312066906429886j),(-0.005478607537276445+0.006901080616950241j),(-0.004079328675919549+0.007643573398854328j),(0.00310947006275759+0.007372573130886902j),(0.006608438408475574-0.0025467832405431418j),(-0.0048104742790374255-0.003996012836334437j),(0.0010907846322094636+0.0057530294456331526j),(0.002315502333143663-0.0057466196869151165j),(-0.006918933251706881+0.0029090164930968246j),(0.005224316426377928+0.008012508079656235j),(0.010897037114234533+0.0018994080933363458j),(0.009453651664497093+0.00457905585592855j),(-0.0016813667862837112+0.008326408077107234j),(-0.00502569398247862-0.004467376159651798j),(0.0058893818736993194+0.0005521083164529702j),(-0.005249667420061575+0.002865804426797899j),(0.0014561753027154927-0.006472787654706395j)
"(-2.8461538461538463, -3.0)",(0.008866782209283875-0.0038329706678991186j),(0.005679262484251806+0.00622426047590411j),(0.0013242818998294452+0.008791556032814523j),(0.002388195478537397+0.008457104663825573j),(0.007302948896936011+0.00363576345462416j),(0.003756113894476902-0.006195303738450749j),(-0.006372969877192014-0.000494101885267522j),(0.0041724893647634405+0.0042312671970874405j),(-0.001295248352596687-0.006076287581333535j),(-0.0038613805268374064+0.006383747914796762j),(0.00912036509871817+0.002795363623527236j),(0.009191125342966844-0.0063874975526505475j),(0.009888232826588156-0.004312503556988419j),(0.0058281670607530905+0.006551674515372653j),(-0.006712111122792046+0.0016272953602559286j),(0.0038136192918375475-0.004655047444001106j),(-0.0006024734390486732+0.0060033078461584535j),(-0.004430284179362172-0.0049741687668253464j)
"(-2.6923076923076925, -3.0)",(0.0025087911869645443-0.009367508104749397j),(0.008460030841669615-0.00020812460722217336j),(0.007306054781375588+0.005197460056297769j),(0.0075958985337607685+0.004657459288005454j),(0.008106277151720702-0.0018573255394304894j),(-0.0006471383625983464-0.007384890710387005j),(-0.005706428383927081+0.0031906503577908024j),(0.005873171784424748+0.0013949554914318247j),(-0.004331742291165871-0.004482656272256997j),(0.00035879982000658215+0.007401948495265464j),(0.008876262534403876-0.003370971537000019j),(0.0024095811249553855-0.01104720415013465j),(0.0035118043710845558-0.010505888211411034j),(0.009044481297085252-0.0005694119642561222j),(-0.0026602548469354475+0.006586873957948808j),(-0.0016843469745290375-0.005891588806838887j),(0.004608578566864461+0.003977971661833354j),(-0.006657198580768643+0.0006209590023769577j)
"(-2.5384615384615383, -3.0)",(-0.005689970002528015-0.007894791778432737j),(0.005517717298184223-0.006457853887772915j),(0.008912676017879354-0.001492668857435869j),(0.008892946706838491-0.00156653799765819j),(0.005344648468783758-0.006578473236120163j),(-0.004846229350283686-0.005836658146423578j),(-0.0032307285644139357+0.005859371494338367j),(0.005877599077848372-0.0017695280771994769j),(-0.006013195565809171-0.001736625119156081j),(0.00416527974147921+0.006063332659499265j),(0.005213765278870903-0.007859093538342932j),(-0.0054615861218196135-0.01000613634337655j),(-0.00531247852795617-0.01005271545083818j),(0.005472151561669764-0.007613701457125187j),(0.003813059843092247+0.006245637787386389j),(-0.005884222069653332-0.0020944229989118576j),(0.005978559708981095-0.0014195226731247366j),(-0.0035380974615547337+0.005700894376205011j)
"(-2.3846153846153846, -3.0)",(-0.009732832901179402-0.0007431033874974726j),(-0.0009717408615201873-0.008464014341162538j),(0.005439218047729372-0.007297746322953303j),(0.005853136380766779-0.00702806286805689j),(0.00038183279408208695-0.008627423294880514j),(-0.0074156897933784814-0.002299043478320488j),(0.00014706761318054615+0.006849941915489884j),(0.004429705277154695-0.004406014625191972j),(-0.006162763246080063+0.0012570369850694507j),(0.006549617814011282+0.003220382721373675j),(4.7221919756916246e-05-0.009347784065565268j),(-0.010585490243542474-0.004406729657241311j),(-0.011116207411467833-0.0035268128061937006j),(-0.0022806931138902586-0.009439252248710527j),(0.007504353951668748+0.0008277191085500033j),(-0.005287409651703717+0.0035588242027859212j),(0.0024576961575039336-0.005696761431111557j),(0.00232003534811014+0.006318976963458691j)
"(-2.230769230769231, -3.0)",(-0.006980745030997814+0.0068581808424402965j),(-0.006775738268840912-0.005195766472998807j),(-0.0009385797827758305-0.009111862858238142j),(0.00014985583223536258-0.009256729667777438j),(-0.0047254396164698835-0.007417781723359941j),(-0.007704390769721542+0.0019410021731491318j),(0.003448325796781265+0.006113659097926741j),(0.0020922106510068436-0.006012129903137228j),(-0.005065218868425343+0.003790889152472485j),(0.007238597508505025-7.723955063725415e-05j),(-0.004680975386970689-0.007972039580404787j),(-0.01116944542552105+0.002743853617498566j),(-0.010833846069013353+0.005039550002420615j),(-0.008830182686332316-0.004833697390239902j),(0.005538177400791419-0.005496221626204353j),(-0.00040173203675560265+0.006499572769572715j),(-0.00304195443714364-0.00547926850755783j),(0.006391800803925151+0.0021746955917973125j)
"(-2.0769230769230766, -3.0)",(0.00038983663259475627+0.009797875768224756j),(-0.008480460187612716+0.0010890434132027548j),(-0.00675455864960694-0.0062620028918460215j),(-0.005568977089395227-0.007527866828560756j),(-0.00817360807365773-0.00365191409095507j),(-0.005875745530041502+0.005617685255205559j),(0.005936914047016838+0.004061692758387079j),(-0.0005154155345030388-0.006471754987609173j),(-0.0032216905097921336+0.005496419550645047j),(0.006521419043211509-0.0030022407476233003j),(-0.007767821667740473-0.004783220039182669j),(-0.007752655984149025+0.008495444626981213j),(-0.005110609560353047+0.011102882771505845j),(-0.009972150788591382+0.0030998770814924283j),(-0.0006320945727699001-0.008053019306120375j),(0.004939909281750914+0.004470867444184339j),(-0.006244675912019933-0.0010576905572195344j),(0.005788542910275434-0.003511179642537031j)
"(-1.923076923076923, -3.0)",(0.007400501226029445+0.00645440266191928j),(-0.005398634561033777+0.00663462332932799j),(-0.009240477034566884-0.0004717762026197656j),(-0.009019304933838262-0.0028625715806709054j),(-0.009025005420639205+0.001214035752047154j),(-0.002650750042250165+0.007880917144893161j),(0.007255604180740945+0.0013140941317332621j),(-0.0029025158598660343-0.005957866572706805j),(-0.0011317317614565354+0.006322944325760773j),(0.00494710445486851-0.0051222923412994805j),(-0.008922608301714529-0.0010346772147341212j),(-0.0022624690962764595+0.011235155513957058j),(0.0028432118364031564+0.012147999383108074j),(-0.0052097469888862475+0.009503632072459833j),(-0.006660589625678852-0.0050815742721346j),(0.006761150998931158-0.0009486442701513147j),(-0.004862458167479139+0.00416862030976451j),(0.001159993325155013-0.0066873834218143455j)
"(-1.7692307692307692, -3.0)",(0.00980042395335991-0.0007342226899004415j),(0.0004578218853779394+0.008535935762776994j),(-0.007556229802499826+0.005394815980071668j),(-0.009150851059613045+0.0027421656578096695j),(-0.007330738031865065+0.005650030089827259j),(0.0010570425834437306+0.008434720716678928j),(0.007402775408452445-0.001529471791640406j),(-0.00478614343778145-0.0047890448675996485j),(0.0008344056056025036+0.006430741020847542j),(0.003063936782898571-0.006367936233845993j),(-0.008515827857431149+0.0023230778665565602j),(0.0032417520319923433+0.010905229707786367j),(0.009491361201673565+0.008438574334055753j),(0.0025449851461076213+0.010957042856716991j),(-0.008594548758695532+0.0013780439170122819j),(0.0038454415543411513-0.005858732106590317j),(-4.721453053040661e-05+0.0064812010001275904j),(-0.004175996677455624-0.005370379047906283j)
"(-1.6153846153846154, -3.0)",(0.006537429066581273-0.007340882743270748j),(0.005910632572524775+0.006154839988022552j),(-0.002810484755891886+0.008870733139180152j),(-0.006284738694636105+0.0073004641867119545j),(-0.003863895709800093+0.008566944236486651j),(0.00445126898865058+0.007458007711203623j),(0.00661691133106377-0.004032193152483164j),(-0.006082847584995832-0.0033035865693513793j),(0.002471621785770366+0.006071393197768661j),(0.0012762944916497715-0.00690070899821879j),(-0.007194346904881465+0.004819255639716441j),(0.007409094172625625+0.008462676839821447j),(0.012710040945110678+0.002109108691319963j),(0.009250719050693438+0.007114638524164049j),(-0.005371997383864724+0.007294820603356922j),(-0.0017304873785924998-0.006995899934764127j),(0.004815553336808521+0.004461378004077817j),(-0.00678335606635608-0.0006820869847245176j)
