index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.2039218605979616+0.14006144239134352j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.2395236745489443-0.02564346036840487j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.16952325150154282-0.1591034765861749j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.053604648047753126-0.2186339110843981j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(-0.05835226981511588-0.21552117833943615j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.15178320470865145-0.17543777549198777j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.23049752924160055-0.10668934443150159j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.28789999774765573-0.0021533121616393036j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.299205699170298+0.13659264770073173j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.23988288685897277+0.2827037377879729j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.1098089645411529+0.3921902670834076j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.05951969420060667+0.4289407138198729j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.21991457190809074+0.38571471112330435j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.3308232402532358+0.28660816803439887j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.37609330302211996+0.17236037121004694j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.36500454482161065+0.08068425394007056j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.32104174339942254+0.03338586604894526j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.2676041323614556+0.034347769252071586j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.2182005674890724+0.07500498566210839j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.1736952670922423+0.14121843280339083j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.12530926317232402+0.21721209363293675j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.060987202340363214+0.2858440433366731j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(-0.026722532097982973+0.32757099533682466j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.13295790593326523+0.3218502537378594j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.2358670176736051+0.25383187736831003j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.29933606188434103+0.12572365622014808j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.2866525708941876-0.033069020142063435j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.18311484712451007-0.16694908675935005j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(-0.016529145205689218-0.2140845597609035j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.1416494914903634-0.1419308699945092j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.20625800593116966+0.021038796914955582j)
"(1.7692307692307692, -3.0)","(1.7692307692307692, -3.0)",(0.13102519093704632+0.18479398065210914j)
"(1.9230769230769234, -3.0)","(1.9230769230769234, -3.0)",(-0.04862605929938279+0.242780925751231j)
"(2.0769230769230775, -3.0)","(2.0769230769230775, -3.0)",(-0.22128199688288328+0.1436705010802946j)
"(2.230769230769231, -3.0)","(2.230769230769231, -3.0)",(-0.2655519905511624-0.06007378526732775j)
"(2.384615384615385, -3.0)","(2.384615384615385, -3.0)",(-0.13930885705118143-0.2339939961911855j)
"(2.5384615384615383, -3.0)","(2.5384615384615383, -3.0)",(0.0769516221496316-0.25336140777354177j)
"(2.6923076923076925, -3.0)","(2.6923076923076925, -3.0)",(0.22948702730291076-0.10202016939741548j)
"(2.8461538461538467, -3.0)","(2.8461538461538467, -3.0)",(0.20798676707145367+0.10544900712986055j)
"(3.0, -3.0)","(3.0, -3.0)",(0.03813277592903153+0.20941144772234385j)
"(-3.0, -2.8461538461538463)","(-3.0, -2.8461538461538463)",(0.25659583501291483-0.06616644662441508j)
"(-2.8461538461538463, -2.8461538461538463)","(-2.8461538461538463, -2.8461538461538463)",(0.13872065684275517-0.22182606662668397j)
"(-2.6923076923076925, -2.8461538461538463)","(-2.6923076923076925, -2.8461538461538463)",(-0.03689946937101837-0.2515187265824327j)
"(-2.5384615384615383, -2.8461538461538463)","(-2.5384615384615383, -2.8461538461538463)",(-0.1725720929625598-0.17295260798459358j)
"(-2.3846153846153846, -2.8461538461538463)","(-2.3846153846153846, -2.8461538461538463)",(-0.22955766784378734-0.05238580714091028j)
"(-2.230769230769231, -2.8461538461538463)","(-2.230769230769231, -2.8461538461538463)",(-0.2253395476063303+0.059861353116247754j)
"(-2.0769230769230766, -2.8461538461538463)","(-2.0769230769230766, -2.8461538461538463)",(-0.18845438830932626+0.15402114489317065j)
"(-1.923076923076923, -2.8461538461538463)","(-1.923076923076923, -2.8461538461538463)",(-0.12450159045649872+0.23844288293662078j)
"(-1.7692307692307692, -2.8461538461538463)","(-1.7692307692307692, -2.8461538461538463)",(-0.02130511544596242+0.30665802727834146j)
