index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(0,)",(-0.0048024593419976665+0.029755069996938485j),(-0.0005616793672944364+0.004924519400553053j),(-0.0026051541200797592-0.0006761206935398288j),(0.006568796514346068+0.0007008801623757501j),(-0.004314082720326724+0.011369817715329605j),(-0.012565939073524691+0.008445181623965323j),(-0.004314082720326711+0.01136981771532961j),(0.006568796514346067+0.000700880162375747j),(-0.002605154120079769-0.0006761206935398318j),(0.00632965366301262+0.004643590604714586j)
"(1,)",(-0.0005616793672944364+0.004924519400553053j),(-0.007738159066275308+0.025761734711682128j),(0.00013688008478885007+0.005364015900483102j),(-0.0016604282331793068-0.0006236876887636051j),(0.004930926605182939+0.00022919380622455905j),(-0.0026483097830923173+0.009342456452680004j),(-0.009590153554002914+0.007725655103230869j),(-0.002648309783092309+0.009342456452679998j),(0.004930926605182941+0.00022919380622454693j),(-0.0016604282331793047-0.0006236876887636093j)
"(2,)",(-0.0026051541200797592-0.0006761206935398288j),(0.00013688008478885007+0.005364015900483102j),(-0.0077381590662753+0.025761734711682104j),(0.0001368800847888468+0.0053640159004831045j),(-0.001660428233179306-0.0006236876887636056j),(0.0049309266051829346+0.0002291938062245496j),(-0.0026483097830923103+0.00934245645267999j),(-0.009590153554002903+0.007725655103230863j),(-0.0026483097830923056+0.009342456452679997j),(0.004930926605182936+0.00022919380622455536j)
"(3,)",(0.006568796514346068+0.0007008801623757501j),(-0.0016604282331793068-0.0006236876887636051j),(0.0001368800847888468+0.0053640159004831045j),(-0.0077381590662752965+0.02576173471168209j),(0.00013688008478884812+0.005364015900483098j),(-0.0016604282331793032-0.000623687688763598j),(0.004930926605182937+0.00022919380622455905j),(-0.002648309783092309+0.009342456452679986j),(-0.009590153554002912+0.0077256551032308576j),(-0.0026483097830923177+0.00934245645267999j)
"(4,)",(-0.004314082720326724+0.011369817715329605j),(0.004930926605182939+0.00022919380622455905j),(-0.001660428233179306-0.0006236876887636056j),(0.00013688008478884812+0.005364015900483098j),(-0.007738159066275292+0.02576173471168209j),(0.00013688008478884706+0.005364015900483102j),(-0.0016604282331793032-0.0006236876887636082j),(0.004930926605182933+0.00022919380622454552j),(-0.002648309783092317+0.009342456452679984j),(-0.009590153554002908+0.007725655103230855j)
"(5,)",(-0.012565939073524691+0.008445181623965323j),(-0.0026483097830923173+0.009342456452680004j),(0.0049309266051829346+0.0002291938062245496j),(-0.0016604282331793032-0.000623687688763598j),(0.00013688008478884706+0.005364015900483102j),(-0.0077381590662753+0.025761734711682104j),(0.00013688008478884885+0.005364015900483107j),(-0.0016604282331793055-0.0006236876887636059j),(0.00493092660518294+0.00022919380622455702j),(-0.002648309783092311+0.009342456452679991j)
"(6,)",(-0.004314082720326711+0.01136981771532961j),(-0.009590153554002914+0.007725655103230869j),(-0.0026483097830923103+0.00934245645267999j),(0.004930926605182937+0.00022919380622455905j),(-0.0016604282331793032-0.0006236876887636082j),(0.00013688008478884885+0.005364015900483107j),(-0.007738159066275293+0.02576173471168209j),(0.00013688008478884658+0.005364015900483095j),(-0.001660428233179306-0.0006236876887636023j),(0.004930926605182931+0.0002291938062245403j)
"(7,)",(0.006568796514346067+0.000700880162375747j),(-0.002648309783092309+0.009342456452679998j),(-0.009590153554002903+0.007725655103230863j),(-0.002648309783092309+0.009342456452679986j),(0.004930926605182933+0.00022919380622454552j),(-0.0016604282331793055-0.0006236876887636059j),(0.00013688008478884658+0.005364015900483095j),(-0.007738159066275289+0.025761734711682072j),(0.0001368800847888482+0.005364015900483099j),(-0.0016604282331793047-0.000623687688763594j)
"(8,)",(-0.002605154120079769-0.0006761206935398318j),(0.004930926605182941+0.00022919380622454693j),(-0.0026483097830923056+0.009342456452679997j),(-0.009590153554002912+0.0077256551032308576j),(-0.002648309783092317+0.009342456452679984j),(0.00493092660518294+0.00022919380622455702j),(-0.001660428233179306-0.0006236876887636023j),(0.0001368800847888482+0.005364015900483099j),(-0.007738159066275296+0.02576173471168209j),(0.00013688008478884658+0.005364015900483098j)
"(9,)",(0.00632965366301262+0.004643590604714586j),(-0.0016604282331793047-0.0006236876887636093j),(0.004930926605182936+0.00022919380622455536j),(-0.0026483097830923177+0.00934245645267999j),(-0.009590153554002908+0.007725655103230855j),(-0.002648309783092311+0.009342456452679991j),(0.004930926605182931+0.0002291938062245403j),(-0.0016604282331793047-0.000623687688763594j),(0.00013688008478884658+0.005364015900483098j),(-0.007738159066275295+0.025761734711682093j)
