index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)"
"(0,)",(-0.003531791247762423+0.028010887043230234j),(-0.0007183848356800276+0.00360344693585655j),(-0.0021992387954744407+0.001491259438284567j),(0.004208199436362345-0.00315393329786293j),(0.0010269566222825227+0.009007216639165122j),(-0.010023517607272985+0.007088964522633176j),(-0.010023517607272988+0.007088964522633178j),(0.001026956622282509+0.009007216639165134j),(0.004208199436362351-0.0031539332978629446j),(-0.0021992387954744464+0.0014912594382845696j),(0.0027124032714883166+0.003357998725750927j)
"(1,)",(-0.0007183848356800276+0.00360344693585655j),(-0.006192534178829392+0.024487666712609404j),(-5.749266922635703e-05+0.004022034354382757j),(-0.001457247861206281+0.0008894463815845287j),(0.0029900127967190417-0.0024674610405599788j),(0.0013025513017520412+0.007015294858222121j),(-0.007659960968210153+0.006289544727327773j),(-0.00765996096821016+0.006289544727327774j),(0.0013025513017520555+0.007015294858222129j),(0.0029900127967190334-0.0024674610405599775j),(-0.0014572478612062774+0.0008894463815845422j)
"(2,)",(-0.0021992387954744407+0.001491259438284567j),(-5.749266922635703e-05+0.004022034354382757j),(-0.00619253417882938+0.024487666712609372j),(-5.749266922636064e-05+0.004022034354382756j),(-0.0014572478612062771+0.0008894463815845283j),(0.0029900127967190365-0.0024674610405599684j),(0.001302551301752049+0.007015294858222121j),(-0.007659960968210154+0.006289544727327768j),(-0.0076599609682101565+0.006289544727327768j),(0.001302551301752047+0.0070152948582221175j),(0.002990012796719039-0.0024674610405599692j)
"(3,)",(0.004208199436362345-0.00315393329786293j),(-0.001457247861206281+0.0008894463815845287j),(-5.749266922636064e-05+0.004022034354382756j),(-0.0061925341788293805+0.024487666712609376j),(-5.749266922635629e-05+0.004022034354382755j),(-0.0014572478612062821+0.0008894463815845346j),(0.0029900127967190473-0.0024674610405599714j),(0.001302551301752049+0.007015294858222128j),(-0.007659960968210161+0.00628954472732777j),(-0.007659960968210148+0.006289544727327768j),(0.001302551301752047+0.007015294858222116j)
"(4,)",(0.0010269566222825227+0.009007216639165122j),(0.0029900127967190417-0.0024674610405599788j),(-0.0014572478612062771+0.0008894463815845283j),(-5.749266922635629e-05+0.004022034354382755j),(-0.006192534178829386+0.024487666712609383j),(-5.749266922635993e-05+0.004022034354382757j),(-0.0014572478612062804+0.0008894463815845296j),(0.002990012796719044-0.0024674610405599853j),(0.0013025513017520568+0.007015294858222136j),(-0.00765996096821015+0.00628954472732777j),(-0.007659960968210142+0.00628954472732777j)
"(5,)",(-0.010023517607272985+0.007088964522633176j),(0.0013025513017520412+0.007015294858222121j),(0.0029900127967190365-0.0024674610405599684j),(-0.0014572478612062821+0.0008894463815845346j),(-5.749266922635993e-05+0.004022034354382757j),(-0.006192534178829376+0.02448766671260937j),(-5.7492669226356695e-05+0.004022034354382752j),(-0.0014572478612062852+0.0008894463815845347j),(0.00299001279671905-0.0024674610405599766j),(0.0013025513017520375+0.007015294858222122j),(-0.00765996096821015+0.006289544727327757j)
"(6,)",(-0.010023517607272988+0.007088964522633178j),(-0.007659960968210153+0.006289544727327773j),(0.001302551301752049+0.007015294858222121j),(0.0029900127967190473-0.0024674610405599714j),(-0.0014572478612062804+0.0008894463815845296j),(-5.7492669226356695e-05+0.004022034354382752j),(-0.006192534178829379+0.024487666712609372j),(-5.7492669226363376e-05+0.004022034354382757j),(-0.0014572478612062832+0.0008894463815845385j),(0.0029900127967190473-0.0024674610405599645j),(0.00130255130175204+0.007015294858222113j)
"(7,)",(0.001026956622282509+0.009007216639165134j),(-0.00765996096821016+0.006289544727327774j),(-0.007659960968210154+0.006289544727327768j),(0.001302551301752049+0.007015294858222128j),(0.002990012796719044-0.0024674610405599853j),(-0.0014572478612062852+0.0008894463815845347j),(-5.7492669226363376e-05+0.004022034354382757j),(-0.006192534178829385+0.024487666712609407j),(-5.7492669226356634e-05+0.004022034354382751j),(-0.0014572478612062878+0.0008894463815845299j),(0.002990012796719051-0.002467461040559974j)
"(8,)",(0.004208199436362351-0.0031539332978629446j),(0.0013025513017520555+0.007015294858222129j),(-0.0076599609682101565+0.006289544727327768j),(-0.007659960968210161+0.00628954472732777j),(0.0013025513017520568+0.007015294858222136j),(0.00299001279671905-0.0024674610405599766j),(-0.0014572478612062832+0.0008894463815845385j),(-5.7492669226356634e-05+0.004022034354382751j),(-0.006192534178829391+0.024487666712609407j),(-5.749266922635377e-05+0.004022034354382759j),(-0.001457247861206284+0.0008894463815845367j)
"(9,)",(-0.0021992387954744464+0.0014912594382845696j),(0.0029900127967190334-0.0024674610405599775j),(0.001302551301752047+0.0070152948582221175j),(-0.007659960968210148+0.006289544727327768j),(-0.00765996096821015+0.00628954472732777j),(0.0013025513017520375+0.007015294858222122j),(0.0029900127967190473-0.0024674610405599645j),(-0.0014572478612062878+0.0008894463815845299j),(-5.749266922635377e-05+0.004022034354382759j),(-0.006192534178829385+0.024487666712609376j),(-5.7492669226358145e-05+0.004022034354382752j)
"(10,)",(0.0027124032714883166+0.003357998725750927j),(-0.0014572478612062774+0.0008894463815845422j),(0.002990012796719039-0.0024674610405599692j),(0.001302551301752047+0.007015294858222116j),(-0.007659960968210142+0.00628954472732777j),(-0.00765996096821015+0.006289544727327757j),(0.00130255130175204+0.007015294858222113j),(0.002990012796719051-0.002467461040559974j),(-0.001457247861206284+0.0008894463815845367j),(-5.7492669226358145e-05+0.004022034354382752j),(-0.0061925341788293745+0.02448766671260937j)
