index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)"
"(0,)",(0.000710150392602056+0.02211689812984606j),(-0.0032999312175429796+0.001931415531572239j),(0.003124138833163915+0.0011261109275641043j),(-0.0037008256722873504+2.0675444776160727e-05j),(0.0030225341087157967-0.0033094295190724448j),(0.003090261263525615+0.004520102437119462j),(-0.003809271292839732+0.005178781286173637j),(-0.006689418250130477+0.002139164290970713j),(-0.006689418250130474+0.0021391642909707165j),(-0.003809271292839732+0.005178781286173632j),(0.003090261263525605+0.004520102437119467j),(0.003022534108715808-0.0033094295190724435j),(-0.0037008256722873513+2.0675444776155957e-05j),(0.003124138833163912+0.0011261109275641078j),(-0.0027020317144558427+0.0023413541612572406j)
"(1,)",(-0.0032999312175429796+0.001931415531572239j),(-0.00123842682679592+0.019895762532969378j),(-0.0026911663312435873+0.0021315633939085125j),(0.0022816613451372156+0.0007451064245960718j),(-0.0027538372821564257+0.00010429658995362606j),(0.002237083579018429-0.00262584681376934j),(0.0025643348030357995+0.0034650517158102793j),(-0.0028773321100818415+0.004246581625425012j),(-0.005298986412581924+0.0019245959244425037j),(-0.005298986412581923+0.0019245959244425027j),(-0.0028773321100818397+0.0042465816254250045j),(0.0025643348030357977+0.0034650517158102815j),(0.002237083579018433-0.002625846813769344j),(-0.002753837282156423+0.00010429658995362835j),(0.002281661345137216+0.0007451064245960651j)
"(2,)",(0.003124138833163915+0.0011261109275641043j),(-0.0026911663312435873+0.0021315633939085125j),(-0.0012384268267959157+0.01989576253296937j),(-0.002691166331243587+0.002131563393908512j),(0.0022816613451372165+0.0007451064245960689j),(-0.002753837282156426+0.00010429658995362978j),(0.0022370835790184317-0.002625846813769344j),(0.002564334803035794+0.0034650517158102793j),(-0.002877332110081837+0.004246581625425011j),(-0.00529898641258192+0.0019245959244425035j),(-0.00529898641258192+0.0019245959244424983j),(-0.00287733211008184+0.004246581625425014j),(0.002564334803035797+0.0034650517158102793j),(0.0022370835790184278-0.0026258468137693425j),(-0.002753837282156426+0.00010429658995363124j)
"(3,)",(-0.0037008256722873504+2.0675444776160727e-05j),(0.0022816613451372156+0.0007451064245960718j),(-0.002691166331243587+0.002131563393908512j),(-0.0012384268267959173+0.019895762532969374j),(-0.002691166331243588+0.0021315633939085156j),(0.002281661345137217+0.000745106424596066j),(-0.0027538372821564257+0.0001042965899536295j),(0.00223708357901843-0.002625846813769338j),(0.002564334803035796+0.003465051715810275j),(-0.0028773321100818293+0.004246581625425007j),(-0.005298986412581915+0.0019245959244425046j),(-0.005298986412581925+0.001924595924442505j),(-0.002877332110081838+0.004246581625425014j),(0.0025643348030357986+0.0034650517158102737j),(0.0022370835790184286-0.0026258468137693417j)
"(4,)",(0.0030225341087157967-0.0033094295190724448j),(-0.0027538372821564257+0.00010429658995362606j),(0.0022816613451372165+0.0007451064245960689j),(-0.002691166331243588+0.0021315633939085156j),(-0.0012384268267959155+0.01989576253296937j),(-0.002691166331243588+0.002131563393908515j),(0.002281661345137218+0.000745106424596072j),(-0.002753837282156425+0.00010429658995362375j),(0.0022370835790184317-0.00262584681376934j),(0.002564334803035795+0.003465051715810272j),(-0.0028773321100818306+0.004246581625425006j),(-0.0052989864125819255+0.0019245959244425055j),(-0.00529898641258193+0.0019245959244425044j),(-0.002877332110081833+0.0042465816254250105j),(0.0025643348030357964+0.003465051715810276j)
"(5,)",(0.003090261263525615+0.004520102437119462j),(0.002237083579018429-0.00262584681376934j),(-0.002753837282156426+0.00010429658995362978j),(0.002281661345137217+0.000745106424596066j),(-0.002691166331243588+0.002131563393908515j),(-0.0012384268267959175+0.019895762532969374j),(-0.002691166331243584+0.0021315633939085112j),(0.0022816613451372147+0.0007451064245960741j),(-0.0027538372821564227+0.00010429658995362562j),(0.0022370835790184256-0.002625846813769339j),(0.0025643348030358+0.003465051715810272j),(-0.002877332110081832+0.004246581625425018j),(-0.00529898641258193+0.001924595924442505j),(-0.0052989864125819255+0.0019245959244425003j),(-0.0028773321100818345+0.004246581625425013j)
"(6,)",(-0.003809271292839732+0.005178781286173637j),(0.0025643348030357995+0.0034650517158102793j),(0.0022370835790184317-0.002625846813769344j),(-0.0027538372821564257+0.0001042965899536295j),(0.002281661345137218+0.000745106424596072j),(-0.002691166331243584+0.0021315633939085112j),(-0.001238426826795924+0.019895762532969374j),(-0.0026911663312435847+0.002131563393908517j),(0.0022816613451372173+0.0007451064245960719j),(-0.0027538372821564274+0.00010429658995363063j),(0.0022370835790184247-0.0026258468137693447j),(0.0025643348030358042+0.003465051715810277j),(-0.00287733211008184+0.004246581625425018j),(-0.005298986412581928+0.001924595924442503j),(-0.0052989864125819255+0.0019245959244425037j)
"(7,)",(-0.006689418250130477+0.002139164290970713j),(-0.0028773321100818415+0.004246581625425012j),(0.002564334803035794+0.0034650517158102793j),(0.00223708357901843-0.002625846813769338j),(-0.002753837282156425+0.00010429658995362375j),(0.0022816613451372147+0.0007451064245960741j),(-0.0026911663312435847+0.002131563393908517j),(-0.0012384268267959168+0.01989576253296937j),(-0.002691166331243584+0.002131563393908514j),(0.00228166134513722+0.0007451064245960658j),(-0.0027538372821564283+0.00010429658995363823j),(0.002237083579018425-0.002625846813769347j),(0.002564334803035797+0.0034650517158102815j),(-0.0028773321100818415+0.004246581625425008j),(-0.005298986412581925+0.0019245959244424983j)
"(8,)",(-0.006689418250130474+0.0021391642909707165j),(-0.005298986412581924+0.0019245959244425037j),(-0.002877332110081837+0.004246581625425011j),(0.002564334803035796+0.003465051715810275j),(0.0022370835790184317-0.00262584681376934j),(-0.0027538372821564227+0.00010429658995362562j),(0.0022816613451372173+0.0007451064245960719j),(-0.002691166331243584+0.002131563393908514j),(-0.0012384268267959255+0.01989576253296936j),(-0.0026911663312435825+0.0021315633939085247j),(0.0022816613451372204+0.0007451064245960566j),(-0.0027538372821564235+0.0001042965899536393j),(0.0022370835790184273-0.0026258468137693395j),(0.002564334803035791+0.003465051715810276j),(-0.002877332110081835+0.004246581625425007j)
"(9,)",(-0.003809271292839732+0.005178781286173632j),(-0.005298986412581923+0.0019245959244425027j),(-0.00529898641258192+0.0019245959244425035j),(-0.0028773321100818293+0.004246581625425007j),(0.002564334803035795+0.003465051715810272j),(0.0022370835790184256-0.002625846813769339j),(-0.0027538372821564274+0.00010429658995363063j),(0.00228166134513722+0.0007451064245960658j),(-0.0026911663312435825+0.0021315633939085247j),(-0.0012384268267959138+0.019895762532969364j),(-0.0026911663312435895+0.002131563393908514j),(0.002281661345137219+0.0007451064245960652j),(-0.002753837282156426+0.00010429658995362513j),(0.0022370835790184343-0.002625846813769339j),(0.0025643348030357943+0.0034650517158102776j)
