index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)"
"(0,)",(0.0021120454765022573+0.01953714700906018j),(-0.0019188067402769607+0.0025635978205949504j),(0.003316424020998828-0.001154001571502048j),(-0.002104999754353596+0.002759119127689361j),(-0.0010111379139597643-0.0036305732664057835j),(0.004242578650061085+2.9356256050236374e-05j),(0.000622734611694688+0.004739046619955946j),(-0.003936050230850173+0.003474987315766436j),(-0.005384939416567169+0.0012451257442808112j),(-0.005384939416567167+0.0012451257442808107j),(-0.003936050230850169+0.0034749873157664413j),(0.000622734611694696+0.004739046619955952j),(0.004242578650061087+2.9356256050237675e-05j),(-0.0010111379139597617-0.003630573266405786j),(-0.0021049997543536015+0.002759119127689359j),(0.003316424020998828-0.001154001571502045j),(-0.002565687749047874+0.003049556538814068j)
"(1,)",(-0.0019188067402769607+0.0025635978205949504j),(0.0004116581401679641+0.017733838127104738j),(-0.0034748908570898+0.0025957982188397704j),(0.002460259939398139-0.0009257948492825078j),(-0.0015330318958517897+0.0021250500637327906j),(-0.0008529595883456079-0.002776248418848965j),(0.0033238129276649668-7.031713956139163e-05j),(0.0006042957224281045+0.003742219422477484j),(-0.0030599472278155524+0.0028700814490943516j),(-0.004285630825733067+0.0011289303069338403j),(-0.004285630825733069+0.0011289303069338384j),(-0.0030599472278155576+0.002870081449094349j),(0.0006042957224280986+0.0037422194224774824j),(0.0033238129276649668-7.031713956138457e-05j),(-0.0008529595883455933-0.002776248418848973j),(-0.0015330318958517981+0.0021250500637327815j),(0.00246025993939814-0.0009257948492825003j)
"(2,)",(0.003316424020998828-0.001154001571502048j),(-0.0034748908570898+0.0025957982188397704j),(0.0004116581401679696+0.017733838127104776j),(-0.003474890857089806+0.002595798218839764j),(0.0024602599393981415-0.000925794849282506j),(-0.0015330318958517908+0.0021250500637327906j),(-0.0008529595883456044-0.0027762484188489705j),(0.003323812927664972-7.031713956139139e-05j),(0.0006042957224281059+0.003742219422477486j),(-0.0030599472278155545+0.0028700814490943516j),(-0.004285630825733073+0.0011289303069338388j),(-0.004285630825733075+0.0011289303069338368j),(-0.003059947227815559+0.002870081449094349j),(0.000604295722428097+0.0037422194224774868j),(0.0033238129276649724-7.031713956138411e-05j),(-0.0008529595883455985-0.0027762484188489744j),(-0.0015330318958517945+0.0021250500637327915j)
"(3,)",(-0.002104999754353596+0.002759119127689361j),(0.002460259939398139-0.0009257948492825078j),(-0.003474890857089806+0.002595798218839764j),(0.0004116581401679697+0.017733838127104763j),(-0.0034748908570898054+0.0025957982188397643j),(0.0024602599393981407-0.000925794849282507j),(-0.0015330318958517951+0.0021250500637327897j),(-0.0008529595883456057-0.0027762484188489723j),(0.0033238129276649685-7.031713956139454e-05j),(0.0006042957224281049+0.003742219422477484j),(-0.0030599472278155532+0.002870081449094352j),(-0.004285630825733073+0.0011289303069338405j),(-0.004285630825733072+0.0011289303069338384j),(-0.0030599472278155584+0.00287008144909435j),(0.0006042957224281001+0.0037422194224774876j),(0.00332381292766497-7.031713956138571e-05j),(-0.0008529595883456064-0.002776248418848973j)
"(4,)",(-0.0010111379139597643-0.0036305732664057835j),(-0.0015330318958517897+0.0021250500637327906j),(0.0024602599393981415-0.000925794849282506j),(-0.0034748908570898054+0.0025957982188397643j),(0.0004116581401679707+0.017733838127104773j),(-0.0034748908570898063+0.002595798218839765j),(0.002460259939398145-0.0009257948492825038j),(-0.0015330318958517936+0.002125050063732793j),(-0.0008529595883456067-0.0027762484188489705j),(0.003323812927664969-7.031713956139219e-05j),(0.0006042957224281054+0.0037422194224774846j),(-0.003059947227815556+0.0028700814490943546j),(-0.004285630825733072+0.0011289303069338403j),(-0.0042856308257330725+0.0011289303069338386j),(-0.0030599472278155576+0.002870081449094351j),(0.0006042957224280999+0.003742219422477489j),(0.003323812927664971-7.031713956139059e-05j)
"(5,)",(0.004242578650061085+2.9356256050236374e-05j),(-0.0008529595883456079-0.002776248418848965j),(-0.0015330318958517908+0.0021250500637327906j),(0.0024602599393981407-0.000925794849282507j),(-0.0034748908570898063+0.002595798218839765j),(0.0004116581401679732+0.017733838127104773j),(-0.003474890857089807+0.002595798218839764j),(0.0024602599393981446-0.0009257948492825052j),(-0.0015330318958517916+0.0021250500637327915j),(-0.0008529595883456056-0.0027762484188489705j),(0.0033238129276649702-7.03171395613924e-05j),(0.0006042957224281053+0.003742219422477491j),(-0.0030599472278155532+0.0028700814490943524j),(-0.004285630825733071+0.001128930306933839j),(-0.004285630825733072+0.0011289303069338399j),(-0.0030599472278155584+0.0028700814490943516j),(0.0006042957224281045+0.0037422194224774876j)
"(6,)",(0.000622734611694688+0.004739046619955946j),(0.0033238129276649668-7.031713956139163e-05j),(-0.0008529595883456044-0.0027762484188489705j),(-0.0015330318958517951+0.0021250500637327897j),(0.002460259939398145-0.0009257948492825038j),(-0.003474890857089807+0.002595798218839764j),(0.00041165814016797507+0.017733838127104763j),(-0.0034748908570898067+0.0025957982188397634j),(0.002460259939398142-0.00092579484928251j),(-0.0015330318958517947+0.00212505006373279j),(-0.000852959588345602-0.0027762484188489736j),(0.0033238129276649733-7.031713956139046e-05j),(0.0006042957224281036+0.0037422194224774868j),(-0.0030599472278155545+0.002870081449094351j),(-0.004285630825733071+0.0011289303069338399j),(-0.004285630825733074+0.0011289303069338358j),(-0.0030599472278155593+0.002870081449094351j)
"(7,)",(-0.003936050230850173+0.003474987315766436j),(0.0006042957224281045+0.003742219422477484j),(0.003323812927664972-7.031713956139139e-05j),(-0.0008529595883456057-0.0027762484188489723j),(-0.0015330318958517936+0.002125050063732793j),(0.0024602599393981446-0.0009257948492825052j),(-0.0034748908570898067+0.0025957982188397634j),(0.0004116581401679698+0.017733838127104773j),(-0.003474890857089805+0.002595798218839768j),(0.002460259939398144-0.0009257948492825033j),(-0.0015330318958517973+0.0021250500637327906j),(-0.0008529595883456063-0.0027762484188489766j),(0.003323812927664972-7.031713956139426e-05j),(0.0006042957224281081+0.0037422194224774868j),(-0.0030599472278155537+0.0028700814490943555j),(-0.004285630825733077+0.0011289303069338394j),(-0.004285630825733079+0.0011289303069338368j)
"(8,)",(-0.005384939416567169+0.0012451257442808112j),(-0.0030599472278155524+0.0028700814490943516j),(0.0006042957224281059+0.003742219422477486j),(0.0033238129276649685-7.031713956139454e-05j),(-0.0008529595883456067-0.0027762484188489705j),(-0.0015330318958517916+0.0021250500637327915j),(0.002460259939398142-0.00092579484928251j),(-0.003474890857089805+0.002595798218839768j),(0.0004116581401679691+0.017733838127104776j),(-0.0034748908570898032+0.0025957982188397604j),(0.002460259939398145-0.0009257948492825019j),(-0.0015330318958517994+0.0021250500637327967j),(-0.0008529595883456064-0.002776248418848972j),(0.003323812927664971-7.031713956139351e-05j),(0.0006042957224281086+0.003742219422477486j),(-0.0030599472278155576+0.002870081449094356j),(-0.004285630825733078+0.0011289303069338384j)
"(9,)",(-0.005384939416567167+0.0012451257442808107j),(-0.004285630825733067+0.0011289303069338403j),(-0.0030599472278155545+0.0028700814490943516j),(0.0006042957224281049+0.003742219422477484j),(0.003323812927664969-7.031713956139219e-05j),(-0.0008529595883456056-0.0027762484188489705j),(-0.0015330318958517947+0.00212505006373279j),(0.002460259939398144-0.0009257948492825033j),(-0.0034748908570898032+0.0025957982188397604j),(0.0004116581401679648+0.017733838127104752j),(-0.0034748908570898024+0.0025957982188397634j),(0.0024602599393981493-0.00092579484928251j),(-0.0015330318958517869+0.002125050063732795j),(-0.0008529595883456133-0.0027762484188489675j),(0.0033238129276649668-7.031713956140086e-05j),(0.000604295722428114+0.0037422194224774855j),(-0.003059947227815557+0.002870081449094355j)
