index,value
"(0,)",(-0.9716726655435193-1.1706701474017394j)
"(1,)",(-0.10784548283228812+1.33269011533996j)
"(2,)",(0.028140594870408098-0.17578506734971378j)
"(3,)",(-0.7647961936464948+0.4341197086616727j)
"(4,)",(-0.16106801998204245+0.3716354193261734j)
"(5,)",(-0.47958340341033867+0.12202255862323844j)
"(6,)",(-0.3603564480269792+0.3449024504077809j)
"(7,)",(-0.24425385444568248+0.1627974054657829j)
"(8,)",(-0.2611082587925715+0.19238806980427525j)
"(9,)",(-0.11019133689311378+0.16743675919063772j)
"(10,)",(-0.058736103358165814+0.10259954432328935j)
"(11,)",(0.02617822835840057+0.09510686912077308j)
"(12,)",(0.1070821083111593+0.043956062184683786j)
"(13,)",(0.15665474629658094+0.017568684400338097j)
"(14,)",(0.21137900116550856-0.005603461632080212j)
"(15,)",(0.24198526309883572-0.027353112850300773j)
"(16,)",(0.26220666554555494-0.03553641005068764j)
"(17,)",(0.2700673940421339-0.04442665382234556j)
"(18,)",(0.2606650680395198-0.05044273411402954j)
"(19,)",(0.2363082196182318-0.058191882781599646j)
"(20,)",(0.19117264422589036-0.06908013067685463j)
"(21,)",(0.12486729377672065-0.07910530042277616j)
"(22,)",(0.03860844308171152-0.0844056874334348j)
"(23,)",(-0.06255478140961543-0.0776436301748865j)
"(24,)",(-0.1677118011029911-0.05317305919023485j)
"(25,)",(-0.2630697242425273-0.00882130667146773j)
"(26,)",(-0.3331562609380316+0.05248897414248095j)
"(27,)",(-0.36476806019754204+0.12148187856086537j)
"(28,)",(-0.3504158591348325+0.18429623365125847j)
"(29,)",(-0.2905891120603436+0.22503618819621876j)
"(30,)",(-0.1947470774036516+0.22964809104515546j)
"(31,)",(-0.07988137230040304+0.1898348392016374j)
"(32,)",(0.03263177107155096+0.10584178270747874j)
"(33,)",(0.12144553101550153-0.012421909107405094j)
"(34,)",(0.16991178004975913-0.1465773570137569j)
"(35,)",(0.16978043968776935-0.27303512292043136j)
"(36,)",(0.12306671640603645-0.3676494193547297j)
"(37,)",(0.04152730058040488-0.4106857648021274j)
"(38,)",(-0.05610792158354927-0.3908382117605697j)
"(39,)",(-0.14840168336554008-0.30733187705700316j)
"(40,)",(-0.2158466816649412-0.16964804051418542j)
"(41,)",(-0.24468492456543695+0.004916563656414685j)
"(42,)",(-0.2290538556337074+0.19508120201478657j)
"(43,)",(-0.17114188841170141+0.37975545448516645j)
"(44,)",(-0.07960638318599+0.5415613883857199j)
"(45,)",(0.03308213136156196+0.6690443367787635j)
"(46,)",(0.15356091934961652+0.7573638902802934j)
"(47,)",(0.2700551961111043+0.8076650205709399j)
"(48,)",(0.37397835648808403+0.8255850261991169j)
"(49,)",(0.46052278009083947+0.819418848897474j)
"(50,)",(0.5283665605410263+0.7983809275348747j)
"(51,)",(0.5787720440512628+0.7712346752106756j)
"(52,)",(0.6143948294958514+0.7453826659833019j)
"(53,)",(0.6380868796338789+0.7263721726395269j)
"(54,)",(0.6519043159412208+0.7176935205667422j)
"(55,)",(0.6564528205183477+0.72073283773391j)
"(56,)",(0.6506398541375629+0.7347720085498224j)
"(57,)",(0.6318566595166034+0.7569890297303057j)
"(58,)",(0.5965749024726679+0.782484071670404j)
"(59,)",(0.541300291725198+0.8044216268419248j)
"(60,)",(0.46376847569056273+0.8144221046063869j)
"(61,)",(0.36419286103859133+0.8033360703343979j)
"(62,)",(0.24629974610763966+0.7624755616594934j)
"(63,)",(0.1178348168573862+0.6852594662149384j)
"(64,)",(-0.009759507528051214+0.5690538476138671j)
"(65,)",(-0.12267146974309884+0.41681726672787733j)
"(66,)",(-0.20701507260316077+0.23804281117481302j)
"(67,)",(-0.2517343902639565+0.04849086851850938j)
"(68,)",(-0.2514774448638179-0.13156049759384988j)
"(69,)",(-0.20865497322980842-0.28050247755131497j)
"(70,)",(-0.13389203729207316-0.3794741130703867j)
"(71,)",(-0.04455093000059781-0.4163863747973927j)
"(72,)",(0.03860936514688246-0.3889365318899449j)
"(73,)",(0.09594928095083682-0.30551321707747464j)
"(74,)",(0.11330008820704329-0.18382432364198248j)
"(75,)",(0.08546128233928554-0.047429558558690604j)
"(76,)",(0.017274276446364478+0.07935437936415635j)
"(77,)",(-0.0775793050107325+0.1758605020023336j)
"(78,)",(-0.1792401883731749+0.22942625038552455j)
"(79,)",(-0.2672794714315717+0.23708252427940185j)
"(80,)",(-0.3236070187236588+0.204218814236839j)
"(81,)",(-0.33714046083587756+0.14485280558103236j)
"(82,)",(-0.30683178259981053+0.0736068345239529j)
"(83,)",(-0.23586521748418715+0.0059138399193808255j)
"(84,)",(-0.14042809674339995-0.04506571941564175j)
"(85,)",(-0.033337175243207076-0.0807224838025285j)
"(86,)",(0.07333980904791125-0.09156750500209661j)
"(87,)",(0.15447333863913665-0.09254479293355584j)
"(88,)",(0.2288891418041219-0.09089490537380168j)
"(89,)",(0.26308883265823635-0.06703480984359525j)
"(90,)",(0.2724833431893657-0.08452794621968779j)
"(91,)",(0.30025724754255567-0.05496059232847868j)
"(92,)",(0.21673421109827584-0.04490376677023933j)
"(93,)",(0.25414955674817674-0.09072363512815829j)
"(94,)",(0.1720245569566308+0.07996980174128851j)
"(95,)",(0.015965360211850965-0.09008071406770542j)
"(96,)",(0.2698786146282506+0.12820619117623044j)
"(97,)",(-0.3388364910926907+0.29720778645371865j)
"(98,)",(0.19561593618685977-0.2634232690557321j)
"(99,)",(0.12513954053778426+1.1802645955470268j)
