index,value
"(0,)",(-1995.5126302569984+293.537847064394j)
"(1,)",(946.512119935302-22.185833020177j)
"(2,)",(-1284.6302322229824+201.3344772075667j)
"(3,)",(156.79007136158555+152.07279977414254j)
"(4,)",(-719.5844436145186-189.68670603698536j)
"(5,)",(-230.1237726371151-443.7232205631906j)
"(6,)",(-248.7795594692819+8.718705059707247j)
"(7,)",(-850.69867946936-349.37723817544804j)
"(8,)",(207.9379170217136-554.8352692504415j)
"(9,)",(-543.8103857170876+269.20333333283355j)
"(10,)",(-145.82740161433227-507.15726405883754j)
"(11,)",(-329.9194495156961-1061.2828686144928j)
"(12,)",(798.6823805573096+293.9177712345479j)
"(13,)",(252.53426812941214-834.3288540026558j)
"(14,)",(99.28943120169099+988.3372176836879j)
"(15,)",(1099.4378756783185-521.0712222343232j)
"(16,)",(-314.455653841478+763.4594324652328j)
"(17,)",(-23.60432913343084+405.53190233447094j)
"(18,)",(-374.62297047761666+266.0664924337991j)
"(19,)",(-21.19025576658995+109.78004721988687j)
"(20,)",(-750.4287692907953+378.23956526516974j)
"(21,)",(-852.0139518013387-975.6960585453429j)
"(22,)",(776.7668060905858+501.70862837713344j)
"(23,)",(-420.27388108430483-802.3977700416406j)
"(24,)",(710.5975101939157-115.16549203841006j)
"(25,)",(-38.65014874709635+25.143534749341498j)
"(26,)",(978.534698352358-423.8671136599972j)
"(27,)",(227.50049238679395+1270.7589504339217j)
"(28,)",(42.76887640790932+125.13687141237116j)
"(29,)",(-1160.9219894726664-218.44550046581816j)
"(30,)",(58.56320395735128+840.9722014658021j)
"(31,)",(-164.21062443015362-296.30408270717186j)
"(32,)",(-208.11378048060865-467.79581470780397j)
"(33,)",(115.80887951400096-114.77483743841452j)
"(34,)",(143.46782929510982-1205.9361148178439j)
"(35,)",(929.7560952836359+509.5810567184992j)
"(36,)",(-322.33698765066066-602.091566295293j)
"(37,)",(616.597213559576+1059.5867567577359j)
"(38,)",(287.80899588802197-22.373268682495393j)
"(39,)",(-88.78151681920417+793.71384115024j)
"(40,)",(522.954041897364+274.78169773953584j)
"(41,)",(-1000.6471187376388+475.8539604768352j)
"(42,)",(435.35248411737166-595.7976823952565j)
"(43,)",(-731.5333857936521+549.3946985496832j)
"(44,)",(-208.91727736543933+112.75029232633204j)
"(45,)",(-472.2681138905141-363.01892750637j)
"(46,)",(-841.4320151612305+146.98713016352968j)
"(47,)",(511.56254037335475-350.4284088506089j)
"(48,)",(-1442.6445079275295-219.1834162372649j)
"(49,)",(1766.6446106368874+210.06211010722296j)
"(50,)",(-1132.6352265091964+5.2028490563018295j)
"(51,)",(646.6535989518168-934.2100196309566j)
"(52,)",(-394.1670311761669+621.5134338320163j)
"(53,)",(-115.7315237440929-1063.2243317398702j)
"(54,)",(-640.3447695577586-122.7886331554023j)
"(55,)",(-419.12740098294967+274.335588964816j)
"(56,)",(-370.9890659262761-634.2789548216352j)
"(57,)",(-432.06946955657776-18.10292668512838j)
"(58,)",(-97.9828027205782+637.5363845966999j)
"(59,)",(-382.565486492392-398.3155955543775j)
"(60,)",(269.52994471636566+665.7289857606085j)
"(61,)",(-347.95392549058755+423.6617870024272j)
"(62,)",(201.7410555282944-166.87958019595106j)
"(63,)",(334.1979124174138+787.5032525372013j)
"(64,)",(885.7741394474965-202.54041279121645j)
"(65,)",(-377.0726168899066-330.03896251168555j)
"(66,)",(446.6704939059738-393.818023017056j)
"(67,)",(450.43288506290895-375.8831759581895j)
"(68,)",(-803.5164388317211-134.4893075264319j)
"(69,)",(663.2036651480372-190.06937147309736j)
"(70,)",(-1395.7698661741435+339.5281808616756j)
"(71,)",(311.81991725776356+251.75449177639027j)
"(72,)",(-1132.3652271131616+510.842636484638j)
"(73,)",(1139.0504976723512+939.952903122677j)
"(74,)",(-1267.5501828294528-832.0273932126893j)
"(75,)",(1865.9754566229064+966.4639692608231j)
"(76,)",(-368.3378062484795-355.1559758821716j)
"(77,)",(1157.732746847507-303.5133013948845j)
"(78,)",(-1322.7728878441603-488.7171012491144j)
"(79,)",(-739.0045909147576-872.9970390479841j)
"(80,)",(1074.65884134633+960.3910594341095j)
"(81,)",(-1193.9661854808178-715.5456220584492j)
"(82,)",(301.9831653229701+1258.6428579859903j)
"(83,)",(-1229.6217934155497+180.33979202171838j)
"(84,)",(706.9636042995519+90.39612004843744j)
"(85,)",(-235.94277901236367+717.0750208319175j)
"(86,)",(1006.3933541774793-429.1876989686579j)
"(87,)",(-190.20326332745725+62.164133267461494j)
"(88,)",(476.2831931160033-399.102194109537j)
"(89,)",(132.43600315257444-759.0475780396392j)
"(90,)",(72.68637947021887-17.87005030818625j)
"(91,)",(-42.556372029885836-456.38666421843175j)
"(92,)",(-5.899764580359845-711.2230405839912j)
"(93,)",(-462.6249196065183+1539.505875688797j)
"(94,)",(216.1760565892341-1403.0664056627138j)
"(95,)",(-169.55611264452875+1445.9976621679332j)
"(96,)",(-751.3715531447647-1391.3852814334662j)
"(97,)",(66.72647147639191+31.01986433468548j)
"(98,)",(-962.2274443798018+814.0444336679005j)
"(99,)",(1170.7400777936386-333.40605267233946j)
