index,cp
"(0,)",(0.0032098095985373274+0.0038795817937268503j)
"(1,)",(0.0018973688349186912+0.0028442323528548126j)
"(2,)",(0.0016981608603128932+0.0030206745473119927j)
"(3,)",(0.001565832140533701+0.0031241888520959554j)
"(4,)",(0.0015119969294806247+0.0031635318970140982j)
"(5,)",(0.0015411036618711155+0.003142450694944644j)
"(6,)",(0.0016507665460483633+0.0030589067892626853j)
"(7,)",(0.001831582346819026+0.002905493633230415j)
"(8,)",(0.0020665251345684406+0.0026710531224382393j)
"(9,)",(0.0023302679162675475+0.002343488781174313j)
"(10,)",(0.0025889983684692737+0.0019136816657746635j)
"(11,)",(0.002801428438577948+0.0013802037972557226j)
"(12,)",(0.0029216766993893145+0.0007541981830748272j)
"(13,)",(0.0029044565872665524+6.341853273296394e-05j)
"(14,)",(0.002712492173086523-0.0006458759863805721j)
"(15,)",(0.0023253404062630358-0.0013105218978648192j)
"(16,)",(0.0017479708985526459-0.0018565280412754061j)
"(17,)",(0.0010168003578247332-0.0022097384150169164j)
"(18,)",(0.0002007154506365977-0.002309913484189499j)
"(19,)",(-0.0006047942179347088-0.0021256699793996124j)
"(20,)",(-0.0012908677253149602-0.0016666752340418573j)
"(21,)",(-0.001754359887433337-0.0009892847763996163j)
"(22,)",(-0.0019192440935407358-0.00019275363115531024j)
"(23,)",(-0.0017554045820700314+0.000594803197783656j)
"(24,)",(-0.0012897467621176563+0.0012388455692666032j)
"(25,)",(-0.000605898209664388+0.0016248467911774184j)
"(26,)",(0.00016863991064070577+0.0016827788165893972j)
"(27,)",(0.0008858895310391906+0.0014036592754508484j)
"(28,)",(0.0014065429447578644+0.0008437803419155343j)
"(29,)",(0.0016284173203566076+0.00011506906288337066j)
"(30,)",(0.0015077353437858453-0.0006366741556456775j)
"(31,)",(0.0010683246397385-0.0012610068492116295j)
"(32,)",(0.0003966050482278531-0.0016331036709084214j)
"(33,)",(-0.0003764745497321517-0.0016783555179350077j)
"(34,)",(-0.001102376470092394-0.0013859762902826186j)
"(35,)",(-0.0016446249138198905-0.000808920505223181j)
"(36,)",(-0.0019045345007689275-5.068264624251333e-05j)
"(37,)",(-0.0018375754537790522+0.0007573917661538394j)
"(38,)",(-0.0014574577029531034+0.0014826182084707585j)
"(39,)",(-0.0008281503242938251+0.002015166858916898j)
"(40,)",(-4.689383637983064e-05+0.0022849414754697933j)
"(41,)",(0.0007769713641715064+0.002268472507284053j)
"(42,)",(0.0015422402200851173+0.0019858803243594197j)
