index,cp
"(0,)",(0.06126292921892261+0.013004596191998643j)
"(1,)",(0.03797163551455875+0.017425354400174075j)
"(2,)",(0.033870765367013465+0.02450118139605793j)
"(3,)",(0.02929019827771853+0.029856875850495294j)
"(4,)",(0.02482120873617152+0.03368683603359137j)
"(5,)",(0.020896764766494953+0.03626950098164027j)
"(6,)",(0.01780829896837918+0.03789408213751616j)
"(7,)",(0.015735243333131012+0.038808744781535225j)
"(8,)",(0.014775414531685783+0.03918784689082565j)
"(9,)",(0.014968213383767697+0.039113884640254185j)
"(10,)",(0.01630601953698507+0.03857020475013512j)
"(11,)",(0.01873187180724591+0.037442413815000464j)
"(12,)",(0.02212380570973108+0.03552891216986587j)
"(13,)",(0.026268591751283633+0.03256335393792068j)
"(14,)",(0.030830552597054143+0.028253316424689378j)
"(15,)",(0.03532476937989116+0.022339184730980868j)
"(16,)",(0.03910783361083621+0.014674318076568875j)
"(17,)",(0.04140204939895404+0.00532131347664131j)
"(18,)",(0.041368513022282935-0.005350233200880692j)
"(19,)",(0.03823828875750701-0.016590033449741342j)
"(20,)",(0.03149710140183721-0.02725198914423435j)
"(21,)",(0.02109789085601742-0.03587376569064992j)
"(22,)",(0.007651260454779785-0.04087573708451841j)
"(23,)",(-0.007475305256671452-0.04087614364524553j)
"(24,)",(-0.02222121751596887-0.03507736750070863j)
"(25,)",(-0.03410718030368459-0.023632653425178618j)
"(26,)",(-0.04071378218100903-0.007871354985470416j)
"(27,)",(-0.0402834448973117+0.009735897497402073j)
"(28,)",(-0.03229373103782304+0.025939708387296853j)
"(29,)",(-0.017813965127527538+0.03737499642096124j)
"(30,)",(0.0005166907491631519+0.04138505486871778j)
"(31,)",(0.018956205291895924+0.03677935546421688j)
"(32,)",(0.03349664116163828+0.02427805595027786j)
"(33,)",(0.04085774444003094+0.006466423097706396j)
"(34,)",(0.0393461351536242-0.012771353287317723j)
"(35,)",(0.02931119499914996-0.02919708343824133j)
"(36,)",(0.013050394223649613-0.039268577384976584j)
"(37,)",(-0.005805135867443218-0.04098377159560583j)
"(38,)",(-0.023227810336662026-0.034280814430615196j)
"(39,)",(-0.03576528724253699-0.020908524256160133j)
"(40,)",(-0.041271695902773964-0.0038524665101428305j)
"(41,)",(-0.03922711397697989+0.013473180841885453j)
"(42,)",(-0.030619906292232973+0.028017976047085547j)
"(43,)",(-0.017497123109195475+0.03766811756166108j)
"(44,)",(-0.0023614555862351+0.041497356567926386j)
"(45,)",(0.012403373471524187+0.03970407722799398j)
"(46,)",(0.02494822935141434+0.03332464054392053j)
"(47,)",(0.034160226845695356+0.023847616309105788j)
"(48,)",(0.039665061582363645+0.012843292282557452j)
"(49,)",(0.04168906902921846+0.0016845269147784717j)
"(50,)",(0.04085444821682943-0.008611037373484159j)
"(51,)",(0.037971635514558955-0.01742535440017415j)
"(52,)",(0.03387076536701369-0.024501181396058117j)
"(53,)",(0.029290198277718744-0.029856875850495478j)
"(54,)",(0.024821208736171694-0.03368683603359157j)
"(55,)",(0.02089676476649507-0.03626950098164056j)
"(56,)",(0.017808298968379235-0.037894082137516265j)
"(57,)",(0.015735243333131036-0.03880874478153519j)
"(58,)",(0.014775414531685866-0.03918784689082576j)
"(59,)",(0.014968213383767647-0.03911388464025405j)
"(60,)",(0.016306019536985038-0.038570204750134965j)
"(61,)",(0.018731871807246055-0.037442413815000714j)
"(62,)",(0.022123805709731124-0.035528912169865964j)
"(63,)",(0.026268591751283814-0.03256335393792093j)
"(64,)",(0.030830552597054403-0.028253316424689645j)
"(65,)",(0.035324769379891485-0.022339184730981006j)
"(66,)",(0.03910783361083637-0.014674318076568939j)
"(67,)",(0.04140204939895441-0.005321313476641261j)
"(68,)",(0.041368513022282914+0.005350233200880713j)
"(69,)",(0.038238288757506525+0.016590033449741175j)
"(70,)",(0.031497101401837174+0.027251989144234334j)
"(71,)",(0.02109789085601761+0.03587376569065023j)
"(72,)",(0.00765126045477992+0.04087573708451871j)
"(73,)",(-0.007475305256671528+0.04087614364524587j)
"(74,)",(-0.02222121751596902+0.035077367500708896j)
"(75,)",(-0.03410718030368455+0.023632653425178642j)
"(76,)",(-0.04071378218100925+0.007871354985470551j)
"(77,)",(-0.04028344489731163-0.009735897497401912j)
"(78,)",(-0.03229373103782311-0.025939708387296825j)
"(79,)",(-0.01781396512752764-0.03737499642096135j)
"(80,)",(0.0005166907491632199-0.04138505486871779j)
"(81,)",(0.018956205291896098-0.036779355464217185j)
"(82,)",(0.0334966411616386-0.02427805595027801j)
"(83,)",(0.040857744440031006-0.006466423097706489j)
"(84,)",(0.039346135153624326+0.012771353287317655j)
"(85,)",(0.029311194999150386+0.02919708343824147j)
"(86,)",(0.013050394223649644+0.039268577384976446j)
"(87,)",(-0.005805135867443119+0.04098377159560585j)
"(88,)",(-0.02322781033666223+0.03428081443061553j)
"(89,)",(-0.0357652872425373+0.02090852425616034j)
"(90,)",(-0.0412716959027741+0.0038524665101427923j)
"(91,)",(-0.039227113976980324-0.013473180841885661j)
"(92,)",(-0.03061990629223326-0.028017976047085957j)
"(93,)",(-0.017497123109195472-0.037668117561661336j)
"(94,)",(-0.0023614555862350142-0.041497356567926344j)
"(95,)",(0.012403373471524022-0.039704077227993614j)
"(96,)",(0.02494822935141424-0.03332464054392049j)
"(97,)",(0.03416022684569565-0.02384761630910604j)
"(98,)",(0.039665061582364006-0.012843292282557555j)
"(99,)",(0.04168906902921881-0.0016845269147784739j)
