index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-5.0, -2.0)",(0.003466337088985527+0.006588194906890176j),(-0.0007855546749639731+0.00847516733914835j),(0.0024384608287027227+0.014440080319279834j),(0.012738041484626728+0.003482351886972224j),(-8.144114938766074e-05-0.011961946579773008j),(-0.008572976416511708+0.004275806486864467j),(0.008433909092132697-0.005866387692250625j),(-0.007018619062517366+0.00370400813268044j),(0.012643649817803056-0.0009780982328359339j),(-0.011756153224166734-0.0022349333549845423j),(-0.0008980246019357986+0.015422834514535968j),(0.01275205444290875+0.013490344523193528j),(0.006137317204352421+0.013580894918373389j),(-0.010993866678744533+0.007985946390204657j),(-0.00016234341254769182-0.011982748412011815j),(-0.0011273876602170031+0.007173488811844672j),(0.0010708006511823429-0.010335049324789238j),(0.0050608203855788784+0.010285188410289497j),(-0.009329728792150282-0.007685960678549669j),(0.010618869104478902-0.0024751719879660397j)
"(-4.898989898989899, -2.0)",(0.006665977922694976+0.0007937647239784306j),(0.006340423025565542+0.005653723867799387j),(0.01364132503815692+0.00799566682897546j),(0.01184176922430036-0.005316041542043851j),(-0.007284270335155427-0.010298185775831666j),(0.003144696111132674+0.009376061611002368j),(0.005233477544793256-0.007261461982997377j),(-0.003051897178385677+0.007653503472131565j),(0.0043775935937319715-0.009060660671147044j),(-0.009954009017463775+0.006079185948807015j),(0.012173611579004684+0.01023555287397486j),(0.01845529234532986-0.001981476849320184j),(0.019065965260303484+0.0033060833233249745j),(-0.0003974131383760394+0.014004881676030125j),(-0.0073852442638991985-0.008289672225065594j),(0.006977110973341456+0.0041595851441571675j),(-0.008015576464189022-0.006196843409940078j),(0.0070086416300984816+0.001123926561829111j),(-0.010629759689371736+0.0005066321384503689j),(0.0053744604014352845-0.011497815306341804j)
"(-4.797979797979798, -2.0)",(0.004459821614508313-0.0053089664617475985j),(0.007433214196646336-0.001542581510035048j),(0.015080639961192719-0.006348727910696228j),(0.0032706277405260263-0.013199966818362475j),(-0.010783897990880012-0.0011146599587123593j),(0.006882013736877779+0.005729179424224486j),(0.0009457619700537975-0.0065369701191510905j),(0.007197432716922224+0.008227636849846549j),(-0.0015591810553326848-0.006563018046150626j),(0.0015321472717774853+0.010303951965707756j),(0.01553344126042144-0.0034797286691982j),(0.009423812251759065-0.01581779669936856j),(0.013194142376150643-0.011859456904312728j),(0.009191020146572517+0.010558255174156045j),(-0.008393714884397515+0.0022924181645394156j),(0.009506020409507649-0.0038363333362744275j),(-0.005364469077040435+0.004594399507975182j),(0.007403791853988535+0.0006597342727584345j),(-0.00721695791709838+0.011414763332429367j),(-0.005913158846676854-0.012410698290008165j)
"(-4.696969696969697, -2.0)",(-0.001866059476190412-0.006784593639905879j),(0.002347855758479423-0.006311190616521144j),(0.0038231210325890145-0.014860315318698055j),(-0.009544166051398718-0.010563330905331375j),(-0.007037171128838416+0.009666459507717863j),(0.008669632277483501-0.0037925173342530107j),(-0.009486726512057167-0.0011097559948929348j),(0.00893360388212617-0.0010581053805429838j),(-0.009631842246792957+0.0015064349056254241j),(0.008300392795701335+0.00572971385659731j),(0.006806421236957701-0.014534721750533929j),(-0.008274068779040935-0.019451522342700412j),(-0.0015813904479142645-0.018147102986658024j),(0.015284673048850927-0.007465954562917893j),(-0.0038300656374655076+0.009748484525017998j),(-0.0021700927531302415-0.008482371330535554j),(0.0029717109349814883+0.008309549524400687j),(-0.0035291119379733675-0.010185743252680995j),(0.0040815334129243284+0.011667689757692433j),(-0.012601969485197848-0.0008450033403894297j)
"(-4.595959595959596, -2.0)",(-0.006898353496213965-0.0030865159192990585j),(-0.003857568297171701-0.006359755500021934j),(-0.009908448420554904-0.012726220138387874j),(-0.013106671106969113+0.002292944283625961j),(0.00039179674537776973+0.011382461113867107j),(0.005087888466842577-0.0104718920554948j),(-0.006682425489051699+0.008164841111001768j),(0.011345062082983573-0.003601904115052303j),(-0.009314146975507418+0.008482766035766504j),(0.013375083159280848+0.002008351665540657j),(-0.004815282741178021-0.014810105297459276j),(-0.016699994729990467-0.004626381793215744j),(-0.014809947953020002-0.008004067588492533j),(0.006812372324505348-0.014100921528488712j),(0.006721738828132987+0.009251392050218592j),(-0.008165438844032128-0.006738347883452948j),(0.007182193444808437+0.0045966631440281375j),(-0.006900802813708491-0.004023204327953106j),(0.0100282792765932-0.0013412462088389044j),(-0.00941968117926826+0.012814741802381752j)
"(-4.494949494949495, -2.0)",(-0.006324997236535853+0.0034226686774108074j),(-0.007567770095425969-0.000865914176937894j),(-0.01420014406850088+0.001047697948086373j),(-0.010269108755048516+0.012637956319532656j),(0.011999169892529216+0.005133707593045j),(-0.002353468852487761-0.011120686294387729j),(0.002417345515353321+0.00906068340066113j),(0.005135591836776835-0.00417589115926792j),(-0.002092274096772577+0.01039370224861894j),(0.007522491873096035-0.01193999598783671j),(-0.01409706063418041-0.004202992367742141j),(-0.016912927124722338+0.012141614652012493j),(-0.01636504627459883+0.007316118431581548j),(-0.005707854473947437-0.010273308435891288j),(0.009079118019989448+0.002716747560029693j),(-0.005417499240396177+0.004198437611410172j),(0.009130099880923968+0.002719113980574384j),(-0.010644942784982611+0.0025241578170127066j),(0.007983200173768997-0.007153846725081343j),(0.002027117405324367+0.010666655129889286j)
"(-4.393939393939394, -2.0)",(-0.0007279826783009215+0.007235678054463604j),(-0.005798138073171033+0.006028855216647038j),(-0.010211677741425904+0.012965852327117165j),(0.003174426742887683+0.012199906340693083j),(0.012802458172066936-0.00467940804611343j),(-0.008200993892774544-0.007226855543586885j),(0.010049541235693488+0.007477413233194846j),(-0.0009102811012701287-0.008544168345855365j),(0.005970204716536845+0.008859967076130114j),(-0.004266256805783865-0.013502173140422062j),(-0.012010233824056124+0.009791979312998453j),(-0.0013396175047202306+0.017327434094606034j),(-0.0038917156965804617+0.015900377313542595j),(-0.013746813863324105+0.0003370835323627603j),(0.006000721753044999-0.011073404815365433j),(-0.0022716239717876625+0.0068163535533940925j),(0.003909218945565187-0.00442633953779371j),(-0.002341950187204577+0.01302496671838673j),(-0.006223551410092752-0.010633798823001235j),(0.011174371689931364+0.002095914090753704j)
"(-4.292929292929293, -2.0)",(0.005669669979352393+0.005198118582977199j),(0.001620115393011881+0.007711787844906847j),(0.004589964622406534+0.0131851008713592j),(0.012888296540860447+0.006734044414962517j),(0.0045839942380241855-0.014155667342518545j),(-0.010644089398113721+0.0006578491066358052j),(0.007956123691594808+0.0020627344659655484j),(-0.006535765263469917+0.0027018788126340685j),(0.005910889763822191+0.004353133755314563j),(-0.008655988785629544-0.008776466339490644j),(-0.0013017698140490562+0.016333910882215134j),(0.01509627233623436+0.011836285327716365j),(0.012360460109795104+0.012619817421482224j),(-0.008131939743756441+0.016949545768011873j),(-0.007162555028763453-0.011416348452376506j),(0.006472981233299907+0.011796545551657489j),(-0.004960176458937914-0.007080346064305595j),(0.005131937388828587+0.0070529343327639755j),(-0.011266834639771779-0.00011269757645660075j),(0.011985633106260881-0.010513133465186184j)
"(-4.191919191919192, -2.0)",(0.007347019922476789-0.001570991905435685j),(0.007293877850769726+0.0038967071770345594j),(0.015131563195433195+0.00629733829038808j),(0.013462384661990727-0.005671464950001303j),(-0.006375800884124639-0.008271218164612354j),(-0.0030667029274977294+0.010596298166872116j),(0.00633417466152641-0.004969941283120651j),(-0.009025091652249205+0.005300832991075192j),(0.005378185252607108-0.005797267582571222j),(-0.015040616261756035+0.0016798249592182965j),(0.010897739918294026+0.014605033578564663j),(0.020737373447966893-0.005133820208800962j),(0.018245710035444885-0.0025287489267434254j),(0.0059126666196276855+0.01489217287424911j),(-0.010645496756582919-0.0013735720735649974j),(0.007099949464838316-0.005249836237449819j),(-0.009576155777756754+0.0016901500059739154j),(0.00792044486665492+1.0466652223552194e-05j),(-0.010167470858682987+0.004226971501496776j),(-0.0030661089493763485-0.014226009849200036j)
"(-4.090909090909091, -2.0)",(0.0022496661319960126-0.007072924099307485j),(0.0058802991689221006-0.0028107552658901917j),(0.015892768616906403-0.008315702234252022j),(0.004009638890208907-0.011203890067576626j),(-0.013033317214038187-0.0020640725762252317j),(0.00468681412512371+0.01023293307714655j),(-0.0019560590079514056-0.009517196686211938j),(-0.004388385395871693+0.006392750562138375j),(-0.00035667545255578845-0.007244620746214003j),(-0.002063839665720686+0.008728902888492061j),(0.015087627448719786-9.263082262814361e-05j),(0.008535531469535092-0.017294936814682308j),(0.008773759342303926-0.01642157733851672j),(0.015972133715313967+0.004179664583617688j),(-0.008929548850493551+0.010398708076226035j),(0.004388332041860306-0.00933068784464119j),(-0.005753312341870667+0.010469535089301927j),(0.002648972007210543-0.012508644206954508j),(-0.002336672130063836+0.009984244730114174j),(-0.011847305289288661-0.004260202793352508j)
