index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(-5.0, -2.0)",(-0.0021090250873309316+0.004710791217536996j),(0.004195222545955041+0.0036130399423767064j),(-0.00036324424204497996-0.007789514670540725j),(-0.007508410236209327+0.005394723171120237j),(0.007726117478399798+0.0049480258431729195j),(0.0018838279409145794-0.008734205390177226j),(-0.011071822474531125+0.00018815983918616278j),(-0.00322705075485181+0.011758184889988154j),(0.004810465680435583+0.008974978750817498j),(0.011042204942170031+0.009675830553507342j),(0.007249425576667267+0.010959963519408407j),(-0.0027081605582683623+0.011244315771068698j),(-0.012242498439935932+0.0002917981159701337j),(0.0008863196624272295-0.008977560416742495j),(0.00846368889005848+0.004126995988524825j),(-0.008702523046751703+0.004326663387890085j),(0.0003235989484868311-0.007278206943037549j),(0.00816450275715884+0.0030501762668809183j),(-0.006118525594171338+0.00588529566654806j),(-0.0036737336408970162-0.009270734869287141j),(0.008409696309924383-0.005513666285363499j),(0.010113770990874378+0.005343071382026856j),(0.0028904419142776+0.009498413604761793j),(-0.001249245464070685+0.010107323588239656j),(-0.0011803005962677069+0.009466435062267907j),(0.003295887668940969+0.010493030793960852j),(0.008662302614284979+0.00472362476383652j),(0.007167841097724475-0.005438027265275463j),(-0.003709298081679269-0.007454750158567048j),(-0.0031239049789561235-0.0004954426591041837j)
"(-4.898989898989899, -2.0)",(0.002520587224333532+0.004410338851207526j),(0.0059946283710154-0.0007863810906782319j),(-0.005840743637248527-0.0053905276170454625j),(-0.0018772308419190433+0.008522740385621189j),(0.007829762450746488-0.0029419115501903292j),(-0.00787858733756947-0.006717734962779098j),(-0.006688440885040293+0.009061130509615498j),(0.006297611382851224+0.009656514890992974j),(0.013974789057489136+0.0009760846874912922j),(0.012449297734256813-0.002512564864686377j),(0.011887029574999326+0.0004116035486976713j),(0.007881599967759388+0.007867753472818009j),(-0.005300877777783924+0.006962639190438175j),(-0.008128753473924223-0.0072206138022278665j),(0.008933865777779661-0.0033766896670089095j),(0.00043381680260179867+0.009776202801471597j),(-0.005395710390809121-0.0059523652402706535j),(0.007286529693560884-0.0012787711130944827j),(-0.000506500978492192+0.009448347206264415j),(-0.008532070089770803-0.000306778837464979j),(0.0009028926269983038-0.008111398956258436j),(0.009813137083155172-0.004857240884662335j),(0.010438027939200815+0.0036651292445154136j),(0.008153231355400007+0.00770392957825691j),(0.006773061390169529+0.0065546114917096636j),(0.01026729546947491+0.0036344433729097593j),(0.009238337899470593-0.0040567381276763554j),(0.0004726498578811169-0.010935437950649024j),(-0.009571485795258279-0.0025892675868666795j),(-0.0036956437906867133+0.0068663910731177995j)
"(-4.797979797979798, -2.0)",(0.0033009507191771492-0.0005040928858147621j),(0.003948958398229887-0.004684521971163226j),(-0.008847073158022908+0.002228594602610488j),(0.0058223498083818815+0.00882981018905089j),(0.004190075233114343-0.009504559343685284j),(-0.010341424046498035+0.0011875408192162677j),(0.0025022893935015686+0.010253116787664888j),(0.01337176203656348+0.001223682120313172j),(0.009329323162180953-0.00939570641125772j),(0.0056286804040476136-0.012215101500118375j),(0.0074081753931793904-0.00972753281346766j),(0.011897605161339758-9.425937065457033e-05j),(0.0053662964227526805+0.011084854288135205j),(-0.009760251836654263+0.0021494867729736026j),(0.0008147927224833589-0.011076559541811984j),(0.007865660460965464+0.004093491538041701j),(-0.009164615971167848+0.0026193649773691274j),(0.002566783642666055-0.00818504848496319j),(0.008515720555033645+0.0048356773530706465j),(-0.00809040319262911+0.006742535129710336j),(-0.006923291658474194-0.004040573370132142j),(0.0020867101783247862-0.008331197429741857j),(0.008746433794916342-0.005923786149752503j),(0.009984286091631258-0.0022208686615532744j),(0.010577589525895425-0.0017160403908620446j),(0.008127372600481474-0.004572041374449712j),(0.0033563323886397177-0.00999743278912165j),(-0.007459692749258486-0.006361604247357432j),(-0.006707354270340877+0.004675197589079436j),(0.0028857208758498137+0.007400539832976126j)
"(-4.696969696969697, -2.0)",(0.002662708153917069-0.00300383675166276j),(-0.0012247641137121492-0.0052704273239913705j),(-0.004929648538455826+0.005910827897570038j),(0.00846056579467708+0.0010561533895740779j),(-0.004060666376206815-0.007806881658924891j),(-0.006142051150435089+0.00808798774864735j),(0.010336162971436625+0.004837229275867144j),(0.0073776528509313264-0.009900819558324649j),(-0.0014446428715296981-0.012988013225652162j),(-0.006144542709239497-0.011308719054351206j),(-0.003110800412205687-0.013424358850564574j),(0.005450939278495798-0.009527020565554494j),(0.009849920561917039+0.0023952828337872748j),(-0.0016277606505004493+0.008877851893737604j),(-0.006602407004919497-0.004137132249488115j),(0.006637037429815312-0.0028299264842613758j),(0.0005251910595995145+0.00612825398096909j),(-0.006799238059090648-0.006891265227440865j),(0.0065710347141666485-0.003277033647928699j),(0.0018999829698336888+0.00845431902970125j),(-0.009351605400787682+0.0030166355333750396j),(-0.006584281777454333-0.007315832807182765j),(-0.00016738475068586047-0.010580871661390987j),(0.004082038507980254-0.008619403117410638j),(0.004693050711900596-0.009371499963012302j),(0.0015856336643263523-0.011175622530011472j),(-0.005383145403376969-0.007325557259406497j),(-0.010392120865822148+0.0009693512813816253j),(-0.00055571202990698+0.008909460834475254j),(0.0016324809526407592+0.0020260871522278204j)
"(-4.595959595959596, -2.0)",(9.48602526004733e-05-0.00545896534736268j),(-0.0053929812234604834-0.003995801046179715j),(0.0025637248466939292+0.008229642721407313j),(0.005555462460011573-0.007437147660787022j),(-0.006782808226517873-0.0005534126746338067j),(0.00263779575722084+0.007752897551951243j),(0.008868680450203309-0.0038183089512279127j),(-0.0021589246268423424-0.011273983350403948j),(-0.012005514546537506-0.00645706219293206j),(-0.015235434472459937-0.002186993171637115j),(-0.013135787769037536-0.005678754281026378j),(-0.005867565682956522-0.011446677412389401j),(0.010274543076544225-0.008232229346774575j),(0.005717038089231334+0.0076306679722320265j),(-0.00838708347756258+0.0042927661043170905j),(0.0007140370545590326-0.009288218701532359j),(0.0053774036891865214+0.007700035355327401j),(-0.008326013134714125+0.0006630463945388981j),(0.002354799828158542-0.00962194751745777j),(0.010272365460464786+0.0027547908138053977j),(-0.0032499812355888886+0.008640454707353052j),(-0.011582104378128769+0.0016452957274827125j),(-0.007868173742494692-0.00610578414903777j),(-0.005001043225874284-0.009196584996471753j),(-0.004589031250392683-0.009906173749536128j),(-0.008308429505189303-0.00851508051889703j),(-0.011066186151679269-0.0008735360344185912j),(-0.0045385721402120575+0.00813739313332521j),(0.00547643112491932+0.006737241562929727j),(0.003200956422806037-0.00045250615089054884j)
"(-4.494949494949495, -2.0)",(-0.003147867372774246-0.002596970479033252j),(-0.00628437660461283+0.002444235511476294j),(0.00837736142279382+0.0031854636809053095j),(0.00043030301214452973-0.010898266188556303j),(-0.007544403983163885+0.0064962172969866535j),(0.008620101219589019+0.005028651097971067j),(0.003662716712770952-0.009918383471921921j),(-0.010495444902671618-0.0070426347213243526j),(-0.013758272070759773+0.005676136385933188j),(-0.009157013936517714+0.008865449027421571j),(-0.010033402375112884+0.006882824524381031j),(-0.012870590160306917-0.0014286870110869323j),(-0.002661779229628019-0.010526968795992716j),(0.008649176747614498-0.0016126388834534174j),(-0.0009431427753767559+0.007719627425305243j),(-0.005487982810160166-0.005180815145824182j),(0.007608819036646862-0.0016747960713914517j),(-0.0034856344463632225+0.009682665122951902j),(-0.004286883038800761-0.005470266724693682j),(0.006867764788239763-0.005724191275172751j),(0.006809284288327273+0.008579685000337994j),(-0.0037324018166199277+0.008541365054789906j),(-0.010102479381702912+0.0030102596053356895j),(-0.011677766789324256-0.001796835469649076j),(-0.011620917082250194-0.002403786836554623j),(-0.010178000575848674+0.00182168205892073j),(-0.008434943750294277+0.008937613880430965j),(0.0015446734748529283+0.007912340088310791j),(0.00930674336151026+5.448806105414515e-05j),(0.0010915756446024003-0.007410787244898144j)
"(-4.393939393939394, -2.0)",(-0.006360360599360624-0.00045998216517604125j),(-0.002484228334297731+0.0070327478556913596j),(0.006932349152028186-0.002860052736288481j),(-0.004763106257719699-0.005354177204099852j),(-0.001924150392639523+0.007010906048853862j),(0.012178630643522858-0.00290134467745464j),(-0.005081611510094939-0.008586265525617915j),(-0.01102004752476571+0.002771773296967187j),(-0.004689532727732645+0.013035774261688659j),(0.0014235831574264557+0.013476399131999096j),(-0.0004723207367027432+0.014527839445888962j),(-0.008837620094296129+0.007698977473896355j),(-0.01105704321204587-0.004039807241199122j),(0.0046602274505948135-0.00594401083897834j),(0.006754646486233737+0.0055648367874285565j),(-0.008589045609617733+0.0035119496254101784j),(0.0027283552994219265-0.009484646121991541j),(0.007112664084809961+0.008052559847278202j),(-0.009317015303018475+0.0028038184459513974j),(-0.0008341688955458642-0.009326209464892078j),(0.010061827920301065-0.00042717999496482415j),(0.004858536523922885+0.007787193814881986j),(-0.003690783838678679+0.010079715985422432j),(-0.007981919928632465+0.00793750543058062j),(-0.007953101126460992+0.006989049603438719j),(-0.006547122786821019+0.010115179301688404j),(0.001482941756078784+0.01001375738284451j),(0.011275684420266696+0.0036978292519041066j),(0.006269681031314316-0.00840247624949362j),(-0.00458093221621512-0.006162681023866751j)
"(-4.292929292929293, -2.0)",(-0.0036752367543221734+0.004168774786449771j),(0.0015265682269222144+0.00522052542816293j),(0.004280252683330231-0.008516316651027745j),(-0.00967361605531441-0.0011268416186915248j),(0.0037960657993226605+0.006414184313476509j),(0.0046861990251602014-0.009697512440653925j),(-0.01061025942116968-0.0018127852861132383j),(-0.004403769351256765+0.013432388677083509j),(0.006849114671471967+0.009849980704404302j),(0.010831642608866219+0.006820780761004278j),(0.010516671136912552+0.008717034546586473j),(9.939640610891414e-05+0.010986118661205312j),(-0.010938694269662147+0.00557431086895527j),(-0.004083363224584981-0.009919776207134506j),(0.010158005265183834-0.0031242369515855064j),(-0.003126833450711777+0.00905491311632045j),(-0.004116762340247513-0.007576937139725866j),(0.008349331437174692-0.0009084765057548616j),(-0.002637337487740757+0.010103552311411149j),(-0.009176110303734416-0.0070719492095512254j),(0.0049886006330540945-0.008650732470094756j),(0.010166511815837774+0.0012716990875536256j),(0.006379582410117345+0.008207732288817845j),(0.00166120067761521+0.011375917224957857j),(0.0006154332323105916+0.01189574814359354j),(0.003906259760781516+0.010681319719847943j),(0.009412362972753975+0.005812552494261225j),(0.009502574105718717-0.00432180378412115j),(-0.0028456151495124572-0.008753668450912596j),(-0.00856842919023458-0.0008705337692171253j)
"(-4.191919191919192, -2.0)",(0.0007749210282634754+0.006188436676827353j),(0.006981303173288607+0.0029705418138280828j),(-0.0033354325279445606-0.009326904779261767j),(-0.0058146060362003005+0.005011160610229675j),(0.009397304315527998+0.0017537719982031446j),(-0.0010017447462864768-0.008837150151283548j),(-0.0092524051185018+0.0043412743588396915j),(0.004292901633113468+0.01075338318922751j),(0.014063807500590095+0.0016508407196817536j),(0.01387119828611619-0.005620157350105568j),(0.011846612676895716-0.00325427938224695j),(0.011559874142580051+0.0056237160685596605j),(0.00036320023746609387+0.011165642767899046j),(-0.011563974984392128-0.002157123725867548j),(0.0053537162713221155-0.007886879520598447j),(0.006543063961647701+0.007413533086440345j),(-0.00680677505703519-0.0015822154106740715j),(0.006083095763002395-0.008994523586094882j),(0.006599386471976807+0.008847267405278117j),(-0.009305286486163277+0.004636962309963723j),(-0.004976809971379376-0.00655774110851532j),(0.006053261624928073-0.00652090561624179j),(0.011996327050342459+0.000858380441038886j),(0.008963867357210768+0.004449915812023632j),(0.008498041360882638+0.005986543592175587j),(0.010429632531101128+0.003724978258893269j),(0.009002884116604347-0.0032785107214041505j),(0.0008288279617357633-0.009353926713245002j),(-0.008611707531111502-0.005429716915690151j),(-0.0025794439498222693+0.00043074349419419157j)
"(-4.090909090909091, -2.0)",(0.0047049849898609455+0.004249771489366673j),(0.00724124491937379-0.0029411673414862496j),(-0.007817110121759082-0.0023711895386729926j),(0.0004368074164256852+0.010053159658455792j),(0.006691002389601412-0.0035324777012406797j),(-0.008713627926955037-0.004143611119048261j),(-0.0011294577651609404+0.012558743832158931j),(0.014125841336439104+0.002906957834873962j),(0.009909733924440675-0.00922200887804568j),(0.003618444954673604-0.01134011017781225j),(0.005724832785147455-0.014571714415325069j),(0.012940935311414334-0.005926405942106776j),(0.0074312937428182135+0.008496547211182962j),(-0.0059946037872799715+0.009246680982767643j),(-0.005186211427801044-0.006519318014878359j),(0.01023973004707868-0.0009177399329176302j),(-0.002579881492357381+0.00622564396367715j),(-0.004624070959234688-0.007179813821560884j),(0.0074794163874314454+0.0010560390006395576j),(-0.003041387567545921+0.011222766803759924j),(-0.008793493990825602-0.0025748210516029152j),(-0.0029122904825105047-0.011019546878888157j),(0.006261240952319275-0.008662580917943448j),(0.011098663722661734-0.005303260189660693j),(0.009216957857041843-0.0028940330078271108j),(0.008930769745786485-0.005284895111474444j),(0.002754614938215131-0.008133084591643728j),(-0.0055918664136208876-0.00878400778022903j),(-0.007987417217251208+0.0023429420920685886j),(-0.001370990198385946+0.0015017327799014674j)
