index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)","(50,)","(51,)"
"(0,)",(-5.872467156218855e-05+0.00013197914669436602j),(-0.00023383190428897906-4.446538798891643e-05j),(5.984881067638166e-05-0.00036811069656593373j),(0.00033804111364787326+0.00024572607166526014j),(-0.0003947318543797423+0.00037309570767176314j),(-0.0003019849807225533-0.0005753440302463484j),(0.0005921879389828841-0.0002470688026354939j),(2.6059797877167783e-05+0.0007279980375459188j),(-0.0006623342396550968+0.00011945067039341139j),(-6.367403361315972e-06-0.0007400168745065118j),(0.0009651481525576658-2.823273259317014e-05j),(6.160964866298059e-05+0.0009848929909918587j),(-0.0011122396924468094+0.00022811720177540559j),(-0.0004544406472913637-0.0010425779582715943j),(0.0007977844759718544-0.0007849532085611242j),(0.0013004322318598013+0.00030437010541540653j),(0.0003058002627907335+0.0013061415835056301j),(-0.0009272219364114796+0.0011120511273275766j),(-0.0016158534327096732+8.928021904001072e-05j),(-0.0012496938836595707-0.0011027754771419723j),(-0.0005271715391891051-0.0016148754330996009j),(0.0002144886200402862-0.0017212508580685835j),(0.0008882843986829851-0.0015358712781275623j),(0.0012410685761196723-0.0013163042783346254j),(0.001393836330442587-0.001178562966633628j),(0.0013822221814176563-0.0011933597152784402j),(0.0012177165909721724-0.0013450453728718699j),(0.0007668545074836091-0.0016029004561601888j),(0.00015894789668979552-0.0017480806258576924j),(-0.0005946123096054655-0.0015954196161105745j),(-0.0014082737489294055-0.0008567749273184246j),(-0.0015335877628796617+0.0003286857462448044j),(-0.0008269870305848416+0.0013137319072078965j),(0.0005553375105677439+0.0013115882069631086j),(0.0013211015056597208+0.00014455543150827655j),(0.0006941517367207336-0.0010401278282591636j),(-0.0007494021503832897-0.0008048167981875674j),(-0.000859173739253202+0.0005044576052735041j),(0.0003269053298964992+0.0008865373077114362j),(0.0006488211624414678-0.00019071603995924716j),(-0.0002583782971542392-0.0006799793732332031j),(-0.0005800545162610931+0.000240874834006868j),(0.00028764813859702215+0.00048123652583347205j),(0.0005011240011031744-0.0004905850609250175j),(-0.00037969176561749874-0.0003247872969713705j),(-9.851940155539782e-05+0.0003639611995938348j),(0.00031054388870568303+7.524231055419516e-05j),(-2.611944931405658e-05-0.00025119354318568787j),(-0.00025050443141917065-1.0995831812652023e-05j),(-2.5673446001195614e-05+7.219921532134617e-05j),(-6.089013434691633e-05+0.00013955684646651186j),(-3.864417220329104e-05+0.00012815702106091706j)
"(1,)",(-0.00023383190428897906-4.446538798891643e-05j),(-0.00015893290475129981+0.0002525278560170787j),(-0.0003176203519640341-9.740562042830516e-05j),(0.00023435603216668703-0.000258900504263943j),(0.00021971698999751892+0.0002882786879662739j),(-0.0004092495270449645+0.00022125380684184047j),(-0.00010561155548746942-0.0005129430496760813j),(0.0007843094855468134+2.891944499313542e-06j),(-6.848568908748832e-05+0.0007177324060854616j),(-0.0008221605088799025-0.00027806219476590917j),(0.0002903694975864357-0.0008259256590223581j),(0.0009821157926525926+0.0003032595762125361j),(-0.00017339423152966195+0.0012057320935091858j),(-0.0012485184011076383+7.042474958479768e-05j),(-0.00028990555355961874-0.0013921608207021683j),(0.0010871539403905243-0.000924808680858654j),(0.0014428911214525789+0.0007259771091304715j),(6.939857696333032e-05+0.0018536984520225543j),(-0.001348614284241027+0.0012959639483298769j),(-0.002087084410601283-0.0001589392332152511j),(-0.0015913979833046606-0.0013997732293477652j),(-0.0005577446499766167-0.0021569736408329518j),(0.000569891589485407-0.002254361370442631j),(0.0012993879366292407-0.0019964445874386784j),(0.0016669203032044888-0.0017441483853122973j),(0.0018473868443892349-0.001582365242235372j),(0.0018056123372338592-0.001625745520782478j),(0.0015034611978203953-0.0018761114287724479j),(0.0009711713737315265-0.0021534856779358348j),(9.438939643424669e-06-0.002282679190541927j),(-0.0010759163756240444-0.0019077421051530636j),(-0.0018109560916168062-0.0009520678648856748j),(-0.0018075788115013405+0.0008023225571665369j),(-0.0007101796319721626+0.001770643288302682j),(0.0009811370144965643+0.001474911342913502j),(0.00146581621562432-0.000141409391544585j),(0.0005805826131012622-0.0013858659632556363j),(-0.001066145802426202-0.0009344889341213224j),(-0.0009111085118290396+0.0007816131047497966j),(0.0005757492136761842+0.0010932105895018914j),(0.0008019696157180159-0.0005061485370916575j),(-0.0003842614975819152-0.0007107830534176711j),(-0.0007050234572436931+0.00045218573370684877j),(0.00056460553411073+0.0006800088972097315j),(0.0005049302600268239-0.0004688760545593253j),(-0.0004424842412697529-0.00021780017315903446j),(-5.59620680126723e-05+0.0004626510190411825j),(0.0004382864164185772-1.4514769943533916e-06j),(-5.65649350874647e-06-0.00035503069778616695j),(-0.0002215949271363677-7.211328779715487e-05j),(-4.819222295990748e-05+0.00012840912487402273j),(-2.636457814250087e-05+6.417691184585732e-05j)
"(2,)",(5.984881067638166e-05-0.00036811069656593373j),(-0.0003176203519640341-9.740562042830516e-05j),(-0.00018120467087940625+0.00026195440703681827j),(-0.00026048803095171587-7.962701190892055e-05j),(0.0001237791237199079-0.0002837444430457653j),(0.00033794556827513325+0.00024626959413556255j),(-0.00028537254291724777+0.0002710932854506929j),(-0.00020118455276286096-0.00043671232692711734j),(0.000746941512841567-6.663577848027697e-05j),(0.00016824372300875895+0.0008738738083444342j),(-0.0007180697172087702-9.474636871402911e-05j),(0.00020232922679380184-0.0010399382723274894j),(0.000977633220502331+3.126697167117848e-05j),(-0.0001946160866493368+0.0011620056588760733j),(-0.0013584304437326393+0.0003251613264678661j),(-0.0006362555143121357-0.0012449513668092646j),(0.0012045771671369537-0.0011419040192932421j),(0.0016030743955024469+0.0006407790799515111j),(0.00042821023020805867+0.0017428170999397071j),(-0.0012345168472862789+0.0014122170126283282j),(-0.0020777894040340406-3.2652324465421306e-06j),(-0.0017342199598602552-0.0012488926628923403j),(-0.000701751161576662-0.0021872848548479653j),(0.0004379330845114476-0.0023225362422873894j),(0.0011827283935478996-0.0020911907658263053j),(0.0016643279893146506-0.001792200806768435j),(0.0018688131069977243-0.0016094033648371526j),(0.0018403239913422735-0.001636807300439114j),(0.0015576128863309202-0.0018747261811529056j),(0.000968873706256164-0.002175184821104362j),(0.00018302838788207906-0.002338638083209175j),(-0.000953354832045093-0.002035221265165189j),(-0.0018882169756082084-0.0009446553899120405j),(-0.0019175334237568353+0.0004470128901333659j),(-0.0008660694577204942+0.001604695754394368j),(0.0008728620402247211+0.0015662398239491245j),(0.0017137321966090146+0.00021292955107503317j),(0.0006915092127532535-0.0013210563230561777j),(-0.0007914542321087052-0.0010127193526252682j),(-0.0010490886139353775+0.0007464761930169618j),(0.00039867680326254105+0.0009787364359151176j),(0.0009307116504187833-0.0004079671597402762j),(-0.00027425632608063977-0.0010132733864851465j),(-0.0008230157614758453+0.00015529371380447604j),(0.00036003632358172066+0.0005970105751979385j),(0.0005624388724159123-0.0005055416581619097j),(-0.0004941416121547409-0.0004891476763766851j),(-0.00020588224723806304+0.0005648860243626327j),(0.00047285188102685736+0.00011537574418164233j),(0.00021781935290544075-0.00019684363455746453j),(-6.174451127426401e-05-0.0003030287245100912j),(-0.0002435361377245493-0.00012194003781707463j)
"(3,)",(0.00033804111364787326+0.00024572607166526014j),(0.00023435603216668703-0.000258900504263943j),(-0.00026048803095171587-7.962701190892055e-05j),(-0.00017640577962686963+0.00020355963338702492j),(-0.0002699300804165541-0.00018810265282104394j),(0.0002670529653240569-0.00022432000669452256j),(0.0002634327408857327+0.00026242036037101956j),(-0.0004672231063131685+8.121529960699426e-05j),(-7.06040764473551e-05-0.000562476227833443j),(0.000648073764567443+0.00010048317425318968j),(-6.95139596554897e-05+0.000810362779562225j),(-0.0007963159425471102-0.00020294918332006286j),(0.0002253781733975154-0.0010195371177412012j),(0.0010169996911952716+0.00023185680568615414j),(-0.00024762417220888116+0.0010084866233871688j),(-0.0012572899226812187-3.079006375281308e-05j),(-0.00020153034009755353-0.0013485833125013325j),(0.0011809509239227218-0.0010234112320883673j),(0.0014544467498263344+0.0007748319465452221j),(-8.233747344440213e-06+0.0018339735923808404j),(-0.0014153358571123767+0.001204080968835618j),(-0.0019478967531909566-0.0002217970126055859j),(-0.0015178834867904506-0.0014607429523152153j),(-0.0003886512575929982-0.0021083849637518978j),(0.0005615769955558666-0.0021690582968113634j),(0.0012239347103050464-0.0019387822116277947j),(0.0016171066437012916-0.0016646066863826483j),(0.0017915632210922532-0.0015065122911170497j),(0.0017348996764709947-0.0015630535159276717j),(0.0014584636266503036-0.0017923100955216723j),(0.0009065310378172974-0.0020608539422904814j),(4.1756049914813175e-06-0.0021976996111192745j),(-0.0010603998751004284-0.0018143344721096456j),(-0.0018970859027393672-0.0008414245437498192j),(-0.0018499162814494335+0.0005463390607932491j),(-0.0006798057385525869+0.0017149918800796874j),(0.0008836160871278311+0.0014480999264434053j),(0.0015711477025327511-0.00012044397357216792j),(0.00048286899810188674-0.0013495572000065102j),(-0.001140658167926497-0.0007705192560714272j),(-0.0010059756920577625+0.0008204458250865841j),(0.0005342758278083512+0.001077425554328504j),(0.0008783705479372214-0.0006800739410002429j),(-0.00041765834789792803-0.0009262227660755485j),(-0.0005602724322743208+0.0005074238980915375j),(0.0004512923448100406+0.0004255566641468519j),(0.00046457807156566344-0.0006115030362901601j),(-0.0005466811352025178-0.00014388853775311854j),(-4.1123632686094656e-05+0.0004799907688863362j),(0.0003183835895932177+0.00022160976019661686j),(0.00010292580307023078-0.0001446006850077688j),(0.00014686903323208616-0.00026697378652418513j)
"(4,)",(-0.0003947318543797423+0.00037309570767176314j),(0.00021971698999751892+0.0002882786879662739j),(0.0001237791237199079-0.0002837444430457653j),(-0.0002699300804165541-0.00018810265282104394j),(-0.00015953475144493521+0.0001928243146659626j),(-0.00029033239730315394-8.74705573759997e-05j),(0.00016938058143272294-0.00025827841149070834j),(0.0002071610720743838+0.00030025731945915976j),(-0.0003107088939023745+0.00014715565497054595j),(-3.9668143884771475e-05-0.0004339297295490977j),(0.0004883330620460524-8.328394716734438e-05j),(-6.330265043089564e-05+0.0007300583968368298j),(-0.0006723577261157844-0.00021707057905445595j),(0.00012184318290334662-0.0008757989047884981j),(0.0009082245940921137+0.0001270559747828149j),(-5.421666568222969e-06+0.0009479251180636387j),(-0.0010564838505890955+5.235975205097099e-05j),(-0.0002803203970770108-0.0010965600868893602j),(0.001067944831416381-0.0008403601500323805j),(0.0012859961761530869+0.0005682203182605818j),(7.419632622000953e-05+0.001475790252639395j),(-0.0012171209140597991+0.0011404435890758648j),(-0.001764372491565329-0.00022187782205973657j),(-0.0013924144353669205-0.0011648078805091538j),(-0.0004247496654015384-0.0018664291979981634j),(0.0004096343980598737-0.0019300024502128129j),(0.0010622871916046532-0.001744602266215269j),(0.0014123229308325297-0.001514682110653791j),(0.0015874857008761208-0.0013572159930314378j),(0.0015469574114933442-0.0013953672883194003j),(0.0013199296724815334-0.0015842154118443353j),(0.0008131760106787732-0.0018541603887697409j),(6.665473134560711e-05-0.0019520260145111832j),(-0.0008950519843263264-0.0016574171072839896j),(-0.0015874118236491415-0.0008351770029911062j),(-0.0016760440747011253+0.0004519527546608884j),(-0.0006346961369074923+0.0014982625899890127j),(0.0008191385851127589+0.001308093594203178j),(0.0014770262150843527+5.365388962845194e-05j),(0.0005226114009636575-0.0010438142971081648j),(-0.0008493113534788134-0.0006516936469478458j),(-0.0008977382412097576+0.0006409890753174201j),(0.0004967967363600324+0.0007847900510472432j),(0.0008969621876150089-0.00034726383045720994j),(-0.00024368912487913357-0.0007324797860993797j),(-0.0005689965216591708+0.00037148822795485747j),(0.00036886325534796265+0.00046587245249413167j),(0.0003549392288464456-0.00042409629475066485j),(-0.00040425054235121823-0.0002794914502277977j),(-0.00021036279395515863-2.154639245757262e-05j),(2.0700273437041362e-05+0.00018533540949036394j),(0.00020980094100255168+0.00023713039255470166j)
"(5,)",(-0.0003019849807225533-0.0005753440302463484j),(-0.0004092495270449645+0.00022125380684184047j),(0.00033794556827513325+0.00024626959413556255j),(0.0002670529653240569-0.00022432000669452256j),(-0.00029033239730315394-8.74705573759997e-05j),(-0.00012308580688913468+0.0003008556789826303j),(-0.0002626963834721502-0.00010929487074354744j),(0.00023874523396961653-0.00043145865453141487j),(0.00026907609472281036+0.00036719952105427445j),(-0.0003708601062501444+0.00031179234960180017j),(-0.00022077032648865072-0.0006063204981684304j),(0.0006397776420408668-0.00015365311683838208j),(8.773117119904901e-05+0.0007760107672145896j),(-0.0010235038812166919-0.00020794736484746438j),(0.0001088101496434625-0.0010353482452951375j),(0.0010300288108033373+0.0002488146535569463j),(-2.473396528334519e-05+0.0012397214804294907j),(-0.0013426306618767008+0.00010956130832422953j),(-0.0005502386613168807-0.0013233168472470476j),(0.0011504103004194753-0.0010006441726367744j),(0.0015484737355415702+0.0006700130988837885j),(2.35764553763389e-05+0.0018631400471242768j),(-0.0014147918261975152+0.001283318869910063j),(-0.0021287038044273286-3.827450682746044e-05j),(-0.0015935259171634796-0.0014241941044689339j),(-0.0006262430890618523-0.002182081685518931j),(0.000574549444489195-0.0022843190978310227j),(0.001238081537784942-0.0020536571981664927j),(0.0016714964452979185-0.0017670667974161744j),(0.0018441544798260604-0.001611389220186793j),(0.001831791068946996-0.0016224814187634164j),(0.0015321910574691536-0.0018714103093425377j),(0.0010228540045678978-0.0021569320583350042j),(7.465279940935238e-05-0.002326346891669563j),(-0.0010166590749515231-0.0020153678913189723j),(-0.0019363911149861905-0.0009904994466547773j),(-0.0020318368253297698+0.0005522696205264809j),(-0.00089124740253615+0.0016992761382862095j),(0.0009402111274955066+0.0016132442339683248j),(0.0016125853827485372-7.95526981285191e-05j),(0.0005964135744065913-0.0015134350254121087j),(-0.0009315994002041854-0.001056203938304081j),(-0.0010667063518691624+0.0008906411538088762j),(0.0005158224490813105+0.001079048523220084j),(0.0008925523095229195-0.0003537994563511576j),(-0.00044269486270642744-0.0010513819077159294j),(-0.000712761290945477+0.0006171320948234333j),(0.00042220548284557417+0.0006342347438332638j),(0.0005719057836217047-0.00046999086932491847j),(-0.0001860591492649825-0.0004770140364377455j),(-0.0006132741644526923-5.959240109298423e-05j),(-0.0004341092174723538+0.00015390012265728673j)
"(6,)",(0.0005921879389828841-0.0002470688026354939j),(-0.00010561155548746942-0.0005129430496760813j),(-0.00028537254291724777+0.0002710932854506929j),(0.0002634327408857327+0.00026242036037101956j),(0.00016938058143272294-0.00025827841149070834j),(-0.0002626963834721502-0.00010929487074354744j),(-0.00011333718771193783+0.0002472459781397676j),(-0.00029937491096019913-8.6531439998756e-05j),(0.00021224054220171496-0.0003437543590775648j),(0.00035318471362640296+0.000353514342906788j),(-0.00042526886133905376+0.00018342126593796516j),(-0.00010081791615208359-0.0005417636392208767j),(0.0006776791100169406-1.146178337384177e-05j),(2.263337140353116e-05+0.0006681970811828036j),(-0.0008152184885187187-3.5100906686287484e-05j),(0.000287651685377134-0.0008965509618243684j),(0.0011046567488993031+0.0002812135803530424j),(-0.00011010368680632884+0.0011144787393234249j),(-0.0014052390518147727+0.00014113832379358576j),(-0.0005368000531675735-0.0013861490199190238j),(0.0013137296888630094-0.0009249078164681685j),(0.0014418138742997876+0.0008522348226582902j),(0.00012123738950219057+0.0018666709469063259j),(-0.0013609523719254819+0.0012799844861502887j),(-0.00204575670104794-0.00014879260159547048j),(-0.0015898836615541151-0.0013978601984940247j),(-0.0005404509286105271-0.002138441860434121j),(0.0005158674535814008-0.0022248802529273915j),(0.001193689753714708-0.002003415786408238j),(0.0016484226615218662-0.0016985311718021384j),(0.0018091198344313548-0.0015549429203976857j),(0.0017765787742050308-0.0015882456856406847j),(0.0015279975597340743-0.0018009158499595137j),(0.0009319020410357851-0.002099520500609955j),(4.5317358205893576e-05-0.002250609450497019j),(-0.0010227615615904769-0.001856086983632565j),(-0.0018857904910013572-0.0008769292944360079j),(-0.0019360943016558717+0.000529680403316077j),(-0.000758626642988972+0.0016805487884336211j),(0.0009704237010152914+0.001377332164995537j),(0.0016330696242451703-4.274315099562969e-05j),(0.0006638077004821099-0.0013733829017535941j),(-0.0009754852117927429-0.0008428945731283054j),(-0.0009402258814917738+0.0007102521196573475j),(0.00040465737122526944+0.0011273923990016256j),(0.0008152587859928872-0.0005487523191747103j),(-0.0004648022126741234-0.0008351592935133314j),(-0.0007887174291851572+0.00044655656192178555j),(7.43766391147531e-05+0.0007865506566162361j),(0.0003044963887672832+8.263971954398693e-05j),(-7.91906395842154e-05-0.0005239292279624892j),(-0.00012360940960804605-0.0005439539375811651j)
"(7,)",(2.6059797877167783e-05+0.0007279980375459188j),(0.0007843094855468134+2.891944499313542e-06j),(-0.00020118455276286096-0.00043671232692711734j),(-0.0004672231063131685+8.121529960699426e-05j),(0.0002071610720743838+0.00030025731945915976j),(0.00023874523396961653-0.00043145865453141487j),(-0.00029937491096019913-8.6531439998756e-05j),(-0.0001363769559401336+0.00021215498120500084j),(-0.0002450613947650724-9.125459349317708e-05j),(0.0001510756483660267-0.00023915446650243696j),(0.0002177520980957122+0.00037345788266498933j),(-0.0004161004526829881+0.00011203349333692656j),(-9.859182472690262e-05-0.0004932337548189442j),(0.0005930587982795791-4.61665575209015e-05j),(-1.0671122800094835e-05+0.0005565303192320992j),(-0.0006791986285225466-0.000164121332220184j),(0.00020371617596884269-0.0008131791737391768j),(0.0010240953381234804+0.00017633872182067973j),(-0.00024681012174735935+0.0010048773988033106j),(-0.0011581176767771952+0.00014442847318510733j),(-0.00023263204128738283-0.0012481751937710648j),(0.0010087571354782175-0.0008443886370165618j),(0.0012430391162496306+0.0008574909454994025j),(0.00013791084174375994+0.001621734269194661j),(-0.0013291270566741721+0.0011930679697529885j),(-0.001819105674515821-0.00015296110996264176j),(-0.001395665137392664-0.001324282963184168j),(-0.0005008816985901634-0.0019938691725048543j),(0.0004835689753612332-0.002048440374591758j),(0.0011222634326863198-0.0018439907004920012j),(0.0015255625165057414-0.001580072864530743j),(0.0016877794977655423-0.0014337384410207474j),(0.001633330621024036-0.0014860622038855797j),(0.0014006549990766629-0.0016811325507488416j),(0.0008554335945670663-0.0019585679224974014j),(2.1801719723089927e-05-0.00209065000154105j),(-0.0010409859656711057-0.0016768594544718535j),(-0.00168619627390497-0.0007485049823947212j),(-0.0016627527331815714+0.0006117775528242859j),(-0.0006255044601265387+0.001607321057026871j),(0.0008109937793252614+0.001358305210129788j),(0.0015246256185548351+3.567246018916221e-05j),(0.0003278519245967392-0.001287615463855619j),(-0.0008559679858441654-0.0006305673175966967j),(-0.0009240355696578663+0.0006695779929921091j),(0.0005786880428023541+0.0008416653587970959j),(0.0008127111368424932-0.0005159595922354531j),(-0.00048024543457871017-0.0007278969698724941j),(-0.0006593873629335168+5.7765228239626824e-05j),(2.989440661015865e-05+0.0007347857897351048j),(0.0002642199585627592+6.19770284197393e-05j),(0.00024834772619355077+0.00011629198103372427j)
"(8,)",(-0.0006623342396550968+0.00011945067039341139j),(-6.848568908748832e-05+0.0007177324060854616j),(0.000746941512841567-6.663577848027697e-05j),(-7.06040764473551e-05-0.000562476227833443j),(-0.0003107088939023745+0.00014715565497054595j),(0.00026907609472281036+0.00036719952105427445j),(0.00021224054220171496-0.0003437543590775648j),(-0.0002450613947650724-9.125459349317708e-05j),(-8.944198775001546e-05+0.0002800257445791771j),(-0.00030189997598748-6.48366318608978e-05j),(0.00013067315474390642-0.0003742473435970566j),(0.0003141467645866531+0.0003304633846561536j),(-0.0005285754434555224+0.00023573612523525463j),(-0.00018666897037585592-0.0007205274957826026j),(0.0006403435976791197+9.392131242906687e-05j),(9.922626286256924e-06+0.0008414498972555644j),(-0.000894349709049869-7.267173198224707e-05j),(0.0001994656298732727-0.0010258235489229207j),(0.0010425621225079135+0.0004225818512513939j),(-0.00023208549957510257+0.0010637073178478536j),(-0.0014246213411883352+3.445555547812119e-05j),(-0.00033477695521652535-0.0013752213701423758j),(0.0012696432505533866-0.0009480040097747402j),(0.0014772076169266447+0.0008963774137095529j),(0.0001658871134224563+0.0018094780887667628j),(-0.001503646126726762+0.001218726560489311j),(-0.002106204241374288-0.00014283625353420985j),(-0.001524122038464701-0.0015485234920244793j),(-0.0005589224081831765-0.0021557179022912622j),(0.00048719628051013895-0.0022892758617271774j),(0.0013335540317727932-0.001986166909010615j),(0.0016587132292669323-0.001763738265031055j),(0.0018645675264479095-0.0015741786614867856j),(0.0018158062854338715-0.0016235955488038845j),(0.001513954428503643-0.0018693233427162263j),(0.000992266082656714-0.002145489413810727j),(3.16269491333477e-05-0.002268483989004973j),(-0.0011079365586786117-0.0019381894631463465j),(-0.001909442492706853-0.0008879173108991351j),(-0.0018454415592777133+0.0005472734118868776j),(-0.0006786032070082975+0.001726834814335287j),(0.0009652541260050907+0.0016017021764902408j),(0.001608463346472836-1.6680485237663767e-05j),(0.0005328471407239615-0.001366324031975698j),(-0.001187914207130302-0.0007246326884569742j),(-0.00099635178162626+0.0009628989222790719j),(0.0005587853380723995+0.0010352004529352438j),(0.000900161611805994-0.0004804953824428995j),(-0.0005138112399011822-0.0009739413498526j),(-0.0003490902576457923-0.00013178638681547085j),(-9.320095806678289e-05+0.0003356334936966013j),(-0.0002567759242524684+0.00024705569099195423j)
"(9,)",(-6.367403361315972e-06-0.0007400168745065118j),(-0.0008221605088799025-0.00027806219476590917j),(0.00016824372300875895+0.0008738738083444342j),(0.000648073764567443+0.00010048317425318968j),(-3.9668143884771475e-05-0.0004339297295490977j),(-0.0003708601062501444+0.00031179234960180017j),(0.00035318471362640296+0.000353514342906788j),(0.0001510756483660267-0.00023915446650243696j),(-0.00030189997598748-6.48366318608978e-05j),(-0.00016654887043381322+0.00024276139725153256j),(-0.00028818976772500434-0.00014352890284560283j),(0.00023159906052550226-0.00034685519426816224j),(0.0002798408625781654+0.00041162765804737784j),(-0.0006193949717909086+0.00020754398601854524j),(-1.2028388223233306e-06-0.0006223560251756731j),(0.0006147748768540171+3.3596720413567175e-05j),(-0.0001651515779235372+0.0007322171766714556j),(-0.0007818563258446286-0.00029781139926229037j),(0.0002236481507383706-0.0009085044033167776j),(0.0009521821955333147+0.0003496494148469682j),(-0.00016742270806976664+0.0012834164335158492j),(-0.0013009031066490693-1.0054939904189561e-05j),(-0.00033404397867299325-0.0014491776520384224j),(0.0013418198265841578-0.0008493073076338351j),(0.0015490005696748004+0.0007910361440070648j),(6.911405260811153e-05+0.0017680730605305786j),(-0.0014351951521846856+0.0012853059010476662j),(-0.0019696999569661514-0.00012717267679185416j),(-0.0014949016811394164-0.0015209458558428114j),(-0.0005722900255482513-0.002117005205325896j),(0.0006199693738809536-0.0022117365352493606j),(0.0012392020177060777-0.0019816204097518296j),(0.0016691780991670213-0.0016959426174336996j),(0.0018224714550362055-0.0015568805698163882j),(0.0017729348264129998-0.001606928075226466j),(0.001476312595120084-0.0018529390368799716j),(0.0009445525223392451-0.0021307358647767844j),(9.676638030794629e-06-0.0022494287317502966j),(-0.0010361283371247763-0.0019343549229890672j),(-0.0018788412354303035-0.0008813210860858257j),(-0.001901088006036867+0.0005638815504366652j),(-0.0006842564341807676+0.0016654345076270898j),(0.0009420457285476286+0.0014382289140161745j),(0.0016543957375924445-1.893362686851005e-05j),(0.00047103430565228517-0.0012704561443436806j),(-0.0010981574296001792-0.0008080861069216492j),(-0.0009254719651863108+0.0007301185996946235j),(0.0006360505246198872+0.0008090582505872312j),(0.001057523392806945-4.289700374591863e-05j),(0.00024278289888691055-0.0009997531321809833j),(-0.0006169167145588492-0.00022812630655374156j),(-0.0003163916975276544-0.0001810058764264566j)
