index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(-0.010140368937230112+0.018956270510818343j)
"(-2.8983050847457625, -3.0)","(-2.8983050847457625, -3.0)",(0.0011962047256612596+0.019591656100939457j)
"(-2.7966101694915255, -3.0)","(-2.7966101694915255, -3.0)",(0.0103713482000759+0.01697208008409898j)
"(-2.694915254237288, -3.0)","(-2.694915254237288, -3.0)",(0.017203609276860123+0.010474870144785714j)
"(-2.593220338983051, -3.0)","(-2.593220338983051, -3.0)",(0.020306342604305458+0.0017191190337306377j)
"(-2.4915254237288136, -3.0)","(-2.4915254237288136, -3.0)",(0.019245197337206258-0.00734061533808804j)
"(-2.389830508474576, -3.0)","(-2.389830508474576, -3.0)",(0.014503501794393879-0.014899104645987702j)
"(-2.288135593220339, -3.0)","(-2.288135593220339, -3.0)",(0.007239909864666737-0.019668438725447848j)
"(-2.1864406779661016, -3.0)","(-2.1864406779661016, -3.0)",(-0.0010629627623371814-0.02106274495727234j)
"(-2.084745762711864, -3.0)","(-2.084745762711864, -3.0)",(-0.008953798809534123-0.01919335364316291j)
"(-1.9830508474576272, -3.0)","(-1.9830508474576272, -3.0)",(-0.015289091549136737-0.014716165474504326j)
"(-1.8813559322033897, -3.0)","(-1.8813559322033897, -3.0)",(-0.019386528789102773-0.00859886509080813j)
"(-1.7796610169491525, -3.0)","(-1.7796610169491525, -3.0)",(-0.021050784592080294-0.001878063764335864j)
"(-1.6779661016949152, -3.0)","(-1.6779661016949152, -3.0)",(-0.02049794489707554+0.004539059974862227j)
"(-1.5762711864406778, -3.0)","(-1.5762711864406778, -3.0)",(-0.01822084765503313+0.009998645005956637j)
"(-1.4745762711864405, -3.0)","(-1.4745762711864405, -3.0)",(-0.014839076182250052+0.01414444033091115j)
"(-1.3728813559322033, -3.0)","(-1.3728813559322033, -3.0)",(-0.010968101470800816+0.016896202014821896j)
"(-1.271186440677966, -3.0)","(-1.271186440677966, -3.0)",(-0.00712764647399754+0.018385831567167867j)
"(-1.1694915254237288, -3.0)","(-1.1694915254237288, -3.0)",(-0.0036948787881036626+0.018876314489423705j)
"(-1.0677966101694913, -3.0)","(-1.0677966101694913, -3.0)",(-0.0008970105546919338+0.01868384053132824j)
"(-0.9661016949152543, -3.0)","(-0.9661016949152543, -3.0)",(0.001168264032227515+0.018115869725426153j)
"(-0.8644067796610169, -3.0)","(-0.8644067796610169, -3.0)",(0.002497621984480012+0.01743015864812854j)
"(-0.7627118644067794, -3.0)","(-0.7627118644067794, -3.0)",(0.003143685032976705+0.016813727026989547j)
"(-0.6610169491525424, -3.0)","(-0.6610169491525424, -3.0)",(0.003181428484837597+0.016377189376454902j)
"(-0.5593220338983049, -3.0)","(-0.5593220338983049, -3.0)",(0.002684010370050562+0.016158701860739585j)
"(-0.45762711864406747, -3.0)","(-0.45762711864406747, -3.0)",(0.001709733964274653+0.016132392651742423j)
"(-0.35593220338983045, -3.0)","(-0.35593220338983045, -3.0)",(0.0002999524625882409+0.016217824728431775j)
"(-0.254237288135593, -3.0)","(-0.254237288135593, -3.0)",(-0.0015133473432587484+0.016289137287771288j)
"(-0.15254237288135553, -3.0)","(-0.15254237288135553, -3.0)",(-0.0036921763992336524+0.0161845402945233j)
"(-0.05084745762711851, -3.0)","(-0.05084745762711851, -3.0)",(-0.006171927692487899+0.015718432981665306j)
"(0.05084745762711895, -3.0)","(0.05084745762711895, -3.0)",(-0.008839052375271923+0.014699252824970463j)
"(0.15254237288135597, -3.0)","(0.15254237288135597, -3.0)",(-0.011512008029709106+0.012955881877608289j)
"(0.25423728813559343, -3.0)","(0.25423728813559343, -3.0)",(-0.013932044647980613+0.010373692731453122j)
"(0.3559322033898309, -3.0)","(0.3559322033898309, -3.0)",(-0.015771390767006274+0.006937922836227336j)
"(0.4576271186440679, -3.0)","(0.4576271186440679, -3.0)",(-0.016665723372963317+0.0027772784570590536j)
"(0.5593220338983054, -3.0)","(0.5593220338983054, -3.0)",(-0.016274303394203344-0.0018045251054630489j)
"(0.6610169491525424, -3.0)","(0.6610169491525424, -3.0)",(-0.014364167033756491-0.006325326263066251j)
"(0.7627118644067798, -3.0)","(0.7627118644067798, -3.0)",(-0.010904787601174755-0.010165027813646772j)
"(0.8644067796610173, -3.0)","(0.8644067796610173, -3.0)",(-0.00614891760727853-0.012659402310611396j)
"(0.9661016949152543, -3.0)","(0.9661016949152543, -3.0)",(-0.0006679434201910309-0.013242746414174405j)
"(1.0677966101694913, -3.0)","(1.0677966101694913, -3.0)",(0.004688969827280998-0.011615593974524899j)
"(1.1694915254237293, -3.0)","(1.1694915254237293, -3.0)",(0.008929361709664503-0.00789405941762343j)
"(1.2711864406779663, -3.0)","(1.2711864406779663, -3.0)",(0.011136791503634646-0.002685640921167665j)
"(1.3728813559322033, -3.0)","(1.3728813559322033, -3.0)",(0.010732111119148915+0.0029588413826955114j)
"(1.4745762711864412, -3.0)","(1.4745762711864412, -3.0)",(0.007702887681371727+0.007740829931801328j)
"(1.5762711864406782, -3.0)","(1.5762711864406782, -3.0)",(0.0027138074343295163+0.010434672380551858j)
"(1.6779661016949152, -3.0)","(1.6779661016949152, -3.0)",(-0.0029724604243315687+0.010257439948519907j)
"(1.7796610169491531, -3.0)","(1.7796610169491531, -3.0)",(-0.007784146342356657+0.007171484372611957j)
"(1.8813559322033901, -3.0)","(1.8813559322033901, -3.0)",(-0.010285462878688218+0.001997228846209203j)
"(1.9830508474576272, -3.0)","(1.9830508474576272, -3.0)",(-0.00965141165300178-0.0037445489814689034j)
"(2.084745762711865, -3.0)","(2.084745762711865, -3.0)",(-0.006005259729507174-0.008256137213027119j)
"(2.186440677966102, -3.0)","(2.186440677966102, -3.0)",(-0.0004695776903287773-0.010042872945700592j)
"(2.288135593220339, -3.0)","(2.288135593220339, -3.0)",(0.005134879121381682-0.008457740303960841j)
"(2.389830508474577, -3.0)","(2.389830508474577, -3.0)",(0.00888022505107952-0.003998216687523804j)
"(2.491525423728814, -3.0)","(2.491525423728814, -3.0)",(0.00942372196610169+0.0017926955178740021j)
"(2.593220338983051, -3.0)","(2.593220338983051, -3.0)",(0.006543017989058494+0.00683141167009144j)
"(2.694915254237289, -3.0)","(2.694915254237289, -3.0)",(0.0012845064125842514+0.009250153205268626j)
"(2.796610169491526, -3.0)","(2.796610169491526, -3.0)",(-0.004374360490148444+0.00812670263510327j)
"(2.898305084745763, -3.0)","(2.898305084745763, -3.0)",(-0.008256639253813338+0.0038882231214490345j)
"(3.0, -3.0)","(3.0, -3.0)",(-0.012545435056582665-0.003561315314460663j)
"(-3.0, -2.8983050847457625)","(-3.0, -2.8983050847457625)",(0.002495109548430887+0.019278920940921714j)
"(-2.8983050847457625, -2.8983050847457625)","(-2.8983050847457625, -2.8983050847457625)",(0.011742384896753699+0.015852921810289085j)
"(-2.7966101694915255, -2.8983050847457625)","(-2.7966101694915255, -2.8983050847457625)",(0.018140884000640137+0.008449070414005938j)
"(-2.694915254237288, -2.8983050847457625)","(-2.694915254237288, -2.8983050847457625)",(0.0202631690921576-0.0010028230058150246j)
"(-2.593220338983051, -2.8983050847457625)","(-2.593220338983051, -2.8983050847457625)",(0.01781522528496446-0.01024771805155746j)
"(-2.4915254237288136, -2.8983050847457625)","(-2.4915254237288136, -2.8983050847457625)",(0.011568406980845202-0.01728687189685078j)
"(-2.389830508474576, -2.8983050847457625)","(-2.389830508474576, -2.8983050847457625)",(0.003038838007929556-0.020806906112277354j)
"(-2.288135593220339, -2.8983050847457625)","(-2.288135593220339, -2.8983050847457625)",(-0.005959158090509865-0.02037420201083056j)
"(-2.1864406779661016, -2.8983050847457625)","(-2.1864406779661016, -2.8983050847457625)",(-0.013750921575313393-0.01639042143827109j)
"(-2.084745762711864, -2.8983050847457625)","(-2.084745762711864, -2.8983050847457625)",(-0.019126158748449466-0.009867358539312802j)
"(-1.9830508474576272, -2.8983050847457625)","(-1.9830508474576272, -2.8983050847457625)",(-0.02149734082721725-0.002112226275325473j)
"(-1.8813559322033897, -2.8983050847457625)","(-1.8813559322033897, -2.8983050847457625)",(-0.020891901084727896+0.005584182897780751j)
"(-1.7796610169491525, -2.8983050847457625)","(-1.7796610169491525, -2.8983050847457625)",(-0.017818576101392276+0.012186813488409236j)
"(-1.6779661016949152, -2.8983050847457625)","(-1.6779661016949152, -2.8983050847457625)",(-0.013068056544145813+0.017048122319630935j)
"(-1.5762711864406778, -2.8983050847457625)","(-1.5762711864406778, -2.8983050847457625)",(-0.007507727288116613+0.019931482207198134j)
"(-1.4745762711864405, -2.8983050847457625)","(-1.4745762711864405, -2.8983050847457625)",(-0.0019153746866532706+0.020950364385863673j)
"(-1.3728813559322033, -2.8983050847457625)","(-1.3728813559322033, -2.8983050847457625)",(0.0031246933716281024+0.020459458104685826j)
"(-1.271186440677966, -2.8983050847457625)","(-1.271186440677966, -2.8983050847457625)",(0.007260265509727525+0.018933737114912863j)
"(-1.1694915254237288, -2.8983050847457625)","(-1.1694915254237288, -2.8983050847457625)",(0.010356610545682994+0.016862955638745007j)
"(-1.0677966101694913, -2.8983050847457625)","(-1.0677966101694913, -2.8983050847457625)",(0.012447978640000797+0.014676918688262113j)
"(-0.9661016949152543, -2.8983050847457625)","(-0.9661016949152543, -2.8983050847457625)",(0.013675078110870221+0.012705255298053416j)
"(-0.8644067796610169, -2.8983050847457625)","(-0.8644067796610169, -2.8983050847457625)",(0.014224320637083062+0.011166917364361378j)
"(-0.7627118644067794, -2.8983050847457625)","(-0.7627118644067794, -2.8983050847457625)",(0.014278623759199117+0.010180119682464411j)
"(-0.6610169491525424, -2.8983050847457625)","(-0.6610169491525424, -2.8983050847457625)",(0.013983799285548885+0.009782499297786736j)
"(-0.5593220338983049, -2.8983050847457625)","(-0.5593220338983049, -2.8983050847457625)",(0.013430358325478217+0.009952779127888715j)
"(-0.45762711864406747, -2.8983050847457625)","(-0.45762711864406747, -2.8983050847457625)",(0.012648359631225896+0.010627939746626293j)
"(-0.35593220338983045, -2.8983050847457625)","(-0.35593220338983045, -2.8983050847457625)",(0.011612476813540941+0.01171288686313139j)
"(-0.254237288135593, -2.8983050847457625)","(-0.254237288135593, -2.8983050847457625)",(0.010255138750551906+0.013082333348206862j)
"(-0.15254237288135553, -2.8983050847457625)","(-0.15254237288135553, -2.8983050847457625)",(0.008486648655401724+0.014576944008008701j)
"(-0.05084745762711851, -2.8983050847457625)","(-0.05084745762711851, -2.8983050847457625)",(0.0062218814772890055+0.01599774503908147j)
"(0.05084745762711895, -2.8983050847457625)","(0.05084745762711895, -2.8983050847457625)",(0.0034128975454160667+0.017104349081250053j)
"(0.15254237288135597, -2.8983050847457625)","(0.15254237288135597, -2.8983050847457625)",(8.522498555754167e-05+0.01762341722613306j)
"(0.25423728813559343, -2.8983050847457625)","(0.25423728813559343, -2.8983050847457625)",(-0.003627332833540495+0.017273383583677526j)
"(0.3559322033898309, -2.8983050847457625)","(0.3559322033898309, -2.8983050847457625)",(-0.0074581322997380696+0.015809026196092157j)
"(0.4576271186440679, -2.8983050847457625)","(0.4576271186440679, -2.8983050847457625)",(-0.011005190257560688+0.013084362325073496j)
"(0.5593220338983054, -2.8983050847457625)","(0.5593220338983054, -2.8983050847457625)",(-0.01376312803067503+0.009124670577335446j)
"(0.6610169491525424, -2.8983050847457625)","(0.6610169491525424, -2.8983050847457625)",(-0.015197884371671199+0.004189579078710799j)
"(0.7627118644067798, -2.8983050847457625)","(0.7627118644067798, -2.8983050847457625)",(-0.014862514576979007-0.001197938556681342j)
"(0.8644067796610173, -2.8983050847457625)","(0.8644067796610173, -2.8983050847457625)",(-0.012537038284507446-0.006283019783266298j)
"(0.9661016949152543, -2.8983050847457625)","(0.9661016949152543, -2.8983050847457625)",(-0.008358148035202845-0.010188513491109392j)
"(1.0677966101694913, -2.8983050847457625)","(1.0677966101694913, -2.8983050847457625)",(-0.002892164970452342-0.012100181440454286j)
"(1.1694915254237293, -2.8983050847457625)","(1.1694915254237293, -2.8983050847457625)",(0.002895138976792918-0.01149595874763672j)
"(1.2711864406779663, -2.8983050847457625)","(1.2711864406779663, -2.8983050847457625)",(0.007799210365835656-0.0083583442356436j)
