index,x,value
"(-5.0, -2.0)","(-5.0, -2.0)",(-21.110044698827146-187.9665237081826j)
"(-4.898989898989899, -2.0)","(-4.898989898989899, -2.0)",(-192.59550413192926-101.698121962104j)
"(-4.797979797979798, -2.0)","(-4.797979797979798, -2.0)",(-195.32316924965284+94.34621586730009j)
"(-4.696969696969697, -2.0)","(-4.696969696969697, -2.0)",(-42.78228565645935+179.20903634889942j)
"(-4.595959595959596, -2.0)","(-4.595959595959596, -2.0)",(101.65160456399458+184.62741146262755j)
"(-4.494949494949495, -2.0)","(-4.494949494949495, -2.0)",(201.7346032190756-9.89383094773888j)
"(-4.393939393939394, -2.0)","(-4.393939393939394, -2.0)",(124.70479596603097-193.7969192636092j)
"(-4.292929292929293, -2.0)","(-4.292929292929293, -2.0)",(-62.617036925957265-188.96145196631377j)
"(-4.191919191919192, -2.0)","(-4.191919191919192, -2.0)",(-166.98775050787248-61.38660658081466j)
"(-4.090909090909091, -2.0)","(-4.090909090909091, -2.0)",(-144.84296182997073+59.07788147650651j)
"(-3.9898989898989896, -2.0)","(-3.9898989898989896, -2.0)",(-17.76207031757376+217.89802703197444j)
"(-3.888888888888889, -2.0)","(-3.888888888888889, -2.0)",(130.5199898275604+126.89212382936968j)
"(-3.787878787878788, -2.0)","(-3.787878787878788, -2.0)",(178.9783643756321-16.058685962090518j)
"(-3.686868686868687, -2.0)","(-3.686868686868687, -2.0)",(76.98254058485841-95.91867595115917j)
"(-3.5858585858585856, -2.0)","(-3.5858585858585856, -2.0)",(-40.13127740200147-144.7241855958844j)
"(-3.484848484848485, -2.0)","(-3.484848484848485, -2.0)",(-100.00175147995344-32.41658838773181j)
"(-3.383838383838384, -2.0)","(-3.383838383838384, -2.0)",(-48.29758766486549+47.727952286027595j)
"(-3.282828282828283, -2.0)","(-3.282828282828283, -2.0)",(-25.874824994780184+85.55394350310605j)
"(-3.1818181818181817, -2.0)","(-3.1818181818181817, -2.0)",(32.17208525927388+29.434995012351663j)
"(-3.080808080808081, -2.0)","(-3.080808080808081, -2.0)",(19.721615105371015-45.74018564853641j)
"(-2.9797979797979797, -2.0)","(-2.9797979797979797, -2.0)",(4.828242535801351-25.154558063571294j)
"(-2.878787878787879, -2.0)","(-2.878787878787879, -2.0)",(-81.99274436524348+18.12136949698723j)
"(-2.7777777777777777, -2.0)","(-2.7777777777777777, -2.0)",(12.662009637325138+79.641123578329j)
"(-2.676767676767677, -2.0)","(-2.676767676767677, -2.0)",(59.43405741740568+61.4476626200119j)
"(-2.5757575757575757, -2.0)","(-2.5757575757575757, -2.0)",(106.08769526257858-57.99989041416082j)
"(-2.474747474747475, -2.0)","(-2.474747474747475, -2.0)",(83.5086253604356-67.62570437774048j)
"(-2.3737373737373737, -2.0)","(-2.3737373737373737, -2.0)",(-88.31339214166672-126.44481721984658j)
"(-2.272727272727273, -2.0)","(-2.272727272727273, -2.0)",(-107.78471236465148-45.799048159023414j)
"(-2.1717171717171717, -2.0)","(-2.1717171717171717, -2.0)",(-170.46895492224718+32.18128458527728j)
"(-2.070707070707071, -2.0)","(-2.070707070707071, -2.0)",(-107.36851379518043+128.67300033273352j)
"(-1.9696969696969697, -2.0)","(-1.9696969696969697, -2.0)",(-6.803182199505242+189.48298614141962j)
"(-1.868686868686869, -2.0)","(-1.868686868686869, -2.0)",(70.1430245031222+123.62320901880793j)
"(-1.7676767676767677, -2.0)","(-1.7676767676767677, -2.0)",(51.8086908404989+14.008567485209216j)
"(-1.6666666666666665, -2.0)","(-1.6666666666666665, -2.0)",(44.529936446714856+13.932977464158611j)
"(-1.5656565656565657, -2.0)","(-1.5656565656565657, -2.0)",(9.38670698889308+55.202672437379455j)
"(-1.4646464646464645, -2.0)","(-1.4646464646464645, -2.0)",(90.2090588259161+104.04519673944233j)
"(-1.3636363636363638, -2.0)","(-1.3636363636363638, -2.0)",(162.36184875195627+123.50217747784563j)
"(-1.2626262626262625, -2.0)","(-1.2626262626262625, -2.0)",(241.77996506601667+54.046298585680304j)
"(-1.1616161616161618, -2.0)","(-1.1616161616161618, -2.0)",(183.21107456465526-63.51246970444508j)
"(-1.0606060606060606, -2.0)","(-1.0606060606060606, -2.0)",(210.7148969430367-173.84182574507201j)
"(-0.9595959595959593, -2.0)","(-0.9595959595959593, -2.0)",(179.3500328459505-203.09911905667437j)
"(-0.858585858585859, -2.0)","(-0.858585858585859, -2.0)",(88.646013503562-252.12663704340042j)
"(-0.7575757575757578, -2.0)","(-0.7575757575757578, -2.0)",(54.24511167445951-194.2186249365178j)
"(-0.6565656565656566, -2.0)","(-0.6565656565656566, -2.0)",(-11.80909567624466-116.14078430459008j)
"(-0.5555555555555554, -2.0)","(-0.5555555555555554, -2.0)",(11.326551363750603-40.04441752097692j)
"(-0.45454545454545503, -2.0)","(-0.45454545454545503, -2.0)",(191.73019946264114+19.043638911270286j)
"(-0.3535353535353538, -2.0)","(-0.3535353535353538, -2.0)",(114.60906809971503+52.34086951357702j)
"(-0.2525252525252526, -2.0)","(-0.2525252525252526, -2.0)",(171.87659875112794+35.087479824328945j)
"(-0.15151515151515138, -2.0)","(-0.15151515151515138, -2.0)",(199.03998454112227+115.98106608484784j)
"(-0.050505050505050164, -2.0)","(-0.050505050505050164, -2.0)",(112.11164130146206+87.31742280551934j)
"(0.050505050505050164, -2.0)","(0.050505050505050164, -2.0)",(136.10436640352722+132.61807904633105j)
"(0.15151515151515138, -2.0)","(0.15151515151515138, -2.0)",(134.3001564633048+22.833581937274467j)
"(0.2525252525252526, -2.0)","(0.2525252525252526, -2.0)",(90.84600631562745-39.96694706396269j)
"(0.3535353535353538, -2.0)","(0.3535353535353538, -2.0)",(135.94962328816004-54.48687936250506j)
"(0.45454545454545414, -2.0)","(0.45454545454545414, -2.0)",(139.242945054448-64.85671156573042j)
