index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)"
"(0,)",(-0.0017077474672964957-0.0043116295820826295j),(-0.0049034488383060265-0.00711658060164626j),(0.007028586283557539+0.011899431484114903j),(-0.012471297633783705+0.002703556911969584j),(-0.009046170411410311-0.01763602932255062j),(-0.012062884555895898-0.013200773082576278j),(-0.007569417647678283+0.001487938659882011j),(-0.00786492913351021-0.00479928142789059j),(5.953136891161165e-05+0.003304420243914375j),(-0.0022292741393346188-0.0015529379215823273j),(-0.006671373789241328-0.005193447154599622j),(0.0014469060785696217-0.0019760933796974475j)
"(1,)",(-0.0049034488383060265-0.00711658060164626j),(0.007843139056821342-0.0062254898065625145j),(-0.009550646052384605-0.004256335899013861j),(0.006126177932772638+0.0018367884979929726j),(-0.010521541137320598-0.004214319020450267j),(-0.01641760744919123-0.02139051637266794j),(-0.022738378390046176-0.010279646327285978j),(-0.020863317723273777+0.003195513927689555j),(-0.0006421985340729213+0.005329822576882993j),(-0.006705703953685125-0.007499189732900295j),(0.0050156384272379865+0.0059093384710733375j),(0.0014949898273153087+0.008501143947291949j)
"(2,)",(0.007028586283557539+0.011899431484114903j),(-0.009550646052384605-0.004256335899013861j),(0.0003806574429767741-0.00414023862366291j),(-0.007946518552521183-0.00024938387101962984j),(0.0009444948650571886+0.004824569652400168j),(-0.008134192373065069-0.006218519423097718j),(-0.024964449992459933-0.03921361455916468j),(-0.030376107747275487-0.016631584806799275j),(-0.0022386405732336473+0.007930615953750945j),(0.0005675516610337139+0.000384371837813386j),(-0.001511460029888745-0.0007502983423124556j),(-0.0007836669578962408-0.001073928816475438j)
"(3,)",(-0.012471297633783705+0.002703556911969584j),(0.006126177932772638+0.0018367884979929726j),(-0.007946518552521183-0.00024938387101962984j),(0.010440633526978927-0.007424506182946141j),(-0.007059266636543739-0.001208567588743595j),(0.007356157264890022+0.007063611360919277j),(-0.019694261109808087-0.0015979229209192062j),(-0.023533126844976104-0.02850339093162378j),(-0.025008843129319128-0.01923557233726703j),(-0.0045992768360013925+0.0020419012152942386j),(-0.002020364400843615-0.002776412070032966j),(0.00039333025698743806-6.79990865991382e-05j)
"(4,)",(-0.009046170411410311-0.01763602932255062j),(-0.010521541137320598-0.004214319020450267j),(0.0009444948650571886+0.004824569652400168j),(-0.007059266636543739-0.001208567588743595j),(-0.006031619700761132-0.006356865598688583j),(-0.0010621178413787126-0.005128998211454674j),(0.0012386246962210175+0.0037309437113965988j),(-0.009366133584507844-0.0013465258487266492j),(-0.02491311409686942-0.02292729415404661j),(-0.011671853901992199-0.008112073281066418j),(-0.014157667606201327+0.0008714760411909413j),(-0.006695649332939964-0.00015207035974223014j)
"(5,)",(-0.012062884555895898-0.013200773082576278j),(-0.01641760744919123-0.02139051637266794j),(-0.008134192373065069-0.006218519423097718j),(0.007356157264890022+0.007063611360919277j),(-0.0010621178413787126-0.005128998211454674j),(0.006004136089611028-0.0032138130949488234j),(-0.0068351253146002044-0.0033061890259314082j),(-0.003771923417066203+0.0018575377457967397j),(-0.009377740037364685-0.001479958150758382j),(-0.00782711097939865+0.001979698743201447j),(-0.017977297601175543-0.034955625804032456j),(-0.014055621911764866-0.02316547999126767j)
"(6,)",(-0.007569417647678283+0.001487938659882011j),(-0.022738378390046176-0.010279646327285978j),(-0.024964449992459933-0.03921361455916468j),(-0.019694261109808087-0.0015979229209192062j),(0.0012386246962210175+0.0037309437113965988j),(-0.0068351253146002044-0.0033061890259314082j),(0.0029954492170168297-0.0019147526822700205j),(-0.0006722058559077992-0.012658732583671752j),(-0.0053532061487712845+0.0028636438842541056j),(0.006092899229483235+0.001960230450611691j),(-0.013880401451814538+0.0053061411273139705j),(-0.012182803960629842-0.008482624149790348j)
"(7,)",(-0.00786492913351021-0.00479928142789059j),(-0.020863317723273777+0.003195513927689555j),(-0.030376107747275487-0.016631584806799275j),(-0.023533126844976104-0.02850339093162378j),(-0.009366133584507844-0.0013465258487266492j),(-0.003771923417066203+0.0018575377457967397j),(-0.0006722058559077992-0.012658732583671752j),(0.0010910455369962295-0.003554403899329553j),(-0.0003580737887297873+0.0006772338221774772j),(0.003162964338492736-0.001045740826515019j),(0.002897423591915565-0.0035949993740809504j),(-0.0006233676371505182-0.004411550901572297j)
"(8,)",(5.953136891161165e-05+0.003304420243914375j),(-0.0006421985340729213+0.005329822576882993j),(-0.0022386405732336473+0.007930615953750945j),(-0.025008843129319128-0.01923557233726703j),(-0.02491311409686942-0.02292729415404661j),(-0.009377740037364685-0.001479958150758382j),(-0.0053532061487712845+0.0028636438842541056j),(-0.0003580737887297873+0.0006772338221774772j),(-0.0019548058040097078-0.0035937806299622525j),(0.0033135687316637823-6.630321447939637e-05j),(-0.0033582086403709773-0.001765806063406091j),(-0.0003597787183054856+0.0008070673309796239j)
"(9,)",(-0.0022292741393346188-0.0015529379215823273j),(-0.006705703953685125-0.007499189732900295j),(0.0005675516610337139+0.000384371837813386j),(-0.0045992768360013925+0.0020419012152942386j),(-0.011671853901992199-0.008112073281066418j),(-0.00782711097939865+0.001979698743201447j),(0.006092899229483235+0.001960230450611691j),(0.003162964338492736-0.001045740826515019j),(0.0033135687316637823-6.630321447939637e-05j),(-0.0017368693504176934+0.0015380905936207565j),(0.001156721524496132+0.0014243790781152308j),(0.0009406915829900963+0.00023196375840574732j)
"(10,)",(-0.006671373789241328-0.005193447154599622j),(0.0050156384272379865+0.0059093384710733375j),(-0.001511460029888745-0.0007502983423124556j),(-0.002020364400843615-0.002776412070032966j),(-0.014157667606201327+0.0008714760411909413j),(-0.017977297601175543-0.034955625804032456j),(-0.013880401451814538+0.0053061411273139705j),(0.002897423591915565-0.0035949993740809504j),(-0.0033582086403709773-0.001765806063406091j),(0.001156721524496132+0.0014243790781152308j),(0.0050646193125364536+0.001846259821044417j),(0.0035827980642115093+0.0009335117049515448j)
"(11,)",(0.0014469060785696217-0.0019760933796974475j),(0.0014949898273153087+0.008501143947291949j),(-0.0007836669578962408-0.001073928816475438j),(0.00039333025698743806-6.79990865991382e-05j),(-0.006695649332939964-0.00015207035974223014j),(-0.014055621911764866-0.02316547999126767j),(-0.012182803960629842-0.008482624149790348j),(-0.0006233676371505182-0.004411550901572297j),(-0.0003597787183054856+0.0008070673309796239j),(0.0009406915829900963+0.00023196375840574732j),(0.0035827980642115093+0.0009335117049515448j),(-0.0018862753867490438-0.001674106281637641j)
