index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(0,)",(-5.840563596816115e-06+1.1995593338164992e-06j),(-1.4889294987292744e-05-5.536786895944835e-06j),(1.4582251005835261e-05+4.667334306894342e-05j),(3.338644309957744e-05-5.9377160581469065e-05j),(-1.0036458258436347e-05+6.129270738934177e-05j),(-0.00011152993567797737+5.106837538552846e-05j),(-4.6433986990105714e-05+2.047560095625774e-06j),(-1.407381383548024e-05-7.466785743700946e-05j),(-0.00013853567110684784+4.959981586373076e-05j),(-0.00015165777003827054-0.00052882096270798j),(-0.0006100320697244432-0.0008632789097209605j),(-0.0001781304780757083-0.00032084182177497867j),(-1.3102907175705391e-05-0.0001371680512505276j),(5.3928005427777174e-05+3.356031087460218e-05j),(-0.0001267377378895083-5.2458684126513284e-05j),(-3.245652338558497e-06+1.716296634622065e-05j),(2.3740225071052283e-05+1.412168353790842e-05j),(-1.2148570481747863e-05+1.7226082255251595e-05j),(-6.27925965755804e-05-3.649178371738462e-05j),(-3.5794003616489815e-05+8.624633909023362e-06j)
"(1,)",(-1.4889294987292744e-05-5.536786895944835e-06j),(-1.648997067982724e-05-2.0122506968108645e-05j),(-7.530466756123521e-06+5.1981677787564425e-05j),(-8.321951828848757e-05+9.455957386205878e-06j),(8.509954548544633e-05-4.593170351038722e-05j),(-0.00012916661378497288-2.4190925934837105e-05j),(1.9643457173639862e-05-5.088567280699219e-05j),(2.627544817023388e-05-1.55349190445182e-06j),(-8.937562469417942e-05+3.0334035565276982e-05j),(-2.5930212513594224e-05-8.919172809846807e-05j),(-0.00033900865055257634-0.00030920318148932745j),(-0.0006266174956550838-0.0007314165753750358j),(-0.00026879620392373594-0.0004470543324264514j),(-0.00011633982431852902-8.882081014205131e-07j),(2.3730515806965582e-07+0.0001552940568248344j),(5.011897086629041e-06+1.08199266099381e-05j),(-5.962179267084967e-05+5.504234835785455e-05j),(4.067862139314793e-06-6.161326502519985e-05j),(5.462636702720864e-05+0.000246238589881292j),(-4.2708001963560836e-05-7.856964631246814e-05j)
"(2,)",(1.4582251005835261e-05+4.667334306894342e-05j),(-7.530466756123521e-06+5.1981677787564425e-05j),(5.119714809195609e-06+8.911334842184765e-06j),(-7.861656954626461e-06-4.9454689865215054e-05j),(1.676079911812669e-05+2.508486181151922e-05j),(0.00011978870436094523-2.6264979552855334e-05j),(-7.39547511856188e-05+1.7786270061581942e-05j),(2.6538636429827837e-06-1.6235188357776e-05j),(0.00010921190352159125+0.00016722396019873284j),(5.7637725710243585e-05+1.1862040233968127e-05j),(0.00019909768340799997+7.117967964552495e-05j),(-0.00018735720089151968-0.00034632507392706963j),(-0.0001672065505137821-0.00030633067471726535j),(-0.00012049022922344333-0.00014191111329502873j),(7.264604758458994e-05-4.749940097968981e-06j),(-0.00010994077525420906+2.6915415458062578e-05j),(2.4114417872286158e-05-3.552413379743547e-05j),(7.596088949660618e-05+9.277109355411673e-05j),(-0.0001063283190570862+4.187281430024662e-05j),(-0.00011060914685956966+7.229453810341446e-05j)
"(3,)",(3.338644309957744e-05-5.9377160581469065e-05j),(-8.321951828848757e-05+9.455957386205878e-06j),(-7.861656954626461e-06-4.9454689865215054e-05j),(-1.2166158110137083e-05+3.2029561066016314e-05j),(-8.211409341430694e-05-3.7979661644133284e-05j),(2.7286824782861298e-05-0.00012109786424004671j),(-7.716936698662107e-05+5.034954761495455e-05j),(0.0002262139163666824-7.834595591974566e-05j),(-8.66709493268313e-05+5.160926196918578e-05j),(1.365152933399268e-05-0.00010098586283587494j),(-0.0001200134529106568-0.00018093269208787038j),(1.2098505470995757e-05-7.045596924328397e-05j),(-0.00011196510337391348-0.0007218454781538928j),(-5.8658315455818104e-05-0.00033158103509871816j),(-1.161194850714123e-05-0.0004493502591222647j),(-7.737296247671271e-05-3.800970235151019e-05j),(0.0002668805827754926-9.586044200371537e-05j),(-0.00014324634956654973-5.8319205044907846e-05j),(0.0001221139559574105-8.237823980303732e-05j),(-5.4752319805727365e-05+0.00018706961180118536j)
"(4,)",(-1.0036458258436347e-05+6.129270738934177e-05j),(8.509954548544633e-05-4.593170351038722e-05j),(1.676079911812669e-05+2.508486181151922e-05j),(-8.211409341430694e-05-3.7979661644133284e-05j),(-1.093505269381111e-05+2.3545161944782663e-05j),(-4.0750239051079266e-05-2.9079294869251707e-05j),(2.360048379732334e-05+2.8899719017694165e-05j),(7.560659063733703e-06+5.164511223443875e-05j),(4.158703787227182e-05-9.25315294577366e-05j),(-9.606478462177157e-05-1.0152667690045678e-05j),(-7.045295737262292e-05-3.20862255281286e-05j),(9.400053814052743e-05-0.00014449441905369637j),(0.00013576769381368385-8.713800787784844e-05j),(-0.0002901887001565015-0.0004070444254304656j),(-0.0003590501427359363-0.0007384581451132002j),(-0.00021935962851159325-0.000446272163685975j),(-9.470940319122577e-05+1.0049438741004526e-07j),(-6.644793928161658e-05-3.9078275517381974e-05j),(-1.5313931393404504e-05+7.07090086919007e-06j),(5.360833368115288e-05-7.651348865974387e-05j)
"(5,)",(-0.00011152993567797737+5.106837538552846e-05j),(-0.00012916661378497288-2.4190925934837105e-05j),(0.00011978870436094523-2.6264979552855334e-05j),(2.7286824782861298e-05-0.00012109786424004671j),(-4.0750239051079266e-05-2.9079294869251707e-05j),(9.092121741737898e-06-5.470514570674796e-05j),(3.255146672763184e-05-3.3671385576938376e-05j),(2.04669041200991e-05-1.512385475268996e-07j),(3.4222266656981745e-05-0.00011061617729778588j),(-6.207873959068599e-05-4.2117248905693227e-05j),(-0.00010065630004633446+7.172114411897945e-05j),(-0.0001593351041798127-5.8702568513768066e-05j),(5.166659391488963e-06-1.7500562605258085e-05j),(2.4335422890009343e-05+0.0001285348483088473j),(-0.0003651691808465495-0.0003876762953097352j),(-0.0004272077222810128-0.0005388904241664682j),(-0.0003357684156835593-0.0006235561594944047j),(-0.00016132195931519358+0.0002115797864904431j),(-6.537241002357095e-05-2.0029627550665703e-05j),(2.5482526920774385e-05+3.1825696902938984e-05j)
"(6,)",(-4.6433986990105714e-05+2.047560095625774e-06j),(1.9643457173639862e-05-5.088567280699219e-05j),(-7.39547511856188e-05+1.7786270061581942e-05j),(-7.716936698662107e-05+5.034954761495455e-05j),(2.360048379732334e-05+2.8899719017694165e-05j),(3.255146672763184e-05-3.3671385576938376e-05j),(-1.8147111726582248e-05+2.1931347431109886e-06j),(9.390566988214254e-06-6.447234811939223e-05j),(2.8752410447797568e-05-2.638532184678464e-05j),(8.447754238238232e-05+6.754059365766494e-05j),(-0.00011018434983744229-6.955266104633972e-05j),(-0.00013171055260741292+0.00010936605851516659j),(-3.1150628062837074e-05-0.00019865681117575953j),(-0.0001456153231121369-1.208282023863597e-06j),(-0.0001779221507543632-5.669864396870693e-05j),(-9.91724514358507e-05-0.00032608064927148875j),(-0.0004113779896448608-0.00048819909016620304j),(-0.00020981506791253014-0.0005999650810386269j),(-6.697615535251571e-05-0.00011779754924675333j),(-0.00013887699202444123+9.052733750617044e-05j)
"(7,)",(-1.407381383548024e-05-7.466785743700946e-05j),(2.627544817023388e-05-1.55349190445182e-06j),(2.6538636429827837e-06-1.6235188357776e-05j),(0.0002262139163666824-7.834595591974566e-05j),(7.560659063733703e-06+5.164511223443875e-05j),(2.04669041200991e-05-1.512385475268996e-07j),(9.390566988214254e-06-6.447234811939223e-05j),(-1.1837138203984573e-05-2.100523074153853e-06j),(1.1531201629670151e-05-4.964765582580578e-05j),(1.0766257402784303e-05-3.923164810882878e-05j),(-7.852906891408752e-05+3.2110840622768954e-05j),(3.9771053134285826e-05+8.561481143155301e-06j),(-0.00011359298537701206+6.994512497234932e-07j),(-1.7839440099945338e-05+5.219478532499947e-05j),(-3.0764447086723795e-05-3.544887850305509e-05j),(6.552995262405337e-05-0.00015482780244785324j),(-6.791889411088366e-06-0.0003925297539181875j),(-0.0006059323557092093-0.0005418533915267335j),(5.066344080510279e-05-0.00016820081421954958j),(4.739522504106384e-06-0.0001065545323787801j)
"(8,)",(-0.00013853567110684784+4.959981586373076e-05j),(-8.937562469417942e-05+3.0334035565276982e-05j),(0.00010921190352159125+0.00016722396019873284j),(-8.66709493268313e-05+5.160926196918578e-05j),(4.158703787227182e-05-9.25315294577366e-05j),(3.4222266656981745e-05-0.00011061617729778588j),(2.8752410447797568e-05-2.638532184678464e-05j),(1.1531201629670151e-05-4.964765582580578e-05j),(9.244176541240567e-06-8.507540945792251e-06j),(-3.093178376827766e-07+1.8367101876173678e-05j),(-4.772488470520839e-05-6.788723994880794e-05j),(0.0001112079796983783-0.0001445869415496948j),(-0.00018604389662940386-2.705966271479892e-05j),(9.474123119241376e-05-0.00016523512563984115j),(-3.804209381581405e-05-6.406639358525738e-05j),(-5.7038382147780195e-05+9.145555276602587e-05j),(-0.0002526010889490822-0.00017397864386311837j),(-0.0002488333497611584-0.0003817245429750236j),(-0.00010397902818275434-0.0007195775856602436j),(-0.00038000162943878027-0.00023495813327892108j)
"(9,)",(-0.00015165777003827054-0.00052882096270798j),(-2.5930212513594224e-05-8.919172809846807e-05j),(5.7637725710243585e-05+1.1862040233968127e-05j),(1.365152933399268e-05-0.00010098586283587494j),(-9.606478462177157e-05-1.0152667690045678e-05j),(-6.207873959068599e-05-4.2117248905693227e-05j),(8.447754238238232e-05+6.754059365766494e-05j),(1.0766257402784303e-05-3.923164810882878e-05j),(-3.093178376827766e-07+1.8367101876173678e-05j),(2.183468213124541e-05+4.978602596227647e-05j),(-6.674892157455077e-05-6.262434170679956e-05j),(3.3095097878815554e-05-3.6053600154146915e-05j),(8.546256268515939e-05+9.443418499645991e-05j),(1.0487875103813701e-05-4.0907637923515065e-05j),(6.126405134683274e-05+1.4501140394483007e-05j),(-7.909188561523001e-05+1.5291827530716752e-05j),(0.00019743481009049704-6.698273100886353e-05j),(0.00019819799957146135-4.557275087513694e-06j),(-0.00012797707974917982-0.00031183505717590995j),(-0.00035229682294982676-0.0006215776333924009j)
