index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(-1.0369800388413562e-05+1.2121246655158981e-05j),(-1.1284970659693504e-05+9.452552075283974e-06j),(6.738421572464062e-06+2.3718633787703528e-06j),(6.6229444376898235e-06-1.8209572434266026e-05j),(1.101812496272817e-05-3.0814936538073445e-05j),(-6.9132789297312584e-06-1.541455678793422e-05j),(1.2909380559516772e-05-3.710509460724275e-05j),(3.0007000099750665e-06+3.968868059225051e-06j),(3.6514926442991465e-05+2.6702184177913676e-05j),(-7.308251590228339e-06+2.386913462946197e-05j),(5.559595158950625e-05+1.4223267251656578e-05j),(-3.865297529361839e-05-1.2814730043744993e-05j),(-3.0149866544650887e-05-3.421007102894835e-05j),(-4.738254327507248e-05+7.588103249758125e-07j),(-6.829798471690378e-05-9.672902917773075e-05j),(-0.00024845000655672516-0.0001534613939921154j),(-2.421066357038849e-05-5.968169155801521e-05j),(-6.7272900674028984e-06+1.3139844367497288e-05j),(1.650292931387484e-05+2.6978818055990622e-05j),(-4.130558193589012e-05+2.8986055185408536e-05j),(-9.60857748763324e-06-5.3305851379244575e-05j),(-8.75115080587058e-06+8.257353511511096e-06j),(-2.2292000903463505e-05+1.7761650947766753e-05j),(-4.7321152286447324e-05-7.79683475667962e-05j),(-2.1561486727908685e-05-1.7214350806098522e-06j),(-3.4887638357542445e-06-8.175365755285482e-06j),(1.843738782527189e-05-1.6278102730408164e-05j),(-1.4502645714915637e-05+5.868551233135323e-06j),(2.5089702205078457e-05+1.759936301762145e-05j),(-3.2225825956080925e-05+1.2998696548637244e-05j)
"(1,)",(-1.1284970659693504e-05+9.452552075283974e-06j),(-1.913950144157095e-05+3.3367738955473034e-06j),(-2.842694020187652e-05-1.2188536327497095e-05j),(-4.294025110467896e-05-3.237839486809022e-05j),(-8.222516378747548e-06-1.0390642504471729e-05j),(-2.280806198173302e-06+3.247632386245046e-05j),(-3.279161601024641e-05-4.170340502905724e-05j),(7.613346705204286e-05-2.949720512469017e-06j),(1.2752267817626584e-05-7.23923500747298e-05j),(-6.235163232924585e-07+5.28567959236585e-05j),(-1.2741326561309693e-05-5.9401547687875354e-05j),(1.72446639160159e-05+1.7120542681181733e-05j),(3.3282318690413924e-06+1.740965585592163e-05j),(1.1568656259792358e-05+2.8978371933136044e-06j),(-6.057521509863386e-05-4.231762661273604e-05j),(-0.00036764963012121687-0.0002655366091276595j),(-0.00021316317659052055-9.474800528973829e-05j),(8.236822066462055e-06+2.9758747134686166e-05j),(2.4759230951301924e-05-1.0137315629668982e-05j),(2.3004347481706344e-05-2.1640107766776654e-06j),(2.0280754824373178e-05-3.076380047762755e-05j),(-6.717968784087534e-05-2.6153663886195853e-05j),(5.1507878357429996e-05-2.8271205945672697e-05j),(7.925096177713584e-05-0.0001237343212495784j),(-3.407910754339973e-05+3.005602391887108e-05j),(-4.1809011894946974e-05-3.44022395678625e-05j),(-7.674143314815195e-05+2.5504123050657505e-05j),(1.3116169154187837e-05-2.8849375797928652e-05j),(4.379295639321163e-06+3.858589978512048e-07j),(-7.828799360057357e-06+2.4573868257849255e-07j)
"(2,)",(6.738421572464062e-06+2.3718633787703528e-06j),(-2.842694020187652e-05-1.2188536327497095e-05j),(-7.870907188733945e-06+1.2813472286900619e-05j),(-1.722701730505889e-05+1.8893350151059725e-05j),(3.085653780330105e-05+1.1589269952996162e-05j),(-2.1959171233780074e-08-0.0001005497147334871j),(4.101549756447503e-06+1.1487105084463167e-05j),(1.6041387934880574e-05-6.392059611618716e-05j),(-1.6370764987021856e-05+3.889332951145998e-05j),(7.872450493411825e-05+9.458032427736046e-05j),(4.5912266181789796e-05-0.00011319280799373722j),(1.5090063453498831e-05-2.054056902757442e-05j),(5.061173505187531e-06-2.062185395661422e-07j),(-5.370593765966916e-05+3.0537574234154526e-05j),(-2.4407707347033244e-06+2.4207382848620774e-06j),(2.0468956071305605e-06-3.994671643308649e-05j),(-0.00015288233077256116-0.00015062514845039937j),(-0.00019850446040323887-0.00011097357623111753j),(-2.4362465381366688e-05+9.83492967381646e-06j),(-2.0914945550837637e-05+2.259612840283203e-05j),(-6.478305381308782e-06-3.5613707615396196e-05j),(-3.3151547532691395e-05-4.8334979026978216e-05j),(-4.337018927516128e-05+4.719687764293195e-05j),(4.9958140078214787e-05+1.4844936692935114e-05j),(-5.716499118935806e-05-8.29022952420487e-07j),(-4.324006104434081e-05-1.7028846738645068e-05j),(-5.471834560777343e-05-4.1664193124235014e-05j),(1.730346970081336e-05+2.5215623868268042e-05j),(3.2946322367010994e-05-5.1983436610732046e-06j),(-4.23026167369348e-06+4.594701409217522e-05j)
"(3,)",(6.6229444376898235e-06-1.8209572434266026e-05j),(-4.294025110467896e-05-3.237839486809022e-05j),(-1.722701730505889e-05+1.8893350151059725e-05j),(2.309984193900645e-05+1.8682305532822294e-06j),(1.9355792865732338e-05-1.2826413927604023e-05j),(-1.0665422063160904e-05-7.434445770507963e-06j),(-1.310023936460921e-05-4.811008996848606e-05j),(1.9683385924854436e-05-3.767948166095411e-06j),(4.706023059468758e-06-4.039546268112036e-05j),(8.696593502396347e-05+1.92303912220403e-05j),(1.0623750750491796e-05-8.017192760965441e-06j),(5.577078318589211e-05+4.33548916886294e-05j),(-1.2649785527917195e-05-1.097334140763778e-05j),(2.363785511251493e-05-4.0636527423546754e-05j),(-1.5685060007529724e-05-1.5611616703128123e-05j),(-3.198639540905955e-06+6.7760957713055276e-06j),(-2.6512231142598405e-05-3.813267676506529e-05j),(-0.00017006272671825695-0.0001466442371917049j),(-0.00017981113695364896-0.00012072840008406759j),(-2.0222843788482974e-05+1.0149075067794973e-05j),(1.555511315793093e-05+6.301770385662182e-06j),(4.541691450885072e-06-1.9257532329844476e-05j),(8.425868689030404e-05-1.7553076491876035e-05j),(-4.1491293930528625e-05-2.0572664410365103e-05j),(-8.192617468501838e-05+2.6593116789172843e-05j),(2.658767066926259e-05+5.6397458578073134e-05j),(-6.932511133018339e-05-3.056196649844611e-05j),(-3.655993634620391e-05-5.4884483335184896e-05j),(-4.935100240412724e-06-4.020225981974779e-05j),(1.2045023209721453e-05+2.8395017693888298e-05j)
"(4,)",(1.101812496272817e-05-3.0814936538073445e-05j),(-8.222516378747548e-06-1.0390642504471729e-05j),(3.085653780330105e-05+1.1589269952996162e-05j),(1.9355792865732338e-05-1.2826413927604023e-05j),(8.866419700170745e-06-2.1791387664337906e-05j),(2.5912558107444684e-05+1.8895259695102013e-06j),(-4.702791069794302e-06-8.414784560500435e-06j),(5.9478908725170045e-05-2.2845414293402175e-05j),(-3.816975666594406e-06+1.2967666287566647e-05j),(-3.430743556907263e-05-7.774002336240459e-05j),(-5.5244922343155683e-05-1.0858756844318977e-05j),(-9.27589201074447e-06+0.0001069506917945224j),(-2.427750308978076e-05-2.2808349199800916e-06j),(-1.735006134878108e-06-6.179873005859178e-06j),(2.6144794039077124e-05-2.46550333954049e-06j),(3.6670226566744606e-05+6.460165553318029e-06j),(9.650210397115777e-06+5.019605983907037e-06j),(-2.9410809812649885e-05-5.15808090123164e-05j),(-0.0002019936885761342-0.00013928526263536176j),(-0.0001612817050742502-0.000125053311726536j),(2.8252904743664394e-06+2.04890067177356e-05j),(-1.8634699218585614e-05-1.130565465266559e-05j),(8.043492731365003e-06+5.764680046563399e-06j),(-6.334431092684784e-05-4.871839899711677e-05j),(-8.037633102983316e-05-4.0444210291954614e-05j),(5.628256799093831e-06+6.982421143616265e-05j),(6.165193336317329e-05+4.663033034259295e-05j),(-9.044719323892646e-05-8.721605741651197e-05j),(8.831308067306425e-06-1.918785159428976e-06j),(-3.4406703455234075e-05+3.0199331686612643e-06j)
"(5,)",(-6.9132789297312584e-06-1.541455678793422e-05j),(-2.280806198173302e-06+3.247632386245046e-05j),(-2.1959171233780074e-08-0.0001005497147334871j),(-1.0665422063160904e-05-7.434445770507963e-06j),(2.5912558107444684e-05+1.8895259695102013e-06j),(6.680649769596109e-06-5.20209020967106e-06j),(2.896220439055136e-05+9.849059968767064e-07j),(9.055180568934781e-06-9.997176615704598e-06j),(4.956098721396008e-06-1.3264226276900109e-05j),(2.782079724918344e-05+1.5218593603303297e-05j),(3.5073764287229313e-06-3.679223087101604e-05j),(5.489510510367326e-05-1.2458637054987454e-05j),(5.3591373728459484e-05+4.834495403495122e-05j),(-5.770949302476319e-06-3.600475583814592e-05j),(-3.936891084253028e-05-4.338607114807171e-05j),(-8.822482893298352e-06+3.719851152216109e-06j),(-9.742985673527083e-06+1.5830312811051285e-05j),(-1.0799240226796081e-05-9.073476847202748e-06j),(-1.3941292774921878e-05-4.383801902731682e-05j),(-0.00022203256235218865-0.00013744554332420337j),(-0.00020463066438124752-0.00011654336722106569j),(-3.5001465910400835e-05+1.725328724570771e-05j),(-3.7341353085204066e-06+2.1004010103024033e-05j),(-5.252895737977492e-06+2.690155244469706e-05j),(2.0639040591666465e-05-5.267737440335274e-06j),(5.018193049679596e-06+8.092144574501301e-06j),(-6.335773811450932e-06+5.457071772931952e-05j),(3.433196820677357e-05-6.210746592499746e-05j),(1.0499242566285597e-05+2.453823241242272e-06j),(6.948176571143823e-06+2.639526283668175e-05j)
"(6,)",(1.2909380559516772e-05-3.710509460724275e-05j),(-3.279161601024641e-05-4.170340502905724e-05j),(4.101549756447503e-06+1.1487105084463167e-05j),(-1.310023936460921e-05-4.811008996848606e-05j),(-4.702791069794302e-06-8.414784560500435e-06j),(2.896220439055136e-05+9.849059968767064e-07j),(3.927035908623837e-06+1.7609270159052403e-05j),(2.6815870074728954e-06+1.0313334850530215e-06j),(1.2877488606827867e-05-5.019628410962912e-07j),(-3.7044946580491793e-06-2.5549979439561816e-05j),(1.2493431044537893e-05-2.6453757591554786e-05j),(-6.233803606421373e-07-5.70894358892701e-05j),(7.102149800864742e-05-7.085721791828313e-05j),(5.892192091760764e-05+1.0940180884321512e-05j),(2.9332725437812946e-05+2.7474025867734222e-05j),(-1.5929849475740458e-05+3.19454306209767e-05j),(-2.1825929097252176e-05-3.112954001813529e-05j),(6.113234852895526e-05-1.4203888618256147e-05j),(-2.0000987290929876e-05+3.122626919316319e-05j),(-1.3671145315002619e-05-4.152738753109718e-05j),(-0.00015110145101910236-0.000139648719622718j),(-0.00016576319488267082-0.0001138206796465585j),(-1.7916666098566938e-05-3.645228710745075e-06j),(5.6974868129959704e-05-1.3912246491071603e-05j),(1.4820641217758158e-05+3.985779543893227e-05j),(-5.5632030715227235e-05+6.113795629102977e-06j),(-1.5192387831197226e-05+6.369597046364661e-05j),(3.3250083306502825e-05-3.859500853701689e-06j),(0.00010540211294836157+2.313665827772365e-05j),(-3.4965646479781154e-05+1.6278826540470788e-06j)
"(7,)",(3.0007000099750665e-06+3.968868059225051e-06j),(7.613346705204286e-05-2.949720512469017e-06j),(1.6041387934880574e-05-6.392059611618716e-05j),(1.9683385924854436e-05-3.767948166095411e-06j),(5.9478908725170045e-05-2.2845414293402175e-05j),(9.055180568934781e-06-9.997176615704598e-06j),(2.6815870074728954e-06+1.0313334850530215e-06j),(3.843707062959939e-06+1.366530682398991e-05j),(-1.2394854811821066e-08-1.5138230013092603e-06j),(2.087726023845777e-05+2.7634316853732142e-05j),(1.0970622222901323e-06+2.434866653135422e-06j),(-3.984527848860921e-05+3.198516624931227e-05j),(-1.4351262893653262e-06+2.940454935392835e-05j),(4.87203023507041e-05+2.352851474087606e-05j),(2.6868215824627803e-05-6.156448010013997e-06j),(3.139049537298551e-05+5.561322377591205e-06j),(-6.63444752219923e-05+1.2376653184807491e-05j),(-3.75026963094744e-06+2.3858686602701544e-05j),(4.572276720497693e-05-1.1175349624523994e-05j),(-9.383042842064094e-07+1.6125563376169012e-06j),(-8.146412610067523e-06-1.0358103462239886e-05j),(-0.00016762794985176219-0.00013801499181074464j),(-0.00020720510517398697-0.00011980906828434329j),(-1.9418606408963296e-05+8.186487645407333e-06j),(-1.5850269891084135e-06+1.0073898883935301e-05j),(1.6074542403848377e-05-9.020619851154391e-06j),(-3.956953641296246e-05-6.088585165620816e-06j),(-2.6091995834460085e-05-4.174484063025826e-05j),(1.1391188175481309e-05+1.2350312437418655e-05j),(-1.3726163956458182e-05-3.6109401033809034e-06j)
"(8,)",(3.6514926442991465e-05+2.6702184177913676e-05j),(1.2752267817626584e-05-7.23923500747298e-05j),(-1.6370764987021856e-05+3.889332951145998e-05j),(4.706023059468758e-06-4.039546268112036e-05j),(-3.816975666594406e-06+1.2967666287566647e-05j),(4.956098721396008e-06-1.3264226276900109e-05j),(1.2877488606827867e-05-5.019628410962912e-07j),(-1.2394854811821066e-08-1.5138230013092603e-06j),(-6.88880659602012e-06+4.796034986015025e-06j),(-3.2330843345970285e-05+3.488149642256486e-05j),(5.50800456047053e-06-1.3491163419565552e-05j),(-1.25205683900554e-05-3.93380597057823e-06j),(6.356409115518051e-05-6.861808501186343e-06j),(9.395832623113155e-06+4.790957414697773e-05j),(1.3327341861488648e-05-8.250743736448468e-05j),(-1.435242789244867e-05-1.3673315024975416e-05j),(-3.4186358737040874e-05+9.187348721420716e-05j),(-3.729181779711377e-06+1.611469652928914e-05j),(9.576997440255029e-06-3.8270266239279386e-05j),(3.2504999179582334e-05+2.909300649770428e-06j),(-1.738038808353094e-05+1.492528678997887e-05j),(-6.041038500269843e-06-4.8537398755347494e-05j),(-0.00015045801711236932-0.00011489820287999091j),(-0.00018890541040118657-0.00013007115939637253j),(-2.055306459127745e-05-2.172892702085605e-06j),(-5.865710504468463e-05-1.3334845438190562e-05j),(-2.2487720507800115e-06-5.81485906568737e-05j),(1.4322440875571998e-06-4.4137487092739306e-05j),(-1.3610241938236863e-06-1.2349164578367029e-06j),(1.2178286230049123e-06-6.114944636367379e-05j)
"(9,)",(-7.308251590228339e-06+2.386913462946197e-05j),(-6.235163232924585e-07+5.28567959236585e-05j),(7.872450493411825e-05+9.458032427736046e-05j),(8.696593502396347e-05+1.92303912220403e-05j),(-3.430743556907263e-05-7.774002336240459e-05j),(2.782079724918344e-05+1.5218593603303297e-05j),(-3.7044946580491793e-06-2.5549979439561816e-05j),(2.087726023845777e-05+2.7634316853732142e-05j),(-3.2330843345970285e-05+3.488149642256486e-05j),(5.813042455248115e-06-6.493633343220308e-07j),(3.4307369944690193e-06-2.0605848239300235e-06j),(-3.657697616896864e-05+1.1410476476853465e-05j),(-6.0520995301249224e-05-1.4867744239375218e-05j),(-4.040626480730293e-05-1.718238254607579e-05j),(-2.918873258456556e-06-1.9941330730794196e-06j),(2.7960793531180567e-06-5.7339084014592884e-05j),(-6.766252768844847e-05-5.88197554306601e-05j),(1.0104060469326271e-05+1.9917380931455127e-07j),(9.42842686114295e-06-7.45091357826769e-06j),(-8.225042712937865e-05+3.9690084431310645e-05j),(1.903922809116975e-05+1.7410961931431492e-06j),(1.0737696669665027e-05-1.2854934657978063e-06j),(-1.2548419820966623e-05-3.389653810127646e-05j),(-0.00017286612795750872-0.00011993770951810059j),(-0.00018309860431230557-0.00010317480970371954j),(-2.257713447163172e-05+3.740618386253283e-05j),(-4.281845943785837e-05+1.3597978361639345e-05j),(1.317913816043833e-05+3.307925465269082e-05j),(1.82275058634953e-05-1.1635915566803914e-05j),(3.334408735814681e-05-5.663362557060494e-07j)
