index,value
"(0,)",(7.634083421261266+83.17005998669462j)
"(1,)",(49.21816278083671-80.53918493062861j)
"(2,)",(-252.7382161603965-434.9331307290664j)
"(3,)",(196.10867432433224+525.7368409380847j)
"(4,)",(16.83534205772355-243.54347397481928j)
"(5,)",(-95.91035035253205-122.5969207440368j)
"(6,)",(-61.809730563918265+297.5866831364094j)
"(7,)",(39.432095022195575-80.22735509783364j)
"(8,)",(193.31075792372155-88.59264218294207j)
"(9,)",(-314.52592223357505+47.326518543252746j)
"(10,)",(105.04065785102222+43.32539963337916j)
"(11,)",(19.397679112259404-75.24128129055708j)
"(12,)",(-74.31144307093342-61.67875607082942j)
"(13,)",(75.6631137888495+347.4463789938228j)
"(14,)",(59.39679804112437-496.0708817904154j)
"(15,)",(-90.38279055194974+404.1760166386467j)
"(16,)",(-128.6746220356058-27.871110854470885j)
"(17,)",(278.39773825881343-187.10845322911393j)
"(18,)",(-72.76979367536194+142.1107163164628j)
"(19,)",(-154.7466818135851-19.025443213298217j)
"(20,)",(68.58249831465413+92.37611365927555j)
"(21,)",(141.81992023920822-233.70645812269981j)
"(22,)",(-103.72635821757758+355.624948776307j)
"(23,)",(-18.213605694756517-129.05603659428576j)
"(24,)",(-168.05312350278035-12.967937715501307j)
"(25,)",(282.13492718283794+33.322622327247544j)
"(26,)",(-3.6734386044816034-139.16817080937543j)
"(27,)",(-318.49951695387205+427.2232353257822j)
"(28,)",(410.89486246439634-557.5789976605759j)
"(29,)",(-331.5464738817403+153.96474526761847j)
"(30,)",(159.61994588651947+330.1822342452171j)
"(31,)",(-33.0242392264785-478.23902283240477j)
"(32,)",(28.324760402657496+65.72017850323353j)
"(33,)",(-92.73236308336348+199.60184460636054j)
"(34,)",(168.74977789411082-56.44150331766116j)
"(35,)",(-219.57208464996094-136.46752935984932j)
"(36,)",(162.724279954101+114.88954117651329j)
"(37,)",(20.092522255778984+103.54658671942286j)
"(38,)",(-278.59656141305544-200.03574048134172j)
"(39,)",(351.078547469285+148.4579875041183j)
"(40,)",(-279.6458243795805-47.39553136123973j)
"(41,)",(107.66759716538115-4.0083129245435725j)
"(42,)",(20.914488677024465-114.1473315190455j)
"(43,)",(-28.556040249390925+235.5773365323751j)
"(44,)",(-2.587342388497632-257.0277607684742j)
"(45,)",(70.5399264068563+124.24925388483368j)
"(46,)",(-28.841190812178525-16.168206719748298j)
"(47,)",(35.30008826809592-7.219557244290652j)
"(48,)",(-97.39396907782464-136.12121745645322j)
"(49,)",(204.06320900413658+258.0994818459594j)
"(50,)",(-303.8610412812566-318.3336706259405j)
"(51,)",(149.4261211599491+215.65492608750208j)
"(52,)",(39.993415988234524-94.55599760558522j)
"(53,)",(-219.8347461508221+86.56810569039146j)
"(54,)",(165.76547033782106-108.77317476755776j)
"(55,)",(-20.532143511854002+40.47715068756304j)
"(56,)",(-97.58527166321517+7.687080329247095j)
"(57,)",(232.94417888933202-13.922376019757891j)
"(58,)",(-246.08682882525738+3.7215613178923377j)
"(59,)",(132.93109069793093-60.89058893756402j)
"(60,)",(75.90766372853267+106.05306153908573j)
"(61,)",(-196.33087597837545-50.772979967507155j)
"(62,)",(88.5365871006656-59.05456424608863j)
"(63,)",(71.61016982675955+80.42044553072405j)
"(64,)",(-181.68477177917464+35.37748194462981j)
"(65,)",(173.0429560232487+11.867927562448127j)
"(66,)",(-24.803882729559064-210.6213965092141j)
"(67,)",(-58.70306781014259+300.86028550341985j)
"(68,)",(-3.927098451028421-122.26937188583577j)
"(69,)",(162.73873120784666-86.02701546035955j)
"(70,)",(-293.4337038555837+109.93906972299958j)
"(71,)",(331.75586229298614-103.39926746412999j)
"(72,)",(-228.05738940960612+40.1362011415781j)
"(73,)",(61.63480670983296+106.16594791693262j)
"(74,)",(-59.26316100290447-174.67866721511098j)
"(75,)",(181.31871277310407-20.591262426502496j)
"(76,)",(-199.55142697934807+227.13296628581065j)
"(77,)",(52.54677638413995-163.66429531493702j)
"(78,)",(127.89253137584656+38.05949320982031j)
"(79,)",(-306.7942636128168+74.6834709089521j)
"(80,)",(488.44749923199436-231.2977110577792j)
"(81,)",(-516.5713521039759+375.6115961147815j)
"(82,)",(295.29015724478444-264.77791980784616j)
"(83,)",(5.567656939141727+21.961002991410368j)
"(84,)",(-67.00756193080315+29.097485613931894j)
"(85,)",(-30.073117962769828+61.14706609885195j)
"(86,)",(107.93794383127643+21.521069103487548j)
"(87,)",(-60.96108838768161-224.42824419534898j)
"(88,)",(-31.227667388999407+123.25132779307546j)
"(89,)",(151.35412664536057+128.31829572045984j)
"(90,)",(-160.06491500320794-26.753046871892423j)
"(91,)",(46.25748005929165-353.7445989129535j)
"(92,)",(-0.09089617663528315+497.11199340722914j)
"(93,)",(11.441081051951244-384.5323717484474j)
"(94,)",(99.66344211467117+189.08950636302342j)
"(95,)",(-280.66569127041464+11.42605397161924j)
"(96,)",(242.9659810177274-96.85171855856217j)
"(97,)",(-63.39056246278515-90.244415506074j)
"(98,)",(-12.987152566419809+163.77042533630458j)
"(99,)",(-27.121356942076744+83.1902218858595j)
"(100,)",(71.79067117338809-37.542577013382754j)
