index,value
"(0,)",(-71.64925559330518+16.56135097615573j)
"(1,)",(25.025666014650174-20.092993818559144j)
"(2,)",(-8.495072568661419+6.9927951701109965j)
"(3,)",(-17.01743099439581-12.349133259815389j)
"(4,)",(41.11166317745025-6.836651444476887j)
"(5,)",(-30.54734862939667+52.90555073959712j)
"(6,)",(-13.112774853685377-46.030985298152366j)
"(7,)",(30.353786978865664+3.1422722913999053j)
"(8,)",(-8.359123070763054+17.309635641576165j)
"(9,)",(-8.742369774278409+7.49274308176809j)
"(10,)",(-15.50041562668784-28.841839556970044j)
"(11,)",(51.21583572928355+23.621515055431495j)
"(12,)",(-31.079809440840016-4.076147464331175j)
"(13,)",(-19.094788380871577+5.00206447607912j)
"(14,)",(30.86009028383398-7.492164450486713j)
"(15,)",(-9.080352533450075-8.854541521415593j)
"(16,)",(7.206472793488558+8.008336132934332j)
"(17,)",(26.90725500123908+17.099788952356718j)
"(18,)",(-10.397557222977907-34.596937970110076j)
"(19,)",(-36.67931974591833-9.61122606416582j)
"(20,)",(67.90667067536272+37.58321835083944j)
"(21,)",(-61.852939620678235-26.861576817018886j)
"(22,)",(24.441293532770313-3.476805070805886j)
"(23,)",(14.30265491468149+4.438844975535494j)
"(24,)",(-35.96344431479146+4.324281699091877j)
"(25,)",(50.484654772804426-1.9584755175286945j)
"(26,)",(-38.89722907495221-13.36179312687007j)
"(27,)",(5.09669857943295+13.965112558675898j)
"(28,)",(23.50186209465939-12.855168581040562j)
"(29,)",(-17.11610737896592+7.777893452811963j)
"(30,)",(-12.12306580946126-21.187598076515336j)
"(31,)",(22.46607182758548+25.964742823211225j)
"(32,)",(-13.303423045602422-37.89967630067918j)
"(33,)",(12.570871962565+27.292996672947165j)
"(34,)",(-29.181660302279965+4.202868572909139j)
"(35,)",(-2.393946484739029+1.1761242852062725j)
"(36,)",(64.56433821550215-11.094396903976213j)
"(37,)",(-80.66459630617057-13.75071809182932j)
"(38,)",(54.874517339338+25.968562566078173j)
"(39,)",(-18.198090671478482-24.61466125346106j)
"(40,)",(-15.366970355638763+7.608642458412341j)
"(41,)",(24.73794302161005+24.214628615599715j)
"(42,)",(-20.62269368186922-41.522128578855416j)
"(43,)",(17.762235262935146+36.64936064223778j)
"(44,)",(-2.3351560446018444-30.483355894968362j)
"(45,)",(-16.000424064077578+48.218425427380936j)
"(46,)",(-7.074174990366714-58.31032770317171j)
"(47,)",(52.98310037793992+31.1867661855816j)
"(48,)",(-19.98767133969598-1.9488808662637318j)
"(49,)",(7.72240774126459+25.902211784787777j)
