,cp
"(0,)",(0.02204576104305482+0j)
"(1,)",(0.06496512147720089+0j)
"(2,)",(0.07509454269847753+0j)
"(3,)",(0.06501230799122672+0j)
"(4,)",(0.06226336071624768+0j)
"(5,)",(0.05761288011744801+0j)
"(6,)",(0.07306406152834496+0j)
"(7,)",(0.07367955696789247+0j)
"(8,)",(0.07799497485520557+0j)
"(9,)",(0.07026259243985392+0j)
"(10,)",(0.07529562689856739+0j)
"(11,)",(0.07317677484525852+0j)
"(12,)",(0.06601389895072485+0j)
"(13,)",(0.06690066505688907+0j)
"(14,)",(0.06558175103185879+0j)
"(15,)",(0.06605941196079147+0j)
"(16,)",(0.06579941223206733+0j)
"(17,)",(0.05932164824939114+0j)
"(18,)",(0.06792666691612734+0j)
"(19,)",(0.071520171770728+0j)
"(20,)",(0.05845179937684819+0j)
"(21,)",(0.07074862791685005+0j)
"(22,)",(0.06095184926316185+0j)
"(23,)",(0.07030262799375123+0j)
"(24,)",(0.06462779298877154+0j)
"(25,)",(0.06282521305781462+0j)
"(26,)",(0.06357107377018147+0j)
"(27,)",(0.0659616149599845+0j)
"(28,)",(0.06253357283374701+0j)
"(29,)",(0.06500582772143007+0j)
"(30,)",(0.05568098849516359+0j)
"(31,)",(0.06944548969408497+0j)
"(32,)",(0.05193003315349121+0j)
"(33,)",(0.056822213698005185+0j)
"(34,)",(0.0567341480876689+0j)
"(35,)",(0.0594423414880308+0j)
"(36,)",(0.060364726255075614+0j)
"(37,)",(0.05961413773895168+0j)
"(38,)",(0.04920637468490804+0j)
"(39,)",(0.059620470816542974+0j)
"(40,)",(0.05451664219791068+0j)
"(41,)",(0.055599315105600955+0j)
"(42,)",(0.056641780817201004+0j)
"(43,)",(0.05997257373647862+0j)
"(44,)",(0.05926016199846902+0j)
"(45,)",(0.059756684775482835+0j)
"(46,)",(0.056139232316066864+0j)
"(47,)",(0.054649025683230615+0j)
"(48,)",(0.05209800028636347+0j)
"(49,)",(0.05514495218193406+0j)
"(50,)",(0.05941345206504518+0j)
"(51,)",(0.05531301585194629+0j)
"(52,)",(0.051059934530689396+0j)
"(53,)",(0.049062832690699755+0j)
"(54,)",(0.05321646185447778+0j)
"(55,)",(0.052891050521382446+0j)
"(56,)",(0.05405816236256882+0j)
"(57,)",(0.05648909196246651+0j)
"(58,)",(0.057320356884755425+0j)
"(59,)",(0.05707281104018743+0j)
"(60,)",(0.05999979807149023+0j)
"(61,)",(0.05568386926328107+0j)
"(62,)",(0.056421936762672806+0j)
"(63,)",(0.05947812540916112+0j)
"(64,)",(0.06202123212759325+0j)
"(65,)",(0.06183340886206759+0j)
"(66,)",(0.06497381468345527+0j)
"(67,)",(0.059892657906815125+0j)
"(68,)",(0.062190342092709655+0j)
"(69,)",(0.05961974839193376+0j)
"(70,)",(0.06189776991503703+0j)
"(71,)",(0.053120142600438236+0j)
"(72,)",(0.059601845548028845+0j)
"(73,)",(0.060528569519835713+0j)
"(74,)",(0.05351243987164245+0j)
"(75,)",(0.0687016087984257+0j)
"(76,)",(0.06780234279056044+0j)
"(77,)",(0.056988560294969064+0j)
"(78,)",(0.0682794625721038+0j)
"(79,)",(0.05816498533566804+0j)
"(80,)",(0.06440354390756348+0j)
"(81,)",(0.06704413776697307+0j)
"(82,)",(0.06471644860731403+0j)
"(83,)",(0.06969499865794064+0j)
"(84,)",(0.0573594222831488+0j)
"(85,)",(0.06423485312361835+0j)
"(86,)",(0.0634324859058089+0j)
"(87,)",(0.06823441284129145+0j)
"(88,)",(0.07260487617802484+0j)
"(89,)",(0.07219685656465359+0j)
"(90,)",(0.07572424232865747+0j)
"(91,)",(0.07263791824011773+0j)
"(92,)",(0.07290145633182557+0j)
"(93,)",(0.06710054460046955+0j)
"(94,)",(0.069850677090011+0j)
"(95,)",(0.0656034790389431+0j)
"(96,)",(0.06823643843364345+0j)
"(97,)",(0.0764995602049641+0j)
"(98,)",(0.061362362969019216+0j)
"(99,)",(0.06232053164848002+0j)
"(100,)",(0.017969566735971214+0j)
