index,cp
"(0,)",(-0.013892940420009332-0.00880508541484187j)
"(1,)",(-0.08787634735630033-0.05479632997856223j)
"(2,)",(-0.09058203405189051-0.05022877966492344j)
"(3,)",(-0.06253935351319033-0.025582209609601742j)
"(4,)",(-0.05681885917118328-0.014600804195030372j)
"(5,)",(-0.06227724067543781-0.004530214148699795j)
"(6,)",(-0.06476030624002183+0.009023901332615448j)
"(7,)",(-0.0499268899771603+0.019426985454521664j)
"(8,)",(-0.05089626720254865+0.04002480368483109j)
"(9,)",(-0.034123949642521224+0.054335805412854314j)
"(10,)",(-0.012384020837214254+0.05985063147552076j)
"(11,)",(0.01106513155435952+0.055459003473206064j)
"(12,)",(0.036146676631882535+0.05415265128787681j)
"(13,)",(0.041779629609798946+0.027349194852961483j)
"(14,)",(0.06532894641066174+0.004129447362431415j)
"(15,)",(0.06082820153825716-0.026171946791952633j)
"(16,)",(0.03365142382674537-0.04715359151135285j)
"(17,)",(0.0034881747501190876-0.06406411585474109j)
"(18,)",(-0.026985649095124915-0.05749596552967569j)
"(19,)",(-0.049201193415049985-0.027194927704310663j)
"(20,)",(-0.0576362548636828+0.007948803794704374j)
"(21,)",(-0.04595112227230742+0.03538105359341862j)
"(22,)",(-0.016470004935826645+0.05721742995909264j)
"(23,)",(0.01917766240795255+0.05409020167348051j)
"(24,)",(0.0473713228270933+0.03499307200354645j)
"(25,)",(0.05023127640502356-0.0029899268290468515j)
"(26,)",(0.04614931864536797-0.035546936966643294j)
"(27,)",(0.019233354661584736-0.05827335152217758j)
"(28,)",(-0.017858044023413303-0.05547174740166296j)
"(29,)",(-0.037583929285643275-0.032532598602323014j)
"(30,)",(-0.06126424052320244-0.001290504940164216j)
"(31,)",(-0.05287651279352441+0.03172896086402596j)
"(32,)",(-0.0241482386776625+0.04787822839254265j)
"(33,)",(0.008158581780835554+0.06349215712903147j)
"(34,)",(0.037201510225555005+0.05353333658855785j)
"(35,)",(0.05600434344831364+0.022727533445673208j)
"(36,)",(0.0579065757571343-0.004755218674727715j)
"(37,)",(0.057882779349877005-0.037074431052798874j)
"(38,)",(0.029778814536921678-0.050924109434532766j)
"(39,)",(0.009004693524810623-0.06953100430973762j)
"(40,)",(-0.011525860100160308-0.05511435381977967j)
"(41,)",(-0.03904335510947185-0.05860251112005298j)
"(42,)",(-0.04947411889353161-0.03782350667435356j)
"(43,)",(-0.051365448271636194-0.02048396341736437j)
"(44,)",(-0.060411793393760085-0.007149918402219814j)
"(45,)",(-0.06322137314801028+0.0050686007861134655j)
"(46,)",(-0.05909879260907625+0.015799483906621115j)
"(47,)",(-0.05613931721347793+0.02312458752453555j)
"(48,)",(-0.06316553900198697+0.034224917980297594j)
"(49,)",(-0.05009635693950384+0.030755839600289665j)
"(50,)",(-0.04819437547670478+0.030796103505634886j)
"(51,)",(-0.054769344100833735+0.03370493058841491j)
"(52,)",(-0.05272755657420134+0.028162341979205276j)
"(53,)",(-0.057466154506338234+0.023457685073085963j)
"(54,)",(-0.0658527461750494+0.016698368023222585j)
"(55,)",(-0.0533824242346163+0.00500567585660376j)
"(56,)",(-0.054409555554566606-0.006680287394646422j)
"(57,)",(-0.0499608217677831-0.019743291079936456j)
"(58,)",(-0.043999406024684835-0.03483006362268513j)
"(59,)",(-0.03668043067984125-0.05719953707441175j)
"(60,)",(-0.014619649776187762-0.05570140712373742j)
"(61,)",(0.007065417024165412-0.05128951982483778j)
"(62,)",(0.03479121380586629-0.05150996147622296j)
"(63,)",(0.057488545506972764-0.033382230786316504j)
"(64,)",(0.06223900794157898-0.006490955015735296j)
"(65,)",(0.05985501099047271+0.024820498476378457j)
"(66,)",(0.03696178845057879+0.050594742341229015j)
"(67,)",(0.0037733113136885375+0.05736079141583813j)
"(68,)",(-0.024716309291951365+0.0447625267622426j)
"(69,)",(-0.056787100120830124+0.033938191146751985j)
"(70,)",(-0.06544763497199971-0.002785376784650536j)
"(71,)",(-0.04453281171521828-0.039983638049317226j)
"(72,)",(-0.015881840417843875-0.05794827832426254j)
"(73,)",(0.018709930988825743-0.05076157299111216j)
"(74,)",(0.050280747898157854-0.036263709957622896j)
"(75,)",(0.05507211021438913-0.001983083367345547j)
"(76,)",(0.05210422454456276+0.039937648205291866j)
"(77,)",(0.02138319988675283+0.07107141504836775j)
"(78,)",(-0.02226723627375151+0.056555294969463314j)
"(79,)",(-0.04491218790318037+0.030759358227439394j)
"(80,)",(-0.06885944832195187+0.0012792885932758258j)
"(81,)",(-0.04725807991044164-0.026855095862077044j)
"(82,)",(-0.024636826926299298-0.055021573225605455j)
"(83,)",(0.008349414966178095-0.05778197982258229j)
"(84,)",(0.03655507048789693-0.04905299698094887j)
"(85,)",(0.06463002645898987-0.026404816905153387j)
"(86,)",(0.05850239918169544+0.005695808092201124j)
"(87,)",(0.056688621299574686+0.03672037465562419j)
"(88,)",(0.03240348541184826+0.05035293956565642j)
"(89,)",(0.011672951542581834+0.06552455907208525j)
"(90,)",(-0.016958125442426652+0.06873304039117388j)
"(91,)",(-0.036996072889172046+0.05626956849523819j)
"(92,)",(-0.05111987862292549+0.04082265511946308j)
"(93,)",(-0.053181561918217116+0.0205514173214007j)
"(94,)",(-0.06095873219453076+0.007886844684962957j)
"(95,)",(-0.06597414331429308-0.006078573370640007j)
"(96,)",(-0.06773634072202192-0.01824720314913446j)
"(97,)",(-0.0565350274101492-0.024097675761309223j)
"(98,)",(-0.06377053207113757-0.03436725226562316j)
"(99,)",(-0.04770186466513531-0.02904338760642944j)
"(100,)",(-0.016552248611072826-0.010558707870103526j)
