index,cp
"(0,)",(0.0006768065471332549+0.0001492797241774365j)
"(1,)",(0.0009816514238213602+0.0007318664054979636j)
"(2,)",(0.0006205342639895513+0.0011877456074223325j)
"(3,)",(2.6674906174322414e-05+0.0008721135998231076j)
"(4,)",(-0.00019796376198764792+0.0007658580626569248j)
"(5,)",(-0.0004425089004473844+0.0008104004172663097j)
"(6,)",(-0.0005049206323885999+0.0005795262694415349j)
"(7,)",(-0.0007700804230037793+0.0005998374207798843j)
"(8,)",(-0.0007995674722017121+0.0004509777800845439j)
"(9,)",(-0.0008491672456814569+0.0003357200668969243j)
"(10,)",(-0.000812213179252598+0.0002444262255053669j)
"(11,)",(-0.0007765679669681793+0.00018661313869218856j)
"(12,)",(-0.0010035664071849646+0.0002076982023738144j)
"(13,)",(-0.0008221706373119232+0.00017596330143064236j)
"(14,)",(-0.0007059219097548822+0.0001766855330431802j)
"(15,)",(-0.000920526838593529+0.00030087401944996114j)
"(16,)",(-0.0007813578549948876+0.00035203654531593945j)
"(17,)",(-0.0006791669490845086+0.00041150723972108736j)
"(18,)",(-0.0006624493518516854+0.0005671807941610056j)
"(19,)",(-0.00048379768725734376+0.0006474486157287766j)
"(20,)",(-0.00037589351611268045+0.0008624314292015283j)
"(21,)",(-0.00017143981514278748+0.0009250878848366008j)
"(22,)",(0.00011070033353326292+0.000814691397183908j)
"(23,)",(0.00041530862228908623+0.0008694228974104909j)
"(24,)",(0.0005734858288993242+0.0005744192284805702j)
"(25,)",(0.000740899933020863+0.0003392623951461046j)
"(26,)",(0.0007611019047288811+8.1706905408679e-07j)
"(27,)",(0.000934002515030163-0.00040173310981653107j)
"(28,)",(0.0005780502097412939-0.00073758507988282j)
"(29,)",(0.00021713276659751036-0.0007892096783118712j)
"(30,)",(-0.00017892836903794256-0.0007781816030720423j)
"(31,)",(-0.0007084142860937194-0.0007001626190422021j)
"(32,)",(-0.0007127490812274128-0.00020546169314017524j)
"(33,)",(-0.0008369329282409434+0.0002613675985698783j)
"(34,)",(-0.0006353001146610255+0.0007085497467031073j)
"(35,)",(-0.0001178633926823901+0.0008447271751594138j)
"(36,)",(0.0004187761747091485+0.0007939763862578462j)
"(37,)",(0.0007133157639826282+0.00033110067666657176j)
"(38,)",(0.000930434123732577-0.00018216661384218863j)
"(39,)",(0.0006312467646767357-0.0006688553924535491j)
"(40,)",(9.862723563222933e-05-0.0010695763440749892j)
"(41,)",(-0.00041476364993842666-0.0007107466439165553j)
"(42,)",(-0.0008739991856746819-0.0004102350348731585j)
"(43,)",(-0.0010373827231681158+0.00017635878040651794j)
"(44,)",(-0.0006812740280448262+0.0007062272138617465j)
"(45,)",(-9.868595757980157e-05+0.0008545403208851872j)
