index,cp
"(0, (0,))",(-0.1079154331153855-0.0240223962771447j)
"(0, (1,))",(-0.061333415045047544+0.036702955546601364j)
"(0, (2,))",(-0.13333333333333322+6.459974880852186e-18j)
"(0, (3,))",(-0.13333333333333322+6.459974880852187e-18j)
"(0, (4,))",(-0.13333333333333355+6.4599748808522124e-18j)
"(0, (5,))",(-0.13333333333333322+6.4599748808521885e-18j)
"(0, (6,))",(-0.13333333333333308+2.6197273096410482e-17j)
"(0, (7,))",(-0.13333333333333355+1.6328623988631407e-17j)
"(0, (8,))",(-0.1333333333333333-2.31459724424853e-17j)
"(0, (9,))",(-0.13333333333333314+1.6328623988631354e-17j)
"(0, (10,))",(-0.13333333333333355+1.6328623988631407e-17j)
"(0, (11,))",(-0.1333333333333333-2.31459724424853e-17j)
"(0, (12,))",(-0.1333333333333333-3.4086742269269907e-18j)
"(0, (13,))",(-0.13333333333333378-3.4086742269269206e-18j)
"(0, (14,))",(-0.1333333333333334-3.4086742269268582e-18j)
"(0, (15,))",(-0.13333333333333322-2.314597244248529e-17j)
"(0, (16,))",(-0.13333333333333378-3.4086742269269206e-18j)
"(0, (17,))",(-0.1333333333333334-3.4086742269268582e-18j)
"(0, (18,))",(-0.1333333333333334-3.408674226926859e-18j)
"(0, (19,))",(-0.13333333333333375-3.40867422692692e-18j)
"(0, (20,))",(-0.13333333333333322-2.314597244248529e-17j)
"(0, (21,))",(-0.1333333333333334-3.408674226926859e-18j)
"(0, (22,))",(-0.13333333333333355-1.3277323334705993e-17j)
"(0, (23,))",(-0.13333333333333322+6.459974880852229e-18j)
"(0, (24,))",(-0.1333333333333334-3.4086742269269657e-18j)
"(0, (25,))",(-0.06133341504504755+0.036702955546601364j)
"(0, (26,))",(-0.06133341504504756-0.036702955546601364j)
"(0, (27,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(0, (28,))",(-0.1333333333333336-6.4599748808523026e-18j)
"(0, (29,))",(-0.13333333333333355+2.314597244248535e-17j)
"(0, (30,))",(-0.13333333333333322+2.314597244248529e-17j)
"(0, (31,))",(-0.13333333333333322+2.314597244248529e-17j)
"(0, (32,))",(-0.13333333333333397-6.4599748808524e-18j)
"(0, (33,))",(-0.1333333333333336-6.459974880852461e-18j)
