index,x,value,0,1,2
"(-0.2, -7.0)","(-0.2, -7.0)",(2.615056227083246-1.7847244822024286j),(-0.1259893175908331-0.41877759123690855j),(0.4927657422310775-0.8323238405357765j),(2.2482798024430015-0.5336230504297437j)
"(-0.1575757575757576, -7.0)","(-0.1575757575757576, -7.0)",(2.2602926962520367-2.207647394057564j),(-0.13728423959154384-0.412978951068241j),(0.47396370594883375-0.8880177491388739j),(1.9236132298947468-0.906650693850449j)
"(-0.11515151515151516, -7.0)","(-0.11515151515151516, -7.0)",(1.9352327021218152-2.4017622404279617j),(-0.1469369438576837-0.40710556998345887j),(0.46020110402673775-0.9404385225521484j),(1.6219685419527612-1.0542181478923545j)
"(-0.07272727272727272, -7.0)","(-0.07272727272727272, -7.0)",(1.6996041131358641-2.4161824845421114j),(-0.1550168449450665-0.40129193627726284j),(0.4529763107496745-0.9897456168830456j),(1.401644647331256-1.0251449313818028j)
"(-0.030303030303030304, -7.0)","(-0.030303030303030304, -7.0)",(1.5684192049031762-2.2970148081922726j),(-0.16160177567534972-0.3956556006394788j),(0.4537252596775314-1.035989772498683j),(1.2762957209009946-0.8653694350541108j)
"(0.012121212121212116, -7.0)","(0.012121212121212116, -7.0)",(1.523219929481705-2.0769538403524535j),(-0.16677505661539174-0.39029893022236006j),(0.46381462680536245-1.0790424403776897j),(1.2261803592917344-0.6076124697524038j)
"(0.054545454545454564, -7.0)","(0.054545454545454564, -7.0)",(1.5229316514310702-1.777090212629464j),(-0.17062277121831854-0.38531118827859856j),(0.48452914079127807-1.118527968139169j),(1.2090252818581106-0.2732510562116962j)
"(0.09696969696969698, -7.0)","(0.09696969696969698, -7.0)",(1.5132869843333552-1.4167283950535254j),(-0.17323117334567345-0.38077083531210104j),(0.5170483119158895-1.1537599336529916j),(1.1694698457631392+0.11780237391156728j)
"(0.1393939393939394, -7.0)","(0.1393939393939394, -7.0)",(1.4372965127530493-1.0263497447135501j),(-0.17468414147729847-0.3767479455860707j),(0.5624081900138684-1.18368362227537j),(1.0495724642164792+0.5340818231478905j)
"(0.18181818181818182, -7.0)","(0.18181818181818182, -7.0)",(1.2499708599418635-0.6579513853055274j),(-0.17506058711748135-0.37330662666656567j),(0.6214442971737129-1.2068276373628883j),(0.8035871498856321+0.9221828787239266j)
"(0.22424242424242424, -7.0)","(0.22424242424242424, -7.0)",(0.9379011120526822-0.38585714833121276j),(-0.17443172435340404-0.3705073190685239j),(0.6947127163991246-1.2212689526159608j),(0.4176201200069617+1.205919123353272j)
"(0.26666666666666666, -7.0)","(0.26666666666666666, -7.0)",(0.5386843185833161-0.2916061730223658j),(-0.17285811410098134-0.3684088380538772j),(0.7823875682481187-1.2246172622718432j),(-0.07084513556382133+1.3014199273033547j)
"(0.30909090909090914, -7.0)","(0.30909090909090914, -7.0)",(0.1487466252397358-0.4314208138739857j),(-0.1703864114126163-0.367070000743389j),(0.8841349086909873-1.2140261160001475j),(-0.5650018720386352+1.149675302869551j)
"(0.3515151515151515, -7.0)","(0.3515151515151515, -7.0)",(-0.0943557305506102-0.7952051959830326j),(-0.16704576864525678-0.3665506600465771j),(0.9989655675101999-1.1862398322914018j),(-0.9262755294155534+0.7575852963549463j)
"(0.393939393939394, -7.0)","(0.393939393939394, -7.0)",(-0.06187496462908848-1.2785425573997757j),(-0.16284388271240155-0.36691194427011575j),(1.1250727234486084-1.1376862857645211j),(-1.0241038053652953+0.22605567263486104j)
"(0.43636363636363634, -7.0)","(0.43636363636363634, -7.0)",(0.29598048079177286-1.6945698506580094j),(-0.1577627224433038-0.36821548017803063j),(1.2596641203209331-1.064625998248661j),(-0.8059209170858564-0.2617283722313178j)
"(0.4787878787878788, -7.0)","(0.4787878787878788, -7.0)",(0.8944962053292773-1.8403593772629918j),(-0.15175403334954649-0.3705213611458413j),(1.3988036961057029-0.9633670933204972j),(-0.3525534574268791-0.5064709227966533j)
"(0.5212121212121212, -7.0)","(0.5212121212121212, -7.0)",(1.517819633675036-1.6004063205988264j),(-0.14473479242940285-0.37388461517425053j),(1.537282788877166-0.8305531090547797j),(0.12527163722727286-0.3959685963697961j)
"(0.5636363636363637, -7.0)","(0.5636363636363637, -7.0)",(1.9047022366632766-1.033147348251814j),(-0.1365828747201652-0.37834993510104j),(1.668546545022102-0.6635259087399159j),(0.37273856636133984+0.008728495589141697j)
"(0.6060606060606062, -7.0)","(0.6060606060606062, -7.0)",(1.8892869882190226-0.37443112719843685j),(-0.1271332945582357-0.38394446136786725j),(1.7847059675010202-0.4607585619770356j),(0.23171431527623826+0.47027189614646603j)
"(0.6484848484848484, -7.0)","(0.6484848484848484, -7.0)",(1.5175108324710855+0.07229025714401682j),(-0.11617549463158425-0.39066846274373357j),(1.8766691969763925-0.2223428523176335j),(-0.2429828698737227+0.6853015722053839j)
"(0.6909090909090909, -7.0)","(0.6909090909090909, -7.0)",(1.0505765035110386+0.11476693755697559j),(-0.10345226941980301-0.3984838492762181j),(1.934425835561267+0.04949690378471239j),(-0.7803970626304253+0.4637538830484813j)
"(0.7333333333333334, -7.0)","(0.7333333333333334, -7.0)",(0.8254599187373262-0.18925838882970522j),(-0.08866101840888863-0.4073005808873246j),(1.947513925833617+0.3499071773838345j),(-1.0333929886874023-0.13186498532621507j)
"(0.7757575757575759, -7.0)","(0.7757575757575759, -7.0)",(1.0416861847048307-0.539332763776404j),(-0.07145811744630125-0.4169612097748619j),(1.9056890768430839+0.6709851817843745j),(-0.7925447746919521-0.7933567357859167j)
"(0.8181818181818183, -7.0)","(0.8181818181818183, -7.0)",(1.6121921936679149-0.564846192495341j),(-0.05146725950653458-0.42722401830724754j),(1.7997979010148195+1.0015098589892417j),(-0.13613844784037007-1.1391320331773351j)
"(0.8606060606060608, -7.0)","(0.8606060606060608, -7.0)",(2.191016323384294-0.06393425012477738j),(-0.028292631595201373-0.4377454862107845j),(1.6228326980552907+1.3269091637534336j),(0.5964762569242047-0.9530979276674264j)
"(0.9030303030303031, -7.0)","(0.9030303030303031, -7.0)",(2.376249512659532+0.8499690489675806j),(-0.0015377425042799875-0.44806313653878077j),(1.3711115383509664+1.6295521138714446j),(1.0066757168128455-0.3315199283650831j)
"(0.9454545454545455, -7.0)","(0.9454545454545455, -7.0)",(1.962197863537184+1.8005032682378777j),(0.02916942511212542-0.4575801578370428j),(1.045489421092168+1.8894455524988274j),(0.8875390173328905+0.36863787357609323j)
"(0.987878787878788, -7.0)","(0.987878787878788, -7.0)",(1.0735379955701627+2.3740745952271065j),(0.06414451726564847-0.465553560889882j),(0.6524658162008288+2.085391407910436j),(0.35692766210368543+0.7542367482065525j)
"(1.0303030303030305, -7.0)","(1.0303030303030305, -7.0)",(0.08820577646744399+2.3748053023627915j),(0.10360812806795988-0.4710879741276608j),(0.20501762965767878+2.1966175319925347j),(-0.22041998125819467+0.6492757444979175j)
"(1.0727272727272728, -7.0)","(1.0727272727272728, -7.0)",(-0.6068921152482804+1.9407613298727568j),(0.14764082747761326-0.47313747395235517j),(-0.2770374849899504+2.2048331521150266j),(-0.4774954577359432+0.2090656517100854j)
"(1.1151515151515152, -7.0)","(1.1151515151515152, -7.0)",(-0.8714991346937747+1.4368747585638808j),(0.19613306949387602-0.4705180366997087j),(-0.7673450132060342+2.096581110456462j),(-0.3002871909816165-0.18918831519287213j)
"(1.1575757575757577, -7.0)","(1.1575757575757577, -7.0)",(-0.9025990225592327+1.180995667087786j),(0.248731978016255-0.4619332307292856j),(-1.2341533734125232+1.8656703572699618j),(0.08282237283703538-0.22274145945289026j)
"(1.2000000000000002, -7.0)","(1.2000000000000002, -7.0)",(-1.0725428970008588+1.18293632975523j),(0.30478795195396974-0.44601557712507645j),(-1.6423903721515818+1.5153856844086597j),(0.26505952319675324+0.1135662224716466j)
