index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(0,)",(-0.008393153437137863+0.0074468594804465715j),(-0.001078671732982088+0.0007186009824117366j),(-0.0001329017481642018+3.0322048616041198e-05j),(2.9511687019299127e-06+9.188349628892944e-05j),(8.97220106424902e-05+4.861853055518804e-05j),(-0.0005279524002230244-0.0005594609705677337j),(5.250014083854755e-05+3.797105088398353e-05j),(-2.8907959100254253e-05+6.438306895755883e-05j),(-5.789275897532033e-05-6.084796085816319e-05j),(0.011460554475151303+0.0010766074152699233j)
"(1,)",(-0.001078671732982088+0.0007186009824117366j),(-0.0060609478775428775+0.002736476447045515j),(-0.0006538560570831257+0.0020826699905895003j),(2.337863468009108e-05+1.002266599802607e-05j),(1.657242994009452e-06-1.371399873289763e-05j),(-1.8181175990195093e-06+7.573316560477416e-05j),(1.705501829241119e-06+1.1288502298108704e-08j),(-5.0854511313520086e-05-9.65171686779441e-06j),(-0.004002276335894344+0.0007414346196233111j),(0.012024999783165867-0.00272964539926723j)
"(2,)",(-0.0001329017481642018+3.0322048616041198e-05j),(-0.0006538560570831257+0.0020826699905895003j),(-0.006060947877542874+0.0027364764470455116j),(-0.0006538560570831255+0.0020826699905895003j),(3.3066123550567555e-05+1.0262152995305435e-05j),(-8.023971182722012e-05+1.503999154712135e-05j),(-5.085451131350987e-05-9.651716867786765e-06j),(-0.0040022763358943435+0.0007414346196233355j),(0.014881212254498946+0.005565482012348438j),(-0.0041739505174359405+0.0007869126785214637j)
"(3,)",(2.9511687019299127e-06+9.188349628892944e-05j),(2.337863468009108e-05+1.002266599802607e-05j),(-0.0006538560570831255+0.0020826699905895003j),(-0.006060947877542872+0.0027364764470455116j),(-0.000653885845861561+0.0020826869925229816j),(-1.9050563896983475e-05-9.843691175422418e-05j),(-0.004002276335894334+0.0007414346196233189j),(0.014881212254498932+0.005565482012348445j),(-0.00400227633589432+0.0007414346196232884j),(-4.3730210615364975e-05-3.015241807980471e-06j)
"(4,)",(8.97220106424902e-05+4.861853055518804e-05j),(1.657242994009452e-06-1.371399873289763e-05j),(3.3066123550567555e-05+1.0262152995305435e-05j),(-0.000653885845861561+0.0020826869925229816j),(-0.006201387121852648+0.002681183059810496j),(-0.0007744419461329856+0.001502615498407771j),(0.012024999783165844-0.0027296453992671985j),(-0.004173950517435959+0.0007869126785215233j),(-4.3730210615351145e-05-3.015241807973188e-06j),(1.9038399336476484e-06-4.124821914421568e-06j)
"(5,)",(-0.0005279524002230244-0.0005594609705677337j),(-1.8181175990195093e-06+7.573316560477416e-05j),(-8.023971182722012e-05+1.503999154712135e-05j),(-1.9050563896983475e-05-9.843691175422418e-05j),(-0.0007744419461329856+0.001502615498407771j),(-0.009151452998033964+0.004202270410287169j),(-0.0006554695238285283+0.0014173075783317187j),(-0.00014507100341474286-4.081928398518642e-05j),(-7.536623533651682e-05+6.61377462288385e-05j),(1.615564318828763e-05+0.00011375307408632438j)
"(6,)",(5.250014083854755e-05+3.797105088398353e-05j),(1.705501829241119e-06+1.1288502298108704e-08j),(-5.085451131350987e-05-9.651716867786765e-06j),(-0.004002276335894334+0.0007414346196233189j),(0.012024999783165844-0.0027296453992671985j),(-0.0006554695238285283+0.0014173075783317187j),(-0.006060947877542874+0.002736476447045512j),(-0.0006538560570831237+0.0020826699905895003j),(2.337863468007559e-05+1.0022665998023527e-05j),(1.6572429940193226e-06-1.3713998732908132e-05j)
"(7,)",(-2.8907959100254253e-05+6.438306895755883e-05j),(-5.0854511313520086e-05-9.65171686779441e-06j),(-0.0040022763358943435+0.0007414346196233355j),(0.014881212254498932+0.005565482012348445j),(-0.004173950517435959+0.0007869126785215233j),(-0.00014507100341474286-4.081928398518642e-05j),(-0.0006538560570831237+0.0020826699905895003j),(-0.0060609478775428705+0.0027364764470455103j),(-0.0006538560570831214+0.0020826699905895025j),(3.3066123550552484e-05+1.0262152995312926e-05j)
"(8,)",(-5.789275897532033e-05-6.084796085816319e-05j),(-0.004002276335894344+0.0007414346196233111j),(0.014881212254498946+0.005565482012348438j),(-0.00400227633589432+0.0007414346196232884j),(-4.3730210615351145e-05-3.015241807973188e-06j),(-7.536623533651682e-05+6.61377462288385e-05j),(2.337863468007559e-05+1.0022665998023527e-05j),(-0.0006538560570831214+0.0020826699905895025j),(-0.006060947877542873+0.002736476447045513j),(-0.0006538858458615652+0.0020826869925229803j)
"(9,)",(0.011460554475151303+0.0010766074152699233j),(0.012024999783165867-0.00272964539926723j),(-0.0041739505174359405+0.0007869126785214637j),(-4.3730210615364975e-05-3.015241807980471e-06j),(1.9038399336476484e-06-4.124821914421568e-06j),(1.615564318828763e-05+0.00011375307408632438j),(1.6572429940193226e-06-1.3713998732908132e-05j),(3.3066123550552484e-05+1.0262152995312926e-05j),(-0.0006538858458615652+0.0020826869925229803j),(-0.006201387121852645+0.0026811830598104987j)
