index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(0,)",(-0.0007013676033086258+0.0022487434223344006j),(0.001446989659862592+0.0006295353779561983j),(-0.00011729696059178782+0.0006989533094728962j),(5.5542071294012175e-05-0.00016315216345351137j),(-7.045485891987519e-05-1.565915484758243e-05j),(-1.582002395726715e-05+4.26397352564173e-05j),(2.864402607740483e-05+1.8188193292497144e-05j),(2.0017383270762558e-05-1.90564873575774e-05j),(-1.135522555583241e-05-2.0817274380074973e-05j),(-2.04863392218187e-05+4.764560390004136e-06j),(-9.114850807989411e-07+1.9059242803277618e-05j),(1.6654367888135073e-05+5.656444440027577e-06j),(9.386633427024111e-06-1.3454048550236495e-05j),(-9.688816056729542e-06-1.2019190299472597e-05j),(-1.3507294141404226e-05+5.620376533858924e-06j),(1.5230448753352191e-06+1.385818676491455e-05j),(1.314023086575603e-05+2.335378617566171e-06j),(5.711981963304756e-06-1.1481939824000828e-05j),(-9.064765992472373e-06-8.405054521112802e-06j),(-1.0267178479675328e-05+6.1110931938906314e-06j),(2.868834422030018e-06+1.1214187703393255e-05j),(1.1229400857386576e-05+4.0592806551587637e-07j),(3.466804056137149e-06-1.036289455814196e-05j),(-8.725953932983788e-06-6.094045273305354e-06j),(-8.109294457758223e-06+6.4811943412620335e-06j),(0.00016824569688124816+0.00016809322517721148j),(0.00016973355635693826+0.00015590960202695634j),(-7.162557475492569e-06+6.999547527048509e-06j),(-8.960857440995427e-06-4.959923941542829e-06j),(2.2249075397151033e-06-1.0246799372482307e-05j),(1.0714768123099839e-05-8.407385476804976e-07j),(3.99798341861953e-06+1.0280877851292451e-05j),(-8.92926363520694e-06+6.987224495150027e-06j),(-9.547128747292806e-06-6.716680393052612e-06j),(3.771967179838538e-06-1.1434269119857204e-05j),(1.2442136273343877e-05+2.9033573098492717e-07j),(3.4771490260025384e-06+1.2418135439745953e-05j),(-1.1277319735904357e-05+7.238126694551762e-06j),(-1.0676391966601423e-05-9.0118610567971e-06j),(5.695611010994517e-06-1.3470751809722382e-05j),(1.5313483046975284e-05+1.4835535043668372e-06j),(3.3934909472831297e-06+1.592622621692867e-05j),(-1.507060209212073e-05+8.63782870593179e-06j),(-1.3895416671121119e-05-1.2549723605924294e-05j),(8.194200857349016e-06-1.876420323647353e-05j),(2.2794163024964417e-05+1.8201347858066337e-06j),(6.865761528311391e-06+2.547522254112579e-05j),(-2.6299012524095574e-05+1.8426502196281884e-05j),(-3.343979734435061e-05-2.654739439584021e-05j),(-4.2139003556074906e-05+0.00030368552030307687j)
"(1,)",(0.001446989659862592+0.0006295353779561983j),(-0.0009328247652579654+0.0018950585530642468j),(6.341467060420856e-05+0.00033696788492880707j),(-2.3012750041752067e-05-1.8218096326887463e-05j),(-1.606502117838501e-05+1.4863210666890538e-05j),(7.575210378470817e-06+1.6540089637427415e-05j),(1.5790702902442725e-05-1.5806864401169243e-06j),(3.184573687211226e-06-1.3907587138505548e-05j),(-1.1197527002289315e-05-6.765592973528224e-06j),(-9.187303173347176e-06+7.967975147909107e-06j),(4.509186344751263e-06+1.0489273431699253e-05j),(1.074502220291386e-05-1.0890623760248583e-06j),(2.054437156458912e-06-1.0068994925138579e-05j),(-8.615273482905958e-06-4.722319674149044e-06j),(-6.762982176628897e-06+6.570656782368622e-06j),(4.143968814860565e-06+8.078521565484186e-06j),(8.627982178313485e-06-1.5531048183978072e-06j),(9.88837659208346e-07-8.427055481670018e-06j),(-7.544140879211924e-06-3.287112904359848e-06j),(-5.17746903285854e-06+6.093015189298886e-06j),(4.222642774341112e-06+6.535953289448558e-06j),(7.285673393701486e-06-2.1048820636199733e-06j),(7.900101427329204e-08-7.400061908306651e-06j),(-6.9024673539904916e-06-2.152022858095555e-06j),(-3.954384159763154e-06+5.862176908071492e-06j),(0.0001412087081799553+8.394100785035446e-05j),(0.0001444313213355598+9.106303133537533e-05j),(-4.640844590365318e-06+5.896176813316511e-06j),(-7.1534663414367674e-06-2.846160086935222e-06j),(7.146739292293957e-07-7.878593811184604e-06j),(7.983473636854978e-06-1.6001041519512246e-06j),(3.9227750934264245e-06+7.4231922622274474e-06j),(-6.200928302703219e-06+6.06804044804147e-06j),(-7.853625623049591e-06-4.36948885331359e-06j),(2.0293083281813116e-06-9.113147390328145e-06j),(9.707899152773647e-06-6.769664025400301e-07j),(3.5728985432629915e-06+9.53654766590774e-06j),(-8.54179507936165e-06+6.4590105206666754e-06j),(-9.124913186987546e-06-6.713121227483705e-06j),(4.084701885185657e-06-1.1361593112957125e-05j),(1.297228268465655e-05+7.273205687932903e-07j),(3.2678806366996748e-06+1.377972075840068e-05j),(-1.3626234073384888e-05+7.818822991226407e-06j),(-1.2908547000253107e-05-1.2359537319371652e-05j),(9.787290897185475e-06-1.870878106432222e-05j),(2.5916354795798332e-05+5.554529789384696e-06j),(1.1746215144541224e-06+3.695190508099351e-05j),(-6.207429362930746e-05+1.1991775476825188e-05j),(-2.936886102140961e-06-0.00016426584575047673j),(6.542540183427613e-05+0.0006179659371888431j)
"(2,)",(-0.00011729696059178782+0.0006989533094728962j),(6.341467060420856e-05+0.00033696788492880707j),(-0.0005172657351361947+0.0016647776860917018j),(-2.8020804705992616e-05+0.0003764087388167958j),(2.813094219721068e-06+1.293885531423596e-06j),(6.724873796195769e-07+2.8791239099679904e-07j),(4.6487145884383296e-07+9.182605209224875e-08j),(4.011746320661776e-07-2.3953869944539875e-07j),(1.2450328481398524e-08-4.6777778555375545e-07j),(-4.084364383856075e-07-2.1279909255249075e-07j),(-3.456887541674922e-07+2.8589200988261686e-07j),(1.377073430632968e-07+4.124880564802869e-07j),(4.206705880756247e-07+1.1507160244978505e-08j),(1.4494576835782792e-07-3.8049380878625895e-07j),(-3.0365905186689386e-07-2.5134843890448606e-07j),(-3.239243513532715e-07+2.0248696077626657e-07j),(8.922132053375732e-08+3.597321869419829e-07j),(3.591950608831771e-07+2.4621270596735104e-08j),(1.2884733510202365e-07-3.2560800587629987e-07j),(-2.645837818525008e-07-2.1509471285828914e-07j),(-2.772180760505747e-07+1.83429486591269e-07j),(9.047264328410316e-08+3.115243592677438e-07j),(3.168421446109332e-07+5.630055946366974e-09j),(9.65613933361217e-08-2.9442196314337667e-07j),(-2.476774065014846e-07-1.7494864605673586e-07j),(-3.954384159763068e-06+5.862176908071539e-06j),(-4.640844590364067e-06+5.896176813314393e-06j),(-2.3174247270545846e-07-2.3108796802130479e-07j),(1.5947000854409454e-07-2.968296533175275e-07j),(3.406102943177166e-07+6.957717778547989e-08j),(3.253669796511441e-08+3.580573844230423e-07j),(-3.457847815728137e-07+1.3952116145631925e-07j),(-2.431704949035855e-07-3.023336330892486e-07j),(2.2832481557638447e-07-3.349126599859721e-07j),(4.0629693629738785e-07+1.2646671784316438e-07j),(-1.4213369622102027e-09+4.4942180887326794e-07j),(-4.572317960649734e-07+1.4045163394900395e-07j),(-2.9143076537366867e-07-4.235888036923532e-07j),(3.4297379464845815e-07-4.427717397671464e-07j),(5.849035403965831e-07+2.0955704337301123e-07j),(-1.5078647132860124e-08+7.071775598626636e-07j),(-7.964435254743618e-07+2.558306843317878e-07j),(-6.367398625440112e-07-8.324767847781783e-07j),(7.741608693665848e-07-1.209592410179399e-06j),(2.205146993718545e-06+5.152977470197351e-07j),(2.651549251351448e-07+4.4475212634381514e-06j),(-1.2291252093382278e-05+2.337734395328093e-06j),(1.1630484783434545e-05-6.059099025557378e-05j),(-0.00020353510303626363+0.0004039982809996908j),(0.00040399678451700735+0.0010790645564950295j)
"(3,)",(5.5542071294012175e-05-0.00016315216345351137j),(-2.3012750041752067e-05-1.8218096326887463e-05j),(-2.8020804705992616e-05+0.0003764087388167958j),(-0.0005172657351361944+0.0016647776860917011j),(-2.802080470599263e-05+0.0003764087388167963j),(2.813094219720864e-06+1.2938855314238696e-06j),(6.724873796197346e-07+2.8791239099668056e-07j),(4.6487145884353724e-07+9.18260520922883e-08j),(4.01174632066217e-07-2.395386994449843e-07j),(1.245032848158602e-08-4.6777778555345904e-07j),(-4.0843643838525247e-07-2.1279909255316695e-07j),(-3.4568875416797574e-07+2.8589200988291295e-07j),(1.3770734306327707e-07+4.124880564800254e-07j),(4.2067058807562446e-07+1.1507160245244951e-08j),(1.4494576835750223e-07-3.804938087862096e-07j),(-3.036590518670423e-07-2.5134843890426435e-07j),(-3.2392435135380393e-07+2.024869607771446e-07j),(8.922132053450734e-08+3.5973218694120824e-07j),(3.591950608840258e-07+2.4621270596784447e-08j),(1.2884733510224075e-07-3.25608005876517e-07j),(-2.645837818531229e-07-2.1509471285867928e-07j),(-2.7721807604965905e-07+1.8342948659126877e-07j),(9.047264328278088e-08+3.115243592674975e-07j),(3.16842144610795e-07+5.6300559472946275e-09j),(9.656139333717752e-08-2.944219631433565e-07j),(-6.902467353988744e-06-2.152022858094575e-06j),(-7.1534663414336554e-06-2.8461600869328016e-06j),(1.5947000854495314e-07-2.9682965331656533e-07j),(3.406102943173208e-07+6.957717778568694e-08j),(3.253669796422624e-08+3.580573844226081e-07j),(-3.4578478157217716e-07+1.395211614557765e-07j),(-2.43170494902244e-07-3.0233363308859317e-07j),(2.2832481557623148e-07-3.349126599852616e-07j),(4.062969362977963e-07+1.2646671784278904e-07j),(-1.4213369620128297e-09+4.494218088731544e-07j),(-4.572317960647267e-07+1.4045163394937897e-07j),(-2.914307653739063e-07-4.2358880369165375e-07j),(3.4297379464903053e-07-4.4277173976722534e-07j),(5.849035403963248e-07+2.0955704337335605e-07j),(-1.5078647132425904e-08+7.071775598626636e-07j),(-7.964435254739672e-07+2.5583068433263654e-07j),(-6.367398625443287e-07-8.324767847776625e-07j),(7.741608693662986e-07-1.2095924101792807e-06j),(2.2051469937190517e-06+5.152977470197237e-07j),(2.65154925135352e-07+4.4475212634378745e-06j),(-1.2291252093382915e-05+2.3377343953266655e-06j),(1.1630484783433576e-05-6.059099025557253e-05j),(-0.00020353510303626105+0.0004039982809996911j),(0.0004039967845170097+0.001079064556495031j),(-0.0002035351030362621+0.00040399828099969045j)
"(4,)",(-7.045485891987519e-05-1.565915484758243e-05j),(-1.606502117838501e-05+1.4863210666890538e-05j),(2.813094219721068e-06+1.293885531423596e-06j),(-2.802080470599263e-05+0.0003764087388167963j),(-0.0005172657351361944+0.0016647776860917026j),(-2.8020804705992348e-05+0.00037640873881679464j),(2.813094219721067e-06+1.2938855314236462e-06j),(6.724873796196069e-07+2.87912390996444e-07j),(4.648714588440111e-07+9.182605209210081e-08j),(4.0117463206620707e-07-2.3953869944547763e-07j),(1.245032848174393e-08-4.677777855537556e-07j),(-4.084364383852724e-07-2.1279909255274264e-07j),(-3.4568875416769955e-07+2.8589200988265646e-07j),(1.3770734306321778e-07+4.124880564802423e-07j),(4.206705880755161e-07+1.1507160245353509e-08j),(1.4494576835741366e-07-3.804938087860918e-07j),(-3.036590518665091e-07-2.513484389041555e-07j),(-3.239243513537794e-07+2.0248696077623676e-07j),(8.922132053454685e-08+3.5973218694171164e-07j),(3.5919506088331535e-07+2.4621270597090382e-08j),(1.2884733510134293e-07-3.2560800587609325e-07j),(-2.645837818525009e-07-2.1509471285964121e-07j),(-2.772180760508413e-07+1.8342948659169345e-07j),(9.047264328379739e-08+3.1152435926804533e-07j),(3.168421446110908e-07+5.630055945913011e-09j),(7.900101427513253e-08-7.400061908307352e-06j),(7.146739292304664e-07-7.878593811183959e-06j),(3.406102943194724e-07+6.957717778532183e-08j),(3.253669796510447e-08+3.580573844236336e-07j),(-3.4578478157263127e-07+1.3952116145611207e-07j),(-2.431704949026191e-07-3.0233363308867226e-07j),(2.2832481557621742e-07-3.34912659986062e-07j),(4.0629693629696253e-07+1.264667178433516e-07j),(-1.4213369619042714e-09+4.494218088726747e-07j),(-4.5723179606524994e-07+1.4045163394895469e-07j),(-2.9143076537415317e-07-4.2358880369191045e-07j),(3.429737946485727e-07-4.4277173976734525e-07j),(5.849035403968579e-07+2.0955704337298114e-07j),(-1.5078647133077196e-08+7.071775598627903e-07j),(-7.964435254742093e-07+2.5583068433190634e-07j),(-6.367398625432829e-07-8.324767847772681e-07j),(7.741608693661431e-07-1.2095924101788504e-06j),(2.205146993719052e-06+5.15297747020326e-07j),(2.651549251351688e-07+4.4475212634379625e-06j),(-1.2291252093382307e-05+2.337734395327239e-06j),(1.1630484783436043e-05-6.0590990255572685e-05j),(-0.00020353510303625923+0.00040399828099968845j),(0.0004039967845170075+0.0010790645564950295j),(-0.0002035351030362629+0.00040399828099969273j),(1.1630484783435096e-05-6.0590990255573065e-05j)
"(5,)",(-1.582002395726715e-05+4.26397352564173e-05j),(7.575210378470817e-06+1.6540089637427415e-05j),(6.724873796195769e-07+2.8791239099679904e-07j),(2.813094219720864e-06+1.2938855314238696e-06j),(-2.8020804705992348e-05+0.00037640873881679464j),(-0.0005172657351361944+0.0016647776860917044j),(-2.802080470599267e-05+0.00037640873881679535j),(2.8130942197207836e-06+1.2938855314237684e-06j),(6.724873796194488e-07+2.8791239099679915e-07j),(4.6487145884397114e-07+9.182605209247573e-08j),(4.0117463206585195e-07-2.3953869944520134e-07j),(1.2450328481743925e-08-4.677777855537752e-07j),(-4.08436438385213e-07-2.1279909255252543e-07j),(-3.4568875416794096e-07+2.8589200988291274e-07j),(1.3770734306361247e-07+4.124880564801534e-07j),(4.2067058807602966e-07+1.1507160245037723e-08j),(1.4494576835767002e-07-3.804938087862688e-07j),(-3.0365905186718006e-07-2.5134843890448606e-07j),(-3.2392435135397667e-07+2.0248696077615775e-07j),(8.922132053392509e-08+3.597321869417312e-07j),(3.5919506088327125e-07+2.4621270596498296e-08j),(1.2884733510136243e-07-3.2560800587538704e-07j),(-2.6458378185230383e-07-2.150947128590987e-07j),(-2.772180760507647e-07+1.8342948659068677e-07j),(9.047264328335315e-08+3.115243592683211e-07j),(7.285673393700327e-06-2.10488206362e-06j),(7.983473636854642e-06-1.6001041519506912e-06j),(3.2536697964601155e-08+3.5805738442334474e-07j),(-3.457847815705775e-07+1.3952116145596358e-07j),(-2.431704949026881e-07-3.023336330895751e-07j),(2.2832481557632587e-07-3.3491265998736453e-07j),(4.062969362954388e-07+1.2646671784200977e-07j),(-1.4213369616476858e-09+4.4942180887362677e-07j),(-4.5723179606438994e-07+1.4045163395067138e-07j),(-2.9143076537343266e-07-4.2358880369243826e-07j),(3.4297379464781763e-07-4.427717397669305e-07j),(5.849035403968001e-07+2.0955704337177764e-07j),(-1.50786471336101e-08+7.071775598622275e-07j),(-7.964435254746655e-07+2.5583068433149103e-07j),(-6.36739862543322e-07-8.324767847784372e-07j),(7.741608693658073e-07-1.2095924101796394e-06j),(2.2051469937191364e-06+5.152977470200114e-07j),(2.65154925134769e-07+4.447521263438455e-06j),(-1.2291252093382664e-05+2.3377343953264224e-06j),(1.1630484783435663e-05-6.059099025557322e-05j),(-0.00020353510303626327+0.00040399828099968866j),(0.000403996784517004+0.0010790645564950265j),(-0.00020353510303626138+0.0004039982809996917j),(1.163048478343615e-05-6.059099025557382e-05j),(-1.2291252093382542e-05+2.3377343953267146e-06j)
"(6,)",(2.864402607740483e-05+1.8188193292497144e-05j),(1.5790702902442725e-05-1.5806864401169243e-06j),(4.6487145884383296e-07+9.182605209224875e-08j),(6.724873796197346e-07+2.8791239099668056e-07j),(2.813094219721067e-06+1.2938855314236462e-06j),(-2.802080470599267e-05+0.00037640873881679535j),(-0.0005172657351361951+0.0016647776860917035j),(-2.8020804705992684e-05+0.00037640873881679605j),(2.813094219721067e-06+1.293885531423616e-06j),(6.724873796198428e-07+2.8791239099668046e-07j),(4.648714588438332e-07+9.182605209234747e-08j),(4.0117463206607874e-07-2.395386994450434e-07j),(1.2450328481556418e-08-4.6777778555369616e-07j),(-4.084364383853507e-07-2.1279909255292983e-07j),(-3.456887541679557e-07+2.858920098829324e-07j),(1.3770734306319814e-07+4.1248805648021294e-07j),(4.206705880756046e-07+1.1507160245225208e-08j),(1.4494576835761073e-07-3.804938087865845e-07j),(-3.0365905186692335e-07-2.513484389041504e-07j),(-3.239243513539667e-07+2.024869607760195e-07j),(8.922132053436927e-08+3.5973218694141084e-07j),(3.5919506088316707e-07+2.4621270596567332e-08j),(1.2884733510184617e-07-3.2560800587638415e-07j),(-2.6458378185218525e-07-2.1509471285890125e-07j),(-2.7721807605101833e-07+1.8342948659135752e-07j),(4.222642774339669e-06+6.535953289447735e-06j),(3.92277509342765e-06+7.423192262226851e-06j),(-3.4578478157217615e-07+1.3952116145552934e-07j),(-2.4317049490210504e-07-3.0233363308873536e-07j),(2.283248155761827e-07-3.3491265998607164e-07j),(4.062969362969338e-07+1.26466717843342e-07j),(-1.4213369612726805e-09+4.4942180887248814e-07j),(-4.5723179606399003e-07+1.4045163394776008e-07j),(-2.9143076537410283e-07-4.2358880369150435e-07j),(3.429737946482863e-07-4.427717397674337e-07j),(5.849035403964645e-07+2.095570433729026e-07j),(-1.5078647132869988e-08+7.071775598625154e-07j),(-7.964435254747394e-07+2.558306843318265e-07j),(-6.367398625437741e-07-8.324767847781187e-07j),(7.741608693660439e-07-1.2095924101787509e-06j),(2.2051469937188794e-06+5.152977470195572e-07j),(2.6515492513517427e-07+4.4475212634376364e-06j),(-1.2291252093382463e-05+2.337734395326777e-06j),(1.1630484783436737e-05-6.059099025557231e-05j),(-0.00020353510303626192+0.00040399828099968964j),(0.0004039967845170079+0.0010790645564950285j),(-0.00020353510303625815+0.0004039982809996911j),(1.1630484783434548e-05-6.059099025557318e-05j),(-1.2291252093383074e-05+2.3377343953269048e-06j),(2.6515492513565787e-07+4.4475212634379515e-06j)
"(7,)",(2.0017383270762558e-05-1.90564873575774e-05j),(3.184573687211226e-06-1.3907587138505548e-05j),(4.011746320661776e-07-2.3953869944539875e-07j),(4.6487145884353724e-07+9.18260520922883e-08j),(6.724873796196069e-07+2.87912390996444e-07j),(2.8130942197207836e-06+1.2938855314237684e-06j),(-2.8020804705992684e-05+0.00037640873881679605j),(-0.0005172657351361944+0.0016647776860917013j),(-2.8020804705992335e-05+0.00037640873881679464j),(2.813094219721067e-06+1.2938855314236665e-06j),(6.724873796198044e-07+2.8791239099679925e-07j),(4.64871458844248e-07+9.182605209196267e-08j),(4.011746320664541e-07-2.395386994451225e-07j),(1.2450328481625499e-08-4.677777855539527e-07j),(-4.0843643838552865e-07-2.127990925531323e-07j),(-3.45688754167907e-07+2.8589200988230134e-07j),(1.3770734306304014e-07+4.1248805648063704e-07j),(4.206705880756147e-07+1.150716024556075e-08j),(1.4494576835771942e-07-3.8049380878612094e-07j),(-3.0365905186692356e-07-2.5134843890450094e-07j),(-3.2392435135323213e-07+2.02486960776316e-07j),(8.922132053418171e-08+3.5973218694191397e-07j),(3.591950608839771e-07+2.4621270596843703e-08j),(1.2884733510217188e-07-3.256080058764831e-07j),(-2.6458378185312265e-07-2.150947128582004e-07j),(-5.177469032858396e-06+6.093015189299113e-06j),(-6.200928302700377e-06+6.06804044804048e-06j),(-2.4317049490311184e-07-3.023336330894264e-07j),(2.2832481557570362e-07-3.3491265998599197e-07j),(4.0629693629740775e-07+1.2646671784321378e-07j),(-1.4213369619832243e-09+4.494218088730608e-07j),(-4.5723179606500314e-07+1.4045163394882636e-07j),(-2.9143076537371817e-07-4.2358880369242735e-07j),(3.429737946481721e-07-4.4277173976689e-07j),(5.849035403963661e-07+2.095570433724981e-07j),(-1.5078647133264745e-08+7.071775598624665e-07j),(-7.964435254742437e-07+2.55830684331482e-07j),(-6.367398625440114e-07-8.324767847777591e-07j),(7.741608693667824e-07-1.2095924101796165e-06j),(2.2051469937188218e-06+5.15297747020051e-07j),(2.65154925135431e-07+4.447521263437955e-06j),(-1.229125209338286e-05+2.337734395327288e-06j),(1.1630484783436737e-05-6.059099025557346e-05j),(-0.00020353510303626452+0.00040399828099969067j),(0.0004039967845170072+0.0010790645564950298j),(-0.00020353510303626216+0.0004039982809996913j),(1.1630484783432888e-05-6.0590990255572936e-05j),(-1.2291252093382407e-05+2.3377343953268146e-06j),(2.65154925135075e-07+4.447521263438357e-06j),(2.2051469937190784e-06+5.152977470200609e-07j)
"(8,)",(-1.135522555583241e-05-2.0817274380074973e-05j),(-1.1197527002289315e-05-6.765592973528224e-06j),(1.2450328481398524e-08-4.6777778555375545e-07j),(4.01174632066217e-07-2.395386994449843e-07j),(4.648714588440111e-07+9.182605209210081e-08j),(6.724873796194488e-07+2.8791239099679915e-07j),(2.813094219721067e-06+1.293885531423616e-06j),(-2.8020804705992335e-05+0.00037640873881679464j),(-0.0005172657351361944+0.0016647776860917033j),(-2.802080470599261e-05+0.0003764087388167954j),(2.8130942197207845e-06+1.293885531423769e-06j),(6.724873796192813e-07+2.879123909970559e-07j),(4.648714588439519e-07+9.182605209243636e-08j),(4.0117463206622676e-07-2.395386994452803e-07j),(1.2450328481941295e-08-4.6777778555399214e-07j),(-4.084364383851147e-07-2.1279909255284145e-07j),(-3.456887541679806e-07+2.858920098828536e-07j),(1.377073430632375e-07+4.124880564804496e-07j),(4.206705880756049e-07+1.1507160245047581e-08j),(1.4494576835730493e-07-3.804938087864367e-07j),(-3.036590518668154e-07-2.51348438904447e-07j),(-3.239243513539225e-07+2.024869607764637e-07j),(8.922132053442854e-08+3.5973218694110024e-07j),(3.5919506088354776e-07+2.4621270596448956e-08j),(1.2884733510206317e-07-3.256080058763691e-07j),(-7.5441408792118015e-06-3.287112904359727e-06j),(-7.853625623050328e-06-4.369488853312707e-06j),(2.2832481557619212e-07-3.3491265998619917e-07j),(4.0629693629704644e-07+1.2646671784373648e-07j),(-1.4213369614897919e-09+4.494218088733322e-07j),(-4.572317960647466e-07+1.4045163394916192e-07j),(-2.9143076537384723e-07-4.2358880369307496e-07j),(3.4297379464874937e-07-4.427717397667124e-07j),(5.849035403963744e-07+2.095570433727245e-07j),(-1.5078647132672626e-08+7.071775598620028e-07j),(-7.964435254743177e-07+2.5583068433204446e-07j),(-6.367398625434605e-07-8.32476784777949e-07j),(7.74160869366368e-07-1.2095924101795772e-06j),(2.20514699371927e-06+5.152977470199312e-07j),(2.6515492513498697e-07+4.447521263438153e-06j),(-1.2291252093382566e-05+2.3377343953269823e-06j),(1.163048478343588e-05-6.059099025557309e-05j),(-0.00020353510303626604+0.00040399828099969j),(0.0004039967845170117+0.0010790645564950339j),(-0.00020353510303626254+0.00040399828099969257j),(1.1630484783435934e-05-6.059099025557315e-05j),(-1.2291252093382322e-05+2.3377343953273935e-06j),(2.651549251350264e-07+4.447521263437955e-06j),(2.205146993719052e-06+5.152977470200792e-07j),(7.741608693662911e-07-1.209592410179778e-06j)
"(9,)",(-2.04863392218187e-05+4.764560390004136e-06j),(-9.187303173347176e-06+7.967975147909107e-06j),(-4.084364383856075e-07-2.1279909255249075e-07j),(1.245032848158602e-08-4.6777778555345904e-07j),(4.0117463206620707e-07-2.3953869944547763e-07j),(4.6487145884397114e-07+9.182605209247573e-08j),(6.724873796198428e-07+2.8791239099668046e-07j),(2.813094219721067e-06+1.2938855314236665e-06j),(-2.802080470599261e-05+0.0003764087388167954j),(-0.0005172657351361952+0.0016647776860917035j),(-2.802080470599264e-05+0.00037640873881679556j),(2.813094219721067e-06+1.2938855314237275e-06j),(6.724873796197349e-07+2.8791239099695696e-07j),(4.648714588438131e-07+9.182605209190332e-08j),(4.011746320658318e-07-2.3953869944545773e-07j),(1.2450328481793276e-08-4.677777855537754e-07j),(-4.0843643838564676e-07-2.127990925526042e-07j),(-3.456887541683998e-07+2.8589200988342583e-07j),(1.3770734306315846e-07+4.1248805648054794e-07j),(4.2067058807549603e-07+1.1507160245264683e-08j),(1.4494576835804515e-07-3.8049380878598303e-07j),(-3.036590518667161e-07-2.5134843890405667e-07j),(-3.239243513535181e-07+2.0248696077619743e-07j),(8.922132053386597e-08+3.5973218694185e-07j),(3.591950608837888e-07+2.4621270596666015e-08j),(9.888376592087907e-07-8.427055481667769e-06j),(2.029308328181293e-06-9.113147390328287e-06j),(4.062969362969672e-07+1.2646671784333178e-07j),(-1.4213369619141388e-09+4.494218088726744e-07j),(-4.5723179606575784e-07+1.4045163394848088e-07j),(-2.914307653737286e-07-4.235888036923937e-07j),(3.4297379464834057e-07-4.4277173976699945e-07j),(5.849035403967489e-07+2.09557043372379e-07j),(-1.50786471331364e-08+7.071775598626714e-07j),(-7.96443525473888e-07+2.5583068433263643e-07j),(-6.367398625437561e-07-8.324767847777017e-07j),(7.741608693661129e-07-1.209592410179264e-06j),(2.2051469937191297e-06+5.152977470205427e-07j),(2.651549251348676e-07+4.447521263437762e-06j),(-1.2291252093382674e-05+2.3377343953273063e-06j),(1.1630484783435546e-05-6.0590990255572604e-05j),(-0.0002035351030362621+0.0004039982809996893j),(0.00040399678451701076+0.001079064556495032j),(-0.00020353510303626327+0.00040399828099969387j),(1.163048478343456e-05-6.059099025557323e-05j),(-1.2291252093382754e-05+2.337734395326951e-06j),(2.651549251357622e-07+4.447521263437807e-06j),(2.2051469937182674e-06+5.15297747019577e-07j),(7.741608693659826e-07-1.209592410179004e-06j),(-6.367398625438153e-07-8.324767847779532e-07j)
