index,xy,inc,scat,tot
"(-3.0, -3.0)",[-3. -3.],(0.7773494792181547+0.6290689844200426j),(0.02122039281620597+0.24909259755515378j),(0.7985698720343606+0.8781615819751963j)
"(-2.8461538461538463, -3.0)",[-2.84615385 -3.        ],(-0.10860406938749748+0.994085084946191j),(0.19295249905509687+0.16951600134765438j),(0.0843484296675994+1.1636010862938453j)
"(-2.6923076923076925, -3.0)",[-2.69230769 -3.        ],(-0.8948427434723873+0.4463815234245378j),(0.2642755167255726-0.004372550756532164j),(-0.6305672267468148+0.44200897266800565j)
"(-2.5384615384615383, -3.0)",[-2.53846154 -3.        ],(-0.8594811553903232-0.5111674319916275j),(0.20405927093198264-0.18053187288289949j),(-0.6554218844583406-0.691699304874527j)
"(-2.3846153846153846, -3.0)",[-2.38461538 -3.        ],(-0.03498656293693535-0.9993877828019812j),(0.04771836683292098-0.2772150934601148j),(0.012731803895985633-1.276602876262096j)
"(-2.230769230769231, -3.0)",[-2.23076923 -3.        ],(0.8216309578085959-0.5700197971742117j),(-0.13212885782546094-0.2590588773036952j),(0.6895020999831349-0.8290786744779068j)
"(-2.0769230769230766, -3.0)",[-2.07692308 -3.        ],(0.9238676498953127+0.38271211827810203j),(-0.2650598044042193-0.14250226621738613j),(0.6588078454910934+0.2402098520607159j)
"(-1.923076923076923, -3.0)",[-1.92307692 -3.        ],(0.17785484909783048+0.9840567324358834j),(-0.3106907626385024+0.022992743493187973j),(-0.13283591354067195+1.0070494759290713j)
"(-1.7692307692307692, -3.0)",[-1.76923077 -3.        ],(-0.731455460353972+0.681889220855088j),(-0.2661262823986941+0.18195203340746344j),(-0.9975817427526661+0.8638412542625514j)
"(-1.6153846153846154, -3.0)",[-1.61538462 -3.        ],(-0.9691796141665602-0.24635518156506767j),(-0.15659818878195758+0.2940096605947597j),(-1.1257778029485177+0.047654479029692026j)
"(-1.4615384615384615, -3.0)",[-1.46153846 -3.        ],(-0.3170510749839535-0.9484084646667381j),(-0.018852864143963415+0.34275012816582046j),(-0.33590393912791694-0.6056583365009176j)
"(-1.3076923076923075, -3.0)",[-1.30769231 -3.        ],(0.6261780494437382-0.7796800949074147j),(0.11379958224656399+0.3333729559951988j),(0.7399776316903022-0.44630713891221596j)
"(-1.1538461538461537, -3.0)",[-1.15384615 -3.        ],(0.9944815197952718+0.10491190011474566j),(0.21999442585678555+0.2842309888659851j),(1.2144759456520573+0.38914288898073074j)
"(-1.0, -3.0)",[-1. -3.],(0.44970134126633127+0.8931789874729827j),(0.2919083908237965+0.21755344896196868j),(0.7416097320901278+1.1107324364349513j)
"(-0.8461538461538458, -3.0)",[-0.84615385 -3.        ],(-0.5079723233823321+0.8613733909737143j),(0.3321049781702848+0.15276051073914892j),(-0.17586734521204733+1.0141339017128632j)
"(-0.6923076923076921, -3.0)",[-0.69230769 -3.        ],(-0.9992509738132139+0.03869743316220923j),(0.34846586024468296+0.10341112693138146j),(-0.650785113568531+0.14210856009359069j)
"(-0.5384615384615383, -3.0)",[-0.53846154 -3.        ],(-0.5730668990397428-0.8195085900861401j),(0.3493984957172725+0.07708018782242344j),(-0.22366840332247034-0.7424284022637166j)
