index,value
"(0,)",(1.0224692070783763+1.9308220020987061j)
"(1,)",(0.02940134695162816+1.036335955285209j)
"(2,)",(-2.744868829911325+2.6173207690801115j)
"(3,)",(-4.1961846218993335+3.1931329269758617j)
"(4,)",(-5.744855565630988+3.261484629015352j)
"(5,)",(-6.190165787308365+3.4256435952539857j)
"(6,)",(-5.76000782788357+3.277750269511469j)
"(7,)",(-4.539042125139662+3.0823514554386104j)
"(8,)",(-2.625463491776158+2.5862622736713026j)
"(9,)",(-0.511751523705041+1.7417777178441005j)
"(10,)",(1.3211710502526104+0.7135175028650744j)
"(11,)",(2.4682306046569056-0.12650416878142756j)
"(12,)",(2.9515916679721217-0.36071975264226186j)
"(13,)",(3.185425531210443-0.009379981323908382j)
"(14,)",(3.4706724377657414+0.28790815497737055j)
"(15,)",(3.417437483096355-0.2882060189802178j)
"(16,)",(2.0050218085928573-1.771452595636164j)
"(17,)",(-1.3393892027426462-2.8718623062473134j)
"(18,)",(-5.504801522083972-1.8335975812579406j)
"(19,)",(-7.841610559729197+1.6896823986965859j)
"(20,)",(-6.166786673538233+5.589538456432447j)
"(21,)",(-0.9878982224886421+6.595769067398058j)
"(22,)",(4.40756700609405+3.077332469663199j)
"(23,)",(6.401828355817691-3.2935730899253355j)
"(24,)",(3.8402822905545397-8.676222939933622j)
"(25,)",(-1.316364753561186-9.899475554143596j)
"(26,)",(-5.753089318832211-6.462292621026107j)
"(27,)",(-7.13843009905526-0.3236336379122058j)
"(28,)",(-5.207194016082575+5.793728732586791j)
"(29,)",(-1.2662689002870025+9.992548899773812j)
"(30,)",(2.985938750417496+11.758305035520259j)
"(31,)",(6.364011305801165+11.611148463729231j)
"(32,)",(8.466261323353232+10.459497086096452j)
"(33,)",(9.478616546802751+9.120481030682678j)
"(34,)",(9.825215041759407+8.133321185187508j)
"(35,)",(9.87503963202418+7.772349913223888j)
"(36,)",(9.771730393011756+8.11887355779287j)
"(37,)",(9.379989943084517+9.095466144248025j)
"(38,)",(8.33780881272158+10.430921537022598j)
"(39,)",(6.225553960396639+11.587756506424443j)
"(40,)",(2.8586251500222994+11.748807721625038j)
"(41,)",(-1.3633291828301481+10.003710539323986j)
"(42,)",(-5.259982802675436+5.828819603359921j)
"(43,)",(-7.140504234934404-0.2657850325012423j)
"(44,)",(-5.706594509309699-6.387277464344394j)
"(45,)",(-1.2319548112585332-9.815841739587142j)
"(46,)",(3.9454720831386334-8.59438338697174j)
"(47,)",(6.508323152036194-3.2228301344932504j)
"(48,)",(4.494949433503248+3.129157787577011j)
"(49,)",(-0.9334652446332707+6.621716137882048j)
"(50,)",(-6.15659766198359+5.590881409628333j)
"(51,)",(-7.882914070791422+1.6612827508449985j)
"(52,)",(-5.584418142652698-1.8759327753546824j)
"(53,)",(-1.472168011173629-2.91237074422947j)
"(54,)",(1.8790353577065555-1.8198203427938373j)
"(55,)",(3.306673025862394-0.24840780687755448j)
"(56,)",(3.367011361862815+0.2573212246651888j)
"(57,)",(3.3595372767767655+0.032131649575857235j)
"(58,)",(2.844659064598741-0.3371975585641416j)
"(59,)",(2.8145410686180523-0.8294321847274917j)
