index,cp
"(0,)",(0.4376429061992909+0.011205438573254747j)
"(1,)",(0.35682560124629115+0.3052470310213285j)
"(2,)",(0.15819829223824333-0.1865389438012441j)
"(3,)",(-0.011266256032642441+0.07631026520784233j)
"(4,)",(-0.11189827811590405+0.005538910866927675j)
"(5,)",(0.3328071907734235+0.03130939118646138j)
"(6,)",(0.3568256012462909-0.30524703102132816j)
"(7,)",(0.15819829223824328+0.18653894380124422j)
"(8,)",(-0.0112662560326421-0.07631026520784248j)
"(9,)",(-0.11189827811590383-0.00553891086692685j)
