index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-3.0, -3.0)",(0.0077593079004854605+0.004427507066952597j),(-0.0004701408354875253+0.0075769166935303126j),(-0.004765927502414651+0.006320774032814038j),(-0.004765927502414651+0.006320774032814037j),(-0.00047014083548752245+0.007576916693530312j),(0.006195843518370284+0.0033492885788634764j),(0.0027411005337365413-0.005828256400000697j),(-0.005978399647477522+3.548489187659037e-05j),(0.003755354109386418+0.004483421136467596j),(0.0008290104279445283-0.006172332149082312j),(-0.006645243365371877+0.0028428994042607974j),(0.0038532660823772497+0.007783820029760039j),(0.00963661024182612+0.002162934490707761j),(0.009636610241826125+0.0021629344907077505j),(0.003853266082377251+0.0077838200297600255j),(-0.006645243365371879+0.002842899404260815j),(0.0008290104279445251-0.006172332149082327j),(0.003755354109386425+0.0044834211364676085j),(-0.005978399647477518+3.548489187660129e-05j),(0.0027411005337365274-0.005828256400000697j)
"(-2.8461538461538463, -3.0)",(0.008287151520204624-0.003472903865798227j),(0.005553776505791365+0.005241234058665024j),(0.0014702302213750323+0.007847430937415648j),(0.0010871185205702028+0.007938476372519465j),(0.004787146686100523+0.0060480564817283625j),(0.00705362963138028-0.0013339139676038251j),(-0.0013012212291824941-0.006442238041899025j),(-0.00498416733644102+0.003495430277382467j),(0.005680195642792701+0.0016632401871093756j),(-0.0027799364629155694-0.005596973801878602j),(-0.0037004937076664333+0.006188053351970887j),(0.007910424300532985+0.003576335245751071j),(0.008547558351560985-0.005138483851714382j),(0.008224200591855416-0.005855301375800114j),(0.008748474383617949+0.0018327279768124954j),(-0.0016009337408009194+0.007256683365756411j),(-0.004736544299804271-0.0042514714982285874j),(0.0059023421573950845-0.0006173067334032138j),(-0.00339087661656249+0.004988944974515871j),(-0.0031436073300626427-0.0056633605498499955j)
"(-2.6923076923076925, -3.0)",(0.00243098168521207-0.008701748502623029j),(0.007636271857375774-0.0008014238670856534j),(0.006770178281518792+0.0043529196679443875j),(0.006346037174570374+0.0050452473410510824j),(0.0076926814092508474+0.0014891169767790474j),(0.0048543435817956565-0.005474472793165424j),(-0.004865775737853447-0.004618335968555897j),(-0.002318585868863813+0.00575272137342018j),(0.005774591281593768-0.001606604485839177j),(-0.005346771604408592-0.0032803864076028835j),(0.000375588984539897+0.007177973935509786j),(0.00844279612267626-0.0019440383109170561j),(0.0029697032659860745-0.009606844167002795j),(0.001437615224578247-0.010213792923505612j),(0.007178337841174334-0.005762062187408136j),(0.005015629208795613+0.005775590352132814j),(-0.006344406445127346+0.0014663837700665708j),(0.0028970570873363354-0.005283519525141883j),(0.0021363650241456654+0.005700178712017179j),(-0.006457678255278175-0.000847737475542222j)
"(-2.5384615384615383, -3.0)",(-0.0052339982213333485-0.007421890335772136j),(0.004493496913803406-0.006273015164443437j),(0.007906458682083558-0.0018059346505906958j),(0.008178787883550562-0.0005812985087205425j),(0.006997995377233714-0.00378758092660417j),(0.0006874796688979544-0.007425137424810734j),(-0.006744094980630965-0.0011946235724294696j),(0.0010182297616376983+0.006240120094502718j),(0.0042613037135116804-0.004328953072664323j),(-0.006296523791007538-0.000176056572609851j),(0.004070599114079509+0.005892020304944471j),(0.005770125750576683-0.006419861536426823j),(-0.003888654655140901-0.009342768500251711j),(-0.006306949131351205-0.008431954590343375j),(0.0003391512536399111-0.0094785105130264j),(0.007870899570948832-0.0004518764261086428j),(-0.002602202573405609+0.006141086541965248j),(-0.00266014457179735-0.005514236736140094j),(0.005921264351259958+0.0016398877432388062j),(-0.004612813738038951+0.004647103573777608j)
"(-2.3846153846153846, -3.0)",(-0.009091935883928412-0.0007839548267374102j),(-0.0015812858354736087-0.00758732300109436j),(0.004405164038902089-0.006877261497045667j),(0.005821962105785567-0.005899430524994679j),(0.0032306465863690295-0.007403707356789541j),(-0.003736211469327049-0.006616525126432787j),(-0.006497190819742842+0.002587643543120461j),(0.004023627965572871+0.005039090417796965j),(0.0017717694840892612-0.0059002143860929935j),(-0.005684217311448591+0.002781633902739122j),(0.006404537306459734+0.0031372810329919226j),(0.0013806183102522901-0.00847351168244124j),(-0.008814293532314053-0.005059092755907869j),(-0.010564003306527174-0.0019227391357635414j),(-0.006984702900797678-0.006840803531139087j),(0.004739168047025929-0.006612830061238787j),(0.0034254160304560376+0.005920463789154088j),(-0.006118235305185451-0.0011496532112622616j),(0.004911257398454-0.003788667866473856j),(0.0008064239818648012+0.006531780744744625j)
"(-2.230769230769231, -3.0)",(-0.00659818708034081+0.006362584274390794j),(-0.0066033154808591565-0.004113246633323883j),(-0.0015210361633635117-0.008077273044474899j),(0.0006746294273826217-0.00834624639447838j),(-0.0018398642314151215-0.007987332761206507j),(-0.0068713208763235495-0.00356457979211148j),(-0.004426930637521608+0.005603707880039318j),(0.00600943182592224+0.0026789297034961767j),(-0.0009723513489460002-0.0061763163814413415j),(-0.003970774715523937+0.004970194930903833j),(0.007099080592860709-7.829919027742532e-05j),(-0.0030362242773928497-0.007964752528009109j),(-0.010139017133259598+0.0009331080768610936j),(-0.009425304433527425+0.005540494572574223j),(-0.010076030096826198+0.00026548418560798126j),(-0.002045662853295626-0.008153342715181304j),(0.006954783865016315+0.0009837219838815543j),(-0.004709302648266742+0.0042378031513513065j),(1.674388824843925e-05-0.006263504737413952j),(0.00560413109783048+0.0035121605036804162j)
"(-2.0769230769230766, -3.0)",(0.00028479389951938366+0.009198497381871826j),(-0.007596418374035899+0.0017862667973012486j),(-0.0065755453917175685-0.005008227273444202j),(-0.004725534290891897-0.007009377779577603j),(-0.006175314486131759-0.005563941497485715j),(-0.007863727572035814+0.0005518084453794506j),(-0.0012920101987074148+0.007176607723562372j),(0.0067139701673263105-0.0001494094956139849j),(-0.003396331404518213-0.0053656638944902775j),(-0.0017438618527114537+0.006157243478708242j),(0.006420628712698659-0.002950401909242144j),(-0.006300552620092004-0.005627896927627936j),(-0.008047471116382645+0.00622377105383769j),(-0.004006537672434657+0.010363300491366766j),(-0.00728459892478729+0.007409590803774048j),(-0.007696367816032055-0.004047910563049973j),(0.0053173756236714375-0.0048888646726392565j),(0.0003967511959560966+0.006441145606356323j),(-0.004918735008185601-0.003979165932677537j),(0.006327180920847138-0.002029953153317053j)
"(-1.923076923076923, -3.0)",(0.006909613287647957+0.006127985770616926j),(-0.004243523418219964+0.006570516889895652j),(-0.008290789833952924+0.0004924635386850004j),(-0.008068834666813043-0.0027594008366198064j),(-0.008328417136180087-0.0012638084393905113j),(-0.006678285179383365+0.004448123421984417j),(0.002044346276451835+0.0071583198122027875j),(0.006242901965860638-0.0028346509085412394j),(-0.00517771097288071-0.003853017997940534j),(0.0004927693841983843+0.006423577650703438j),(0.004894027807973112-0.005050364259162655j),(-0.007978223002442053-0.0024940835233558745j),(-0.003911361822564982+0.009349755933819646j),(0.0028560459991952263+0.010896051740562167j),(-0.000503118834966175+0.010694717595066232j),(-0.00853029421408733+0.0028882606895474765j),(-0.0002395598583418869-0.007435491109479973j),(0.005314469943395188+0.0038805077825616926j),(-0.0062734832003717555+0.0012296839898804832j),(0.002657403453279661-0.006122858393534266j)
"(-1.7692307692307692, -3.0)",(0.009242894087773401-0.0006202213609040777j),(0.0013233918710354865+0.007720744029872707j),(-0.00613159146892228+0.005649999667359412j),(-0.00823248436046072+0.002468856393518987j),(-0.007848675965344146+0.003340851638270022j),(-0.0039007882411731996+0.007170271501582284j),(0.0048879327148701355+0.005817032245192419j),(0.004922321544846345-0.004978309874993918j),(-0.006238469614046839-0.0020402404958910457j),(0.0024180361500149013+0.006023989523957304j),(0.0030513826660509297-0.006300519818514885j),(-0.008238745733390413+0.0005650774969714511j),(0.000662027545680752+0.01004305865572328j),(0.008417060111155443+0.007667786976175465j),(0.006590144449512478+0.008834518251659935j),(-0.004206704619930915+0.008334769022888875j),(-0.005838088190522285-0.0049806018945567285j),(0.006549032429862056-0.0014961165621584875j),(-0.0032387649332150355+0.005592240986396222j),(-0.0027347078995828937-0.006120051020043561j)
"(-1.6153846153846154, -3.0)",(0.006226505102906887-0.006890564254358774j),(0.0060813529766282305+0.004944713785348539j),(-0.0013953102280982149+0.008244695195361758j),(-0.00549056823859251+0.006688773081528572j),(-0.005199254843526362+0.006887969263955802j),(-0.00039223028079135764+0.00828831658537384j),(0.006844864521011026+0.0036373489291569774j),(0.003144829179040095-0.006419692953174512j),(-0.006674100853334409-0.0002469031562243376j),(0.003897449219312365+0.005259248812793484j),(0.0012907173074197058-0.006850715370671231j),(-0.007559278675878196+0.0030399024987687907j),(0.004508792018801075+0.00888385037966278j),(0.011198851320815172+0.0024755931550472245j),(0.01086086496633095+0.003224357559900033j),(0.0025992362093194368+0.009330466120156852j),(-0.007892669951176422+0.0007556194987169501j),(0.0033928564136870695-0.005969950990717581j),(0.001954747810900571+0.006236880888696897j),(-0.0063365995250888405-0.0022693831296417832j)
"(-1.4615384615384615, -3.0)",(-8.149247275169918e-05-0.009305008895387913j),(0.007834590127310767-7.133698070858954e-05j),(0.0037391034705850593+0.0074961527182041705j),(-0.0010900446618768657+0.008634841448333276j),(-0.0013685126736282002+0.008613920938821235j),(0.00303336599706894+0.007862587880380696j),(0.007821882946112874+0.001129645242948446j),(0.0012579713668578365-0.007189087434797338j),(-0.006668192176164702+0.0013252896595417642j),(0.004934025838699528+0.0043941330624475625j),(-0.00015844968771129694-0.006944305689133326j),(-0.006460435420216398+0.004769328547844598j),(0.007128666200000861+0.006766487513646551j),(0.011163940448596687-0.0027876300952551494j),(0.011097785728876297-0.0034466712272136417j),(0.008283734270582186+0.005694991301464386j),(-0.00533460755839642+0.006234443047181215j),(-0.0019682301835124375-0.006747630821943505j),(0.00591396682701989+0.002962553823898784j),(-0.006120383301221115+0.00286381283226241j)
"(-1.3076923076923075, -3.0)",(-0.006178920462648563-0.006975271360360471j),(0.0061205054405740165-0.004873580793650151j),(0.0073245715785470586+0.00407541451630969j),(0.0034386401685273338+0.008038048018667287j),(0.0025785656452785247+0.008418637406743415j),(0.005808576964534279+0.00627487497197264j),(0.007946630937999641-0.00129694262672826j),(-0.0004903857618310821-0.007432700229230115j),(-0.006423061799408771+0.002582230146049217j),(0.00560483538174321+0.0036238817492204225j),(-0.0012029151359679404-0.0068211069067166j),(-0.005355446990260375+0.005819600011765939j),(0.00855962576573683+0.004489633578305793j),(0.00919594929963478-0.006893135736772509j),(0.007985205478134012-0.008802956865366012j),(0.010421042258091876-0.0004944517756039261j),(0.00018358008558036113+0.008502674304510969j),(-0.006259137406163344-0.003570129538013742j),(0.006380162743649514-0.0020413312781777707j),(-0.002509290399598413+0.006301976692496547j)
"(-1.1538461538461537, -3.0)",(-0.009208250352842237-0.0014785724033595845j),(0.0020464346859943978-0.007531199759446676j),(0.008360909074402722-0.0005096008635518599j),(0.006872764880121541+0.00544855597411951j),(0.005828186773028002+0.006695457634792282j),(0.0076721231066827844+0.004028921411151446j),(0.007463482544461412-0.0033866052074489504j),(-0.001958978919208073-0.007341947530270927j),(-0.006117210978731771+0.0035043660006456637j),(0.006006417434123658+0.0030744482743844974j),(-0.0018296969504970485-0.006666447336597544j),(-0.004507280392780589+0.006349376766785308j),(0.009119956810448634+0.0025769770051798702j),(0.006423495849988481-0.009445778188011216j),(0.0031820700498027044-0.011685128905318545j),(0.008648259271474994-0.006503241284604315j),(0.005742671031847251+0.006704232089727087j),(-0.007229264222736262+0.001576420151900308j),(0.0033653524430650675-0.005897216004356507j),(0.00230603828806368+0.006406515830908744j)
"(-1.0, -3.0)",(-0.008205948251098945+0.004436928686453326j),(-0.0025590251887076354-0.0073428466006720365j),(0.006918412543973635-0.004692197196712749j),(0.00859413145720668+0.001825179590947309j),(0.007956915550254786+0.004068692422029273j),(0.0086250067958103+0.001592807130073958j),(0.0066440637277213116-0.0050306178590604185j),(-0.0030911339470953945-0.0071031223042247885j),(-0.005886695836099208+0.004109072662901124j),(0.006217098977269103+0.0028183595241929736j),(-0.002054525484038121-0.006593983227677156j),(-0.004049116598268521+0.006510077322289498j),(0.009179021503149533+0.0012819086134231749j),(0.003757365976401387-0.010653056974469404j),(-0.0016856054604679704-0.012168555478349203j),(0.004224562438916757-0.010380743803772229j),(0.008945764796023431+0.0020310337397467467j),(-0.004681258591002949+0.006000779590785909j),(-0.0012967967015226059-0.006765994267739619j),(0.005886200727813891+0.00347427459560792j)
"(-0.8461538461538458, -3.0)",(-0.00409314992833975+0.008379764498879873j),(-0.006069683503057945-0.004800853152132204j),(0.0038108023941458955-0.0074080191789391075j),(0.00858535852718016-0.0018748726865640394j),(0.008908484449262134+0.0011590459257169014j),(0.00883788337764305-0.0006879558364976709j),(0.005729740324005714-0.006229003896332803j),(-0.0038816639602909514-0.0068696891151645775j),(-0.005821424179326875+0.004418814287508333j),(0.006274924929030154+0.002891595841587178j),(-0.0018880198243359971-0.006644617083775043j),(-0.004022801577470581+0.006391019387091998j),(0.009019456297161874+0.0006768737870240847j),(0.0017337555690514462-0.010978219476733131j),(-0.00560078543949498-0.011057850402890021j),(-0.0010370431303115422-0.011535671819921612j),(0.008917542274818441-0.0033911257070475477j),(-9.863699688577191e-05+0.007841449230948348j),(-0.005300055878011014-0.004569456407564694j),(0.0068099187098215564-0.0008466979030003645j)
"(-0.6923076923076921, -3.0)",(0.0012060920273810052+0.009240191389643916j),(-0.007618102615465303-0.001069486248776485j),(0.0001041637030850031-0.008289124949291765j),(0.007238019368522312-0.0049617498830026065j),(0.008879610523218754-0.0015613791323633493j),(0.008555633911760086-0.002611956512409131j),(0.004906168072332971-0.007043104138886102j),(-0.004344875617849353-0.006751576620853168j),(-0.0059668279688651306+0.004439216362943174j),(0.0061670338312154105+0.003302334546473072j),(-0.001323197225410422-0.006788138288258643j),(-0.004405963172465122+0.006000291383829841j),(0.008782084532541+0.000745628335981667j),(0.0005708291043386317-0.010867107907955049j),(-0.00822771167630407-0.009320497596433948j),(-0.005687587109119029-0.010488080710248508j),(0.00623101864560831-0.00772542930208547j),(0.00449744054329475+0.006729749982404737j),(-0.0070929776527619455-0.0005917599961121857j),(0.005077703920847838-0.004659715921328899j)
"(-0.5384615384615383, -3.0)",(0.0058146064167755585+0.007266961032993692j),(-0.007170963662894775+0.002630529577796122j),(-0.0032907736712774706-0.007550586619588017j),(0.005109886000131246-0.007100993949873547j),(0.00818596920571614-0.003818226842478916j),(0.00802523732140796-0.004100160465885552j),(0.004300856439221611-0.007553378820365151j),(-0.004489985882984632-0.0068133243108792j),(-0.006323730095082405+0.004148072459148582j),(0.005828023505143063+0.004027150697685628j),(-0.00034462201385524616-0.0069223550895593155j),(-0.0051160245963886635+0.005271319068977863j),(0.008460079889677147+0.0014358062137153483j),(0.0002996139702467801-0.010603494423526616j),(-0.009682369591012988-0.007730390691767171j),(-0.00903120282189831-0.00825882900752835j),(0.0021862699852468444-0.010086620699446429j),(0.007595688657881441+0.003510454976503246j),(-0.00636391729620725+0.0034728257792894656j),(0.0017178027322751674-0.006707830980568007j)
"(-0.3846153846153846, -3.0)",(0.008584596526613596+0.0035553326811188085j),(-0.005267791686754106+0.005444172212569695j),(-0.005826526688484693-0.005728764506277448j),(0.002729650992548387-0.008267483733811977j),(0.007154570438481472-0.005514721439448618j),(0.007454147249541551-0.005154952189403472j),(0.00399239593127714-0.00782828837867248j),(-0.004306386074483082-0.0070738798180391815j),(-0.006842800199785635+0.003496007924350983j),(0.005148841737011568+0.004994382408322996j),(0.0010411931445265265-0.006873493202045525j),(-0.005993466783548409+0.004092596212743719j),(0.00791752384980247+0.002660811178708954j),(0.0008689677455218525-0.010264689072499588j),(-0.010238239418095513-0.006754898165787552j),(-0.011039095634030332-0.005836741324137353j),(-0.001951719220109548-0.010539497383933782j),(0.008647206910280826-0.0005019913072042077j),(-0.0037896530677466807+0.006351223459610542j),(-0.0019404312748343637-0.006685347797589426j)
"(-0.23076923076923084, -3.0)",(0.009253461098767603-0.0006149979297358065j),(-0.0026548492194811008+0.007020222381032862j),(-0.007335048813675594-0.0034217389908448854j),(0.0004890083110072813-0.00863562168725607j),(0.0060598201448008975-0.006677464827014654j),(0.0069942354711189265-0.0058177455720797135j),(0.004021660945810008-0.007904563149864385j),(-0.0037597486487636767-0.007503523308709196j),(-0.0074142301124055865+0.0024206488191203263j),(0.004001662070891353+0.0060592321596526265j),(0.0027570838114309793-0.006409933141403096j),(-0.006779001894695326+0.0023647772060474345j),(0.006928719903574469+0.00425938570323318j),(0.002181120485907904-0.009733009250374711j),(-0.010108151129922928-0.006586226680760465j),(-0.01204193622572836-0.003917459517838027j),(-0.005382884624803963-0.009715177310304312j),(0.007934435307977654-0.004193536469419393j),(-0.0004401277633262039+0.007544190030171148j),(-0.004865701935139979-0.005037910715389981j)
"(-0.07692307692307665, -3.0)",(0.008215078679665937-0.004261220048794316j),(6.888461178123269e-06+0.0074289200895265904j),(-0.007927231986502376-0.0011170385961574865j),(-0.0013841816769639154-0.008465313731332655j),(0.005099657497228956-0.007396671508515512j),(0.0067414457826877406-0.006134834862106092j),(0.004398386456108726-0.007777032095332556j),(-0.002800188939254899-0.008016909748158921j),(-0.007858218728977021+0.0008767840586800425j),(0.002287320533139293+0.006981999108976684j),(0.0045993218264971545-0.005286393391179487j),(-0.00711143612801222+8.738505378643005e-05j),(0.005251909680938831+0.0059365288337920345j),(0.0040568928974211325-0.008742447655359671j),(-0.009341200504524999-0.007201912474183958j),(-0.012424528019397765-0.0028815604405407016j),(-0.00782527060291966-0.008387133541913122j),(0.006159516861623231-0.006970270783354955j),(0.0027517939345266637+0.007227680880159285j),(-0.0065810325023466-0.0025388644336233413j)
"(0.0769230769230771, -3.0)",(0.006154968004175273-0.006884498027276871j),(0.0022873205331393185+0.006981999108976679j),(-0.00785821872897701+0.0008767840586800624j),(-0.002800188939254901-0.008016909748158925j),(0.0043983864561087105-0.007777032095332559j),(0.006741445782687742-0.006134834862106093j),(0.005099657497228984-0.007396671508515501j),(-0.0013841816769639091-0.008465313731332651j),(-0.007927231986502378-0.0011170385961575j),(6.888461178096907e-06+0.007428920089526587j),(0.00619989709949091-0.0033323021258101835j),(-0.0065810325023465946-0.0025388644336233526j),(0.002751793934526654+0.007227680880159301j),(0.006159516861623198-0.006970270783354946j),(-0.007825270602919633-0.008387133541913113j),(-0.012424528019397762-0.002881560440540703j),(-0.009341200504525025-0.007201912474183975j),(0.004056892897421162-0.008742447655359692j),(0.0052519096809388295+0.0059365288337920345j),(-0.007111436128012232+8.738505378643015e-05j)
"(0.23076923076923084, -3.0)",(0.0037444178754363084-0.008420831148084763j),(0.004001662070891362+0.006059232159652613j),(-0.007414230112405577+0.0024206488191203437j),(-0.0037597486487636793-0.0075035233087091995j),(0.0040216609458099935-0.007904563149864386j),(0.006994235471118926-0.0058177455720797135j),(0.00605982014480091-0.006677464827014648j),(0.0004890083110072825-0.008635621687256068j),(-0.007335048813675587-0.003421738990844889j),(-0.002654849219481124+0.007020222381032854j),(0.007047191234975898-0.0005798629115091973j),(-0.004865701935139987-0.005037910715389976j),(-0.00044012776332620336+0.007544190030171145j),(0.00793443530797762-0.004193536469419396j),(-0.005382884624803957-0.00971517731030429j),(-0.012041936225728356-0.003917459517838031j),(-0.010108151129922948-0.006586226680760479j),(0.0021811204859079475-0.009733009250374736j),(0.006928719903574471+0.0042593857032331706j),(-0.006779001894695332+0.00236477720604745j)
"(0.384615384615385, -3.0)",(0.0014756664576073579-0.009079864990841131j),(0.005148841737011585+0.0049943824083229765j),(-0.006842800199785631+0.0034960079243509957j),(-0.004306386074483085-0.007073879818039183j),(0.003992395931277125-0.007828288378672476j),(0.007454147249541548-0.005154952189403472j),(0.0071545704384814845-0.005514721439448609j),(0.002729650992548386-0.008267483733811974j),(-0.005826526688484681-0.005728764506277469j),(-0.005267791686754123+0.005444172212569676j),(0.006606674105011923+0.0026079523344907985j),(-0.0019404312748343593-0.0066853477975894115j),(-0.0037896530677467045+0.006351223459610532j),(0.008647206910280793-0.0005019913072042218j),(-0.001951719220109532-0.010539497383933763j),(-0.01103909563403033-0.00583674132413736j),(-0.010238239418095534-0.006754898165787565j),(0.0008689677455218715-0.010264689072499623j),(0.007917523849802464+0.0026608111787089377j),(-0.005993466783548411+0.004092596212743737j)
"(0.5384615384615388, -3.0)",(-0.000372043395155678-0.009177898486638197j),(0.005828023505143067+0.0040271506976856134j),(-0.006323730095082392+0.004148072459148599j),(-0.004489985882984635-0.006813324310879202j),(0.004300856439221598-0.007553378820365152j),(0.008025237321407964-0.004100160465885548j),(0.008185969205716157-0.0038182268424788945j),(0.00510988600013126-0.007100993949873539j),(-0.00329077367127745-0.0075505866195880325j),(-0.007170963662894787+0.002630529577796087j),(0.004553199507688436+0.00549048140260777j),(0.0017178027322751776-0.006707830980567988j),(-0.006363917296207252+0.003472825779289466j),(0.007595688657881415+0.0035104549765032165j),(0.0021862699852468514-0.010086620699446398j),(-0.009031202821898303-0.008258829007528355j),(-0.009682369591013-0.007730390691767201j),(0.0002996139702468004-0.010603494423526648j),(0.008460079889677143+0.0014358062137153377j),(-0.005116024596388664+0.005271319068977868j)
"(0.6923076923076925, -3.0)",(-0.0016874501504450623-0.009019602836324466j),(0.006167033831215408+0.0033023345464730383j),(-0.005966827968865119+0.0044392163629431835j),(-0.004344875617849348-0.006751576620853173j),(0.0049061680723329676-0.0070431041388860985j),(0.008555633911760086-0.002611956512409132j),(0.008879610523218756-0.001561379132363329j),(0.007238019368522309-0.004961749883002603j),(0.00010416370308500975-0.00828912494929177j),(-0.007618102615465304-0.001069486248776506j),(0.001056224139986163+0.007081729595273983j),(0.005077703920847841-0.00465971592132888j),(-0.007092977652761961-0.0005917599961121898j),(0.004497440543294727+0.006729749982404719j),(0.0062310186456083095-0.007725429302085454j),(-0.005687587109119009-0.01048808071024851j),(-0.008227711676304086-0.009320497596433976j),(0.0005708291043386537-0.010867107907955077j),(0.008782084532541003+0.000745628335981647j),(-0.004405963172465126+0.006000291383829852j)
"(0.8461538461538463, -3.0)",(-0.0024556491007795543-0.008836839224927551j),(0.006274924929030154+0.0028915958415871613j),(-0.005821424179326875+0.0044188142875083375j),(-0.0038816639602909544-0.006869689115164579j),(0.005729740324005698-0.006229003896332795j),(0.00883788337764305-0.000687955836497662j),(0.008908484449262134+0.001159045925716922j),(0.008585358527180157-0.001874872686564027j),(0.00381080239414593-0.0074080191789390884j),(-0.0060696835030579184-0.004800853152132227j),(-0.0030302158294984297+0.0065133271877235695j),(0.00680991870982155-0.0008466979030003388j),(-0.0053000558780110126-0.004569456407564691j),(-9.863699688577087e-05+0.00784144923094832j),(0.008917542274818419-0.003391125707047515j),(-0.0010370431303115214-0.01153567181992161j),(-0.005600785439494978-0.011057850402890052j),(0.0017337555690514785-0.010978219476733159j),(0.009019456297161863+0.0006768737870240743j),(-0.004022801577470582+0.006391019387092005j)
