index,x,value
"(-3.0, -3.0)","(-3.0, -3.0)",(0.039062430997066064+0.2075488678627232j)
"(-2.8461538461538463, -3.0)","(-2.8461538461538463, -3.0)",(0.17521347147100694+0.1269003246769302j)
"(-2.6923076923076925, -3.0)","(-2.6923076923076925, -3.0)",(0.22090028319034008-0.022753043731188666j)
"(-2.5384615384615383, -3.0)","(-2.5384615384615383, -3.0)",(0.15890872420248897-0.16415936805073258j)
"(-2.3846153846153846, -3.0)","(-2.3846153846153846, -3.0)",(0.02413389152809687-0.2344103598614169j)
"(-2.230769230769231, -3.0)","(-2.230769230769231, -3.0)",(-0.12307463951041507-0.21030717564224607j)
"(-2.0769230769230766, -3.0)","(-2.0769230769230766, -3.0)",(-0.227899863082545-0.10890734678733133j)
"(-1.923076923076923, -3.0)","(-1.923076923076923, -3.0)",(-0.260749094053239+0.029083057399259j)
"(-1.7692307692307692, -3.0)","(-1.7692307692307692, -3.0)",(-0.22099033283046116+0.16013162728626504j)
"(-1.6153846153846154, -3.0)","(-1.6153846153846154, -3.0)",(-0.12888397194762907+0.25305726287524016j)
"(-1.4615384615384615, -3.0)","(-1.4615384615384615, -3.0)",(-0.013080883629719889+0.2949531053156056j)
"(-1.3076923076923075, -3.0)","(-1.3076923076923075, -3.0)",(0.10024402910241649+0.2892879560750547j)
"(-1.1538461538461537, -3.0)","(-1.1538461538461537, -3.0)",(0.19365022566889917+0.24984115085383j)
"(-1.0, -3.0)","(-1.0, -3.0)",(0.2598802294126537+0.19401208308938525j)
"(-0.8461538461538458, -3.0)","(-0.8461538461538458, -3.0)",(0.29988349276883614+0.13777343039012852j)
"(-0.6923076923076921, -3.0)","(-0.6923076923076921, -3.0)",(0.3192349594972411+0.09307210856804646j)
"(-0.5384615384615383, -3.0)","(-0.5384615384615383, -3.0)",(0.32444759445077637+0.06734946871747437j)
"(-0.3846153846153846, -3.0)","(-0.3846153846153846, -3.0)",(0.3200565013561349+0.06423037446618306j)
"(-0.23076923076923084, -3.0)","(-0.23076923076923084, -3.0)",(0.3068112747791137+0.08429096318823186j)
"(-0.07692307692307665, -3.0)","(-0.07692307692307665, -3.0)",(0.28109067140084243+0.12504821074684447j)
"(0.0769230769230771, -3.0)","(0.0769230769230771, -3.0)",(0.23577699199295743+0.1798428761227953j)
"(0.23076923076923084, -3.0)","(0.23076923076923084, -3.0)",(0.16306324440968084+0.23610216888496743j)
"(0.384615384615385, -3.0)","(0.384615384615385, -3.0)",(0.05952958307902693+0.2745062491815855j)
"(0.5384615384615388, -3.0)","(0.5384615384615388, -3.0)",(-0.06723609503562858+0.2714435559381667j)
"(0.6923076923076925, -3.0)","(0.6923076923076925, -3.0)",(-0.19331522072227506+0.2068819567240152j)
"(0.8461538461538463, -3.0)","(0.8461538461538463, -3.0)",(-0.2794518759282509+0.0772621323502482j)
"(1.0, -3.0)","(1.0, -3.0)",(-0.2832315471804221-0.09188443418282455j)
"(1.1538461538461542, -3.0)","(1.1538461538461542, -3.0)",(-0.18227183814262538-0.24370581898118607j)
"(1.3076923076923084, -3.0)","(1.3076923076923084, -3.0)",(0.0014520121543997976-0.3078767140778158j)
"(1.4615384615384617, -3.0)","(1.4615384615384617, -3.0)",(0.19459057764873197-0.23808579971975727j)
"(1.6153846153846159, -3.0)","(1.6153846153846159, -3.0)",(0.29870480048001413-0.05119784540797602j)
