index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(0,)",(0.00341867950256674+0.016169442551803664j),(-0.004093276570204664+0.0035852192633274837j),(0.001620213890669899-0.0031632046090215356j),(0.001299818866566348+0.0029222260908879664j),(-0.003154656362293328-0.00011886019466067531j),(0.0008322108902248625-0.0031525233527749394j),(0.0033694058677982523+0.000712315926884387j),(0.0005235850036219736+0.003618871632190994j),(-0.00261565252441307+0.0028278973849978576j),(-0.0038312693515407453+0.001111527462076063j),(-0.004018235665689712+0.00040466388213821955j),(-0.003831269351540747+0.001111527462076068j),(-0.0026156525244130603+0.002827897384997861j),(0.0005235850036219764+0.0036188716321909915j),(0.003369405867798256+0.0007123159268843792j),(0.0008322108902248598-0.0031525233527749425j),(-0.003154656362293336-0.00011886019466066187j),(0.001299818866566366+0.002922226090887969j),(0.001620213890669885-0.0031632046090215426j),(-0.0036161392564062612+0.004041341642894183j)
"(1,)",(-0.004093276570204664+0.0035852192633274837j),(0.0020142841363980607+0.014813502642170719j),(-0.0036396148574100984+0.003555108227535565j),(0.001208292504221432-0.0024582015114216565j),(0.0010413093205932599+0.002222177106030503j),(-0.002446532650062006-4.6366914719651426e-05j),(0.0006036906119610256-0.0024797901451920137j),(0.0026707852180524972+0.0005083578348860351j),(0.00047661906137300494+0.002866541845905896j),(-0.002039071501276695+0.002302490352047453j),(-0.0030470650862646077+0.0009568969947000077j),(-0.0032119448354196033+0.0003950309808095643j),(-0.0030470650862646034+0.0009568969947000063j),(-0.0020390715012766954+0.002302490352047452j),(0.00047661906137300446+0.0028665418459058968j),(0.002670785218052501+0.0005083578348860387j),(0.0006036906119610244-0.0024797901451920224j),(-0.002446532650062009-4.6366914719649204e-05j),(0.0010413093205932596+0.0022221771060305017j),(0.0012082925042214382-0.0024582015114216617j)
"(2,)",(0.001620213890669899-0.0031632046090215356j),(-0.0036396148574100984+0.003555108227535565j),(0.0020142841363980655+0.014813502642170727j),(-0.0036396148574101006+0.003555108227535562j),(0.0012082925042214334-0.002458201511421659j),(0.0010413093205932616+0.0022221771060305056j),(-0.002446532650062005-4.63669147196537e-05j),(0.0006036906119610257-0.002479790145192015j),(0.002670785218052499+0.0005083578348860369j),(0.00047661906137300744+0.0028665418459058963j),(-0.002039071501276699+0.0023024903520474536j),(-0.00304706508626461+0.0009568969947000067j),(-0.003211944835419599+0.0003950309808095618j),(-0.003047065086264606+0.0009568969947000043j),(-0.0020390715012767+0.002302490352047454j),(0.0004766190613730038+0.002866541845905899j),(0.002670785218052506+0.0005083578348860354j),(0.0006036906119610244-0.002479790145192024j),(-0.0024465326500620046-4.63669147196514e-05j),(0.0010413093205932588+0.0022221771060305104j)
"(3,)",(0.001299818866566348+0.0029222260908879664j),(0.001208292504221432-0.0024582015114216565j),(-0.0036396148574101006+0.003555108227535562j),(0.002014284136398067+0.014813502642170724j),(-0.003639614857410099+0.003555108227535564j),(0.0012082925042214319-0.002458201511421661j),(0.0010413093205932596+0.002222177106030504j),(-0.0024465326500620046-4.6366914719651135e-05j),(0.0006036906119610249-0.002479790145192018j),(0.002670785218052498+0.000508357834886034j),(0.00047661906137300424+0.0028665418459058976j),(-0.0020390715012767006+0.002302490352047455j),(-0.003047065086264605+0.0009568969947000055j),(-0.003211944835419599+0.000395030980809562j),(-0.003047065086264608+0.0009568969947000075j),(-0.002039071501276701+0.002302490352047456j),(0.0004766190613730076+0.0028665418459059033j),(0.0026707852180525024+0.000508357834886038j),(0.000603690611961026-0.002479790145192014j),(-0.0024465326500620107-4.6366914719654e-05j)
"(4,)",(-0.003154656362293328-0.00011886019466067531j),(0.0010413093205932599+0.002222177106030503j),(0.0012082925042214334-0.002458201511421659j),(-0.003639614857410099+0.003555108227535564j),(0.0020142841363980676+0.014813502642170719j),(-0.0036396148574101006+0.0035551082275355637j),(0.0012082925042214336-0.002458201511421657j),(0.001041309320593262+0.0022221771060305035j),(-0.0024465326500620064-4.636691471965236e-05j),(0.0006036906119610222-0.002479790145192017j),(0.0026707852180524985+0.0005083578348860372j),(0.0004766190613730049+0.0028665418459058985j),(-0.0020390715012766967+0.00230249035204745j),(-0.0030470650862646034+0.000956896994700006j),(-0.0032119448354196007+0.00039503098080956555j),(-0.003047065086264609+0.0009568969947000084j),(-0.002039071501276701+0.002302490352047459j),(0.00047661906137300717+0.002866541845905899j),(0.002670785218052493+0.0005083578348860365j),(0.0006036906119610301-0.0024797901451920194j)
"(5,)",(0.0008322108902248625-0.0031525233527749394j),(-0.002446532650062006-4.6366914719651426e-05j),(0.0010413093205932616+0.0022221771060305056j),(0.0012082925042214319-0.002458201511421661j),(-0.0036396148574101006+0.0035551082275355637j),(0.002014284136398065+0.014813502642170732j),(-0.003639614857410099+0.0035551082275355685j),(0.001208292504221435-0.002458201511421658j),(0.001041309320593261+0.0022221771060305087j),(-0.002446532650062008-4.636691471964815e-05j),(0.0006036906119610268-0.0024797901451920194j),(0.002670785218052501+0.0005083578348860402j),(0.00047661906137300294+0.0028665418459058955j),(-0.0020390715012766993+0.0023024903520474497j),(-0.003047065086264609+0.0009568969947000072j),(-0.0032119448354196055+0.0003950309808095631j),(-0.003047065086264617+0.0009568969947000086j),(-0.0020390715012767024+0.002302490352047458j),(0.00047661906137300267+0.0028665418459058955j),(0.002670785218052504+0.0005083578348860408j)
"(6,)",(0.0033694058677982523+0.000712315926884387j),(0.0006036906119610256-0.0024797901451920137j),(-0.002446532650062005-4.63669147196537e-05j),(0.0010413093205932596+0.002222177106030504j),(0.0012082925042214336-0.002458201511421657j),(-0.003639614857410099+0.0035551082275355685j),(0.0020142841363980676+0.014813502642170722j),(-0.0036396148574100993+0.0035551082275355624j),(0.001208292504221431-0.00245820151142166j),(0.0010413093205932642+0.002222177106030503j),(-0.002446532650062004-4.6366914719650864e-05j),(0.0006036906119610283-0.002479790145192017j),(0.002670785218052496+0.0005083578348860381j),(0.00047661906137300223+0.0028665418459058937j),(-0.002039071501276697+0.0023024903520474536j),(-0.0030470650862646107+0.0009568969947000055j),(-0.00321194483541961+0.0003950309808095618j),(-0.0030470650862646103+0.0009568969947000064j),(-0.0020390715012767+0.002302490352047446j),(0.0004766190613730004+0.0028665418459059007j)
"(7,)",(0.0005235850036219736+0.003618871632190994j),(0.0026707852180524972+0.0005083578348860351j),(0.0006036906119610257-0.002479790145192015j),(-0.0024465326500620046-4.6366914719651135e-05j),(0.001041309320593262+0.0022221771060305035j),(0.001208292504221435-0.002458201511421658j),(-0.0036396148574100993+0.0035551082275355624j),(0.0020142841363980676+0.014813502642170712j),(-0.0036396148574100984+0.0035551082275355667j),(0.0012082925042214288-0.002458201511421658j),(0.001041309320593259+0.0022221771060305043j),(-0.002446532650062005-4.636691471965319e-05j),(0.0006036906119610271-0.0024797901451920137j),(0.0026707852180524946+0.0005083578348860392j),(0.0004766190613730063+0.002866541845905895j),(-0.0020390715012766993+0.0023024903520474545j),(-0.0030470650862646134+0.0009568969947000081j),(-0.003211944835419603+0.0003950309808095618j),(-0.003047065086264603+0.0009568969946999999j),(-0.002039071501276703+0.0023024903520474527j)
"(8,)",(-0.00261565252441307+0.0028278973849978576j),(0.00047661906137300494+0.002866541845905896j),(0.002670785218052499+0.0005083578348860369j),(0.0006036906119610249-0.002479790145192018j),(-0.0024465326500620064-4.636691471965236e-05j),(0.001041309320593261+0.0022221771060305087j),(0.001208292504221431-0.00245820151142166j),(-0.0036396148574100984+0.0035551082275355667j),(0.002014284136398069+0.014813502642170727j),(-0.003639614857410102+0.003555108227535563j),(0.001208292504221435-0.0024582015114216595j),(0.001041309320593258+0.002222177106030508j),(-0.002446532650062006-4.636691471965265e-05j),(0.0006036906119610274-0.002479790145192016j),(0.0026707852180524985+0.0005083578348860357j),(0.0004766190613730056+0.002866541845905901j),(-0.0020390715012767063+0.0023024903520474575j),(-0.0030470650862646125+0.0009568969947000044j),(-0.003211944835419597+0.0003950309808095586j),(-0.0030470650862646116+0.0009568969947000056j)
"(9,)",(-0.0038312693515407453+0.001111527462076063j),(-0.002039071501276695+0.002302490352047453j),(0.00047661906137300744+0.0028665418459058963j),(0.002670785218052498+0.000508357834886034j),(0.0006036906119610222-0.002479790145192017j),(-0.002446532650062008-4.636691471964815e-05j),(0.0010413093205932642+0.002222177106030503j),(0.0012082925042214288-0.002458201511421658j),(-0.003639614857410102+0.003555108227535563j),(0.002014284136398064+0.014813502642170722j),(-0.0036396148574100976+0.003555108227535562j),(0.001208292504221437-0.002458201511421655j),(0.0010413093205932573+0.0022221771060305048j),(-0.002446532650062003-4.636691471965565e-05j),(0.000603690611961024-0.002479790145192018j),(0.002670785218052501+0.0005083578348860367j),(0.00047661906137300337+0.002866541845905904j),(-0.0020390715012767015+0.002302490352047454j),(-0.0030470650862646034+0.0009568969947000029j),(-0.003211944835419605+0.0003950309808095645j)
