index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)"
"(0,)",(0.004261908534068615+0.008953809692101014j),(-0.0017136831846476938+0.0046245992392747876j),(-0.0023989160538710336-0.0015906590160034827j),(0.0013207820150176216-0.001967173236251107j),(0.0018487869551072436+0.0010308635773959149j),(-0.0006702875535300779+0.0018490623840387646j),(-0.001866582197063717-0.00018561241184418182j),(-0.0004495565712296435-0.0017657068428221698j),(0.0013602027808074615-0.0011681952042080057j),(0.0017122823462354378+0.0004879778472690339j),(0.0007567657482625287+0.001609524032179762j),(-0.0004782909364860886+0.0017174602397589198j),(-0.0013239145463240349+0.0012043350291994735j),(-0.0016978933156744829+0.0005874190456931494j),(-0.0017945399323522453+0.00015889719916481492j),(-0.001803297225073698+1.1607323194663897e-05j),(-0.0017945399323522418+0.0001588971991648154j),(-0.0016978933156744794+0.0005874190456931485j),(-0.0013239145463240327+0.0012043350291994692j),(-0.0004782909364860879+0.001717460239758915j),(0.000756765748262528+0.001609524032179761j),(0.001712282346235434+0.0004879778472690349j),(0.0013602027808074628-0.001168195204208005j),(-0.0004495565712296423-0.0017657068428221729j),(-0.0018665821970637142-0.00018561241184417997j),(-0.0006702875535300734+0.0018490623840387668j),(0.001848786955107245+0.0010308635773959092j),(0.0013207820150176162-0.0019671732362511103j),(-0.0023989160538710305-0.0015906590160034754j),(-0.0012326033529478926+0.004641774951757415j)
"(1,)",(-0.0017136831846476938+0.0046245992392747876j),(0.0034447407056524054+0.008317870379296783j),(-0.001521936082383427+0.004487099098993922j),(-0.0019159597029508792-0.0012580968179243413j),(0.001025668724818205-0.0015553733693586824j),(0.0014619624310145793+0.0008006431799800942j),(-0.0005177872036638243+0.0014627251324945763j),(-0.0014767811096236339-0.00013531447677462018j),(-0.0003674407751008418-0.0013960591667123952j),(0.001072151316858515-0.0009365831182226839j),(0.0013655905638392115+0.0003762782437824072j),(0.0006147455252729258+0.001277242827921047j),(-0.00036894262308555514+0.0013743629711890735j),(-0.0010487581116033434+0.000972506261447397j),(-0.0013534234467899066+0.00048300479572596216j),(-0.001434792141973346+0.00014122692318228812j),(-0.0014432087209474472+2.347853942427004e-05j),(-0.0014347921419733463+0.00014122692318228842j),(-0.0013534234467899042+0.000483004795725963j),(-0.0010487581116033406+0.0009725062614473938j),(-0.0003689426230855543+0.0013743629711890724j),(0.0006147455252729245+0.0012772428279210462j),(0.0013655905638392102+0.00037627824378240785j),(0.0010721513168585161-0.0009365831182226827j),(-0.0003674407751008443-0.0013960591667123946j),(-0.0014767811096236367-0.00013531447677461551j),(-0.0005177872036638186+0.0014627251324945756j),(0.0014619624310145826+0.0008006431799800881j),(0.0010256687248182-0.001555373369358681j),(-0.0019159597029508799-0.0012580968179243385j)
"(2,)",(-0.0023989160538710336-0.0015906590160034827j),(-0.001521936082383427+0.004487099098993922j),(0.003444740705652395+0.008317870379296748j),(-0.0015219360823834176+0.004487099098993918j),(-0.0019159597029508773-0.0012580968179243352j),(0.0010256687248182004-0.0015553733693586815j),(0.001461962431014578+0.0008006431799800895j),(-0.0005177872036638198+0.0014627251324945722j),(-0.0014767811096236302-0.0001353144767746178j),(-0.000367440775100844-0.001396059166712394j),(0.0010721513168585103-0.0009365831182226833j),(0.001365590563839209+0.00037627824378240373j),(0.0006147455252729263+0.001277242827921044j),(-0.00036894262308555324+0.0013743629711890696j),(-0.0010487581116033397+0.0009725062614473939j),(-0.0013534234467899007+0.00048300479572596097j),(-0.0014347921419733411+0.0001412269231822888j),(-0.0014432087209474455+2.3478539424270952e-05j),(-0.0014347921419733422+0.00014122692318228766j),(-0.0013534234467898996+0.0004830047957259612j),(-0.0010487581116033402+0.0009725062614473943j),(-0.00036894262308555443+0.0013743629711890672j),(0.0006147455252729217+0.0012772428279210438j),(0.0013655905638392087+0.00037627824378240867j),(0.001072151316858511-0.0009365831182226794j),(-0.0003674407751008439-0.0013960591667123929j),(-0.00147678110962363-0.0001353144767746173j),(-0.0005177872036638198+0.0014627251324945724j),(0.0014619624310145728+0.0008006431799800887j),(0.0010256687248182026-0.001555373369358677j)
"(3,)",(0.0013207820150176216-0.001967173236251107j),(-0.0019159597029508792-0.0012580968179243413j),(-0.0015219360823834176+0.004487099098993918j),(0.003444740705652393+0.008317870379296745j),(-0.0015219360823834174+0.004487099098993917j),(-0.0019159597029508766-0.0012580968179243372j),(0.0010256687248182022-0.0015553733693586809j),(0.0014619624310145767+0.0008006431799800886j),(-0.0005177872036638209+0.0014627251324945715j),(-0.0014767811096236332-0.0001353144767746179j),(-0.00036744077510084475-0.0013960591667123935j),(0.0010721513168585103-0.0009365831182226831j),(0.0013655905638392091+0.00037627824378240525j),(0.000614745525272924+0.0012772428279210451j),(-0.0003689426230855543+0.001374362971189068j),(-0.0010487581116033384+0.0009725062614473931j),(-0.0013534234467898996+0.00048300479572596216j),(-0.0014347921419733426+0.00014122692318228788j),(-0.0014432087209474453+2.3478539424270298e-05j),(-0.001434792141973341+0.00014122692318228742j),(-0.001353423446789903+0.0004830047957259621j),(-0.0010487581116033397+0.0009725062614473931j),(-0.0003689426230855543+0.0013743629711890678j),(0.0006147455252729229+0.0012772428279210467j),(0.001365590563839206+0.0003762782437824066j),(0.0010721513168585111-0.0009365831182226828j),(-0.00036744077510084404-0.0013960591667123911j),(-0.0014767811096236308-0.00013531447677461728j),(-0.0005177872036638204+0.0014627251324945687j),(0.0014619624310145752+0.000800643179980091j)
"(4,)",(0.0018487869551072436+0.0010308635773959149j),(0.001025668724818205-0.0015553733693586824j),(-0.0019159597029508773-0.0012580968179243352j),(-0.0015219360823834174+0.004487099098993917j),(0.0034447407056523937+0.008317870379296741j),(-0.0015219360823834163+0.004487099098993918j),(-0.0019159597029508773-0.0012580968179243365j),(0.0010256687248181998-0.0015553733693586802j),(0.0014619624310145765+0.0008006431799800881j),(-0.00051778720366382+0.001462725132494575j),(-0.0014767811096236332-0.00013531447677461527j),(-0.000367440775100847-0.001396059166712392j),(0.0010721513168585092-0.0009365831182226851j),(0.0013655905638392085+0.000376278243782405j),(0.000614745525272924+0.0012772428279210434j),(-0.00036894262308555183+0.0013743629711890667j),(-0.001048758111603336+0.0009725062614473933j),(-0.0013534234467898999+0.0004830047957259638j),(-0.001434792141973342+0.00014122692318228964j),(-0.0014432087209474433+2.3478539424272436e-05j),(-0.0014347921419733444+0.00014122692318228945j),(-0.0013534234467899014+0.0004830047957259626j),(-0.0010487581116033395+0.0009725062614473937j),(-0.0003689426230855549+0.0013743629711890704j),(0.0006147455252729236+0.0012772428279210436j),(0.0013655905638392087+0.00037627824378240476j),(0.001072151316858509-0.0009365831182226817j),(-0.00036744077510084485-0.001396059166712392j),(-0.001476781109623628-0.00013531447677461847j),(-0.0005177872036638218+0.0014627251324945713j)
"(5,)",(-0.0006702875535300779+0.0018490623840387646j),(0.0014619624310145793+0.0008006431799800942j),(0.0010256687248182004-0.0015553733693586815j),(-0.0019159597029508766-0.0012580968179243372j),(-0.0015219360823834163+0.004487099098993918j),(0.003444740705652393+0.008317870379296748j),(-0.001521936082383419+0.004487099098993917j),(-0.001915959702950877-0.001258096817924335j),(0.0010256687248182002-0.001555373369358679j),(0.0014619624310145806+0.0008006431799800894j),(-0.0005177872036638194+0.001462725132494575j),(-0.001476781109623633-0.00013531447677461467j),(-0.0003674407751008464-0.0013960591667123933j),(0.0010721513168585114-0.0009365831182226826j),(0.0013655905638392072+0.00037627824378240634j),(0.0006147455252729229+0.001277242827921042j),(-0.00036894262308555096+0.0013743629711890663j),(-0.0010487581116033376+0.0009725062614473946j),(-0.001353423446789901+0.0004830047957259631j),(-0.0014347921419733411+0.00014122692318228793j),(-0.0014432087209474474+2.347853942427115e-05j),(-0.0014347921419733435+0.0001412269231822884j),(-0.0013534234467899022+0.0004830047957259628j),(-0.0010487581116033428+0.0009725062614473952j),(-0.0003689426230855536+0.001374362971189069j),(0.0006147455252729244+0.0012772428279210451j),(0.0013655905638392065+0.00037627824378240487j),(0.0010721513168585105-0.0009365831182226824j),(-0.000367440775100842-0.00139605916671239j),(-0.00147678110962363-0.00013531447677462056j)
"(6,)",(-0.001866582197063717-0.00018561241184418182j),(-0.0005177872036638243+0.0014627251324945763j),(0.001461962431014578+0.0008006431799800895j),(0.0010256687248182022-0.0015553733693586809j),(-0.0019159597029508773-0.0012580968179243365j),(-0.001521936082383419+0.004487099098993917j),(0.003444740705652394+0.00831787037929675j),(-0.0015219360823834171+0.0044870990989939194j),(-0.0019159597029508762-0.0012580968179243337j),(0.0010256687248182009-0.0015553733693586846j),(0.001461962431014581+0.0008006431799800878j),(-0.0005177872036638165+0.0014627251324945756j),(-0.0014767811096236345-0.0001353144767746143j),(-0.00036744077510084523-0.001396059166712394j),(0.0010721513168585114-0.0009365831182226809j),(0.001365590563839206+0.00037627824378240503j),(0.0006147455252729244+0.00127724282792104j),(-0.00036894262308555053+0.0013743629711890683j),(-0.0010487581116033376+0.0009725062614473948j),(-0.0013534234467898994+0.00048300479572596324j),(-0.0014347921419733446+0.0001412269231822906j),(-0.001443208720947446+2.3478539424272117e-05j),(-0.0014347921419733437+0.0001412269231822886j),(-0.0013534234467899053+0.0004830047957259643j),(-0.0010487581116033402+0.0009725062614473947j),(-0.0003689426230855523+0.0013743629711890709j),(0.0006147455252729244+0.0012772428279210428j),(0.0013655905638392083+0.00037627824378240525j),(0.0010721513168585094-0.0009365831182226791j),(-0.0003674407751008416-0.0013960591667123926j)
"(7,)",(-0.0004495565712296435-0.0017657068428221698j),(-0.0014767811096236339-0.00013531447677462018j),(-0.0005177872036638198+0.0014627251324945722j),(0.0014619624310145767+0.0008006431799800886j),(0.0010256687248181998-0.0015553733693586802j),(-0.001915959702950877-0.001258096817924335j),(-0.0015219360823834171+0.0044870990989939194j),(0.0034447407056523932+0.008317870379296745j),(-0.0015219360823834182+0.004487099098993918j),(-0.0019159597029508794-0.0012580968179243357j),(0.0010256687248182002-0.0015553733693586826j),(0.0014619624310145793+0.000800643179980086j),(-0.0005177872036638178+0.0014627251324945743j),(-0.0014767811096236321-0.00013531447677461785j),(-0.00036744077510084263-0.0013960591667123922j),(0.0010721513168585083-0.0009365831182226795j),(0.0013655905638392044+0.000376278243782403j),(0.0006147455252729249+0.0012772428279210401j),(-0.00036894262308555074+0.001374362971189067j),(-0.001048758111603336+0.0009725062614473927j),(-0.0013534234467899012+0.00048300479572596465j),(-0.0014347921419733416+0.00014122692318229043j),(-0.0014432087209474455+2.347853942427203e-05j),(-0.0014347921419733457+0.00014122692318229024j),(-0.001353423446789902+0.00048300479572596205j),(-0.001048758111603339+0.000972506261447396j),(-0.0003689426230855509+0.0013743629711890674j),(0.0006147455252729243+0.0012772428279210423j),(0.0013655905638392041+0.00037627824378240525j),(0.0010721513168585098-0.000936583118222679j)
"(8,)",(0.0013602027808074615-0.0011681952042080057j),(-0.0003674407751008418-0.0013960591667123952j),(-0.0014767811096236302-0.0001353144767746178j),(-0.0005177872036638209+0.0014627251324945715j),(0.0014619624310145765+0.0008006431799800881j),(0.0010256687248182002-0.001555373369358679j),(-0.0019159597029508762-0.0012580968179243337j),(-0.0015219360823834182+0.004487099098993918j),(0.0034447407056523954+0.008317870379296747j),(-0.0015219360823834184+0.004487099098993922j),(-0.0019159597029508788-0.0012580968179243337j),(0.0010256687248181974-0.0015553733693586826j),(0.0014619624310145797+0.000800643179980087j),(-0.000517787203663821+0.0014627251324945728j),(-0.00147678110962363-0.0001353144767746183j),(-0.0003674407751008428-0.0013960591667123892j),(0.001072151316858506-0.0009365831182226803j),(0.0013655905638392054+0.0003762782437824035j),(0.0006147455252729238+0.0012772428279210404j),(-0.0003689426230855509+0.0013743629711890648j),(-0.0010487581116033389+0.0009725062614473945j),(-0.0013534234467898996+0.00048300479572596357j),(-0.0014347921419733422+0.00014122692318228959j),(-0.0014432087209474483+2.3478539424271213e-05j),(-0.0014347921419733433+0.00014122692318228812j),(-0.0013534234467899027+0.00048300479572596265j),(-0.0010487581116033374+0.0009725062614473933j),(-0.0003689426230855519+0.0013743629711890676j),(0.0006147455252729213+0.0012772428279210401j),(0.0013655905638392048+0.000376278243782406j)
"(9,)",(0.0017122823462354378+0.0004879778472690339j),(0.001072151316858515-0.0009365831182226839j),(-0.000367440775100844-0.001396059166712394j),(-0.0014767811096236332-0.0001353144767746179j),(-0.00051778720366382+0.001462725132494575j),(0.0014619624310145806+0.0008006431799800894j),(0.0010256687248182009-0.0015553733693586846j),(-0.0019159597029508794-0.0012580968179243357j),(-0.0015219360823834184+0.004487099098993922j),(0.003444740705652403+0.008317870379296757j),(-0.0015219360823834195+0.004487099098993923j),(-0.0019159597029508816-0.0012580968179243355j),(0.0010256687248182026-0.0015553733693586846j),(0.0014619624310145793+0.0008006431799800926j),(-0.0005177872036638236+0.0014627251324945737j),(-0.0014767811096236308-0.0001353144767746192j),(-0.0003674407751008437-0.0013960591667123907j),(0.0010721513168585096-0.0009365831182226821j),(0.0013655905638392067+0.00037627824378240487j),(0.0006147455252729242+0.0012772428279210406j),(-0.00036894262308555324+0.0013743629711890702j),(-0.0010487581116033389+0.0009725062614473952j),(-0.001353423446789903+0.0004830047957259639j),(-0.0014347921419733474+0.0001412269231822895j),(-0.001443208720947448+2.347853942427021e-05j),(-0.0014347921419733468+0.0001412269231822887j),(-0.0013534234467899018+0.00048300479572596324j),(-0.0010487581116033397+0.0009725062614473955j),(-0.00036894262308555356+0.0013743629711890667j),(0.0006147455252729236+0.0012772428279210443j)
