index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(-1.5, -1.5)",(-0.00022257531383107178-0.0005534270394870932j),(-0.0014553007247415412-0.003677892793212785j),(0.0022963574433612177-0.0020898670948811073j),(0.001598623577867806+0.0018958577039767512j),(-0.0004969579155974391+0.0024128764560296593j),(-0.0016357786208028723+0.0005318502599980792j),(-0.0014498274926433722-0.0018649695895698371j),(0.0009903597549645194-0.0017434691877396423j),(0.0016810150400371608+0.00040375535718210995j),(0.0005533045536933487+0.0018130976275305504j),(-0.0015598638554758435+0.0011415408329974168j),(-0.0015901777851679401-0.0011634159176276684j),(0.0005534928129355414-0.0018329251405557732j),(0.0017759781486978263-0.0004292713167871022j),(0.0008191974848399756+0.0009850734406872412j),(0.0006867534482492738+0.0016409808185627378j),(0.0014685922594494694+0.0016790920326721771j),(0.0017223144091176147+0.0008741790501601262j),(0.0019519499994288805+0.0003988066311377091j),(0.001997453225883353-0.00019066195202029746j),(0.001992600202076064-0.000615994039029858j),(0.0020001516306825994-0.0010860311598684916j),(0.0016519660272704447-0.001207182912685137j),(0.0015290215785726566-0.0013308685379603226j),(0.0014646209858896091-0.001404510130507705j),(0.0016349637409410797-0.0015608594725974377j),(0.0016829999144880369-0.0014633317405943124j),(0.0017410880301519283-0.0012664274877019117j),(0.0017919879152877064-0.0009459129101818137j),(0.001985462807658574-0.00062771175549715j),(0.0018783285339438812-0.00017822580780726507j),(0.0017744228487857321+0.00033590518815515026j),(0.0015952636123516717+0.0008353558772472686j),(0.0012501309070471656+0.0015107560135070484j),(0.0004956808588353994+0.0010610774066020286j),(0.0011402291652705997+0.0011401692650785133j),(0.001613782111066922-0.00037410401448431755j),(0.00033916607629999525-0.0018241716394088443j),(-0.0017587654961722713-0.000693505649291439j),(-0.0015088553164014755+0.0012684127440579932j),(0.00047420469347016014+0.0016594750408250372j),(0.002140118796395985-2.338249764179155e-05j),(0.0012360493759489336-0.002154964704399696j),(-0.0011571863993568182-0.0018616942564306203j),(-0.0022211372358884383+0.0003962313051404885j),(-0.0006743832552891677+0.0019454159469625848j),(0.0018910371527741674+0.0015631998169903791j),(0.0022931680875518026-0.0007478182499105362j),(0.0006479630937174964-0.0024773344761435385j),(-0.0008374834341663404-0.0014252936351431735j)
"(-1.396551724137931, -1.5)",(-0.002054648964142143-0.000552321018982195j),(-0.003621975083804627+0.0006218746096456311j),(-0.0021744102784174344-0.003347079665599088j),(0.001368508325394071-0.001707842612692159j),(0.0020924553389386935+0.0006328732719687889j),(0.0006210303000376282+0.0021093473682289358j),(-0.0017088789111532865+0.0017167925139375416j),(-0.0020283403607443654-0.0008923030538586119j),(5.942399913284994e-05-0.0022871193010516344j),(0.0019421634559727116-0.0006720995451099738j),(0.0012829005168171457+0.0008952429992591671j),(-0.0004100680302080375+0.0015798622422763906j),(-0.001973308578908662-3.424152208896842e-05j),(-0.0006948552968349731-0.001981472600564592j),(0.0010684125375267802-0.0014718151983541014j),(0.0009799845140369147-0.0007892682900885296j),(0.0013612278364957897-0.0019018892600450935j),(0.0005917767859538699-0.0019703266090583663j),(8.351608524475908e-05-0.0022679748721749194j),(-0.0003560534106163025-0.0017320482141622484j),(-0.0009251422787680398-0.0022851684955933734j),(-0.0010314387064584076-0.0017733438405277214j),(-0.0012254734324153207-0.0017506655005893631j),(-0.001309495051635797-0.0016902591050617954j),(-0.001200810743998527-0.0015788914950608558j),(-0.001093781710195656-0.0016102918695574556j),(-0.0009661585056745405-0.0017312694659852236j),(-0.0007679821518679543-0.001980212216549104j),(-0.0003099975016996979-0.0020166952856838895j),(0.000187957084861144-0.002190072157698962j),(0.000676256859412459-0.0019157166834030373j),(0.001152487909306117-0.0015239039439513319j),(0.001790976500358509-0.0009613667113820824j),(0.0023069219212983627-0.00018543429511218312j),(0.0011734843384228826+0.00023798974777651673j),(0.0010320100706277052-0.00012472416894232461j),(0.0009517698195537828-0.0013512682962980387j),(-0.0012037653771620532-0.0015210151434980057j),(-0.0021130289727976414+0.0010256644824395125j),(0.00038561626817001313+0.002214291010864594j),(0.002290630932603543+0.0005503281917426036j),(0.0011376780256708214-0.0019909805255469053j),(-0.0015554690675296232-0.001785586304880258j),(-0.0024575323990466236+0.0005568455676394181j),(-0.00043096182710268067+0.0020689828834139306j),(0.0016665152129929396+0.0011911115551456648j),(0.001878173435624754-0.0012505047694543819j),(-0.00021806342183362413-0.002629439027106776j),(-0.002297875887435363-0.0009047698304702104j),(-0.000721647720876353+0.00011823577108951186j)
"(-1.293103448275862, -1.5)",(-0.00013776684730765204+0.0007130374260645937j),(0.00023570672934908728+0.004103806371756428j),(-0.0033210012935601437+0.0010861012270259377j),(-0.0012315187604030058-0.0016253404737885929j),(0.0005743613570780429-0.002515671691424929j),(0.0020983340172210795-0.0007388592050940298j),(0.001530652533355961+0.001865655268611884j),(-0.000686645668567162+0.001972382075025893j),(-0.002140931056272151+0.00013790743594968937j),(-0.0012193873059401085-0.0017539071626805679j),(0.0008088167168133994-0.001574652131392531j),(0.0021240423334919086+0.0004379378825566486j),(0.00041183211954385815+0.002045387485085965j),(-0.001602503317935131+0.0011802792533250276j),(-0.0015460543542102714-0.0005009905157682499j),(-0.000997302323872612-0.0007694122124756208j),(-0.00167407351341313-0.0008367339040532332j),(-0.0021000484556313185-0.00034754418317180176j),(-0.0023446348191659837+0.00019835372180633938j),(-0.0019230913154514536+0.000539864883221274j),(-0.001896351632163259+0.0008294962737010054j),(-0.002026697172406884+0.0011335399075858951j),(-0.0017899691092077214+0.001097618777366206j),(-0.0019510837804746915+0.0011778197322535671j),(-0.002211227215895038+0.0011743989291959716j),(-0.0016537147668272219+0.0006526791549156402j),(-0.0019164858922360456+0.0004836857560534832j),(-0.0021078396519302266+7.501486107465712e-05j),(-0.002187915445043988-0.000423173100159223j),(-0.0018790876255939998-0.0010113054129515184j),(-0.001303274943878219-0.0014030585808394076j),(-0.0006791867899175822-0.0018502975964555717j),(9.468560126871009e-05-0.001868666714437372j),(0.0010435027897602986-0.001617554920851302j),(0.0011037446392715884-0.0008173432367434284j),(0.0008979472188427093-0.0013790994742601183j),(-0.000792636052018275-0.0016283672709440466j),(-0.0016522448952047645-5.690720952284311e-05j),(-0.0005757764721281292+0.00205093938003949j),(0.0013623674083259223+0.000995179212404995j),(0.0015851616867984509-0.0014966175216083273j),(-0.0006604925624539271-0.001980714723913285j),(-0.0022956728806576825+0.00020177929125561576j),(-0.000486857297514242+0.001967743246449429j),(0.001964585546712973+0.0014047274384685357j),(0.001775555229738016-0.0009187041030471475j),(-0.0005466739981516464-0.0023269231369746146j),(-0.0026105314011863733-0.0005485887338138016j),(-0.0012985996605508732+0.001746224921812024j),(-2.237445639883291e-05+0.0008378820340647989j)
"(-1.1896551724137931, -1.5)",(0.0006820960310834842+0.0005305705343334777j),(0.0032339269007102454+0.001635180205887505j),(0.0005086558494127451+0.0026490531380205617j),(-0.00185673691769458+0.0012160726429576965j),(-0.0024304293297455043-0.0009213236696795511j),(-0.0006577305069176634-0.002391449611308117j),(0.0016029843620118424-0.0014234952457324276j),(0.0023949639166708737+0.0005355304471359234j),(0.0005970390660672551+0.002251291046574629j),(-0.0016268372482141245+0.0011887577286049098j),(-0.0017831279412616142-0.0009655975015189578j),(9.188829746655436e-05-0.0018401444427333944j),(0.00212963383760543-0.0009901016805739843j),(0.0015384152701135164+0.0014848014976698598j),(-0.0003117764542787385+0.0018504920137101554j),(-0.0009153259670612018+0.0016949253117985992j),(-0.0006434925589394634+0.0021536913798857215j),(-7.869723813392155e-05+0.0021397873478116265j),(0.000382345111481264+0.0023053543723601942j),(0.0007326098458751421+0.0022713565308965416j),(0.0008504453103739017+0.0019978660302396242j),(0.0009773949175370291+0.0020579439379877756j),(0.000923642538405109+0.0019883737245002604j),(0.0007014471972560202+0.001757234280080665j),(0.0005823098240379923+0.002141989436359926j),(0.0002202030641467617+0.0019411942291153647j),(-0.00018919698048544645+0.0020428465256296727j),(-0.0008452289817088807+0.002166714757496436j),(-0.001401217089654708+0.0017823709431693839j),(-0.0019907894839523294+0.001161197471171872j),(-0.0020808809913355876+0.00031747764049034363j),(-0.001940265025499118-0.0005767916385342689j),(-0.001582724297777126-0.001477863918919593j),(-0.0004472362122419542-0.001920238439040433j),(0.00034370919329236506-0.001796386493426825j),(-0.00011745941656707645-0.0016048074134567493j),(-0.0017433696645792753-0.0006820128691406836j),(-0.0011642503903555028+0.001593214346466581j),(0.0010048646399016055+0.0013921143640140787j),(0.0016249862134594059-0.0003633440341600983j),(-0.00017724454094529717-0.0020986079355258857j),(-0.001750385439759009-0.0007122102300777917j),(-0.0010997809178570914+0.0013017184815244884j),(0.0014798120954651356+0.0017158718766602658j),(0.002510672160473427-0.0008308995271885049j),(-0.00020505857818332933-0.0024733485846642925j),(-0.0024300907741614404-0.0009521408250903947j),(-0.0016280357780073427+0.001609178299829898j),(0.0011050917539054137+0.0016743364240063392j),(0.0006178586092206998+0.000345691370979686j)
"(-1.0862068965517242, -1.5)",(0.0017219540229626254-0.000527715162433042j),(0.003048057508072603-0.0027625176246634233j),(0.0032314096470333117+0.00045029131291038664j),(0.0008235218468518508+0.0023793533034357074j),(-0.0012651362670183315+0.0022916722113697826j),(-0.0021891034474456903+0.00023070470515228954j),(-0.0015843216896026724-0.002063014620736053j),(0.000649100541670936-0.0020442912126048224j),(0.00197811299628552-0.00041381182192859077j),(0.0015426452801163522+0.0015588066842428222j),(-0.00047675490373753714+0.0016866977036526086j),(-0.0020655098451139073+0.0003946127013525739j),(-0.0011897927336913601-0.0018795223271319765j),(0.001083251396992294-0.001681750476688968j),(0.001249035328573539-5.8550268715312466e-05j),(0.0012197966143067285+0.0003823636643352184j),(0.002379273683870383+0.00031091845594873296j),(0.002028447252289315-9.526530319283772e-05j),(0.00241273129292386-0.0004975519096161686j),(0.001937342672840506-0.0005799274216444254j),(0.0020579145966674664-0.0007221419851090253j),(0.002334091488949394-0.0007897761692678066j),(0.00225640635726916-0.000602896323812796j),(0.0022799249975842175-0.0003390380144671336j),(0.0020106442928523862+7.636338335811382e-05j),(0.002166496386786786+0.0005043507950598663j),(0.0019449779543062168+0.0010945776791521028j),(0.001353786314672713+0.0014100275966399563j),(0.0007648435188901343+0.001957789757113167j),(-0.0001608437610132892+0.0019712592231895245j),(-0.001047668764909244+0.001737767999655567j),(-0.0021377845388859352+0.0012171375514089368j),(-0.0023419798714785093-4.4382720367068855e-05j),(-0.0018169730209144864-0.001166409002539911j),(-0.0005847442476300922-0.001051688532931951j),(-0.0007128892460353438-0.0008183866716750343j),(-0.0015202110449662807+0.00016742324450475527j),(-0.00016359565190868255+0.001867345395074122j),(0.00221073339790828+0.0006456897681632648j),(0.0010770299830616117-0.0014982170203137984j),(-0.0014788566028622171-0.001265547158563318j),(-0.001978798121499069+0.0011026251931834953j),(0.0005715742036056246+0.002024366017509764j),(0.002110447320781254+0.00015802852518335592j),(0.0008170779865304866-0.002561331671867533j),(-0.002334953643068349-0.0013214124920543956j),(-0.001722041333783848+0.0015114797613943224j),(0.0008388822047610614+0.0021399722107491672j),(0.0027613681540058694+0.00012262513785330078j),(0.0011836274693854437-0.0013508140460998202j)
"(-0.9827586206896551, -1.5)",(0.00012755059752916556-0.0011212057728211082j),(-0.0007157218767867306-0.00422089284579962j),(0.002578994981522451-0.0037258779309591217j),(0.0026908620725471185-0.00017728373089852126j),(0.001874379127220051+0.0017939101755135686j),(-0.00046960444923058333+0.0024134129626499283j),(-0.0017259021415363877+0.000920066226399166j),(-0.002417886961294732-0.0010904472649666509j),(-0.00041362204737760297-0.0020944171907915916j),(0.001745011719386222-0.0015444302009665982j),(0.0019552018921718656+0.0006041248293803465j),(0.0003334034632361888+0.002012935822808116j),(-0.0022451563412217487+0.001473696370488116j),(-0.0018430123194212822-0.0006835071078871363j),(-0.00023689727335946123-0.001155783211904901j),(0.00024643720477432517-0.0014372856160041107j),(9.52699536652419e-05-0.0019964626490168993j),(-0.000198389348314188-0.0020663878081829106j),(-0.0004552419009090507-0.002411187143696969j),(-0.0005573581681686067-0.002384119802831591j),(-0.000447060166637438-0.002057418747514605j),(-0.00035296704830610053-0.0024010721192155326j),(-2.3103140405921602e-05-0.002395080401271862j),(0.00035070068988686846-0.0022725589744588236j),(0.0009179504832455155-0.002207268759935827j),(0.0013662017373849559-0.001624630681686165j),(0.0017484288337617502-0.0010644787169708516j),(0.00211052703060126-0.0003862427443418741j),(0.002188925622411616+0.0006208191103206114j),(0.0017639790463012403+0.001582820209662832j),(0.0007446523852030176+0.0021176372591784564j),(-0.000584629141217613+0.002169882080001301j),(-0.001634769485332772+0.0013550698287682693j),(-0.0020536975222297895+0.000160575476643442j),(-0.0015750632114106928-0.000796289827503645j),(-0.0015778770818599623-0.0004846028205309794j),(-0.0010504423870830782+0.0013105571222053179j),(0.0010053103855203137+0.001873531241405219j),(0.0015959554510683416-0.0007917808633658787j),(-8.983511400739888e-05-0.0019889447614526825j),(-0.001831816910318037-0.00048563627408100253j),(-0.0008610498132782287+0.0020189986043474086j),(0.001628901522569893+0.0012035804470444556j),(0.001487967025261279-0.00160979643987037j),(-0.0011009898998787042-0.002006296317989833j),(-0.00235092836867848+0.00046519451924240156j),(-0.0002965644306851326+0.002173584186984575j),(0.0023526354775866027+0.000862425099278069j),(0.0013182084959108393-0.002147778823424398j),(-9.38699464460229e-05-0.000908548844537305j)
"(-0.8793103448275862, -1.5)",(-0.0007367020000239489-0.0019004943945928816j),(-0.004795226452184895-0.002249331323960082j),(-0.001885289555208328-0.004085371187784909j),(0.0010892973284054547-0.0024663476060417214j),(0.0026430289708297095-0.0009241011940622876j),(0.0022195304353674083+0.0010051956477819314j),(0.0009540684709085197+0.00243563149166143j),(-0.0013456453463669682+0.001917328067729657j),(-0.00241594601526155+0.0003252036612171367j),(-0.0013993473916525062-0.0018418020619075017j),(0.0007592748504889277-0.0018308788118445566j),(0.0019836816204958432-0.0005068938798788297j),(0.0011622282456132695+0.0016527008062419374j),(-0.0006138737946085178+0.002017865160970306j),(-0.0017753143083596142+0.0005297358009475428j),(-0.001200848123824414-0.00010807995632550661j),(-0.0024517791564105025-4.9157133831815364e-05j),(-0.002083349630650662+0.00016805289767283366j),(-0.0024442172096073985+0.00030366028267739275j),(-0.0020914602348648965+0.00022529551183196448j),(-0.0026173152649338507+6.021880219500245e-05j),(-0.0022545864589312648-0.00023937693554768367j),(-0.0022430263768558885-0.0006526756537748054j),(-0.0021575743397305573-0.0013568345537750947j),(-0.0015811263811092273-0.0016798930236720756j),(-0.0008698085061460195-0.0019946621321554957j),(0.00010814068995406743-0.002318846152556842j),(0.0010119820618545816-0.0019935404892807733j),(0.00196591453263282-0.0011783884319856689j),(0.0027646451062352706-6.517633186554332e-05j),(0.0019259109772211134+0.0012691321767638061j),(0.000782589601798527+0.0017116808612840553j),(-0.0006497998817452739+0.0018453003536038723j),(-0.001934364273633714+0.0011882738153224366j),(-0.0017011124913741058+3.084464796113545e-05j),(-0.0010394824643526182+0.0001493177458740758j),(-0.0006297226247778669+0.001746868019049394j),(0.0017171183087113036+0.0010064053280796877j),(0.0015520150032897063-0.0012622223732321714j),(-0.0010810687817865393-0.0014667886169110896j),(-0.0016516260763213902+0.0007359630008906944j),(0.00010077459664158472+0.002011997253100953j),(0.0023326655549058425-9.090373613131378e-05j),(0.0008196762643367927-0.0021028581021205095j),(-0.0021967937920799067-0.0012955799738872528j),(-0.001699307530366811+0.0016925293350577254j),(0.0015235856821754538+0.0021891495143346795j),(0.0020259227727684867-0.0011442346120327188j),(-0.00044945325443423306-0.002233772428119262j),(-0.0017468751820788459-0.000879070770915292j)
"(-0.7758620689655172, -1.5)",(-0.0016389328044792869-0.0011404971780344586j),(-0.00324766808496634+0.00014344310782571165j),(-0.0034227985381277445-0.0010920700075470395j),(-0.001481335743988935-0.0023925696222289474j),(0.0002167048995133211-0.002848521629282029j),(0.0019412574887790208-0.0018565585697715697j),(0.0027513931490650437-6.47366516978296e-05j),(0.0019151103433309976+0.002042808820137031j),(-0.0001482756833983476+0.002462613314982408j),(-0.001677876826403516+0.00113023776537782j),(-0.0022546905365698144-0.0009505666375191268j),(-0.00019586756705525812-0.002066060897710634j),(0.0014544735817103916-0.0015153631818404997j),(0.0018966793952816027+0.0008275673681798298j),(0.0006668678903480681+0.0016800169414982254j),(-7.050345987294882e-05+0.001413013722465164j),(-6.63595913172196e-05+0.0023829265792414383j),(3.520975678429468e-05+0.0023272926166197135j),(-1.581212706114578e-05+0.002136925559632237j),(-0.00018935971555033781+0.002332833769177862j),(-0.0006050046696387529+0.0026537963365095324j),(-0.0010449334019454611+0.002260352376685807j),(-0.0013570769314240581+0.001637891782301093j),(-0.0021999319513448796+0.0014376248542035761j),(-0.0022914045797077093+0.0004932653895927866j),(-0.002240095027865847-0.0005616559042474492j),(-0.0019252076136606058-0.0015894711763145292j),(-0.0007940513467488413-0.0018924837434256528j),(0.000544281116432882-0.0023727764199405837j),(0.0015495272733675512-0.0013956783275599642j),(0.002174829849176123-0.000267663947825967j),(0.001911475831322446+0.0014207432384805553j),(0.0005395035268357791+0.0021282515745188186j),(-0.001020917497498962+0.0016261493500535377j),(-0.0018721958059394943+0.0006982580797824603j),(-0.0015392085509848838+0.0007163343913394956j),(0.00014209446591810322+0.001938329033800014j),(0.0021070136081891384+0.0004997776262098189j),(0.0003852323721912275-0.0016894934697398356j),(-0.0016635821666746511-0.0007528057226219783j),(-0.00142394378825163+0.001346571886328966j),(0.001332669979995612+0.0013825647343779848j),(0.0017384065297681203-0.000506458581647428j),(-0.00037324296965287126-0.0019357166411725587j),(-0.002274596223850572-0.00013724210737764935j),(-0.0003056223052876145+0.00229158050085416j),(0.0019009592113886275+0.0008511282139531188j),(0.0014938919829506246-0.0017846416251734941j),(-0.0015958565632579087-0.0018211673087876197j),(-0.00047798794602591546-0.00020854778839884868j)
"(-0.6724137931034483, -1.5)",(-0.000743657894491244+0.0003693204695077846j),(-0.0033081144003158066+0.0023388349956158802j),(-0.0031718655052025975+0.0012468261945108704j),(-0.002841048649061722-0.0005985019858530767j),(-0.0022197967636905427-0.0022142741398767226j),(-0.0007309520609745316-0.003098419895789259j),(0.0012200348558759843-0.0024436072518917687j),(0.0024213045190044197-0.0010882051097366055j),(0.002151372818867926+0.0010877422559072746j),(0.000910739811357831+0.002447977416229762j),(-0.0015275209091324478+0.002132920816155077j),(-0.002098683533182002+5.700998041353539e-05j),(-0.001431918552571209-0.0015524198666617647j),(0.0008959813244404897-0.002263488320776526j),(0.001040551742661075-0.0004289030071194942j),(0.0019025638150490982+0.00017919759816044427j),(0.0024483939334122426+0.00022598783955035215j),(0.002523786381931158+0.0002996477539110668j),(0.002281463115775917+0.0004754743498753879j),(0.002255953604669+0.0008679013921560777j),(0.0021461248944995475+0.0013813775318316454j),(0.0014490532620275417+0.001684286666199402j),(0.0008855650899724652+0.002203079900347805j),(1.7490375728812944e-05+0.0023908843930702793j),(-0.0011191864235194084+0.0021025891682196715j),(-0.001906075524434548+0.0013758483867168188j),(-0.0024128200436215677+0.00013026997112766892j),(-0.0017670885110722308-0.0010533195467069432j),(-0.0010079059551263462-0.001962717288237781j),(0.0005437610887796478-0.0020716707307081718j),(0.0017157467288177507-0.0012806037581971797j),(0.002136264772306976+0.0003537613093523139j),(0.0011385883861353952+0.0015175568146411778j),(-0.0003387237373116509+0.0018917310503047575j),(-0.0010431434269559433+0.0007975791005063813j),(-0.001542996917423169+0.0011412445771281285j),(0.00031187918133112735+0.00182023804629531j),(0.0018994663457902663-8.598219270972644e-05j),(0.0005167850603500699-0.0017596272795387647j),(-0.0017772612602945282-0.0005459039510571801j),(-0.0007844320725953202+0.0017591840944110079j),(0.001625911213741346+0.0011094135512819678j),(0.0014113328985238878-0.001450849477651922j),(-0.0007451185168243503-0.0018780285749246805j),(-0.0022838735904239693+0.0008353304828049262j),(0.0006105878282437402+0.002491202972918473j),(0.002871065108362411+0.00012319244349827296j),(0.0003399699942202712-0.0026680510806508977j),(-0.001985825620490645-0.0007107721730207873j),(-0.001749855537633926+0.0012692415080861237j)
"(-0.5689655172413793, -1.5)",(-0.00188595270217552+6.737445191552031e-05j),(-0.002201731362752542+0.0030676427533307036j),(-0.003238636856450924+0.0035798142525552547j),(-0.0025868772417251894+0.0011757428869626579j),(-0.00269757737932219+0.00016979742465448054j),(-0.002421124576481173-0.0014097568651678066j),(-0.0016535009118341694-0.0028932426645943304j),(0.0001712870423556402-0.0025911989351804746j),(0.0018514280346798324-0.0017907731974060555j),(0.0024018950887159276+0.0001857580521395901j),(0.0017272308802256144+0.002236229234110381j),(-0.0004594348019821693+0.0022657378978407014j),(-0.0024122528528944336+0.0011496930213992685j),(-0.002191257189888702-0.0009291017133370038j),(-0.0006676985315027745-0.0018590685976477635j),(0.0002688433359782311-0.0017065163537742973j),(0.0006028970621051578-0.002612163120401963j),(0.0007481248648459684-0.002201644670824229j),(0.001188260271628579-0.0022546253638068303j),(0.001633997481476765-0.0018763076639564918j),(0.001860688697905538-0.001139979941625225j),(0.0023256813057373903-0.00043210505726915357j),(0.002533926493174115+0.0005538546157406121j),(0.0018526645922675618+0.0013958170280444673j),(0.0006618053651450074+0.001791025849456768j),(-0.00039699887581004837+0.0022104206800839022j),(-0.0017834542561255952+0.0016609051221017016j),(-0.002043987753968994+0.00017914633182989498j),(-0.002018782000227711-0.0013396849402635372j),(-0.0003243937147300642-0.0020804806051276693j),(0.0010033315626253542-0.0016645943528116906j),(0.0019447186490760275-0.0003951361854696424j),(0.001770974416733177+0.0015130291648054698j),(-0.0001737409678912615+0.0023112616435956045j),(-0.0009948826716511463+0.0011969287998032522j),(-0.0007884165426941013+0.0008508055755812121j),(0.0008079430591982741+0.0020751016325862917j),(0.0021561282174058917-0.00041204220558487974j),(-0.00018343266101668567-0.002152727737658093j),(-0.0024625958697696293-0.0004348749255388743j),(-0.0008015786191149212+0.002013928056512002j),(0.0019991022114718648+0.0007178057058700627j),(0.0012660131779770529-0.0017671770738427368j),(-0.0009904378722561365-0.0015008328988924589j),(-0.0019046539910763235+0.0008330135997441397j),(0.0008319778678275365+0.0023141880724445556j),(0.0018459553541685172-6.898978346635623e-05j),(7.832336439283646e-05-0.0026961875775339014j),(-0.002560191838766481-0.0006882060629718517j),(-0.0007595673119273155+0.0005461019653816891j)
