index,x,value
"(2.0, 2.0)","(-2.0, -2.0)",(0.0368102505332367+0.8371844661175648j)
"(1.794871794871795, 2.0)","(-1.794871794871795, -2.0)",(0.5603521713896877+0.11358911978987685j)
"(1.5897435897435899, 2.0)","(-1.5897435897435899, -2.0)",(0.5213722386480399+0.12841706256399393j)
"(1.3846153846153846, 2.0)","(-1.3846153846153846, -2.0)",(0.48407425939772303+0.14704615154614786j)
"(1.1794871794871795, 2.0)","(-1.1794871794871795, -2.0)",(0.632294933544219-0.4547139544263044j)
"(0.9743589743589745, 2.0)","(-0.9743589743589745, -2.0)",(0.17928773366833467-0.7997878136332006j)
"(0.7692307692307692, 2.0)","(-0.7692307692307692, -2.0)",(-0.7004010511583559-0.2227893396873813j)
"(0.5641025641025641, 2.0)","(-0.5641025641025641, -2.0)",(0.20777418314017507-0.3486042799672106j)
"(0.35897435897435903, 2.0)","(-0.35897435897435903, -2.0)",(0.09695802428054123+0.004619095019812603j)
"(0.15384615384615397, 2.0)","(-0.15384615384615397, -2.0)",(0.2268068568770556+0.4017680417772995j)
"(0.0512820512820511, 2.0)","(0.0512820512820511, -2.0)",(0.6671602598207913+0.4433393764527958j)
"(0.2564102564102564, 2.0)","(0.2564102564102564, -2.0)",(-0.054447521358071356-0.09880881860791622j)
"(0.4615384615384617, 2.0)","(0.4615384615384617, -2.0)",(-0.27037897730734817-0.15480755290676845j)
"(0.6666666666666665, 2.0)","(0.6666666666666665, -2.0)",(-0.11062936948324147-0.04969489134072895j)
"(0.8717948717948718, 2.0)","(0.8717948717948718, -2.0)",(-0.1290859272003077-0.1335630666030754j)
"(1.0769230769230766, 2.0)","(1.0769230769230766, -2.0)",(0.018435962296052273+0.17144382915483777j)
"(1.282051282051282, 2.0)","(1.282051282051282, -2.0)",(-0.9798007177720837-0.06469262903042136j)
"(1.4871794871794872, 2.0)","(1.4871794871794872, -2.0)",(-0.4607607234104234-0.5164827160468527j)
"(1.692307692307692, 2.0)","(1.692307692307692, -2.0)",(-0.012798980099020927-0.28690228812465285j)
"(1.8974358974358974, 2.0)","(1.8974358974358974, -2.0)",(0.35771596307131-0.1618520273502602j)
"(2.102564102564102, 2.0)","(2.102564102564102, -2.0)",(0.38574507442474804-0.37296048446452j)
"(2.3076923076923075, 2.0)","(2.3076923076923075, -2.0)",(0.5260825620594157-0.11521041541823533j)
"(2.5128205128205128, 2.0)","(2.5128205128205128, -2.0)",(-0.23872461914147886+0.45365308377378316j)
"(2.717948717948718, 2.0)","(2.717948717948718, -2.0)",(-0.3189248411387297-0.0007168645334121124j)
"(2.9230769230769234, 2.0)","(2.9230769230769234, -2.0)",(0.5041110745627356-0.5018919457144964j)
"(3.1282051282051277, 2.0)","(3.1282051282051277, -2.0)",(0.13006746605616623+0.27404001738322437j)
"(3.333333333333333, 2.0)","(3.333333333333333, -2.0)",(-0.4077670357203437+0.5147847754466752j)
"(3.5384615384615383, 2.0)","(3.5384615384615383, -2.0)",(-0.42354994699440596-0.5258247161202898j)
"(3.7435897435897436, 2.0)","(3.7435897435897436, -2.0)",(0.5795872734321672-0.5559034817843953j)
"(3.948717948717949, 2.0)","(3.948717948717949, -2.0)",(0.07711365724481946+0.6611015167788961j)
"(4.153846153846153, 2.0)","(4.153846153846153, -2.0)",(-0.43304705241936337-0.2200277022931511j)
"(4.358974358974359, 2.0)","(4.358974358974359, -2.0)",(-0.009933125047767687-0.6125540138393533j)
"(4.564102564102564, 2.0)","(4.564102564102564, -2.0)",(0.34807612104643976-0.017387511758113584j)
"(4.769230769230769, 2.0)","(4.769230769230769, -2.0)",(0.005294847326060638+0.24054144465681132j)
"(4.9743589743589745, 2.0)","(4.9743589743589745, -2.0)",(0.03493566624803414-0.25419017448227776j)
"(5.179487179487179, 2.0)","(5.179487179487179, -2.0)",(0.15176496564975314-0.08201546648115234j)
"(5.384615384615384, 2.0)","(5.384615384615384, -2.0)",(0.1275413721847481+0.204328502923376j)
"(5.589743589743589, 2.0)","(5.589743589743589, -2.0)",(0.0015797568412119212-0.1320880991469945j)
"(5.794871794871795, 2.0)","(5.794871794871795, -2.0)",(0.06944534159641036-0.17968699973378036j)
"(6.0, 2.0)","(6.0, -2.0)",(0.19760551486893332-0.05505976510087746j)
"(2.0, 1.7894736842105263)","(-2.0, -1.7894736842105263)",(0.6696047129243782-0.36503201153101134j)
"(1.794871794871795, 1.7894736842105263)","(-1.794871794871795, -1.7894736842105263)",(0.17820761746718794-0.5529503834614083j)
"(1.5897435897435899, 1.7894736842105263)","(-1.5897435897435899, -1.7894736842105263)",(-0.5012027774457648-0.1012823073178385j)
"(1.3846153846153846, 1.7894736842105263)","(-1.3846153846153846, -1.7894736842105263)",(-0.3041440915724563-0.19958193215874842j)
"(1.1794871794871795, 1.7894736842105263)","(-1.1794871794871795, -1.7894736842105263)",(-0.45478547231538363-0.32548302024597375j)
"(0.9743589743589745, 1.7894736842105263)","(-0.9743589743589745, -1.7894736842105263)",(-1.018578665124252+0.704311017421556j)
"(0.7692307692307692, 1.7894736842105263)","(-0.7692307692307692, -1.7894736842105263)",(-0.96589901223781+0.648665575167557j)
"(0.5641025641025641, 1.7894736842105263)","(-0.5641025641025641, -1.7894736842105263)",(-0.16518362168982104+0.4736391709093862j)
"(0.35897435897435903, 1.7894736842105263)","(-0.35897435897435903, -1.7894736842105263)",(0.1606232552219678-0.2541681089293412j)
"(0.15384615384615397, 1.7894736842105263)","(-0.15384615384615397, -1.7894736842105263)",(0.45999003129637056-0.7422376480080457j)
"(0.0512820512820511, 1.7894736842105263)","(0.0512820512820511, -1.7894736842105263)",(0.34652069972715416-0.36038437738635404j)
"(0.2564102564102564, 1.7894736842105263)","(0.2564102564102564, -1.7894736842105263)",(-0.16089573942276325+0.09610073189394688j)
"(0.4615384615384617, 1.7894736842105263)","(0.4615384615384617, -1.7894736842105263)",(-0.08527865096002651+0.35808462731151564j)
"(0.6666666666666665, 1.7894736842105263)","(0.6666666666666665, -1.7894736842105263)",(-0.11088357868601191-0.3161569283779322j)
"(0.8717948717948718, 1.7894736842105263)","(0.8717948717948718, -1.7894736842105263)",(-0.01318402588542963-0.14682964348019112j)
"(1.0769230769230766, 1.7894736842105263)","(1.0769230769230766, -1.7894736842105263)",(0.24071446072975325+0.4035340731185864j)
"(1.282051282051282, 1.7894736842105263)","(1.282051282051282, -1.7894736842105263)",(-0.030042554165139027+0.4105618187668281j)
"(1.4871794871794872, 1.7894736842105263)","(1.4871794871794872, -1.7894736842105263)",(-0.5055436094741284+0.5326540433860992j)
"(1.692307692307692, 1.7894736842105263)","(1.692307692307692, -1.7894736842105263)",(-0.4029333238941203-0.12165906328319892j)
"(1.8974358974358974, 1.7894736842105263)","(1.8974358974358974, -1.7894736842105263)",(0.07271636802533492+0.03381975443895955j)
"(2.102564102564102, 1.7894736842105263)","(2.102564102564102, -1.7894736842105263)",(-0.06553204518225295-0.32197375728320204j)
"(2.3076923076923075, 1.7894736842105263)","(2.3076923076923075, -1.7894736842105263)",(0.28720398474985454-0.7222935083569056j)
"(2.5128205128205128, 1.7894736842105263)","(2.5128205128205128, -1.7894736842105263)",(-0.13074412746452246+0.560243578726821j)
"(2.717948717948718, 1.7894736842105263)","(2.717948717948718, -1.7894736842105263)",(-0.7833674182400482+0.6030559519114266j)
"(2.9230769230769234, 1.7894736842105263)","(2.9230769230769234, -1.7894736842105263)",(-0.28607894687351687-0.44844016829960864j)
"(3.1282051282051277, 1.7894736842105263)","(3.1282051282051277, -1.7894736842105263)",(0.7524757954477462-0.33009530887123717j)
"(3.333333333333333, 1.7894736842105263)","(3.333333333333333, -1.7894736842105263)",(-0.010031170504316261+0.27913489631144034j)
"(3.5384615384615383, 1.7894736842105263)","(3.5384615384615383, -1.7894736842105263)",(-0.3322027669637639+0.010422895156352231j)
"(3.7435897435897436, 1.7894736842105263)","(3.7435897435897436, -1.7894736842105263)",(-0.10927453474576382-0.7724579990378597j)
"(3.948717948717949, 1.7894736842105263)","(3.948717948717949, -1.7894736842105263)",(0.2511280269942612+0.26555514243653905j)
"(4.153846153846153, 1.7894736842105263)","(4.153846153846153, -1.7894736842105263)",(0.037377062971819586+0.3055187369099074j)
"(4.358974358974359, 1.7894736842105263)","(4.358974358974359, -1.7894736842105263)",(-0.36426062557503597-0.3472433606045196j)
"(4.564102564102564, 1.7894736842105263)","(4.564102564102564, -1.7894736842105263)",(0.15994367563395262+0.32341499930725764j)
"(4.769230769230769, 1.7894736842105263)","(4.769230769230769, -1.7894736842105263)",(-0.1832261356102306+0.2707356682488075j)
"(4.9743589743589745, 1.7894736842105263)","(4.9743589743589745, -1.7894736842105263)",(-0.09762492730322113-0.3344047198597432j)
"(5.179487179487179, 1.7894736842105263)","(5.179487179487179, -1.7894736842105263)",(-0.28654465873972274-0.1796403436227967j)
"(5.384615384615384, 1.7894736842105263)","(5.384615384615384, -1.7894736842105263)",(0.15078623004246383+0.13574152172563278j)
"(5.589743589743589, 1.7894736842105263)","(5.589743589743589, -1.7894736842105263)",(0.10459744916119613+0.044571231778346314j)
"(5.794871794871795, 1.7894736842105263)","(5.794871794871795, -1.7894736842105263)",(0.12191920306280948-0.11880627791325712j)
"(6.0, 1.7894736842105263)","(6.0, -1.7894736842105263)",(-0.17580279968335671-0.16553018158805202j)
"(2.0, 1.5789473684210527)","(-2.0, -1.5789473684210527)",(-0.13833202721962634-0.9869780615330142j)
"(1.794871794871795, 1.5789473684210527)","(-1.794871794871795, -1.5789473684210527)",(-0.6742770606943431+0.4443219324317958j)
"(1.5897435897435899, 1.5789473684210527)","(-1.5897435897435899, -1.5789473684210527)",(-0.407448172312081+0.8491977114392701j)
"(1.3846153846153846, 1.5789473684210527)","(-1.3846153846153846, -1.5789473684210527)",(-0.03487369199515253+0.8450158265653887j)
"(1.1794871794871795, 1.5789473684210527)","(-1.1794871794871795, -1.5789473684210527)",(-0.06758801610413706+0.580077057530562j)
"(0.9743589743589745, 1.5789473684210527)","(-0.9743589743589745, -1.5789473684210527)",(0.4526983501515753+0.8489987517675569j)
"(0.7692307692307692, 1.5789473684210527)","(-0.7692307692307692, -1.5789473684210527)",(0.48775265373855897+0.45645860602318855j)
"(0.5641025641025641, 1.5789473684210527)","(-0.5641025641025641, -1.5789473684210527)",(0.649701165367859+0.08386337298537833j)
"(0.35897435897435903, 1.5789473684210527)","(-0.35897435897435903, -1.5789473684210527)",(-0.3729383430250536+0.13441199627714956j)
"(0.15384615384615397, 1.5789473684210527)","(-0.15384615384615397, -1.5789473684210527)",(-1.1975485931083414-0.09646109216690335j)
"(0.0512820512820511, 1.5789473684210527)","(0.0512820512820511, -1.5789473684210527)",(-0.1695086913113422-0.299509948254728j)
"(0.2564102564102564, 1.5789473684210527)","(0.2564102564102564, -1.5789473684210527)",(0.7037241854195646-0.1637783842370636j)
"(0.4615384615384617, 1.5789473684210527)","(0.4615384615384617, -1.5789473684210527)",(-0.15628633053277385+0.2361450510637381j)
"(0.6666666666666665, 1.5789473684210527)","(0.6666666666666665, -1.5789473684210527)",(0.1281134846989679+0.1603473493466278j)
"(0.8717948717948718, 1.5789473684210527)","(0.8717948717948718, -1.5789473684210527)",(0.18824949979486771-0.6650142935648193j)
"(1.0769230769230766, 1.5789473684210527)","(1.0769230769230766, -1.5789473684210527)",(0.22934975468495764-0.5317210138345881j)
"(1.282051282051282, 1.5789473684210527)","(1.282051282051282, -1.5789473684210527)",(0.6164996478251981-0.3969675668536634j)
"(1.4871794871794872, 1.5789473684210527)","(1.4871794871794872, -1.5789473684210527)",(0.27690919843615025+0.2822058282074906j)
"(1.692307692307692, 1.5789473684210527)","(1.692307692307692, -1.5789473684210527)",(0.5131356662903808+0.5252496045808941j)
"(1.8974358974358974, 1.5789473684210527)","(1.8974358974358974, -1.5789473684210527)",(0.09177241610844822+0.3157787023896978j)
"(2.102564102564102, 1.5789473684210527)","(2.102564102564102, -1.5789473684210527)",(-0.3985188709955172+0.48295218952689367j)
"(2.3076923076923075, 1.5789473684210527)","(2.3076923076923075, -1.5789473684210527)",(-0.7819743578337914-0.438663850157304j)
"(2.5128205128205128, 1.5789473684210527)","(2.5128205128205128, -1.5789473684210527)",(0.40280106848026376-0.19484504569479327j)
"(2.717948717948718, 1.5789473684210527)","(2.717948717948718, -1.5789473684210527)",(0.3749714561365314+0.5807923339600419j)
"(2.9230769230769234, 1.5789473684210527)","(2.9230769230769234, -1.5789473684210527)",(-0.6627419329423974+0.23942672976587343j)
"(3.1282051282051277, 1.5789473684210527)","(3.1282051282051277, -1.5789473684210527)",(-0.13378346268070546-0.36487785312812115j)
"(3.333333333333333, 1.5789473684210527)","(3.333333333333333, -1.5789473684210527)",(0.8412139934965667+0.37550827132615916j)
"(3.5384615384615383, 1.5789473684210527)","(3.5384615384615383, -1.5789473684210527)",(-0.06646855225328664+0.30187601879300396j)
"(3.7435897435897436, 1.5789473684210527)","(3.7435897435897436, -1.5789473684210527)",(-0.19548202430211067-0.32973493030299245j)
"(3.948717948717949, 1.5789473684210527)","(3.948717948717949, -1.5789473684210527)",(0.019706818460326764-0.3057229723867044j)
"(4.153846153846153, 1.5789473684210527)","(4.153846153846153, -1.5789473684210527)",(-0.42142615982462617+0.1739048425129381j)
"(4.358974358974359, 1.5789473684210527)","(4.358974358974359, -1.5789473684210527)",(-0.261781182545548-0.06693844064275466j)
"(4.564102564102564, 1.5789473684210527)","(4.564102564102564, -1.5789473684210527)",(0.07990182624066994+0.07371233624442122j)
"(4.769230769230769, 1.5789473684210527)","(4.769230769230769, -1.5789473684210527)",(-0.10996589771804413-0.027486510069448095j)
"(4.9743589743589745, 1.5789473684210527)","(4.9743589743589745, -1.5789473684210527)",(-0.10306656711256061+0.04446246071981459j)
"(5.179487179487179, 1.5789473684210527)","(5.179487179487179, -1.5789473684210527)",(0.19851655412583613+0.030165814501727367j)
"(5.384615384615384, 1.5789473684210527)","(5.384615384615384, -1.5789473684210527)",(0.12397270763240013+0.1106987143269213j)
"(5.589743589743589, 1.5789473684210527)","(5.589743589743589, -1.5789473684210527)",(0.0005875981641621664-0.08351082957716661j)
"(5.794871794871795, 1.5789473684210527)","(5.794871794871795, -1.5789473684210527)",(0.08990471948385081-0.018091001055823314j)
"(6.0, 1.5789473684210527)","(6.0, -1.5789473684210527)",(0.07366686016065081+0.25756289062815513j)
"(2.0, 1.368421052631579)","(-2.0, -1.368421052631579)",(-0.591577951839293-0.03295044662818586j)
"(1.794871794871795, 1.368421052631579)","(-1.794871794871795, -1.368421052631579)",(0.29644988969505565+0.6024240425616417j)
"(1.5897435897435899, 1.368421052631579)","(-1.5897435897435899, -1.368421052631579)",(0.7991455389492425+0.2910004684497979j)
"(1.3846153846153846, 1.368421052631579)","(-1.3846153846153846, -1.368421052631579)",(0.5104545639911117-0.056343871017564384j)
"(1.1794871794871795, 1.368421052631579)","(-1.1794871794871795, -1.368421052631579)",(0.5269307496747965-0.5773661775015273j)
"(0.9743589743589745, 1.368421052631579)","(-0.9743589743589745, -1.368421052631579)",(0.7863204476648906-0.4421688985593505j)
"(0.7692307692307692, 1.368421052631579)","(-0.7692307692307692, -1.368421052631579)",(0.4930581046396467-0.5483545533007507j)
"(0.5641025641025641, 1.368421052631579)","(-0.5641025641025641, -1.368421052631579)",(0.09350108354937972-1.0465683934263663j)
"(0.35897435897435903, 1.368421052631579)","(-0.35897435897435903, -1.368421052631579)",(-0.5255938178797429+0.11982336208301528j)
"(0.15384615384615397, 1.368421052631579)","(-0.15384615384615397, -1.368421052631579)",(-0.14201479785735038+0.5358315215489007j)
"(0.0512820512820511, 1.368421052631579)","(0.0512820512820511, -1.368421052631579)",(0.465358444616184+0.7426512597527177j)
"(0.2564102564102564, 1.368421052631579)","(0.2564102564102564, -1.368421052631579)",(0.016546768733661565+0.3176049558654918j)
"(0.4615384615384617, 1.368421052631579)","(0.4615384615384617, -1.368421052631579)",(-0.16574569247322765-1.1858327214421014j)
"(0.6666666666666665, 1.368421052631579)","(0.6666666666666665, -1.368421052631579)",(0.34674097526581327+0.5243952346327516j)
"(0.8717948717948718, 1.368421052631579)","(0.8717948717948718, -1.368421052631579)",(-0.9851773082488234+0.42930151742466965j)
"(1.0769230769230766, 1.368421052631579)","(1.0769230769230766, -1.368421052631579)",(-0.4492622286831493-0.13711870249934516j)
"(1.282051282051282, 1.368421052631579)","(1.282051282051282, -1.368421052631579)",(-0.19804473913984946-0.17917904717640526j)
"(1.4871794871794872, 1.368421052631579)","(1.4871794871794872, -1.368421052631579)",(0.21851866046147111+0.07079891835320501j)
"(1.692307692307692, 1.368421052631579)","(1.692307692307692, -1.368421052631579)",(0.24074251026384463-0.12665661103897566j)
"(1.8974358974358974, 1.368421052631579)","(1.8974358974358974, -1.368421052631579)",(0.8358163085988954-0.25224599016853316j)
"(2.102564102564102, 1.368421052631579)","(2.102564102564102, -1.368421052631579)",(-0.0113340996522889+0.9299135562644186j)
"(2.3076923076923075, 1.368421052631579)","(2.3076923076923075, -1.368421052631579)",(-0.9314208724627655-0.14714882756100597j)
"(2.5128205128205128, 1.368421052631579)","(2.5128205128205128, -1.368421052631579)",(-0.12937277804775005-0.5153931597738093j)
"(2.717948717948718, 1.368421052631579)","(2.717948717948718, -1.368421052631579)",(0.5802662148220327+0.0679654731892437j)
"(2.9230769230769234, 1.368421052631579)","(2.9230769230769234, -1.368421052631579)",(-0.5943523961460437+0.5393547365948055j)
"(3.1282051282051277, 1.368421052631579)","(3.1282051282051277, -1.368421052631579)",(-0.27698870804978154-0.44328608322393165j)
"(3.333333333333333, 1.368421052631579)","(3.333333333333333, -1.368421052631579)",(0.047466355461609974-0.44293686075773003j)
"(3.5384615384615383, 1.368421052631579)","(3.5384615384615383, -1.368421052631579)",(0.1483234478710993+0.09536832428265477j)
"(3.7435897435897436, 1.368421052631579)","(3.7435897435897436, -1.368421052631579)",(-0.17504782345728256+0.3279982540583973j)
"(3.948717948717949, 1.368421052631579)","(3.948717948717949, -1.368421052631579)",(0.111397904320378-0.34801907682118677j)
"(4.153846153846153, 1.368421052631579)","(4.153846153846153, -1.368421052631579)",(0.14008602940259146-0.39266420274487496j)
"(4.358974358974359, 1.368421052631579)","(4.358974358974359, -1.368421052631579)",(-0.28305427698510965-0.08018362398773643j)
"(4.564102564102564, 1.368421052631579)","(4.564102564102564, -1.368421052631579)",(-0.11437008265658756-0.21251948571043877j)
"(4.769230769230769, 1.368421052631579)","(4.769230769230769, -1.368421052631579)",(-0.44446993240017224-0.03537961666523575j)
"(4.9743589743589745, 1.368421052631579)","(4.9743589743589745, -1.368421052631579)",(-0.057253095253001846-0.05770082758278308j)
"(5.179487179487179, 1.368421052631579)","(5.179487179487179, -1.368421052631579)",(0.02778150091520317+0.046612961871011896j)
