index,x,value
"(-5.0, -2.0)","(-5.0, -2.0)",(-0.25333790341098267-0.7625077708533j)
"(-4.966555183946488, -2.0)","(-4.966555183946488, -2.0)",(-0.7222517366320492+0.04048218958058652j)
"(-4.933110367892977, -2.0)","(-4.933110367892977, -2.0)",(-0.6962488938412108-0.3864563941527484j)
"(-4.8996655518394645, -2.0)","(-4.8996655518394645, -2.0)",(-0.551676686205039-0.17528769004516626j)
"(-4.866220735785953, -2.0)","(-4.866220735785953, -2.0)",(-0.4131766395108168-0.6250990073849427j)
"(-4.832775919732441, -2.0)","(-4.832775919732441, -2.0)",(-0.43069737671770847+0.12466347470820502j)
"(-4.79933110367893, -2.0)","(-4.79933110367893, -2.0)",(-0.41747039398355124+0.892609513291113j)
"(-4.765886287625418, -2.0)","(-4.765886287625418, -2.0)",(-0.9270033292513268+0.24542004990169164j)
"(-4.7324414715719065, -2.0)","(-4.7324414715719065, -2.0)",(-0.30692246098663256+0.3736695609030086j)
"(-4.698996655518394, -2.0)","(-4.698996655518394, -2.0)",(-0.39799912649256114+0.3117404736873595j)
"(-4.665551839464883, -2.0)","(-4.665551839464883, -2.0)",(0.05941357880508159+1.0282422160115359j)
"(-4.632107023411371, -2.0)","(-4.632107023411371, -2.0)",(0.1474154540058944-0.21512802243154153j)
"(-4.59866220735786, -2.0)","(-4.59866220735786, -2.0)",(0.31009244363985244+0.6168328474578729j)
"(-4.565217391304348, -2.0)","(-4.565217391304348, -2.0)",(0.6325060343026813+0.3594313383019575j)
"(-4.531772575250836, -2.0)","(-4.531772575250836, -2.0)",(0.48799745114182486+0.7699699445504316j)
"(-4.498327759197324, -2.0)","(-4.498327759197324, -2.0)",(0.9476860604085228+0.5011335053368743j)
"(-4.464882943143813, -2.0)","(-4.464882943143813, -2.0)",(1.094257515350421-0.6790694458329176j)
"(-4.431438127090301, -2.0)","(-4.431438127090301, -2.0)",(0.8153731558334755-0.007481034219132016j)
"(-4.39799331103679, -2.0)","(-4.39799331103679, -2.0)",(0.7357203337350574-0.5452991629849062j)
"(-4.364548494983278, -2.0)","(-4.364548494983278, -2.0)",(0.6919891152302033-0.5492319366178419j)
"(-4.331103678929766, -2.0)","(-4.331103678929766, -2.0)",(0.24091977616512286-0.15894965031785382j)
"(-4.297658862876254, -2.0)","(-4.297658862876254, -2.0)",(-0.09971252564711339-0.9484895891898695j)
"(-4.264214046822742, -2.0)","(-4.264214046822742, -2.0)",(-0.4281166146647452+0.07172755326235172j)
"(-4.230769230769231, -2.0)","(-4.230769230769231, -2.0)",(0.180823551340863-0.2610400401100295j)
"(-4.19732441471572, -2.0)","(-4.19732441471572, -2.0)",(-0.6236576571152991-0.19069839898106847j)
"(-4.1638795986622075, -2.0)","(-4.1638795986622075, -2.0)",(-0.6963889777572618-0.3707870542498684j)
"(-4.130434782608695, -2.0)","(-4.130434782608695, -2.0)",(-0.8747004351559771-0.30496674901418896j)
"(-4.096989966555184, -2.0)","(-4.096989966555184, -2.0)",(-0.6119610080255313-0.5052491793403155j)
"(-4.063545150501672, -2.0)","(-4.063545150501672, -2.0)",(-0.8931291848773517+0.5763655497364224j)
"(-4.030100334448161, -2.0)","(-4.030100334448161, -2.0)",(-0.26722745394366537+0.2207434047575679j)
"(-3.9966555183946486, -2.0)","(-3.9966555183946486, -2.0)",(-0.556578190983074+0.3554759995539597j)
"(-3.9632107023411374, -2.0)","(-3.9632107023411374, -2.0)",(0.06354578712008857+0.30741171714481086j)
"(-3.9297658862876252, -2.0)","(-3.9297658862876252, -2.0)",(0.31664099932109346+0.6438810419405624j)
"(-3.896321070234114, -2.0)","(-3.896321070234114, -2.0)",(-0.07984671017961395+0.6816630630853668j)
"(-3.862876254180602, -2.0)","(-3.862876254180602, -2.0)",(1.1770392918709975+0.3553240460877374j)
"(-3.8294314381270906, -2.0)","(-3.8294314381270906, -2.0)",(0.21592297665514887+0.09600691255651589j)
"(-3.7959866220735785, -2.0)","(-3.7959866220735785, -2.0)",(0.04015860177987077+0.024425142846047646j)
"(-3.7625418060200673, -2.0)","(-3.7625418060200673, -2.0)",(0.5721931592017633+0.07224598509636396j)
"(-3.729096989966555, -2.0)","(-3.729096989966555, -2.0)",(0.4390750053184578+0.4868315229425157j)
