index,x,value
"(-1.5, -1.5)","(-1.5, -1.5)",(0.05563162726067088-0.027668771605028925j)
"(-1.4491525423728813, -1.5)","(-1.4491525423728813, -1.5)",(-0.011673934006533146+0.03276194136806789j)
"(-1.3983050847457628, -1.5)","(-1.3983050847457628, -1.5)",(0.03161338671715899+0.010164261043573949j)
"(-1.347457627118644, -1.5)","(-1.347457627118644, -1.5)",(-0.04080031531162559+0.018114380161241627j)
"(-1.2966101694915255, -1.5)","(-1.2966101694915255, -1.5)",(-0.05257491201462275-0.026585360705651692j)
"(-1.2457627118644068, -1.5)","(-1.2457627118644068, -1.5)",(-0.0212499642640133-0.039275228718386915j)
"(-1.194915254237288, -1.5)","(-1.194915254237288, -1.5)",(-0.022142684083362806+0.1562932691072364j)
"(-1.1440677966101696, -1.5)","(-1.1440677966101696, -1.5)",(-0.045046752753819974+0.10087864396508034j)
"(-1.0932203389830508, -1.5)","(-1.0932203389830508, -1.5)",(-0.09581395521654114+0.095811793671397j)
"(-1.042372881355932, -1.5)","(-1.042372881355932, -1.5)",(0.23552576301477102+0.06696945484560121j)
"(-0.9915254237288136, -1.5)","(-0.9915254237288136, -1.5)",(0.16123936870433636-0.11203306109827352j)
"(-0.9406779661016949, -1.5)","(-0.9406779661016949, -1.5)",(0.22680560709223233-0.009568173179708157j)
"(-0.8898305084745762, -1.5)","(-0.8898305084745762, -1.5)",(0.14069093261190171+0.0008518777655546501j)
"(-0.8389830508474576, -1.5)","(-0.8389830508474576, -1.5)",(0.14637129143674069-0.1706870823631871j)
"(-0.7881355932203389, -1.5)","(-0.7881355932203389, -1.5)",(0.0879563552919865-0.08532652310968056j)
"(-0.7372881355932203, -1.5)","(-0.7372881355932203, -1.5)",(0.15722837037134918-0.13824423081359744j)
"(-0.6864406779661016, -1.5)","(-0.6864406779661016, -1.5)",(0.09534405042097457-0.17697366347959667j)
"(-0.635593220338983, -1.5)","(-0.635593220338983, -1.5)",(0.1728976685989953-0.24295884388519315j)
"(-0.5847457627118644, -1.5)","(-0.5847457627118644, -1.5)",(-0.014526663814335906-0.26023210609077335j)
"(-0.5338983050847457, -1.5)","(-0.5338983050847457, -1.5)",(-0.03496578074957114-0.30102623274966483j)
"(-0.48305084745762716, -1.5)","(-0.48305084745762716, -1.5)",(-0.18550547968783893-0.2503951090032876j)
"(-0.43220338983050843, -1.5)","(-0.43220338983050843, -1.5)",(0.013479601146265126-0.13359811196581275j)
"(-0.3813559322033897, -1.5)","(-0.3813559322033897, -1.5)",(0.09622998331087546-0.19319930183571282j)
"(-0.3305084745762712, -1.5)","(-0.3305084745762712, -1.5)",(-0.020448185764005186-0.1706427571382041j)
"(-0.27966101694915246, -1.5)","(-0.27966101694915246, -1.5)",(0.07180624111308577-0.04573100022561294j)
"(-0.22881355932203373, -1.5)","(-0.22881355932203373, -1.5)",(0.07841239694928183-0.2236138520743416j)
"(-0.17796610169491522, -1.5)","(-0.17796610169491522, -1.5)",(0.22296253798538215+0.01932108122673784j)
"(-0.1271186440677965, -1.5)","(-0.1271186440677965, -1.5)",(0.2505242990445951-0.14314850825818712j)
"(-0.07627118644067776, -1.5)","(-0.07627118644067776, -1.5)",(0.17664565997809958-0.12487919006867895j)
"(-0.025423728813559254, -1.5)","(-0.025423728813559254, -1.5)",(0.09611888449062428-0.07020505099744608j)
"(0.025423728813559476, -1.5)","(0.025423728813559476, -1.5)",(-0.030936646406256887+0.06451558611968661j)
"(0.07627118644067798, -1.5)","(0.07627118644067798, -1.5)",(0.1013426203068452+0.06168575999747537j)
"(0.12711864406779672, -1.5)","(0.12711864406779672, -1.5)",(-0.09516569815910794+0.030453918135428283j)
"(0.17796610169491545, -1.5)","(0.17796610169491545, -1.5)",(-0.10679261040560488+0.08781155275234287j)
"(0.22881355932203395, -1.5)","(0.22881355932203395, -1.5)",(-0.15331586108019968-0.16939137651796832j)
"(0.2796610169491527, -1.5)","(0.2796610169491527, -1.5)",(-0.13984808221441777-0.20205666440650885j)
"(0.3305084745762712, -1.5)","(0.3305084745762712, -1.5)",(-0.10970775472202927-0.20569839958892264j)
"(0.3813559322033899, -1.5)","(0.3813559322033899, -1.5)",(-0.03463095897656742-0.1147443638998519j)
"(0.43220338983050866, -1.5)","(0.43220338983050866, -1.5)",(0.029918974775610396-0.05219141508542445j)
"(0.48305084745762716, -1.5)","(0.48305084745762716, -1.5)",(-0.0401530700739402-0.1679067102163836j)
"(0.5338983050847457, -1.5)","(0.5338983050847457, -1.5)",(-0.08410028102823103-0.06797800176877178j)
"(0.5847457627118646, -1.5)","(0.5847457627118646, -1.5)",(-0.08132877094446656-0.0997837096669402j)
"(0.6355932203389831, -1.5)","(0.6355932203389831, -1.5)",(-0.21279367870864996-0.08701665237987391j)
"(0.6864406779661016, -1.5)","(0.6864406779661016, -1.5)",(-0.10909054609144093-0.10611943292739096j)
"(0.7372881355932206, -1.5)","(0.7372881355932206, -1.5)",(-0.023965932813905126-0.2255472646598591j)
"(0.7881355932203391, -1.5)","(0.7881355932203391, -1.5)",(0.08254044613823053-0.3016349177602946j)
"(0.8389830508474576, -1.5)","(0.8389830508474576, -1.5)",(0.20585268017078767-0.13085661706740984j)
"(0.8898305084745766, -1.5)","(0.8898305084745766, -1.5)",(0.22705722615760243+0.041434216345233206j)
"(0.9406779661016951, -1.5)","(0.9406779661016951, -1.5)",(0.22566297687211592+0.07381573520086968j)
"(0.9915254237288136, -1.5)","(0.9915254237288136, -1.5)",(0.25744652923024136+0.17298810012533256j)
"(1.0423728813559325, -1.5)","(1.0423728813559325, -1.5)",(-0.00125448536672577+0.24560785546133407j)
"(1.093220338983051, -1.5)","(1.093220338983051, -1.5)",(-0.15980013315146538+0.09982901484454285j)
"(1.1440677966101696, -1.5)","(1.1440677966101696, -1.5)",(-0.11100391209116654+0.13484504707660933j)
"(1.1949152542372885, -1.5)","(1.1949152542372885, -1.5)",(-0.09374272665235107-0.07676401832344885j)
"(1.245762711864407, -1.5)","(1.245762711864407, -1.5)",(-0.05345160331260374-0.15755672541581206j)
"(1.2966101694915255, -1.5)","(1.2966101694915255, -1.5)",(-0.034453434211477625-0.15750563691891684j)
"(1.3474576271186445, -1.5)","(1.3474576271186445, -1.5)",(0.09761193650630536-0.11464886697982034j)
"(1.398305084745763, -1.5)","(1.398305084745763, -1.5)",(-0.012188878018613906+0.03941522968075828j)
"(1.4491525423728815, -1.5)","(1.4491525423728815, -1.5)",(-0.02730228963610062-0.052912618610008226j)
"(1.5, -1.5)","(1.5, -1.5)",(0.11492546044477489+0.08253876389714085j)
"(-1.5, -1.4491525423728813)","(-1.5, -1.4491525423728813)",(-0.007877211724184322-0.03199807122536791j)
"(-1.4491525423728813, -1.4491525423728813)","(-1.4491525423728813, -1.4491525423728813)",(-0.13001448775410124-0.04501756465085731j)
"(-1.3983050847457628, -1.4491525423728813)","(-1.3983050847457628, -1.4491525423728813)",(0.032536663242054176-0.043684249067348864j)
"(-1.347457627118644, -1.4491525423728813)","(-1.347457627118644, -1.4491525423728813)",(-0.03461922006144963+0.02195079008923498j)
"(-1.2966101694915255, -1.4491525423728813)","(-1.2966101694915255, -1.4491525423728813)",(0.0005708035407755545-0.007414781811705455j)
"(-1.2457627118644068, -1.4491525423728813)","(-1.2457627118644068, -1.4491525423728813)",(0.017566916937082042+0.09504014663608973j)
"(-1.194915254237288, -1.4491525423728813)","(-1.194915254237288, -1.4491525423728813)",(-0.018229034398967753-0.0030373631307390667j)
"(-1.1440677966101696, -1.4491525423728813)","(-1.1440677966101696, -1.4491525423728813)",(0.12691069867850932+0.1421779210600102j)
"(-1.0932203389830508, -1.4491525423728813)","(-1.0932203389830508, -1.4491525423728813)",(0.14091242984872246-0.012502169855350558j)
"(-1.042372881355932, -1.4491525423728813)","(-1.042372881355932, -1.4491525423728813)",(0.1703687239726715+0.014952085465873968j)
"(-0.9915254237288136, -1.4491525423728813)","(-0.9915254237288136, -1.4491525423728813)",(0.029013941042070293-0.19979273001966874j)
"(-0.9406779661016949, -1.4491525423728813)","(-0.9406779661016949, -1.4491525423728813)",(0.14903952326687242-0.14812097619154527j)
"(-0.8898305084745762, -1.4491525423728813)","(-0.8898305084745762, -1.4491525423728813)",(0.0222993585109809-0.026664624799204378j)
"(-0.8389830508474576, -1.4491525423728813)","(-0.8389830508474576, -1.4491525423728813)",(-0.1045511578917927-0.09482865109679622j)
"(-0.7881355932203389, -1.4491525423728813)","(-0.7881355932203389, -1.4491525423728813)",(0.05431036652924824-0.289384158135894j)
"(-0.7372881355932203, -1.4491525423728813)","(-0.7372881355932203, -1.4491525423728813)",(-0.10322404897930379-0.14910442864273485j)
"(-0.6864406779661016, -1.4491525423728813)","(-0.6864406779661016, -1.4491525423728813)",(-0.10598099978058287-0.08106204575450365j)
"(-0.635593220338983, -1.4491525423728813)","(-0.635593220338983, -1.4491525423728813)",(-0.064681975852344-0.2279281192156552j)
"(-0.5847457627118644, -1.4491525423728813)","(-0.5847457627118644, -1.4491525423728813)",(-0.1560018990381597-0.21311461100207116j)
"(-0.5338983050847457, -1.4491525423728813)","(-0.5338983050847457, -1.4491525423728813)",(-0.12288145326841309-0.16435371249174338j)
"(-0.48305084745762716, -1.4491525423728813)","(-0.48305084745762716, -1.4491525423728813)",(-0.10550917035346039-0.23755982445853058j)
"(-0.43220338983050843, -1.4491525423728813)","(-0.43220338983050843, -1.4491525423728813)",(-0.31278315374592736-0.13809599401318956j)
"(-0.3813559322033897, -1.4491525423728813)","(-0.3813559322033897, -1.4491525423728813)",(-0.14394776630531875-0.030022714826824365j)
"(-0.3305084745762712, -1.4491525423728813)","(-0.3305084745762712, -1.4491525423728813)",(-0.19162199445626293-0.14402905241092578j)
"(-0.27966101694915246, -1.4491525423728813)","(-0.27966101694915246, -1.4491525423728813)",(-0.006915237094526235-0.2219479791713853j)
"(-0.22881355932203373, -1.4491525423728813)","(-0.22881355932203373, -1.4491525423728813)",(-0.12525684439188098-0.08168836829353436j)
"(-0.17796610169491522, -1.4491525423728813)","(-0.17796610169491522, -1.4491525423728813)",(0.07489652816218825-0.244929739338881j)
"(-0.1271186440677965, -1.4491525423728813)","(-0.1271186440677965, -1.4491525423728813)",(0.16853194190942963-0.26467922458968274j)
"(-0.07627118644067776, -1.4491525423728813)","(-0.07627118644067776, -1.4491525423728813)",(0.027646107157683356-0.2642106719999181j)
"(-0.025423728813559254, -1.4491525423728813)","(-0.025423728813559254, -1.4491525423728813)",(0.11317446295769164-0.08279988324797133j)
"(0.025423728813559476, -1.4491525423728813)","(0.025423728813559476, -1.4491525423728813)",(0.02782555253235975+0.04213817512083674j)
