index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)","(50,)"
"(0,)",(-5.305342538765757e-05+0.00011417439974868212j),(-0.00021811969272497102+2.6314922011907394e-05j),(3.356958292468689e-05-0.0003301241287944856j),(0.0002763736345098037+5.950819417981577e-05j),(-0.0002841850895700443+0.0003488813966438131j),(-0.0002668085858148536-0.00037031608225481167j),(0.0004963120718505309-0.000294155642619269j),(0.0001315823371600235+0.0005561744256112832j),(-0.0005827844406946594+6.525259882677081e-05j),(-0.00015494995255329417-0.0006309193756517735j),(0.0007200059551818126-7.231285943803615e-05j),(7.8911245091905e-05+0.0007981547085495429j),(-0.0008011722402576213+0.00024919158491132956j),(-0.0004894024383386303-0.0008230886091604716j),(0.0006369735924056704-0.00079615633080097j),(0.0011390198496251003+0.0002968024590414673j),(0.00034671909698108386+0.0011844648125837213j),(-0.0008348039561886831+0.0010300477356254166j),(-0.0013128659594319886+0.00013747840937175653j),(-0.0011970669886259115-0.0008089445591687869j),(-0.000520517028723018-0.0014102000390991255j),(0.00016779719836054088-0.001509291924340808j),(0.0007445401518056644-0.0013792988886253317j),(0.0011038072976304529-0.0011588645705373159j),(0.0012233665507202954-0.0010493742008131533j),(0.0012268922673598236-0.0010477311893006538j),(0.0010693430519050826-0.0011937981124739328j),(0.0007353139884603596-0.0013989766401859784j),(0.00017657225257793055-0.0015417124031182005j),(-0.0004957813225190211-0.001420002008542604j),(-0.0012097542889780684-0.0007846759119386347j),(-0.0013652578789344295+0.00012894778519364233j),(-0.0007195315935059517+0.0010336302085009019j),(0.0003795435981718316+0.0012500747481754442j),(0.0011250646648276745+0.00013798974577866214j),(0.0006091139803794872-0.0008191714169962j),(-0.000583998744362389-0.000826014910743515j),(-0.0008439510774762978+0.00025231536406702406j),(0.00021680893217998005+0.0007901319523291486j),(0.0007600135976972864-0.00020533328304078675j),(-0.00021959359291857112-0.0007168305568256956j),(-0.000588133633844432+0.0002706267052591751j),(0.0002264658340267131+0.0005606934779871652j),(0.00043672955838413153-0.00029603821877417894j),(-0.00040070097152830456-0.0003715370887278084j),(-0.00014402125592283713+0.00027886335640479274j),(0.0003267097192642467+0.00011531567517259263j),(1.48223684145926e-05-0.0002488389320256143j),(-0.00017754992342815376-2.5061220602868143e-05j),(-8.815381413064392e-05+0.00020036962969104124j),(-8.878999825983235e-06+5.501951769117225e-05j)
"(1,)",(-0.00021811969272497102+2.6314922011907394e-05j),(-0.00012909902099508287+0.00021292920706139754j),(-0.00020928153014069842-6.080936475210087e-05j),(0.0001226234764165182-0.00018170876127109793j),(0.0002239048207785424+0.00014558366652093859j),(-0.0003119536490623583+0.00013709773774808203j),(-0.00010546964341307213-0.00045810636245755427j),(0.0004576895121533653-6.796292322890852e-05j),(9.66721356037867e-06+0.0006963629820875265j),(-0.0008113625386610352-0.0001634191147623946j),(7.36028480102784e-05-0.000769812709875842j),(0.0008394177054083487+3.3048727567377854e-06j),(-5.878776950630971e-05+0.0009609063284198631j),(-0.0011179868775833205+6.155339462174477e-05j),(-0.0003884021327523715-0.0011082433143034262j),(0.001015177320085636-0.0008449933208430201j),(0.0012225322362304932+0.000431991335774044j),(0.00023798509160650967+0.0015242204664866026j),(-0.0011797508798477236+0.0011021719126688375j),(-0.0016925049600511907+2.7190602756773552e-05j),(-0.0013534587819759951-0.0011944166462878514j),(-0.00046050952628908166-0.0018108038281012277j),(0.0003616552092325644-0.0018956910874545249j),(0.0009774496224194743-0.0017361386440331377j),(0.0013998293215984241-0.0014598594705401639j),(0.001548047433769657-0.001328440950482914j),(0.0015083570703024476-0.0013673526985945096j),(0.0013224020967659584-0.0015256603817640386j),(0.0008280671294924124-0.0018010459398754757j),(0.00012498066768391444-0.001929041243693847j),(-0.0008339390496892721-0.0016286932132722881j),(-0.0015470289645652636-0.0008400100217198765j),(-0.0015554795484123169+0.0004918275362433449j),(-0.0006636920108219813+0.001402563892251383j),(0.0007454681851306109+0.001276154937977872j),(0.0013570645114329336+0.0001278136460877286j),(0.0004031580659258026-0.001246573972625506j),(-0.0007385499195715216-0.0008942958410593296j),(-0.0007223704631714727+0.0006365315303649207j),(0.00036803065694244785+0.000957054953600933j),(0.0006878310600005954-0.00028945645032785747j),(-0.0003007061768767613-0.000716473877087529j),(-0.0005127978844974047+0.00027884470482528786j),(0.00028314994530596595+0.0005985538495265135j),(0.00034977195254075626-0.00039456298617775805j),(-0.0003844837256173591-0.00022703788020657934j),(-0.0001185576163528778+0.0003787228663851463j),(0.0004135447682335385+1.14854054318249e-05j),(1.5177174710858013e-06-0.0002831882259323147j),(-0.00024308941826633768+3.255717753632526e-05j),(-5.288541318277853e-05+0.00012069309059337692j)
"(2,)",(3.356958292468689e-05-0.0003301241287944856j),(-0.00020928153014069842-6.080936475210087e-05j),(-0.0001314861172827871+0.0002512072840027301j),(-0.00025124248591230995-0.00012927695136657645j),(0.0002795538854291049-0.00020385523524591925j),(0.0002892377725665457+0.00034003501870979514j),(-0.00046434119564365005+7.315783415138209e-05j),(3.230654527394491e-05-0.0006084745503394026j),(0.0005783144319852125+0.00011501942135986336j),(-0.00022421675163320103+0.0007135421996154346j),(-0.0007164259284496059-0.0002973471418761621j),(0.00040426625721007347-0.000805083072878336j),(0.0008338752244550282+0.0002847291085542916j),(-0.00016048304576853922+0.0009067578402454055j),(-0.0011168384724755164-0.00014395120551145352j),(-0.00014353443241137343-0.001315442818396381j),(0.0012858271793490864-0.0006220441699928653j),(0.0011790718524699625+0.000876566826912027j),(-7.225422149573129e-05+0.001602786155292492j),(-0.0013809045762389544+0.0011020717015933616j),(-0.0018042357267134706-0.0002419898244305455j),(-0.001355990453446118-0.0013752951391206405j),(-0.00041457620732645467-0.0019553383191921784j),(0.0004640171993471008-0.0019915682316447502j),(0.0011856041717134772-0.0017448671221713158j),(0.0015257740041455764-0.0015014421482496764j),(0.0016352651729391152-0.0014010319289898268j),(0.0015807388684287006-0.0014561312949164982j),(0.0013205645202671893-0.001670232605572612j),(0.0007796096746412954-0.0019430306873585831j),(-1.8716226377429e-05-0.0020404099973817965j),(-0.0010043177181275629-0.0016823380583303306j),(-0.0016891310841465848-0.0006521654746226008j),(-0.0016329173914953802+0.0006523447455015899j),(-0.0005628717998057082+0.001497884619537499j),(0.0009282583683650079+0.0011710819970324005j),(0.001405809647614351-0.0002394477979295741j),(0.00038849763565859506-0.0012408373959195322j),(-0.0008812692057088936-0.00075842258501885j),(-0.0007991311589675439+0.0007477939587521015j),(0.0005291573818898839+0.0006879585922409186j),(0.0007071529085979208-0.0007148065325984427j),(-0.0004514514795815653-0.0006317789211837562j),(-0.0005006758142841113+0.0004746559732945874j),(0.0003684107535277175+0.0003753519550019909j),(0.00034735603851039626-0.00039256572853097545j),(-0.0005427545415469847-0.00012910399103997755j),(-3.0528023225823584e-05+0.00039445464359494397j),(0.00034990488900027433-6.567829055359276e-05j),(6.420001954779242e-06-0.0002747696224625311j),(-0.00010839482290539787-4.67861920254112e-05j)
"(3,)",(0.0002763736345098037+5.950819417981577e-05j),(0.0001226234764165182-0.00018170876127109793j),(-0.00025124248591230995-0.00012927695136657645j),(-0.00019751355327490502+0.00022206768698320868j),(-0.0002717332091203048-0.00014482059246234092j),(0.0001435631497360017-0.00031947466661837957j),(0.00033590312269446+0.00039343056671996133j),(-0.0004680285509813318+0.00021867052365208902j),(-0.00018889302539264768-0.000692214158527156j),(0.0007316041334299233-9.319649124210763e-05j),(-2.2617257085970734e-05+0.0007875322482258145j),(-0.0008830683665290996-0.00020735519076863098j),(0.00020450195892268298-0.0008853426188312736j),(0.001094434083507317+0.00032619876838736164j),(-0.00011872721230871757+0.001108772706948041j),(-0.0011946848032181468+0.00014393664874274583j),(-0.0004267973579253419-0.0013370613384310597j),(0.0011005765342163275-0.0010648036918284017j),(0.0015504529388671343+0.0006938839423967503j),(0.00024340640376113452+0.0017549880632747714j),(-0.0013897798027256545+0.0012560557273535704j),(-0.0019589436800082835-0.00015868783335550485j),(-0.0015077995034023651-0.0014201527685145916j),(-0.000579423372966739-0.0020823235655912857j),(0.0005696391778112726-0.0021809673167962314j),(0.0012239001398668319-0.0019514350350858833j),(0.0016259552438967872-0.001670272125555481j),(0.0017925672386338214-0.001520099977715093j),(0.001758494042038038-0.0015542030133342878j),(0.0014453444114739217-0.0018078703847090008j),(0.0009297220782565191-0.002076784738085698j),(8.003671734600827e-05-0.0022324530375975246j),(-0.0009854834720212308-0.001927693165643157j),(-0.0018736823901394802-0.0008140322805558701j),(-0.0017878089212982702+0.0006130052671656427j),(-0.0006690463240333084+0.0017460713649439367j),(0.0009645482516384497+0.0014695193073027554j),(0.0014913695569628085-5.8301689126452845e-06j),(0.00044848185765914816-0.0013164563177125443j),(-0.0010613233998933813-0.000782653898889042j),(-0.0009120857730128731+0.0008447318843799547j),(0.0006563407344569529+0.0009721960544383153j),(0.0008617671180767885-0.0005631295058737464j),(-0.0002903822601825798-0.0007884192012586304j),(-0.0006543282623960421+0.00043492146033358067j),(0.0003470013165098069+0.00043275496300950513j),(0.0004664008302006103-0.0004998688486199541j),(-0.0004011847780693511-0.0001593147112901574j),(-6.830674056420156e-05+0.0005817423680425418j),(0.0004722438274888636+0.00012720623437817395j),(0.00013447483267432813-0.00012532634949450927j)
"(4,)",(-0.0002841850895700443+0.0003488813966438131j),(0.0002239048207785424+0.00014558366652093859j),(0.0002795538854291049-0.00020385523524591925j),(-0.0002717332091203048-0.00014482059246234092j),(-0.00017078576680899807+0.0002542439210681708j),(-0.00020814334501456012-0.00015579458671092567j),(0.00023577917417397676-0.00022722766838380488j),(0.0003284907620459601+0.0003817145797479696j),(-0.0005450607966997187+0.00020086859943616982j),(-5.053708176106913e-05-0.0007024599186277476j),(0.000864679155707864+9.687338175957962e-05j),(-0.00023926186330507668+0.0008995028850112166j),(-0.0007661465394724963-0.00031038988481774164j),(0.0003462089377503726-0.0010289954346903412j),(0.0010119405699346717+0.00033971732573954467j),(-0.00010183140884179348+0.0011981217253260977j),(-0.0013195292084446253-0.00017883210256746288j),(-0.00041247695278260336-0.0012586098485303481j),(0.001238028726088419-0.0008384919902819867j),(0.0014158221058511154+0.0008148239694163337j),(0.00012571453624060934+0.0017769411162774742j),(-0.0014558185485221955+0.0012913524324105604j),(-0.002042149601167278-4.206229122485794e-05j),(-0.0014054064876481938-0.0016018142020892917j),(-0.0004764657985892384-0.002156732278839233j),(0.0005086987093167112-0.002206351462842508j),(0.0012651063512947136-0.00195339443194557j),(0.001656323420872811-0.0016869077321262976j),(0.0018066519316358852-0.0015505970900860568j),(0.0017550835174623646-0.0016022602493756452j),(0.001490957820303802-0.0018201063712232966j),(0.0008457164929010325-0.0021390944767302406j),(-3.0352006980915988e-05-0.0022507065747968337j),(-0.0010875614057468902-0.0018562618816434346j),(-0.0018995819302758277-0.0008427208278303261j),(-0.001866422758224566+0.0006996529303405023j),(-0.000689772810738029+0.0017766557196900459j),(0.0010812039537852472+0.0014424733083597844j),(0.0017377365820756567-0.00022399737381882312j),(0.0002732081736958109-0.0015540554111276095j),(-0.00111978015954106-0.0007180950945242537j),(-0.0009450145544057634+0.0007635805150871613j),(0.0006541403991580949+0.0009395094143600063j),(0.0008382801882661366-0.0005628778481029055j),(-0.0005483218434962814-0.0007334596315014404j),(-0.0006576685404221136+0.0005939619439943593j),(0.0006109999790803158+0.0005213099228137003j),(0.00030512601265039974-0.00046329048761117387j),(-0.0005062483960184181-0.00019858565327293305j),(-0.00020897969745433333+0.0004491794073695123j),(6.665969002696012e-05+0.00022025339615690316j)
"(5,)",(-0.0002668085858148536-0.00037031608225481167j),(-0.0003119536490623583+0.00013709773774808203j),(0.0002892377725665457+0.00034003501870979514j),(0.0001435631497360017-0.00031947466661837957j),(-0.00020814334501456012-0.00015579458671092567j),(-0.00016793230714110086+0.00019629799847628308j),(-0.0002744646290188512-0.00012598305128645642j),(0.00026569713197529074-0.00022756387975502877j),(0.00026150668073957463+0.0002653195573308356j),(-0.00040170716841602175+0.00013671860730469492j),(-0.0001025913217178979-0.0006105983511633934j),(0.0005627345275791411-8.483615643495669e-06j),(-0.00016796949516556067+0.0008090429541064911j),(-0.0007087253556801067-0.0003157536218062222j),(0.00033852524562098986-0.0008150762458755649j),(0.0009788118710730817+0.0003063221836772846j),(-0.00017067572416779888+0.0011462137771206123j),(-0.0012400073457132287+5.5887187714341455e-05j),(-0.00032462332362726053-0.0012704539265552639j),(0.001182670100174881-0.0007880853724107208j),(0.0012670663577127195+0.0009131385517030568j),(3.475045382500373e-05+0.0016970254261969087j),(-0.0014153075454317859+0.0010721139804555435j),(-0.001838836169152144-0.00013685782369762684j),(-0.0013844833504355692-0.0013820508809712971j),(-0.0004583450007701631-0.0019868121912915947j),(0.0004950056043324208-0.0020479236582517262j),(0.0012204319548942246-0.0018011877854722112j),(0.0015421562589794124-0.0015694416262074526j),(0.00170474847489405-0.0014202764628330243j),(0.001625122585718266-0.001500244462875573j),(0.0013266499014488427-0.0017353549668355389j),(0.0007984267625096548-0.0019785337478564926j),(3.280203654440967e-05-0.002093832306103375j),(-0.000964101066771416-0.0017706433790126471j),(-0.001755105194481081-0.0007483471018113851j),(-0.0017044727553513026+0.0006292165671002841j),(-0.0007214502699688387+0.0015716609571482824j),(0.0007897907862013056+0.0012973804040591836j),(0.0014110859993252665-0.00022849502396736593j),(0.0003913404076631882-0.001213965625702858j),(-0.0010117640069007893-0.0006215554412041588j),(-0.0009967916212486327+0.0007271739209015065j),(0.0004139460534469753+0.0008734497391922931j),(0.0007957607867977973-0.0005053950591219737j),(-0.00048029733161349423-0.0006933141877188818j),(-0.0007246340878386757+0.0004671707454826328j),(0.00037027951735636434+0.0004895282932440887j),(0.00024926806878016133-0.0006135764318237999j),(-0.0005530613558765333-0.00022257354309569908j),(-0.0003486738450517397+0.00016954421294392496j)
"(6,)",(0.0004963120718505309-0.000294155642619269j),(-0.00010546964341307213-0.00045810636245755427j),(-0.00046434119564365005+7.315783415138209e-05j),(0.00033590312269446+0.00039343056671996133j),(0.00023577917417397676-0.00022722766838380488j),(-0.0002744646290188512-0.00012598305128645642j),(-0.00012929488794684971+0.00021234453758924403j),(-0.0002498115838894682-0.00011920990853549684j),(0.0002162394976027387-0.00019876878053052367j),(0.00023093549326259877+0.0003282548100488287j),(-0.00044280572343394995+0.0002245763237830588j),(-0.00010047723836301073-0.0006358944590678003j),(0.000515096812499339+1.1954861629045567e-05j),(-8.073123912570648e-05+0.000551553245570435j),(-0.0006304941555748046-0.00010114303241155108j),(0.00022373358038935243-0.0007817035491453263j),(0.0008173793442138471+0.00029160483694798227j),(-0.00028806401159648553+0.0009618694176479352j),(-0.0011438576395721544-7.982147499029129e-05j),(-0.0002996816068677337-0.001267737526058982j),(0.0011730830628851425-0.0006082665500481534j),(0.001304417655949713+0.0006704976555250837j),(0.0001622107347932839+0.0016000253249959437j),(-0.001167002257545478+0.001150270454957205j),(-0.0017811463706483765-0.00027999536111535773j),(-0.001318214393563672-0.0012985713086633914j),(-0.0004237637481499228-0.0018883638497076052j),(0.0004187140446003274-0.0019334619387538457j),(0.0011181181025104942-0.0017098489837978513j),(0.0014640427728162026-0.0014763065512138603j),(0.00158938040095191-0.0013611154896180206j),(0.0015384099303700593-0.0014115998147042016j),(0.0012853608202356673-0.0016170059273516988j),(0.0007859425957708619-0.0018614757730886762j),(5.28857636602727e-05-0.001981333749304409j),(-0.0008791960963313545-0.0016982988381087547j),(-0.0016213024320372292-0.0006970206120685544j),(-0.0016241218705609036+0.0005333024429165842j),(-0.0004918078758736771+0.0014637529159046132j),(0.0008371715252606688+0.00125353182509785j),(0.0014433160983276544-6.18985616460815e-05j),(0.0004704397023891977-0.001172934345697008j),(-0.000918280261406583-0.0006419247904213062j),(-0.0007503464087904114+0.0008599928435600907j),(0.0004774830905551943+0.0007092607674263771j),(0.0008023862980400249-0.000541536391890692j),(-0.0002240717005951927-0.000632098982112599j),(-0.0005189107163180448+0.0004100104322886077j),(0.00044352475237277106+0.0005645506355004439j),(0.0004038834495365681-0.0004609062485614642j),(-3.993816110024897e-05-0.00022727428110945642j)
"(7,)",(0.0001315823371600235+0.0005561744256112832j),(0.0004576895121533653-6.796292322890852e-05j),(3.230654527394491e-05-0.0006084745503394026j),(-0.0004680285509813318+0.00021867052365208902j),(0.0003284907620459601+0.0003817145797479696j),(0.00026569713197529074-0.00022756387975502877j),(-0.0002498115838894682-0.00011920990853549684j),(-0.00014055151332298464+0.00025537640346526454j),(-0.00022967032822857696-9.314216108826963e-05j),(0.0001561960803605527-0.0003410877523695248j),(0.0003714686538221607+0.0002678392862084147j),(-0.0004216411900381921+0.0001759012211567138j),(-5.166207631163015e-05-0.0005332468292703984j),(0.0006742655781322516-0.0001723246733977603j),(-8.703289559225009e-05+0.0006724582317959967j),(-0.0008412742011675077-0.00014724793671615672j),(5.7463931963844885e-05-0.0008592756884341278j),(0.0009650226922999698+0.00031156318193766795j),(-1.8927616061705797e-05+0.0011093039599757647j),(-0.0014012731170604093+1.9713265772197523e-05j),(-0.0003837175883549667-0.0013052062077639037j),(0.0011208283153635074-0.0010291377988153425j),(0.0015411804084412657+0.0005523153691781138j),(0.00021859472903503838+0.0017553578981937053j),(-0.001419913268133939+0.0012745568316798919j),(-0.0020134001522304997+2.6764313196000408e-05j),(-0.001614233976975749-0.0014254511572958871j),(-0.0006230132192481306-0.00213285583995805j),(0.00048317227039860577-0.002272380401590631j),(0.0012614156637040324-0.002029992007791251j),(0.0016743526115653056-0.0017478238885279454j),(0.00185103657403726-0.0015908085719436955j),(0.001823982320251952-0.001619484865147039j),(0.0015573438260570195-0.001840119179285942j),(0.0010164251946004263-0.0021437207509878j),(0.00011814716309294222-0.0022900519728532203j),(-0.0009568589532053444-0.0019359812354381235j),(-0.0018459335299446916-0.0010523779494180895j),(-0.0019186295409938448+0.0005326285559845452j),(-0.0007119531470152179+0.0017208721242431915j),(0.000768390632296602+0.0015099332928024754j),(0.00158893952493585+9.462165306534405e-05j),(0.0005257356778844334-0.0013727753990059831j),(-0.001109393572753357-0.0008718611485989297j),(-0.0008711611267751329+0.0007530882346082524j),(0.00042116691722838867+0.0009907977662006932j),(0.0009024805477983119-0.00028096166560687944j),(-0.0002691944271986781-0.0008350336317792685j),(-0.0006454713514734518+0.0003771447393708727j),(0.0004890887434510858+0.0005760849983394576j),(0.0002825729539570747+8.85076005349332e-05j)
"(8,)",(-0.0005827844406946594+6.525259882677081e-05j),(9.66721356037867e-06+0.0006963629820875265j),(0.0005783144319852125+0.00011501942135986336j),(-0.00018889302539264768-0.000692214158527156j),(-0.0005450607966997187+0.00020086859943616982j),(0.00026150668073957463+0.0002653195573308356j),(0.0002162394976027387-0.00019876878053052367j),(-0.00022967032822857696-9.314216108826963e-05j),(-0.00022324134573590136+0.00025063626086975016j),(-0.00025940496673344793-0.00012087882797352143j),(0.00019504650466425634-0.00033177350346305634j),(0.00031218273866025757+0.0003705092984403029j),(-0.0004745108457269911+0.00016347673613732646j),(-1.5010851144385736e-05-0.0005347078615640002j),(0.0008000658311584468+4.860658919854859e-05j),(-0.00024232854305003415+0.0008832711016892626j),(-0.0009714794225349086-0.00025990157759170585j),(0.00030868673948378385-0.0009347545437777872j),(0.0012556187907594512+0.0002937225563911497j),(-0.0002587603625385843+0.0012044288183024083j),(-0.0014758113479409049-3.688469706658123e-05j),(-0.00041914301175656905-0.0014102875676795853j),(0.0013279206026760575-0.0009513998288637135j),(0.0016300469260796284+0.0007576816207723543j),(9.504556613044456e-05+0.001992672590009765j),(-0.0014939032381702507+0.0014031937919992343j),(-0.0021646150906066736-0.0002465030479679833j),(-0.0017572744100270966-0.0015972761363119948j),(-0.0005077229992258796-0.002369638653907767j),(0.0005189290707738788-0.0024575565804696646j),(0.0013538371319875698-0.002230125842899946j),(0.0018504472272738404-0.001890082437173485j),(0.0020257456540794597-0.001729424137681724j),(0.0019722787377982835-0.001784224449549445j),(0.0016657280011206877-0.0020404540714639083j),(0.001060097934940897-0.0023610394239944286j),(-6.561876051666522e-05-0.002478452896004069j),(-0.0011116739750746138-0.0021166367105264435j),(-0.0020413082821596077-0.0010427249883679234j),(-0.002099070113963495+0.0007266211803523508j),(-0.0007830582451061131+0.001920698611189975j),(0.0011057230579902529+0.0016830551023259029j),(0.0017949788858341701-0.00012698760314274512j),(0.0006060605995453271-0.0015681740876787335j),(-0.0012425077247112588-0.0007512817923241886j),(-0.0009732341449437654+0.0008349959160239059j),(0.0006034002061725974+0.0010961116900527366j),(0.0009474531357896407-0.0006436731148942301j),(-0.00048680362275438745-0.0007188548425501762j),(-0.0009472348680247145+9.806130832218501e-05j),(-7.050784321695306e-05+0.0006494205015690974j)
"(9,)",(-0.00015494995255329417-0.0006309193756517735j),(-0.0008113625386610352-0.0001634191147623946j),(-0.00022421675163320103+0.0007135421996154346j),(0.0007316041334299233-9.319649124210763e-05j),(-5.053708176106913e-05-0.0007024599186277476j),(-0.00040170716841602175+0.00013671860730469492j),(0.00023093549326259877+0.0003282548100488287j),(0.0001561960803605527-0.0003410877523695248j),(-0.00025940496673344793-0.00012087882797352143j),(-0.0001438047818662571+0.0002548078654021678j),(-0.000288986988052307-0.00011066055521158485j),(0.00011867376806725969-0.0003548801153485227j),(0.00048174997710622656+0.0004028179649059827j),(-0.0004767432129798276+0.00026441376453056913j),(-0.00016298933868588936-0.0007862577905376373j),(0.0008172824912569789-0.0001697508738925971j),(-3.0055549293332867e-05+0.0007654882128163566j),(-0.0010846104355463945-0.00032216001818458865j),(0.00031198575473892715-0.001067190403321069j),(0.0012153348901236918+0.00010207817815428749j),(-0.00033357929318145424+0.0011699128134202176j),(-0.0014605560998227115-8.64660461901131e-05j),(-0.0006091461829484984-0.001337238900652031j),(0.0013037301531106335-0.0011069671278695513j),(0.0016060405375737394+0.0009412419666430171j),(0.00012842137455129323+0.001970739314229155j),(-0.0015193719495116267+0.0014804361556194439j),(-0.002234531578439731-0.00015450671695463176j),(-0.0016583022548445105-0.0015067386472861028j),(-0.0006278442493933174-0.0022599986526738247j),(0.0005683684574197-0.0023852149495494674j),(0.0012824129019427062-0.0021522153325337773j),(0.001761031029511933-0.0018289406973398907j),(0.0019412170546306128-0.0016618159997724101j),(0.0019051096387641975-0.0016986814713075137j),(0.0015785928954525452-0.00196674347417249j),(0.0010530458159614987-0.0022584321106905074j),(3.41155400950366e-05-0.0024277549491914445j),(-0.0011392676745438741-0.002041858356989865j),(-0.0020661106555796287-0.0010194749652098635j),(-0.002102950968290304+0.0005295573502915558j),(-0.0007711682939060046+0.0018430657926553646j),(0.0008148259982390074+0.0016432956669426993j),(0.0017621842328925353-5.952358321836294e-05j),(0.000525695088631983-0.0015037123479129002j),(-0.0011133944204533967-0.0009990155113006978j),(-0.0011512059138842454+0.0009108632490851733j),(0.0005685668962906339+0.0009770622630114049j),(0.001096583176151007-0.0005677458347395148j),(-0.00039843991273982876-0.0008520150023824636j),(-0.0006431515434197326-0.00035501728214857865j)
