index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(0,)",(8.578638698286074e-06+2.5736272698910977e-05j),(-6.128527062323668e-05+9.292456694163651e-05j),(-0.00014615369447323298+2.084008804262172e-05j),(-6.449292438816731e-05-0.00012035443301379846j),(9.087602369113438e-05-0.00013335168340325226j),(0.00016095831011138563+2.093443294998136e-05j),(8.364465502929236e-05+0.0001639776353230163j),(-0.0001176407114065214+0.0001609886240043494j),(-0.00020357687322587425-5.830837195062189e-06j),(-9.963194555990228e-05-0.00021152113408796385j),(0.00010824611197312922-0.0001955629628180081j),(0.0002601764089742483-2.9547932102610422e-06j),(0.00013202820674475791+0.00022344702163039828j),(-0.0001140377136287654+0.00025078127708369426j),(-0.0002451375612972578+0.00014323138664642604j),(-0.00020327228507068846+0.00017631346580463222j),(-8.233823967721228e-05+0.0002825913814663975j),(0.00012147840595959095+0.00026838185876355044j),(0.0002539808532610486+0.00014280243758269301j),(0.00028387617103910363-1.199828697521283e-05j),(0.00023606777210560058-0.00015229370002720912j),(0.00016084402469835048-0.0002302739624519381j),(7.169553493901656e-05-0.0002668244495657046j),(6.028208691799221e-06-0.00027490983055919997j),(-3.136250086990059e-05-0.00027209717047984645j),(-3.989874331573657e-05-0.00027016724593693827j),(-1.605945607747273e-05-0.00027236091578567784j),(3.6299637044476e-05-0.0002704862114865786j),(0.00010830935251171232-0.00025184415792819985j),(0.00019210540078498978-0.00019844474484017065j),(0.0002682791811890808-8.347854814336038e-05j),(0.0002746192865850035+5.4564528560375164e-05j),(0.00020460850335667107+0.00019837318064794347j),(5.2817903765412774e-05+0.00028518991434611654j),(-5.928893677659493e-05+0.000219137380382782j),(-5.966395305156358e-06+0.00021423032997059058j),(0.0001938099561681549+0.00015547889802482447j),(0.0002357521446472145-5.973278134527255e-05j),(5.26170778214748e-05-0.0002214202007678218j),(-0.0001621659052203435-0.00015168615476998703j),(-0.00018989477814238982+5.384754082527899e-05j),(-4.150804219937802e-05+0.00018532712275711092j),(0.00012261708510761905+0.00012136796146416647j),(0.00016861232552174363-3.655471610141025e-05j),(3.600642163002129e-05-0.0001337432206936274j),(-7.460286567565254e-05-9.56223023454333e-05j),(-9.565239585368665e-05+1.782199947617071e-05j),(-3.243554658221324e-05+5.625837537663208e-05j),(1.0456219879257386e-05+4.68970695981927e-05j),(6.144418425970976e-06+6.078563686938015e-06j)
"(1,)",(-6.128527062323668e-05+9.292456694163651e-05j),(-8.203549740542734e-05+0.0001882289809023069j),(-0.0002183957717987176+0.00012842852496029494j),(-0.00019091464670024808-0.00019726970096209994j),(4.746792176711117e-05-0.00032410986194257444j),(0.0003272430542050871-9.062700321036876e-05j),(0.00029169425142641344+0.00025241169482843493j),(-0.0001097719839742077+0.0004080045094370901j),(-0.00040454786236176295+0.00012346067205346416j),(-0.0003670832119277265-0.0003199604395043375j),(0.00010663866539962764-0.0005130655027463558j),(0.00047701350595017963-0.000198554715155871j),(0.00041388130757131705+0.0003330995727880384j),(-3.5204183368067013e-06+0.0005068758747188279j),(-0.00030564614154137917+0.0004035469370929296j),(-0.0003200505932164032+0.0004988791372906957j),(1.246374506651544e-05+0.0006458763591696286j),(0.00039141991618889184+0.0005125656247645907j),(0.0005931773620333912+0.00022237008803099165j),(0.000622097455707782-0.00011416001283807521j),(0.0005236471098263561-0.00036847215550909687j),(0.0003705865394122435-0.0005199878414174331j),(0.00019572626332981-0.0006146023328219115j),(0.00010159434528323744-0.0006439070471765757j),(6.815363878916846e-05-0.0006563716143367556j),(9.760411961017068e-05-0.0006612092170590756j),(0.00019134312211766406-0.000649305759316666j),(0.0003628454030982306-0.0005859935327060978j),(0.0005579742239617312-0.00041073836930532125j),(0.0006850523447630307-0.0001941055188424324j),(0.0006724102250682597+0.00021583824398093028j),(0.00048376298109050695+0.0005428556895691922j),(7.685931890647347e-05+0.000719438662464643j),(-0.00028698328741146695+0.0005852857492312588j),(-0.0004955291797778343+0.0003170509319209422j),(-0.00045272968616652775+0.0004613070760773961j),(2.9255345846518423e-05+0.0006646066575648824j),(0.0005745909785872914+0.000282804632617814j),(0.0004557723064418533-0.0003687893781907703j),(-3.351864756711714e-05-0.0005944511550034911j),(-0.000458590358564909-0.00027330421196983056j),(-0.0004073601827726373+0.00023274814895070568j),(-4.377384262281323e-06+0.00047964202208639815j),(0.0003497877947624836+0.0002107187474378545j),(0.00033099441750865757-0.00019201605105668136j),(-1.767881480458021e-05-0.00033735634325862603j),(-0.0002536748067597171-0.00014212414685610173j),(-0.00019702027671797916+0.00010985037707179396j),(-6.767343363386542e-05+0.00015287339205337835j),(6.284261314648604e-07+3.866571385896861e-05j)
"(2,)",(-0.00014615369447323298+2.084008804262172e-05j),(-0.0002183957717987176+0.00012842852496029494j),(-2.818424347800104e-05+0.00017881723295967982j),(-0.00017812171754593844+0.0001243962676230639j),(-0.0002338867678889771-0.00010972825913420215j),(-3.429492495283502e-05-0.00033210978638228874j),(0.00026606956397370076-0.0002165535558449525j),(0.00036911146297080377+0.00014646137208239744j),(6.541264511883969e-05+0.0004315207155814683j),(-0.00039555395472698696+0.0002740006500120685j),(-0.000472198166469394-0.0001941230727951287j),(-3.7512155911782565e-05-0.0005165209904038078j),(0.00041519496616032896-0.0003293476867697131j),(0.0005156434651280004+0.0002452352662827179j),(0.00030821650754226553+0.0003952739364099278j),(0.00044077209138775964+0.0003664709070485336j),(0.000632643648577284+0.00012317294029835503j),(0.0005622051208179911-0.00026518910500712527j),(0.00036894071300729074-0.0005069597772521284j),(8.833102175591695e-05-0.000617560454526153j),(-0.0001513125576343305-0.0005997958934237773j),(-0.0003317745002065663-0.0005267125755057978j),(-0.0004129153350345394-0.00047246072439173015j),(-0.00045611332031452384-0.000441399299972084j),(-0.00043787016053703417-0.00047195436285318116j),(-0.0003645580729297426-0.0005390010206298538j),(-0.0002125522379581042-0.0006274260301522112j),(3.606372148004852e-05-0.0006699861285217985j),(0.0003575618333912155-0.0005910695392875347j),(0.0005983083390999814-0.00034228312216475734j),(0.0007028191028239694+5.4326985780685374e-05j),(0.0005626568467034737+0.0004434656121837089j),(6.847716840290995e-05+0.0007219338609622849j),(-0.0003842285644364674+0.0005389903376693518j),(-0.000622954590568013+0.00033169840813111767j),(-0.00042433159009112653+0.0003727605232400947j),(-9.00241301907675e-05+0.0006489422044064911j),(0.0005315691653738377+0.0003576794779319492j),(0.0005507484959121081-0.0002561362695337971j),(3.411003994393874e-05-0.0005969759499147824j),(-0.0004232001083855846-0.0003296347306478196j),(-0.0004765855951330846+0.00020675216238939996j),(-0.00015003482820437523+0.00048682166352835327j),(0.00029312882081032577+0.00033339393061295505j),(0.0003879808659673429-9.046090876492158e-05j),(0.00013395518661326968-0.00036006206933921007j),(-0.00016370867172125963-0.0002877525890918886j),(-0.00028721521444138095-7.945891875663868e-05j),(-0.00024096830388290586+0.00010462193890649842j),(-0.0001006124812970059+7.26568674434827e-05j)
"(3,)",(-6.449292438816731e-05-0.00012035443301379846j),(-0.00019091464670024808-0.00019726970096209994j),(-0.00017812171754593844+0.0001243962676230639j),(4.348538558924626e-06+7.25342328727975e-05j),(-6.126005704711103e-05+7.484580574179439e-05j),(-0.00013368844454901194-1.2359793660533982e-05j),(-9.222941902547411e-05-0.00014438647815413885j),(7.306914122662607e-05-0.00016718968666287886j),(0.0002139167011033482-2.4734507036000594e-06j),(0.00013186528203506398+0.00020676676238659238j),(-0.00012320691820411474+0.00022873714360171091j),(-0.0002886793030085175+1.2534339322863003e-06j),(-0.000140521222497854-0.00025245911910189015j),(0.0001390214972244072-0.0002786026307150085j),(0.0002602735626894307-0.00017355915936137202j),(0.00019713275597613112-0.00017212610560254858j),(0.00010052876573569138-0.00032387854988033304j),(-7.965841068589506e-05-0.00032143416886636604j),(-0.00024117144065215936-0.0002266536605930845j),(-0.0003115314719629475-0.00011044818508791942j),(-0.00032811640121584466-7.293798047422851e-06j),(-0.00032474529865106507+6.047715168025147e-05j),(-0.000321647426309415+8.752707431775622e-05j),(-0.0003296175602617399+7.068861605833482e-05j),(-0.0003403365148595723+1.270592895468716e-05j),(-0.00033542906185188705-9.447882164079796e-05j),(-0.0002769558503034944-0.00021286017009359483j),(-0.00015786246654168776-0.0003203686171875335j),(6.0597098533648135e-05-0.0003516450678302399j),(0.0002744962203664066-0.0002399621325103013j),(0.0003770085654626942+1.8952868682273006e-05j),(0.00029389144057473697+0.0002547510341546081j),(1.4675485256415533e-05+0.00038050107017339053j),(-0.00024388477127312353+0.00026024956690626634j),(-0.0003236675096883659+7.182060448827355e-05j),(-0.00033922804288089893+0.00013217707816779383j),(-0.00010655179621618253+0.0003514566400110586j),(0.0001968359975766533+0.0003059322146487874j),(0.0003468968681665727-2.263562071443408e-05j),(0.00014546700807889759-0.0003011579998059352j),(-0.00016196779104628517-0.0002852852132926284j),(-0.00028949733429744736-2.9928447758278004e-05j),(-0.00017483522314102137+0.00022406291125788731j),(6.166140599232382e-05+0.000270264858419288j),(0.00022299952745109442+9.767120656141368e-05j),(0.0002144140005421254-9.818430871187485e-05j),(8.796274475849161e-05-0.00019661012024536415j),(-3.477258917180575e-05-0.0002070463355966724j),(-8.070335901101309e-05-0.00012957028883502463j),(-3.248296368527104e-05-3.749976629736587e-05j)
"(4,)",(9.087602369113438e-05-0.00013335168340325226j),(4.746792176711117e-05-0.00032410986194257444j),(-0.0002338867678889771-0.00010972825913420215j),(-6.126005704711103e-05+7.484580574179439e-05j),(1.335581692040311e-05+7.420667100189513e-05j),(-5.8430935335906594e-05+8.192741497578854e-05j),(-0.00013862945612469374-5.08548260340857e-06j),(-7.7285693893171e-05-0.00014358866517476233j),(9.145666677317877e-05-0.00018300948431272733j),(0.0002150585454902749-2.3228771065951033e-05j),(0.00013673927801288502+0.00019987651774908876j),(-8.236406936264203e-05+0.0002351976895354785j),(-0.0002734787094172831+2.0243980787823945e-05j),(-0.00018348642238741794-0.00021470528223818444j),(-2.7137474144630535e-05-0.00025168714577028197j),(-7.817881765744491e-05-0.0002859423467035848j),(-0.0002166661674968494-0.00024045395767768925j),(-0.00031333310020003523-6.541610350958147e-05j),(-0.0003092399500822933+7.723002929209424e-05j),(-0.0002541125653170455+0.00018411120953986017j),(-0.00020023292502118457+0.00024494411913273545j),(-0.0001680859239917469+0.00027070489787629705j),(-0.00017740346248068759+0.00026924836226471067j),(-0.00022401638642545831+0.00023811832644008555j),(-0.00027798307446887907+0.00017898310494482924j),(-0.0003309672511764892+3.694550811679472e-05j),(-0.0003190302468983402-0.00011965054069096078j),(-0.00019086167425531652-0.00029418231438797587j),(3.9852752757092334e-05-0.0003473537583802846j),(0.00026964097036029-0.00025009645249556646j),(0.00037084327524353325+9.747817852853463e-06j),(0.0002642724219095923+0.0002873701291014244j),(-2.9223752743930276e-05+0.00038970452217872457j),(-0.0003275267264354761+0.00022609600648961645j),(-0.00032930114387669853+9.860441831893136e-06j),(-0.0002997448350354189+8.212029767191435e-05j),(-0.00023750886639178282+0.0002977911297499638j),(0.0001305885948843065+0.000338674540930787j),(0.00035845721837107005+8.795802517848518e-05j),(0.0002669541839633048-0.00022122907396176334j),(2.617093646506773e-06-0.0003224602792131079j),(-0.0002737338417543588-0.00016068561005383754j),(-0.0002756552740140499+0.00011302941544764729j),(-9.409169268276937e-05+0.0002709261916344307j),(0.00011277037435957789+0.0002409445714219943j),(0.00024132341696307577+9.39489282142174e-05j),(0.00023702236235952017-7.67865896217778e-05j),(0.00015892517436755097-0.00017704805034550138j),(8.018789614073675e-05-0.00015604363228830716j),(3.9318481160438036e-05-0.00010894759931201852j)
"(5,)",(0.00016095831011138563+2.093443294998136e-05j),(0.0003272430542050871-9.062700321036876e-05j),(-3.429492495283502e-05-0.00033210978638228874j),(-0.00013368844454901194-1.2359793660533982e-05j),(-5.8430935335906594e-05+8.192741497578854e-05j),(-1.8365691672945409e-06+6.36005471678391e-05j),(-6.164422097607103e-05+6.873444027231608e-05j),(-0.00011764726868971163-2.577731465198921e-05j),(-6.897537399787796e-05-0.00014320476073610897j),(0.00010360412321362624-0.00012993858763857372j),(0.00018823905395040985-3.860744890702638e-06j),(8.790839773099661e-05+0.00018497244857415443j),(-0.00012811684267894364+0.00018030308880083267j),(-0.00024027584523348346-1.9098506306302475e-05j),(-0.00018025005514967006-0.00010856857781388105j),(-0.00022093797963984607-0.00010717014725452389j),(-0.00027013067104919076+2.7046978333126386e-05j),(-0.0002180624675894736+0.00015505525601939294j),(-0.00012564352347167146+0.00023045883929527324j),(-3.980286571170285e-05+0.00026297692880647406j),(1.1627567879874315e-05+0.0002673693275998363j),(2.232179815192612e-05+0.00027049358183657264j),(-1.0942318524332083e-05+0.0002752836497972234j),(-8.592861885739497e-05+0.0002688437015408901j),(-0.0001798759558463634+0.00022234458582937478j),(-0.00027954471330350454+9.124033568629894e-05j),(-0.00028679749009603893-6.576799105713634e-05j),(-0.0001888364977530973-0.00024400437840640612j),(1.940373822889507e-05-0.0003122282516942148j),(0.0002312919196693685-0.0002173953352351854j),(0.00033055307322910174+2.451007670233649e-05j),(0.00018788136882734636+0.00028487193219097997j),(-0.00011573235788066209+0.00032013709614304027j),(-0.0003437417496777885+0.00012395738996126953j),(-0.0002815032762866508-5.6319924721133536e-05j),(-0.00032738507636123154-2.090535837654928e-05j),(-0.0002596589642679931+0.00021618446568650654j),(1.8879896796288824e-05+0.0003416226118878221j),(0.0002680937106401999+0.0001834127121540223j),(0.00028513332347008657-0.00011800981666959515j),(0.00010262699474027958-0.0002823670234903028j),(-0.00016297805907251162-0.0002392624081437583j),(-0.00026695353569028017-5.6361921966828564e-05j),(-0.00020519293942266922+0.0001546573057298597j),(-2.5386247055399925e-05+0.00025010302102839013j),(0.00012599464535815086+0.00020249229306330732j),(0.0002096976522445989+9.49953198621568e-05j),(0.0002261594844195559-4.419317188829217e-06j),(0.00021404577844755414-5.8409226159654104e-05j),(5.235525580943157e-05-1.75261476015804e-05j)
"(6,)",(8.364465502929236e-05+0.0001639776353230163j),(0.00029169425142641344+0.00025241169482843493j),(0.00026606956397370076-0.0002165535558449525j),(-9.222941902547411e-05-0.00014438647815413885j),(-0.00013862945612469374-5.08548260340857e-06j),(-6.164422097607103e-05+6.873444027231608e-05j),(1.0839728267980834e-05+7.133506790542619e-05j),(-5.702975043175859e-05+8.294211486812584e-05j),(-0.00012757628226996826-1.3898819715902275e-06j),(-7.940029726629549e-05-0.0001522883133272457j),(7.419908729231552e-05-0.0001657872092055197j),(0.00020471802841268608+4.1430388406922515e-06j),(0.00014261028394962883+0.00018061055174334255j),(-0.00010292643046640122+0.0002367976851505703j),(-0.00021168532554812565+0.00015754776780383352j),(-0.00018713325438537737+0.00017652747223111134j),(-9.526629781567321e-05+0.00026460492979361525j),(5.348863169404671e-05+0.00027571757470850445j),(0.00015837796551336567+0.0002300933954861815j),(0.00020879534806793928+0.00018631028181654856j),(0.00022626514998026515+0.00016972133532363063j),(0.00020926707769180965+0.0001967166773358356j),(0.00015556536563950943+0.0002494473447430798j),(5.29216718288891e-05+0.00029596334476805314j),(-0.00011104653717133013+0.00027951122620389034j),(-0.0002611916595358601+0.00017958673053972263j),(-0.00032694363152389785-4.917375486993864e-05j),(-0.0001945604019315879-0.000261315643023806j),(5.6458357741434655e-05-0.00034441072076399565j),(0.00032732920094486894-0.00016579796371024428j),(0.00032051507677199924+0.00013981410841348794j),(0.00011517888326053344+0.00035724804264479834j),(-0.00022288566973666297+0.0002867498203531841j),(-0.0003568217449735988+2.1947636694930934e-05j),(-0.00027059982101853387-0.0001747784576224356j),(-0.00032104697160655326-0.0002017057400485555j),(-0.0003761725430524716+9.539471344602791e-05j),(-0.00017566273569999904+0.00033608727990702773j),(0.000144732340252964+0.00031814533135572973j),(0.0003535529598839668+0.00010116108740439381j),(0.00025732948230844854-0.00020793744236811756j),(2.4609020762585462e-05-0.0003324846852291749j),(-0.0002166655398045303-0.00024210385376173817j),(-0.00030845721338617347-3.108728628914575e-05j),(-0.0002468165878628613+0.00017186550187589555j),(-0.00010987989963994369+0.00027104254273258423j),(2.475188880102474e-05+0.0002869475069167812j),(0.00012661587767045113+0.000252255070212872j),(0.00017161725364806478+0.00022001313621376322j),(4.51219200674023e-05+5.296413542772594e-05j)
"(7,)",(-0.0001176407114065214+0.0001609886240043494j),(-0.0001097719839742077+0.0004080045094370901j),(0.00036911146297080377+0.00014646137208239744j),(7.306914122662607e-05-0.00016718968666287886j),(-7.7285693893171e-05-0.00014358866517476233j),(-0.00011764726868971163-2.577731465198921e-05j),(-5.702975043175859e-05+8.294211486812584e-05j),(8.66113888799693e-06+7.46693694838776e-05j),(-6.45792935792583e-05+8.013177207647886e-05j),(-0.00014052921895820207-1.741202945966463e-05j),(-7.59623886719693e-05-0.00015029631897802483j),(0.00010166798647931006-0.00017114362581681274j),(0.00022577588392061582+3.0585111102751827e-06j),(0.00014200252298125914+0.0001980124924919882j),(6.134879048472625e-06+0.00021349960615432053j),(4.067107947739317e-05+0.00024130119154945997j),(0.00015577795139935314+0.000219038320625047j),(0.0002392114578163567+0.00011957444537758994j),(0.0002663706087737494+3.196317432892273e-05j),(0.00027162872136672476-1.3265990262487166e-05j),(0.0002772923533725+2.6628171472139467e-06j),(0.00027576227119157954+6.538163043120547e-05j),(0.00023147660311712888+0.0001778515635940798j),(0.0001108643390047485+0.00027947879910936955j),(-8.467362546511261e-05+0.00028950882111641104j),(-0.0002637001937020672+0.00016348536122095804j),(-0.00031282970129943116-9.844217859022643e-05j),(-0.00013156614069847062-0.0003093294521361853j),(0.000134617539824284-0.0003134811624888809j),(0.0003528470784492855-8.997441599573617e-05j),(0.00028705230279578724+0.00021828224830687846j),(-3.876603429321149e-05+0.0003756653705153663j),(-0.00032651405501564354+0.00020973808943002724j),(-0.0003292275074123278-7.922454355673113e-05j),(-0.0001981675404370207-0.00034161531312319515j),(-0.0002282819067833917-0.0003159140325711589j),(-0.0003991965713308989-0.00010224867341765286j),(-0.0003370694323409963+0.00022735794538366358j),(-4.9977889322499214e-05+0.0003914950216043744j),(0.0002584843855850422+0.0002460536830849475j),(0.00036570490513575813-3.7995117517822484e-05j),(0.00023327989061361728-0.00027170978502972755j),(6.263038260309196e-06-0.00034078093065409236j),(-0.00021455504999253505-0.0002515812421152737j),(-0.0003121536634586882-6.764434284485508e-05j),(-0.00029969649068168887+0.00010181977519683093j),(-0.0002250619318261282+0.0002160542271764055j),(-0.00014975570425759986+0.0002673560021875612j),(-0.00010025885211409416+0.00028702121593453993j),(-4.202355366042771e-05+0.00014557011138514162j)
"(8,)",(-0.00020357687322587425-5.830837195062189e-06j),(-0.00040454786236176295+0.00012346067205346416j),(6.541264511883969e-05+0.0004315207155814683j),(0.0002139167011033482-2.4734507036000594e-06j),(9.145666677317877e-05-0.00018300948431272733j),(-6.897537399787796e-05-0.00014320476073610897j),(-0.00012757628226996826-1.3898819715902275e-06j),(-6.45792935792583e-05+8.013177207647886e-05j),(1.526820249331383e-05+7.153998810591562e-05j),(-6.750749836240221e-05+7.929478566567209e-05j),(-0.00014973496602469418-3.615378002078241e-06j),(-8.356972534493974e-05-0.00015402856124142493j),(8.572722964983738e-05-0.000180067494656394j),(0.00019701449176665094-4.9119765089868564e-05j),(0.00018307768384485587+9.656165836298906e-05j),(0.00022779818863990768+7.316710452411782e-05j),(0.0002594871663107036-3.882301932110192e-05j),(0.0002201298018390317-0.00013639206806227133j),(0.000186456758500284-0.00018310316680153268j),(0.00018558050186358375-0.00018955679658008777j),(0.00022853970510307596-0.000145706238172607j),(0.0002743355684451605-4.67047436255147e-05j),(0.00025609958422895257+0.00011886663836844759j),(0.00013075281831868857+0.0002724897958070529j),(-8.773601080780925e-05+0.0003068889476133947j),(-0.0002803733096072973+0.0001290512815865069j),(-0.00030436347574970936-0.00014838498141745769j),(-9.378475967657624e-05-0.0003221031185057642j),(0.00024765642877078837-0.00027822989997715927j),(0.00035544090491819154+6.35835072024764e-05j),(0.00017721855312799657+0.00032275038898789133j),(-0.00018760483826283581+0.0003519213893219377j),(-0.0004123798502486153+5.00227684475106e-05j),(-0.00026694237974118966-0.00025500617623950796j),(6.305948391452439e-06-0.00041513954828904803j),(-3.098994902888257e-05-0.0003430315081486518j),(-0.00029798560337947156-0.0003353237710686534j),(-0.00042181360804122316+1.395279855411935e-06j),(-0.0002632452477452745+0.00032683278556752834j),(5.916559669658683e-05+0.0004136204740809985j),(0.0002952238531596394+0.00024528565273406204j),(0.0003788836923680705-4.776098669517266e-05j),(0.00027004792861039364-0.00026267528030633487j),(3.895848988422463e-05-0.0003622429074071651j),(-0.0001401341220761826-0.00033020088157645496j),(-0.00028431790002132366-0.00020822873402454286j),(-0.0003361625118157383-8.805248294122864e-05j),(-0.0003442247323703082-1.5531867168642897e-06j),(-0.0002551917719296859+3.64293465416218e-05j),(-8.360524855313053e-05+1.82976524758563e-05j)
"(9,)",(-9.963194555990228e-05-0.00021152113408796385j),(-0.0003670832119277265-0.0003199604395043375j),(-0.00039555395472698696+0.0002740006500120685j),(0.00013186528203506398+0.00020676676238659238j),(0.0002150585454902749-2.3228771065951033e-05j),(0.00010360412321362624-0.00012993858763857372j),(-7.940029726629549e-05-0.0001522883133272457j),(-0.00014052921895820207-1.741202945966463e-05j),(-6.750749836240221e-05+7.929478566567209e-05j),(1.2392524816648999e-05+6.717887116189193e-05j),(-5.702532294175414e-05+8.250901900677079e-05j),(-0.00014826151524712088+8.834013174495134e-06j),(-0.00010039778314784759-0.00015133162992349064j),(6.104480835298109e-05-0.00016612016143924957j),(0.00019202714478413143-0.00012069086668392197j),(0.00016514053211254552-0.0001429435731859979j),(0.00011394597547587269-0.00021226954782219184j),(3.3940950329457614e-05-0.00023866726212725257j),(5.888857267846032e-06-0.0002439784662663882j),(5.1200564745640685e-05-0.0002439805769326744j),(0.00014871579240026222-0.00020750835672999376j),(0.00025455928983362115-8.697327339629517e-05j),(0.00025285813527611774+0.0001119040299636786j),(9.582349145212396e-05+0.0002791002765397561j),(-0.00014782938141791704+0.00027404530788573345j),(-0.0003164280817447325+7.086817875506014e-05j),(-0.00023572486144542946-0.00021077051859864172j),(4.2682399436152505e-05-0.00035336223711448193j),(0.0003342676937176546-0.0001756083299125734j),(0.00032760057849089597+0.00017767466433131292j),(2.469854955771436e-06+0.00039307758715954893j),(-0.00032457648853308235+0.00022442067578040765j),(-0.0003951204168414557-0.00015872672449267588j),(-7.564616127624674e-05-0.0004192797873232953j),(0.00015103958087905102-0.00025858231600961435j),(0.00012667587063824697-0.0003285793479553331j),(-4.823855484143858e-05-0.0004390888002039071j),(-0.00037475871207206043-0.0002364004910082062j),(-0.0004077358664601441+9.028321798519367e-05j),(-0.00020231965752578912+0.0003509630892418151j),(9.039632955613083e-05+0.00040335468508521737j),(0.000313165891183507+0.0002440136952276833j),(0.0003950140718424433+6.114968165979563e-06j),(0.00032276670792712994-0.00020189052119331128j),(0.00017514278200970193-0.0003364530239651217j),(2.0584210154378767e-05-0.0003781504087209763j),(-0.00010921302242982098-0.0003565187524842862j),(-0.0002022857323076474-0.00030877697651573733j),(-0.00023855673964645315-0.00027940518945673707j),(-0.00012485237481004832-0.0001342312736615795j)
