index,value
"(0,)",(1.7838455028279356+6.7977568329647315j)
"(1,)",(2.904586904446535-1.9760723111910563j)
"(2,)",(-1.0949979361854754+1.6586902414400368j)
"(3,)",(0.6034356422697822+1.0973836733182822j)
"(4,)",(-1.5059652157113632+0.18538585574619093j)
"(5,)",(-1.5898815526890533+0.5991090165022274j)
"(6,)",(-1.671006604846062-0.25385250517432656j)
"(7,)",(-1.6646256821563776-0.38648602997884307j)
"(8,)",(-1.0103189938404409-0.652996838077355j)
"(9,)",(-0.4133423363693691-0.7986617307045687j)
"(10,)",(0.31753542947307545-0.7058887832200492j)
"(11,)",(0.9069681280499027-0.5518640774826331j)
"(12,)",(1.2424442089072203-0.26664310079627995j)
"(13,)",(1.309626137860859+0.029955095442224633j)
"(14,)",(1.0928666714781854+0.28279069952348723j)
"(15,)",(0.6941847853800933+0.44684839142853205j)
"(16,)",(0.2231650148165275+0.4900782222066691j)
"(17,)",(-0.2027216634044822+0.43043760488475025j)
"(18,)",(-0.49367394325998437+0.30091396271496196j)
"(19,)",(-0.6134885277513253+0.1522015063584493j)
"(20,)",(-0.5777356491253787+0.028061884306446183j)
"(21,)",(-0.437432260202599-0.0469670773312893j)
"(22,)",(-0.26732704533700535-0.06527249285411732j)
"(23,)",(-0.12797238670554592-0.05708774789783355j)
"(24,)",(-0.04269683384711198-0.033350239777133805j)
"(25,)",(-0.044607348323824146-0.032283015209945656j)
"(26,)",(-0.04425028020471579-0.0800606482755822j)
"(27,)",(-0.06994669576839588-0.08332796150755367j)
"(28,)",(-0.0707760853357351-0.21403435363764556j)
"(29,)",(0.2106702485701374-0.16734539874691523j)
"(30,)",(0.08317573001016632-0.04314430131742446j)
"(31,)",(0.04992754569170223+0.03420540544384322j)
"(32,)",(-0.007246006254409465+0.04189099286210943j)
"(33,)",(-0.02221845461506127+0.11112933990117851j)
"(34,)",(-0.005234616460005656+0.17371520987383404j)
"(35,)",(0.01099404948932875+0.25418350094089875j)
"(36,)",(0.040513014002092826+0.32983330165440755j)
"(37,)",(0.06364652976437984+0.38612121344447464j)
"(38,)",(0.08115365779764305+0.42791424763061386j)
"(39,)",(0.09200881563959296+0.45887296152243867j)
"(40,)",(0.09626434968946948+0.4940924756442744j)
"(41,)",(0.09818271013943616+0.5444104916902388j)
"(42,)",(0.10002083991916669+0.6133804577871242j)
"(43,)",(0.10420437754147333+0.6955046017965608j)
"(44,)",(0.11148345505928131+0.7773000476480622j)
"(45,)",(0.121187884227415+0.8440279379542619j)
"(46,)",(0.13197168460263375+0.8855499848208125j)
"(47,)",(0.14212893352419959+0.9006327654955347j)
"(48,)",(0.1502729128677603+0.8969967357631293j)
"(49,)",(0.15547406234991906+0.8871881846122546j)
"(50,)",(0.15724944818132824+0.882438382597694j)
"(51,)",(0.15546737324514215+0.8871958266583466j)
"(52,)",(0.15025801577309184+0.8969903870652671j)
"(53,)",(0.1421043075994553+0.9005777341700067j)
"(54,)",(0.13193817859089413+0.8854127445011815j)
"(55,)",(0.1211509019219017+0.8437909628419489j)
"(56,)",(0.1114538679138119+0.7769722548990075j)
"(57,)",(0.10419705058452661+0.6951235008145403j)
"(58,)",(0.10005122568484554+0.613004945157222j)
"(59,)",(0.09826145456711832+0.5441069146160735j)
"(60,)",(0.09639192797702309+0.4939164443329572j)
"(61,)",(0.09217338739197345+0.45885509975056177j)
"(62,)",(0.08132910674602659+0.4280514294488727j)
"(63,)",(0.0638013824792158+0.3863751138479062j)
"(64,)",(0.04061628064467154+0.3301473927756451j)
"(65,)",(0.011022808912026977+0.25448603156067284j)
"(66,)",(-0.005268543151381047+0.1739528535952487j)
"(67,)",(-0.022306313941124062+0.11127740588865803j)
"(68,)",(-0.007321929101792468+0.04192045365192196j)
"(69,)",(0.049928109972343454+0.03419247536924072j)
"(70,)",(0.08326851339127536-0.04327567782723117j)
"(71,)",(0.21095674997638983-0.16756914288003977j)
"(72,)",(-0.07099913952164699-0.21445537201172093j)
"(73,)",(-0.07044419935879148-0.08342198040716658j)
"(74,)",(-0.044768561456712805-0.0798266663445275j)
"(75,)",(-0.04497114744383173-0.031652453222777654j)
"(76,)",(-0.04265048872315985-0.032486218801033306j)
"(77,)",(-0.12749980684588602-0.056305601027521454j)
"(78,)",(-0.26656604526869826-0.0648379617398257j)
"(79,)",(-0.43671078490116094-0.04704377151237871j)
"(80,)",(-0.5773732215114922+0.027522826841264503j)
"(81,)",(-0.6137219269830485+0.15155764979802905j)
"(82,)",(-0.494528547073827+0.3004605175708127j)
"(83,)",(-0.2037237596897118+0.4306268798423297j)
"(84,)",(0.22213523045042216+0.49103638859178594j)
"(85,)",(0.6940902259603176+0.44791855032126954j)
"(86,)",(1.0936950828854546+0.2845254205358271j)
"(87,)",(1.3104582618747724+0.02989518745316222j)
"(88,)",(1.2456629205999925-0.26719210934169313j)
"(89,)",(0.9057062386454593-0.5523736831337844j)
"(90,)",(0.3189870359166125-0.7128044293327997j)
"(91,)",(-0.4135308570864702-0.7926970462455024j)
"(92,)",(-1.0248434496465308-0.6627850077540743j)
"(93,)",(-1.6425756496302752-0.3822425353246681j)
"(94,)",(-1.710335259049141-0.22494237289614838j)
"(95,)",(-1.5574610152016763+0.5328282271880663j)
"(96,)",(-1.462350377179551+0.32356437966218804j)
"(97,)",(0.4333820132314017+0.9394010661459349j)
"(98,)",(-0.655350006356986+1.6566760215363714j)
"(99,)",(2.3194645951498165-1.6772608225460979j)
