index,value
"(0,)",(5.819647416352447-80.70569020575563j)
"(1,)",(-41.76687269023608+10.106138699682617j)
"(2,)",(17.744858387412215-20.303406419894014j)
"(3,)",(-3.0402204510341413-27.591882191666514j)
"(4,)",(17.920766587204835-15.215351842244687j)
"(5,)",(22.305907890521098-23.789758120427507j)
"(6,)",(22.740985768305485-14.726792563574719j)
"(7,)",(26.246896073027244-9.766005669223953j)
"(8,)",(22.56311220545856-1.5527559367847203j)
"(9,)",(19.51627896998413+8.907316406428864j)
"(10,)",(14.01914020432916+17.654730912515053j)
"(11,)",(7.134112873236632+25.3779938957654j)
"(12,)",(-0.34677056350500735+29.35097605346312j)
"(13,)",(-8.5745543197158+29.17411410394535j)
"(14,)",(-16.41146316419929+24.760997771089883j)
"(15,)",(-23.152296434351108+16.66123199719911j)
"(16,)",(-27.767467661065822+6.3777200559473695j)
"(17,)",(-29.33365265069854-4.521030787221838j)
"(18,)",(-27.276557494005203-14.296543658194196j)
"(19,)",(-21.62808517428466-21.637890571878735j)
"(20,)",(-12.786096934280616-25.837382580212115j)
"(21,)",(-2.0312821394819487-26.385816513216334j)
"(22,)",(9.083494884522596-24.18999405570237j)
"(23,)",(19.692697428657656-19.154384643171305j)
"(24,)",(26.615810353794355-12.462855692936355j)
"(25,)",(31.766826023597304-6.347717378743237j)
"(26,)",(31.956214298862857+3.379712932155101j)
"(27,)",(25.78860596179604+6.378631868094018j)
"(28,)",(25.463547772674296+15.118892199007867j)
"(29,)",(-1.5919676693344247+29.111719058665905j)
"(30,)",(-3.0552426289417483+12.099992014677671j)
"(31,)",(-5.316000583310991+6.379174473693065j)
"(32,)",(1.397498442124089+5.2824303385045255j)
"(33,)",(3.1421151700046743+4.534850714020668j)
"(34,)",(4.618737735043365+7.013676545086809j)
"(35,)",(4.615683297692223+7.497196198190787j)
"(36,)",(2.4921793798851586+7.601754617110187j)
"(37,)",(-0.0352855365688991+6.5363759445729865j)
"(38,)",(-3.044551033148987+4.520617684469588j)
"(39,)",(-5.5657971546348985+2.293933492890392j)
"(40,)",(-7.237069901983334+0.04600439408060275j)
"(41,)",(-8.000254757966932-1.8105268669552377j)
"(42,)",(-7.96507434512844-3.2399360811434104j)
"(43,)",(-7.5489825889975535-4.337394301548592j)
"(44,)",(-7.138236646304586-5.253629971022053j)
"(45,)",(-7.022816575919325-6.147457338490772j)
"(46,)",(-7.274478992048287-7.059847753617139j)
"(47,)",(-7.726372003957751-7.930057059019365j)
"(48,)",(-8.061911508606812-8.618862018658785j)
"(49,)",(-7.933007548315346-8.975456325934708j)
"(50,)",(-7.100753721194392-8.905515862478891j)
"(51,)",(-5.5268376706406865-8.405488786509267j)
"(52,)",(-3.3911132406062263-7.562295201090892j)
"(53,)",(-1.035593968217738-6.516836706717956j)
"(54,)",(1.1479184547207257-5.415422013647692j)
"(55,)",(2.838649026270268-4.363025620144109j)
"(56,)",(3.873148175462661-3.407681600161294j)
"(57,)",(4.286029005381174-2.542083755041334j)
"(58,)",(4.256130767110849-1.7222085695512175j)
"(59,)",(4.046775262576629-0.9239901265284951j)
"(60,)",(3.9084037715606916-0.10390973304435369j)
"(61,)",(3.94244815542833+0.7039994936792644j)
"(62,)",(4.245576273502856+1.4545689356307476j)
"(63,)",(4.605926119035489+2.194630070968648j)
"(64,)",(4.898395704889824+2.6086053287494178j)
"(65,)",(5.116980895139138+3.0404435991725745j)
"(66,)",(4.378874152923592+3.044214529937638j)
"(67,)",(3.880452183604717+2.4203676114059434j)
"(68,)",(1.6076383440856699+2.950713941680366j)
"(69,)",(-2.0309674096940613+0.854258719833421j)
"(70,)",(-4.990386604575673+4.337593793560004j)
"(71,)",(-13.628180712831279+9.078911967250106j)
"(72,)",(6.39448546618118+18.572690233650924j)
"(73,)",(16.314828274134182+9.688577987781489j)
"(74,)",(19.667612413264305+3.5989660303265048j)
"(75,)",(20.151700036371352-6.5362429542773715j)
"(76,)",(12.425375761713244-14.241852589578713j)
"(77,)",(2.2852578457312376-16.222539338697263j)
"(78,)",(-8.4012890811645-13.05542246200603j)
"(79,)",(-16.115837621846772-4.7385634566663395j)
"(80,)",(-18.281299634279833+5.309821837050755j)
"(81,)",(-14.801519925322722+13.775627936498253j)
"(82,)",(-6.943714130329596+17.726556326217423j)
"(83,)",(2.3521377344116488+15.630366678985062j)
"(84,)",(9.819840146715356+8.104707893603141j)
"(85,)",(12.956562301906214-2.569578566244399j)
"(86,)",(10.727896719483574-12.961317753815779j)
"(87,)",(3.945446257822084-19.87983186982333j)
"(88,)",(-4.8381663665158-21.067192424863695j)
"(89,)",(-12.83724407891733-16.057464134910763j)
"(90,)",(-16.803733537642245-6.704676766368468j)
"(91,)",(-15.269117587020485+5.235608074242007j)
"(92,)",(-9.143850216307579+14.885229234244076j)
"(93,)",(2.68278451765271+20.90806184643857j)
"(94,)",(11.773703509181804+22.726345992778434j)
"(95,)",(21.768129145324924+13.364362809694047j)
"(96,)",(27.553385308801378+11.4963617449866j)
"(97,)",(13.330349097895153-6.955202210529983j)
"(98,)",(26.939893538598348-15.542518753501128j)
"(99,)",(-21.7502908252815+7.4592069526941955j)
