index,cp
"(0,)",(0.0007167141850808395-0.0026912509246833174j)
"(1,)",(0.0010873085810122608-0.0014873938363395606j)
"(2,)",(0.0016365126264111854-0.0008176177526213192j)
"(3,)",(0.00180672469499975+2.228069729098583e-05j)
"(4,)",(0.001568279583772075+0.0008314449695900138j)
"(5,)",(0.0009915464626697452+0.0014228240611440955j)
"(6,)",(0.00022577084536854177+0.0016696128998278618j)
"(7,)",(-0.0005417059963963577+0.0015343883720990762j)
"(8,)",(-0.001134266057082091+0.0010738466278130596j)
"(9,)",(-0.0014295326137531673+0.00041895948656711277j)
"(10,)",(-0.0013862673758568234-0.0002629220719328067j)
"(11,)",(-0.0010484165429396014-0.0008128748706743805j)
"(12,)",(-0.0005266706988764584-0.001119686856254223j)
"(13,)",(3.593648154664086e-05-0.0011434379496910855j)
"(14,)",(0.0005038775703837613-0.0009181920789211374j)
"(15,)",(0.0007831314213016978-0.0005347761547916277j)
"(16,)",(0.0008405090398698811-0.00011011863622853332j)
"(17,)",(0.0007043092312460735+0.00024709842724600004j)
"(18,)",(0.00044794855201753074+0.0004644749952617991j)
"(19,)",(0.00016296230091956404+0.0005202903780200546j)
"(20,)",(-6.970450516124471e-05+0.0004415514261205037j)
"(21,)",(-0.0002015046705457155+0.0002880396291891209j)
"(22,)",(-0.00022543640075244626+0.00012866562470271973j)
"(23,)",(-0.00017113605495003742+1.818342043157351e-05j)
"(24,)",(-8.896458579419223e-05-1.8533011507663854e-05j)
"(25,)",(-2.929158801516278e-05+9.548095883558953e-06j)
"(26,)",(-2.4160510955308905e-05+6.753205410110022e-05j)
"(27,)",(-7.716274633915002e-05+0.0001106924963701162j)
"(28,)",(-0.00016423545237071854+0.0001026790307881944j)
"(29,)",(-0.0001761095271402323+3.779107457176098e-05j)
"(30,)",(-0.00015384599445095884+2.6587253002250528e-06j)
"(31,)",(-0.0001264787236571825+4.422294925923077e-20j)
"(32,)",(-2.86377625643323e-05+3.877405015407567e-20j)
"(33,)",(8.140424388894591e-05+1.0171278329623126e-19j)
"(34,)",(0.0002022562880754582-1.2635128359781728e-21j)
"(35,)",(0.00033225656530496117-1.5035802748138546e-19j)
"(36,)",(0.00046950258703365336-1.2887830926975857e-19j)
"(37,)",(0.0006118873443221512-8.970941135443979e-20j)
"(38,)",(0.0007571407374955241+7.47999598898995e-19j)
"(39,)",(0.000902875351020758-7.366279833751903e-19j)
"(40,)",(0.0010466355376897703+7.315739320312849e-19j)
"(41,)",(0.0011859486863568692-2.1353366928028522e-19j)
"(42,)",(0.0013183774851713804+8.895130365285277e-19j)
"(43,)",(0.0014415719592076603+6.620807260524843e-19j)
"(44,)",(0.0015533200586173794+9.349994986237569e-20j)
"(45,)",(0.0016515956011213188-8.389725230894106e-19j)
"(46,)",(0.0017346024302433885+3.3862144004211116e-19j)
"(47,)",(0.001800813736816199-1.024077153560191e-18j)
"(48,)",(0.00184900560386185+6.06486161269449e-20j)
"(49,)",(0.001878283971191685+9.70219918926627e-19j)
"(50,)",(0.0018881043725770686+9.397376717583875e-21j)
"(51,)",(0.0018782839711917049-9.44002027580093e-19j)
"(52,)",(0.0018490056038618652-1.9394922032263016e-19j)
"(53,)",(0.0018008137368162164+2.817633624231035e-19j)
"(54,)",(0.001734602430243402+1.3557492730044328e-18j)
"(55,)",(0.0016515956011213288-1.1750669374596001e-19j)
"(56,)",(0.0015533200586173887-7.202023165074835e-19j)
"(57,)",(0.0014415719592076606+1.5035802748138122e-19j)
"(58,)",(0.0013183774851713867+9.880670377348208e-19j)
"(59,)",(0.0011859486863568676+4.510740824441537e-19j)
"(60,)",(0.0010466355376897627-2.1732420778821623e-19j)
"(61,)",(0.000902875351020765-1.8826341256072721e-19j)
"(62,)",(0.000757140737495527-7.581077015868225e-19j)
"(63,)",(0.0006118873443221569-2.678647212273442e-19j)
"(64,)",(0.0004695025870336586+6.317564179890121e-21j)
"(65,)",(0.00033225656530496225-1.0044927046025438e-19j)
"(66,)",(0.00020225628807545726+9.413170628036344e-20j)
"(67,)",(8.140424388894538e-05+3.474660298939629e-21j)
"(68,)",(-2.863776256433355e-05-9.823812299729136e-20j)
"(69,)",(-0.00012647872365718305-3.648393313886662e-20j)
"(70,)",(-0.0001538459944509595+2.6587253002247343e-06j)
"(71,)",(-0.0001761095271402334+3.7791074571761294e-05j)
"(72,)",(-0.00016423545237072024+0.00010267903078819545j)
"(73,)",(-7.716274633915e-05+0.00011069249637011696j)
"(74,)",(-2.4160510955308868e-05+6.753205410110047e-05j)
"(75,)",(-2.929158801516318e-05+9.548095883558794e-06j)
"(76,)",(-8.896458579419337e-05-1.8533011507664166e-05j)
"(77,)",(-0.00017113605495003718+1.8183420431574238e-05j)
"(78,)",(-0.00022543640075244542+0.00012866562470272057j)
