index,cp
"(0,)",(0.015905176011352853-0.020249882185350315j)
"(1,)",(0.023998448255949052-0.021484755146980825j)
"(2,)",(0.02212524022839573-0.009642459746285822j)
"(3,)",(0.021371995506782412-0.005487726079934654j)
"(4,)",(0.034963281537274966+0.009776378445527645j)
"(5,)",(0.03752097425931195+0.02565977329509667j)
"(6,)",(0.01183656764848375+0.01695333129782298j)
"(7,)",(0.008132957302416347+0.0308300192788252j)
"(8,)",(0.0003494810561983387+0.03579506578160398j)
"(9,)",(-0.012206412468622967+0.019545536280513257j)
"(10,)",(-0.011135603474199219+0.01572582671516386j)
"(11,)",(-0.037933660878080096+0.017037478371058318j)
"(12,)",(-0.04011363937556549+0.005738071363071401j)
"(13,)",(-0.040951035249332524-0.008579527072672203j)
"(14,)",(-0.042084195262585083-0.025223447921801465j)
"(15,)",(-0.01892583779666336-0.02672866824493315j)
"(16,)",(-0.007239195700413245-0.026221180842161008j)
"(17,)",(-0.001109196555633555-0.040705952168630787j)
"(18,)",(0.0144614756652905-0.034564873746428554j)
"(19,)",(0.018835472850843114-0.02460202446357618j)
"(20,)",(0.04372390306105116-0.026681580706286796j)
"(21,)",(0.04292225835622014-0.009645758898854629j)
"(22,)",(0.015500747825514872+0.0012382144437263695j)
"(23,)",(0.041316217027585214+0.025359141924511434j)
"(24,)",(0.03647715554611211+0.037484057105740536j)
"(25,)",(0.01699975870496578+0.03391579009624894j)
"(26,)",(0.0032390288121814563+0.033931395574561464j)
"(27,)",(-0.007068311432269524+0.038172504695629716j)
"(28,)",(-0.031888300282089936+0.04390006334540443j)
"(29,)",(-0.023018447979878353+0.01948684011232147j)
"(30,)",(-0.024887358710220867+0.009770789986834698j)
"(31,)",(-0.04458134931502853+0.007222373064975011j)
"(32,)",(-0.021654948512787542+0.0017470388382668195j)
"(33,)",(-0.034578047827539725-0.006238508827878527j)
"(34,)",(-0.03814637809976454-0.010801041143468356j)
"(35,)",(-0.04965152800725754-0.024473108592200973j)
"(36,)",(-0.03479807140241058-0.0300436566110731j)
"(37,)",(-0.018426113013772397-0.01993690692032136j)
"(38,)",(-0.013773226140533655-0.024609982347369667j)
"(39,)",(-0.007336129497619628-0.021897429937637623j)
"(40,)",(-0.006148583107732126-0.038015855081029754j)
"(41,)",(-0.001256059015636634-0.028999015898374027j)
"(42,)",(0.002071772666022463-0.01829440138683189j)
"(43,)",(0.013889048993665401-0.04034177233097276j)
"(44,)",(0.0129112524785615-0.023834279869825607j)
"(45,)",(0.03013397705192987-0.03415978292171721j)
"(46,)",(0.031085714989089193-0.02663518245639992j)
"(47,)",(0.03629488570280554-0.023042051143421408j)
"(48,)",(0.041956989170522735-0.014563018808849491j)
"(49,)",(0.02135195620363523-0.004324378127311042j)
"(50,)",(0.03370559177681415-0.000912915129055048j)
"(51,)",(0.03220811522221475+0.004812883570318511j)
"(52,)",(0.04274677821622014+0.016112517609028872j)
"(53,)",(0.028463183620575386+0.017691439587746147j)
"(54,)",(0.022455035382500956+0.019415234000159577j)
"(55,)",(0.036982999742791935+0.044035303823755964j)
"(56,)",(0.018806990156699857+0.03498086510039345j)
"(57,)",(0.005246187508067663+0.018110773785654434j)
"(58,)",(0.004599096335846873+0.027873578606429746j)
"(59,)",(-0.00232629397261108+0.05487897143036313j)
"(60,)",(-0.0040685792316887725+0.015341882133681598j)
"(61,)",(-0.006887745610281723+0.019717192102835318j)
"(62,)",(-0.019854094352617615+0.032339915861153985j)
"(63,)",(-0.02154678033019616+0.025697163663619994j)
"(64,)",(-0.023923178745711773+0.019784496372653202j)
"(65,)",(-0.0308859673369032+0.014263582149347883j)
"(66,)",(-0.027537040132820864+0.00864158303535132j)
"(67,)",(-0.04248716732869143+0.0039809324794322235j)
"(68,)",(-0.021733712488075183-0.0015214377889355857j)
"(69,)",(-0.028564204852276277-0.008629227545272329j)
"(70,)",(-0.03355983762111539-0.011873626451131594j)
"(71,)",(-0.03484985452114939-0.009742350852865596j)
"(72,)",(-0.02827215086295787+0.015155771044457722j)
"(73,)",(-0.01615342255785355+0.015214796224125795j)
"(74,)",(0.0028029964365866395+0.020646992654642017j)
"(75,)",(0.024101267285393697+0.043653152201625106j)
"(76,)",(0.03481547732147311+0.015565675187311723j)
"(77,)",(0.028731291818451375-0.00026502555603779415j)
"(78,)",(0.03140447085773088-0.02226199508623222j)
"(79,)",(0.004636862853727388-0.03671216426895524j)
"(80,)",(-0.007535002180167027-0.035829140484831684j)
"(81,)",(-0.025225159713287915-0.021040611133277463j)
"(82,)",(-0.04184691507618617-0.0052992255430008494j)
"(83,)",(-0.04054067858347951+0.017844693553526067j)
"(84,)",(-0.014021902013140014+0.034014591711036164j)
"(85,)",(0.005229387974826402+0.04672845756474907j)
"(86,)",(0.02007990952129771+0.014117047101017651j)
"(87,)",(0.036802536190808754+0.007284646211645539j)
"(88,)",(0.01775578554340469-0.0066391412112937346j)
"(89,)",(0.026573664355621706-0.0343433053465214j)
"(90,)",(0.009136583592497279-0.034144052215559634j)
"(91,)",(-0.008956846284546068-0.02704585475141952j)
"(92,)",(-0.039129277971611975-0.02066137404105356j)
"(93,)",(-0.044076682907848205+0.0031685054006564324j)
"(94,)",(-0.0036914690857719765+0.0076750449592770395j)
"(95,)",(-0.0032005977868400414+0.03690190697939046j)
"(96,)",(0.011602767521112315+0.05394838189472587j)
"(97,)",(0.017947397683471332+0.02473554566991121j)
"(98,)",(0.01239239287622274+0.004396421247136112j)
"(99,)",(0.0197209476273924-0.013852220209415683j)
