index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-1.5, -1.5)",(5.751455505397093e-06-0.005729653978904558j),(0.0027013524397032107+0.0018649385756040306j),(-0.0076328815557855315+0.0029369354119628214j),(0.004880581670414392-0.002623281441188871j),(-0.0029509926592623426+0.005024818091638583j),(0.0016398157815863607-0.004877782310557434j),(0.004310059210301284+0.006478458660854052j),(0.008334040961258319+0.004131030379674305j),(0.010123538832217022-0.0022688130745182563j),(0.00819043013351005-0.005587706122544385j),(0.007176556151592894-0.006736430799465171j),(0.008142576681821263-0.005543945181276294j),(0.009377130306760855-0.001934208291026832j),(0.008843169384583845+0.004229784452632349j),(0.004688702498455647+0.0061408605243790035j),(0.0016517403273812834-0.004663418143777243j),(-0.004862562385369413+0.006401412640526011j),(0.0043986989862937415-0.004308818943191731j),(-0.005803384022950929+0.002336141135712291j),(0.008144220082416394+0.00036070894243845j)
"(-1.4318181818181819, -1.5)",(-0.003976845093712983-0.0032072243010222955j),(0.001995453571402029-0.0037563229413377316j),(-0.003014876145853306+0.005373105714745738j),(1.635301480052455e-05-0.006576433768118383j),(0.0030551235800031227+0.002461619179853377j),(-0.002288410858818474-0.0036736363412567057j),(0.00988301846157647-0.0018148061348951014j),(0.008358815607938962-0.00662793093603367j),(0.0026373393632765857-0.009458717658788324j),(-0.0007446342120359988-0.010303467239069915j),(-0.0014559882036869623-0.010073435467190358j),(0.0008629657181308385-0.009087311509515956j),(0.0053509730184341416-0.0088037536526112j),(0.009130137762483819-0.0022765918032595167j),(0.007137676348040025+0.0010302727583380324j),(-0.003944899125816818-0.005606204241853071j),(-0.0015166384117780867+0.00413623439272673j),(-0.001300996453597239-0.006238127870968816j),(-0.0028411732968861873+0.005270122141757629j),(0.008491112085988893-0.005033439009566758j)
"(-1.3636363636363638, -1.5)",(-0.005200261079791494+0.0017894887347797176j),(-0.0023827721739526873-0.003016301542955917j),(0.006420865131788553+0.005025548306332937j),(-0.006381889031834381-0.0005869561681769345j),(0.005956992476342328+0.0007446131222932358j),(-0.0030316717407081377+0.0009754633946942263j),(-4.619022757416497e-05-0.006090378184362454j),(-0.003125615889098808-0.009776831621457873j),(-0.008593816736488546-0.007808303176360925j),(-0.010014173772497102-0.005245751313045419j),(-0.008974284152158571-0.0048347194084205946j),(-0.008021665282824691-0.008006992902389891j),(-0.0011878776649745543-0.009998371214673441j),(0.006381754428850909-0.007899189134980123j),(0.009217070322226196-0.0026495651615691105j),(-0.0012580352287070403-0.002587861525591126j),(0.0017458661989123113+0.005775352583201586j),(-0.0013460688890639277-0.004128219124252217j),(0.0008752815760303963+0.007154436364693066j),(2.8093845109809773e-05-0.009272543498760851j)
"(-1.2954545454545454, -1.5)",(-0.0021631505466959836+0.0051969396710307356j),(-0.0031211084309755175-0.00026138743569043156j),(0.005035321893171-9.02277649664291e-05j),(-0.0013319807124833717+0.004903080404828404j),(0.0028042851427723613-0.0034928035795690413j),(-5.119396444679127e-05+0.0045412402551360505j),(-0.00695558271557615-0.003998600682322333j),(-0.009402733942128247-0.001425097617240998j),(-0.010397733772101755+0.0036347679678369422j),(-0.008480525864712587+0.00461845203971611j),(-0.010545750383059825+0.004088005826037828j),(-0.011080286963110399-9.16603992568568e-05j),(-0.006541781079349221-0.006012954998185642j),(0.0011222934612710744-0.008991139619503437j),(0.00464582468516221-0.006335542387635088j),(-0.0042666743654061505+0.0002951483626505976j),(0.006044179780288568+0.002468390806214951j),(-0.00593630831834595-0.0024541143240263035j),(0.007740752335490038+0.0018787622013810552j),(-0.004489264163200103-0.006049850184718594j)
"(-1.2272727272727273, -1.5)",(0.00258162315902353+0.0053530752945660075j),(-0.0033072657554939033+0.0014561301602471798j),(0.002656024040433037-0.008446609513761262j),(0.0029547915097362723+0.00833307905780081j),(-0.004617564877170407-0.0034026176688012697j),(0.007856921861838723+0.0013390107889102631j),(-0.006780599981434673+0.00508502041401251j),(-0.005899464740448529+0.008105930858790234j),(-0.0022076663825179718+0.011023655221954101j),(-0.0011067474882377553+0.010165747267149248j),(-0.002955413350296812+0.010602967506085557j),(-0.009094327206333885+0.008420973278164764j),(-0.00907199551820074+0.0005396668081286251j),(-0.004162531444493416-0.008177627678776929j),(0.0002480132366520968-0.006831472884978157j),(-0.004212368052448029+0.0005778991570661333j),(0.00418494617263321-0.002783840430596371j),(-0.005212587393306886+0.00042751522771622755j),(0.00710568279214454-0.000788050177003987j),(-0.0037336381742133612+0.002119641605295568j)
"(-1.1590909090909092, -1.5)",(0.005284865484596479+0.00177762145791103j),(0.0004257838149147491+0.005224257965430376j),(-0.005153165877660766-0.0023012715865822035j),(0.007748281056977963+0.001971736020279819j),(-0.00513683597819716+3.9929034141079554e-05j),(0.005019986629345989-0.004590413553206967j),(0.003261029557209767+0.00839280514132761j),(0.005504418278659383+0.010000361871570423j),(0.008997261754260487+0.008420545590492212j),(0.007667222063118485+0.006995656198963458j),(0.0053771012761590345+0.008974315473793806j),(-0.0007910896766852613+0.00876218303173879j),(-0.007861595143246856+0.0062406742360520285j),(-0.006768772694286284-0.00436122179342659j),(-0.002349645944591294-0.0064001461094675876j),(-0.0029027243880984446+0.006106961605901965j),(0.0018387377920725235-0.004305794203669115j),(-0.004435442061621988+0.0005253766215789191j),(0.00639294634260595-0.005133775236449272j),(-0.0072116567347036906+0.0047887540332099045j)
"(-1.0909090909090908, -1.5)",(0.0053672737693423855-0.0021502070764939734j),(0.0031775094049394017+0.0027920814291357747j),(-0.00795241028613567-0.0002510678393211358j),(0.005922965177784866-0.007059499482547059j),(-0.0018741833394322728+0.008230641322636666j),(-0.0011450511296187645-0.005513971204363857j),(0.00929275705839073+0.0019044252571906548j),(0.00920475400503439+0.000524693634748275j),(0.010273111296227466-0.0025101156897494475j),(0.011616023842252075-0.001964172047326198j),(0.011034132412119493+0.0019551248234362423j),(0.006090198194771335+0.007647238107159583j),(-0.0025180411983358997+0.010192770332392895j),(-0.007598414089509747+0.00047987542579082393j),(-0.005682941716450175-0.006670368023641896j),(-0.0005683379642703721+0.00616550712868268j),(0.0006617991381476526-0.00712784786163661j),(-0.0037626306537696663+0.007284972010015085j),(0.0027670999783942474-0.006479613632855971j),(-0.0015427537453978294+0.0052030180613972495j)
"(-1.0227272727272727, -1.5)",(0.0027435165647036776-0.0046448220088919235j),(0.004293249051965153-0.00032722568358580786j),(-0.005464956859600258+0.007367829324243019j),(-0.004411406556623176-0.00807609331450494j),(0.004388061062142703+0.005307952348663177j),(-0.005309117930627268-0.0006296207884414646j),(0.004825650239329148-0.006426858846071535j),(0.005222028288773605-0.009121933509443817j),(0.003657876757690528-0.009560890688808098j),(0.005672581337078349-0.00956889177586572j),(0.008508254804594065-0.00592478873258967j),(0.00940587437997305+0.001110821181211294j),(0.0030547301847611862+0.009851190347429468j),(-0.00823138561890523+0.004397677815368165j),(-0.006762090837906321-0.003871954345342893j),(0.0002619071028308217+0.005784948221450984j),(-0.0018139089610170675-0.0028052535609719743j),(-0.00031982475719752974+0.004259387245582415j),(-0.0016820755490986308-0.007330756142972952j),(-4.602994688833183e-05+0.006087631859911916j)
"(-0.9545454545454546, -1.5)",(-0.00043634321159224335-0.005879723631000786j),(0.004503133843985069-0.0026753402016926843j),(0.003938920899157757+0.00784213037444339j),(-0.008537686552902603-0.002840226994057082j),(0.006379394614914985-0.0017016500306140275j),(-0.002410151754723999+0.006280633376711668j),(-0.004766975364545286-0.009915202463982923j),(-0.005197431629735869-0.009409594467391508j),(-0.0062517908211526885-0.009128099706961677j),(-0.0038042387618917642-0.010403887058379455j),(0.0027667381241464205-0.01001921428693548j),(0.008123018787068526-0.004683092963283677j),(0.0064581283962422366+0.00795912641802735j),(-0.004780885731975502+0.006659818725381407j),(-0.006590268752466491+7.575410891542095e-05j),(0.0021698479576657717+0.0047163392665142264j),(-0.000766385750603345-0.004166316868434435j),(0.004617871465198129+0.003237680755401343j),(-0.004901182738164921-0.0006860129221783493j),(0.0072333881491164305+0.0039474119495062875j)
"(-0.8863636363636365, -1.5)",(-0.003551920301605926-0.004812452205705605j),(0.0014614677580430079-0.004683921745248122j),(0.009603357831034649+0.003668337484876964j),(-0.008267247453519392+0.005347095813437004j),(0.002505529740288924-0.008276696285523499j),(0.0023342820830333905+0.006371752218572204j),(-0.008678692033802381-0.00032975011640004804j),(-0.010484527917485135-0.00028809264303282224j),(-0.012388200522209304-0.0006610311084509705j),(-0.010875352116814455-0.004686500375500354j),(-0.004703137767787995-0.011028147153421862j),(0.0057746423301664315-0.00847920893447115j),(0.010280180133347836+0.0014809458331196007j),(-0.000983574565916285+0.008498189117092924j),(-0.00927533604873642+0.000620865058912806j),(0.004720965906462921+0.004963001116015108j),(-0.005004803613539506-0.005438547781469556j),(0.004077726095000484+0.0016044762570806691j),(-0.006687915766983854+0.0011790769728830387j),(0.005841101276749411+0.004617478240004942j)
