index,x,value
"(-1.5, -1.5)","(-1.5, -1.5)",(0.008195567031399047-0.004085047742323536j)
"(-1.4491525423728813, -1.5)","(-1.4491525423728813, -1.5)",(0.003565066267976745-0.008547863016075965j)
"(-1.3983050847457628, -1.5)","(-1.3983050847457628, -1.5)",(-0.0027993272838933393-0.008969204640868547j)
"(-1.347457627118644, -1.5)","(-1.347457627118644, -1.5)",(-0.00796066284636-0.005301411957830363j)
"(-1.2966101694915255, -1.5)","(-1.2966101694915255, -1.5)",(-0.009742497082999287+0.0007309232203019048j)
"(-1.2457627118644068, -1.5)","(-1.2457627118644068, -1.5)",(-0.007546553050831411+0.006582023135351428j)
"(-1.194915254237288, -1.5)","(-1.194915254237288, -1.5)",(-0.0023779169803701088+0.010016069763713345j)
"(-1.1440677966101696, -1.5)","(-1.1440677966101696, -1.5)",(0.003771162426981964+0.009914675009735118j)
"(-1.0932203389830508, -1.5)","(-1.0932203389830508, -1.5)",(0.008798786977423045+0.006508425275750984j)
"(-1.042372881355932, -1.5)","(-1.042372881355932, -1.5)",(0.011239706706565291+0.0010696242569157204j)
"(-0.9915254237288136, -1.5)","(-0.9915254237288136, -1.5)",(0.010634587281809665-0.004699140439983403j)
"(-0.9406779661016949, -1.5)","(-0.9406779661016949, -1.5)",(0.007478006541903286-0.009291780146007149j)
"(-0.8898305084745762, -1.5)","(-0.8898305084745762, -1.5)",(0.0028642999090406763-0.011820209116896484j)
"(-0.8389830508474576, -1.5)","(-0.8389830508474576, -1.5)",(-0.00197421928757216-0.01213972303514328j)
"(-0.7881355932203389, -1.5)","(-0.7881355932203389, -1.5)",(-0.006056784409170594-0.010713708578463122j)
"(-0.7372881355932203, -1.5)","(-0.7372881355932203, -1.5)",(-0.008864983258183254-0.008331611636061394j)
"(-0.6864406779661016, -1.5)","(-0.6864406779661016, -1.5)",(-0.01035734232449221-0.0058107379257504865j)
"(-0.635593220338983, -1.5)","(-0.635593220338983, -1.5)",(-0.010838679583060645-0.0037796500586765544j)
"(-0.5847457627118644, -1.5)","(-0.5847457627118644, -1.5)",(-0.01076553607808917-0.0025850022865250765j)
"(-0.5338983050847457, -1.5)","(-0.5338983050847457, -1.5)",(-0.010562731454475689-0.0023109343752143316j)
"(-0.48305084745762716, -1.5)","(-0.48305084745762716, -1.5)",(-0.010497556429390747-0.002867167286920251j)
"(-0.43220338983050843, -1.5)","(-0.43220338983050843, -1.5)",(-0.010624954637129865-0.0040927044812680835j)
"(-0.3813559322033897, -1.5)","(-0.3813559322033897, -1.5)",(-0.010792717646678242-0.005831230641660493j)
"(-0.3305084745762712, -1.5)","(-0.3305084745762712, -1.5)",(-0.010686191986656341-0.00795313205336154j)
"(-0.27966101694915246, -1.5)","(-0.27966101694915246, -1.5)",(-0.00989614192232593-0.010320268598439819j)
