index,x,value
"(-1.5, -1.5)","(-1.5, -1.5)",(2.094551091867074+6.048910293529794j)
"(-1.4491525423728813, -1.5)","(-1.4491525423728813, -1.5)",(4.3935605839589496+4.332471294489309j)
"(-1.3983050847457628, -1.5)","(-1.3983050847457628, -1.5)",(4.097220227819028-1.7598333428536908j)
"(-1.347457627118644, -1.5)","(-1.347457627118644, -1.5)",(3.031900440653012-4.042940596954933j)
"(-1.2966101694915255, -1.5)","(-1.2966101694915255, -1.5)",(1.486701194514224-2.089401155020618j)
"(-1.2457627118644068, -1.5)","(-1.2457627118644068, -1.5)",(-2.618880459100839-3.8116405700277385j)
"(-1.194915254237288, -1.5)","(-1.194915254237288, -1.5)",(-2.6815574720308852-1.53475118846595j)
"(-1.1440677966101696, -1.5)","(-1.1440677966101696, -1.5)",(-4.107688621109026+0.37990129296173j)
"(-1.0932203389830508, -1.5)","(-1.0932203389830508, -1.5)",(-4.568094150368536+0.18035727848953903j)
"(-1.042372881355932, -1.5)","(-1.042372881355932, -1.5)",(1.6897002995028019+2.319662772044804j)
"(-0.9915254237288136, -1.5)","(-0.9915254237288136, -1.5)",(0.02403892584177636+2.368056694923171j)
"(-0.9406779661016949, -1.5)","(-0.9406779661016949, -1.5)",(0.903568732672356+0.5916993794270854j)
"(-0.8898305084745762, -1.5)","(-0.8898305084745762, -1.5)",(1.8572757725157492+1.9617086159545525j)
"(-0.8389830508474576, -1.5)","(-0.8389830508474576, -1.5)",(0.8708112827153744+1.5230516080992142j)
"(-0.7881355932203389, -1.5)","(-0.7881355932203389, -1.5)",(4.700056597138371+0.41350939097385997j)
"(-0.7372881355932203, -1.5)","(-0.7372881355932203, -1.5)",(4.823174090667597-2.707193098932084j)
"(-0.6864406779661016, -1.5)","(-0.6864406779661016, -1.5)",(4.244147740626949-2.959742761063927j)
"(-0.635593220338983, -1.5)","(-0.635593220338983, -1.5)",(2.181551417993693-3.337751492399524j)
"(-0.5847457627118644, -1.5)","(-0.5847457627118644, -1.5)",(0.5803716828777952-2.052124451795395j)
