index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(0,)",(-0.00031199170948635006+0.000399699726437586j),(-0.00034954419061382586+0.00024619307849113256j),(0.00045345008916575805-3.1685073269500126e-05j),(-0.0004372556552195069+0.000860405561978997j),(0.0002972329870223121-0.002043712673501404j),(0.0014250412999616965+0.0016850682825765861j),(0.00020212720482042622+0.0010345883268809272j),(0.00043923208202226497+0.0017317584711512893j),(0.0011506084666308824-0.0011674116825828576j),(0.0007311834262312331-0.003071840720642747j),(-0.0004837133294171664-0.001997571975833645j),(0.00015827437782043783-0.001865496503926387j),(0.002052799458503041-0.0005002311824407478j),(0.0014119990779284958+0.00039957612232823403j),(0.00016710483107761553+0.0012506038569202785j),(0.001348918008268321+0.0003016967935481101j),(-0.00045517203141531767-0.0007277159074413962j),(-0.001076082444718707+0.00029955711683698235j),(9.511449859818231e-06-3.4404189196687103e-06j),(-0.00057267575092117-0.00027527629287647944j)
"(1,)",(-0.00034954419061382586+0.00024619307849113256j),(-0.00035932160220129633+0.0004967447057013476j),(-0.00018484702619476706-9.779495720336542e-05j),(0.0004378295915564059+0.00010009727199251793j),(-0.00012416803952945268+5.6146961493686034e-06j),(-0.0005699825003641716+0.0004447932749376455j),(0.0013559932077763003-0.0005795875293672648j),(0.0007286619135970072+0.00027462085307846155j),(-0.00015983407101125498-0.0016589252933148693j),(-0.002645366165217147-0.0010844053823842043j),(-0.0016355247059637317-0.0007822062305668839j),(-0.0003731486937363434-0.001658741811025789j),(0.0014145320305439142-0.002580500135510918j),(2.8527240731698833e-05+0.0007123679205551376j),(-0.002145034150271547+0.0013365144084121444j),(0.0002707917234327126+0.0009955433917769186j),(-9.21353433460057e-05-0.0007834734358090831j),(-0.0003529417274911791+0.00023469329536676434j),(0.00016616558344597506+0.0008473641852365057j),(-0.00044724812855939124-0.0004737702673309753j)
"(2,)",(0.00045345008916575805-3.1685073269500126e-05j),(-0.00018484702619476706-9.779495720336542e-05j),(3.280266531209285e-05+0.0004526163343895718j),(-6.212533749471636e-05-0.00012816658702876314j),(0.0002802899080793199+0.00023481521708463877j),(-0.00011816883171872048+0.00046290912564855326j),(-0.0015717489046125064+0.0001246854852118936j),(-0.0014833309096874089-0.0007999760723007938j),(-3.6790839821558133e-05+0.0012584269780716608j),(-0.000414216683947153+0.002489799988428598j),(-0.0011421831024913817+0.0020367777053096423j),(-0.0016751628455810537-0.001064135803445221j),(0.0001096070999446152-0.0008713257012528299j),(-0.001753976824439908+0.0026657560290831374j),(-0.0018407086735153083+0.0010470260535060268j),(-0.0001834567685941332+0.0003570067888878111j),(0.0022364678886224315-0.0003843264746943237j),(-9.42710692717896e-07-0.0009899091954248022j),(-0.0005975406267653278+0.0009593679043948348j),(0.0003587754232926529+0.0012016405223487844j)
"(3,)",(-0.0004372556552195069+0.000860405561978997j),(0.0004378295915564059+0.00010009727199251793j),(-6.212533749471636e-05-0.00012816658702876314j),(-0.0002857318279764124+8.752034860282761e-05j),(-2.339027775886905e-05-0.00024896066238147205j),(-6.571624498364136e-05+0.0006316322973721199j),(0.0007476533587481788+0.0002362228587838292j),(0.000719559691169609+1.2054167678177475e-05j),(0.0012204222353811587+0.00045741945999796553j),(0.0009955447022617933-0.0002328345087559395j),(-0.0001078477159948554+0.0007329450155080532j),(-0.0013808857635008397-0.0004564293933150638j),(0.0007447320798266276-0.0015938287373896483j),(-0.000710733233734674+3.4880501160771436e-05j),(-0.0014804931754332227-0.0015259296131872845j),(-7.58087800619939e-05+0.001197900360060472j),(-0.0007129100997345643+0.0019544566269634935j),(-0.0014790182314520996-0.0010639464859547056j),(-0.0011529962998354253-0.000953389689317543j),(3.787438682866131e-05-0.00024550174475088614j)
"(4,)",(0.0002972329870223121-0.002043712673501404j),(-0.00012416803952945268+5.6146961493686034e-06j),(0.0002802899080793199+0.00023481521708463877j),(-2.339027775886905e-05-0.00024896066238147205j),(-0.0002601348461164027+0.000321274131417729j),(-0.0003579442273507812-9.35176216320019e-06j),(0.00020053842853602985-0.0010635081933161833j),(-0.000976056989895033-0.001996046795059506j),(-0.000680316266987633-0.0008620643998199158j),(0.0007746475839611896+0.0003877269386540493j),(-0.0017716539946820138+0.0004204586788553232j),(2.4800653083856227e-05-0.00032511423311315074j),(0.001281730024223327+0.0007381842527473418j),(-0.0019275028482983881-0.000748689811941942j),(-0.0007053576978967452-0.0033454511037801418j),(-0.0001994433277676205-0.0009533371705431176j),(-5.463763279515837e-06+0.000957508684556883j),(0.00023909849501756777+0.0005974296430597182j),(0.0011013582317725725-0.0009391239288685247j),(0.0004551358985558723-0.0007316954303074255j)
"(5,)",(0.0014250412999616965+0.0016850682825765861j),(-0.0005699825003641716+0.0004447932749376455j),(-0.00011816883171872048+0.00046290912564855326j),(-6.571624498364136e-05+0.0006316322973721199j),(-0.0003579442273507812-9.35176216320019e-06j),(-0.00027009441416727103+0.0003486885087843374j),(-0.0003278049160199425+0.00029559361035076225j),(-0.0009462442759207765+0.00016639646046347686j),(-0.000902388765059631-0.0007302332329441862j),(-0.0009573066624173013+5.5483846058609826e-05j),(0.0003382572567614663+6.588492637552694e-05j),(0.0007918532574217603+0.0003705616707415912j),(-0.00028560116333911086-0.0002185111992742941j),(0.0005330041823328813-0.0002833505381284632j),(0.0021313713527342415-0.0003101243023997909j),(0.0006807770850812751-2.2664098977318063e-05j),(-0.0009800084476295227+0.00011893016085205534j),(-0.0002536049804060237+0.0001768629079808521j),(-0.0020060164846944823+0.0016956611968876165j),(-0.0010627028925826493+0.00223472361769563j)
"(6,)",(0.00020212720482042622+0.0010345883268809272j),(0.0013559932077763003-0.0005795875293672648j),(-0.0015717489046125064+0.0001246854852118936j),(0.0007476533587481788+0.0002362228587838292j),(0.00020053842853602985-0.0010635081933161833j),(-0.0003278049160199425+0.00029559361035076225j),(-5.4605756670248285e-05+0.00032383360600235695j),(-0.0006335174745391879+0.00023802191753490964j),(-6.589616114596083e-05-0.0004989904073710734j),(-0.0013065594273893573+0.0010298100916108315j),(-0.00046971816461114903+0.0007432233190941563j),(-0.0007795111332635469+0.0010921700955803595j),(0.00012392645027382978+0.0004313359520724635j),(0.0004984105820778973-0.0006574663622298454j),(0.00031847930945860315+0.0028917080395206647j),(0.0015229864187448004+0.0008958044962844094j),(8.226366633890857e-05-0.0015931741522800431j),(-0.0011684744903066877-0.0018342808782039852j),(-0.002823641440485892-0.0005783561354717417j),(-0.0010509323324780987+0.0008822291812270762j)
"(7,)",(0.00043923208202226497+0.0017317584711512893j),(0.0007286619135970072+0.00027462085307846155j),(-0.0014833309096874089-0.0007999760723007938j),(0.000719559691169609+1.2054167678177475e-05j),(-0.000976056989895033-0.001996046795059506j),(-0.0009462442759207765+0.00016639646046347686j),(-0.0006335174745391879+0.00023802191753490964j),(-0.00047010543872509495+0.0002772273422720861j),(1.679806576633408e-05-0.0009822551538614136j),(-6.735544135079885e-05-0.0003113190954955141j),(-0.0011322102781011112-0.0004861587571814962j),(-0.0009819443498822406-4.81128060230692e-05j),(9.437807526512373e-05-0.00022118659693474762j),(-7.226387894640596e-05-0.0003801983846600079j),(0.0017833143901259834-0.001991905334657403j),(0.0004730031638884865+0.00035257312452341487j),(-0.0002758592136501835+0.0012108150911519676j),(-0.0011987447359601822+0.0006072565147070487j),(-0.0005422061394980298+0.0010555339459073123j),(0.0009797534808120404+0.002115174436263055j)
"(8,)",(0.0011506084666308824-0.0011674116825828576j),(-0.00015983407101125498-0.0016589252933148693j),(-3.6790839821558133e-05+0.0012584269780716608j),(0.0012204222353811587+0.00045741945999796553j),(-0.000680316266987633-0.0008620643998199158j),(-0.000902388765059631-0.0007302332329441862j),(-6.589616114596083e-05-0.0004989904073710734j),(1.679806576633408e-05-0.0009822551538614136j),(-0.00015607754279958684-0.0002309683318048872j),(-0.0001693048727693406-0.00016207315568761733j),(0.0001015135799810629+0.0005195269015035881j),(5.7172560541166476e-05+0.0009571309654670189j),(0.0005662378362172525-0.0007263396169097593j),(-0.0011563383563516932-0.0013225449042753477j),(-0.0015767763871748666+0.00047998146332807874j),(-0.0003660375036837573+0.0018763983614468237j),(0.0006160705062863919+0.0017079138540332928j),(-0.00015345065777597845+0.00010364513722026995j),(0.0020644244270476755-0.0014235891003285324j),(0.0016900715997610523-0.000286463290918166j)
"(9,)",(0.0007311834262312331-0.003071840720642747j),(-0.002645366165217147-0.0010844053823842043j),(-0.000414216683947153+0.002489799988428598j),(0.0009955447022617933-0.0002328345087559395j),(0.0007746475839611896+0.0003877269386540493j),(-0.0009573066624173013+5.5483846058609826e-05j),(-0.0013065594273893573+0.0010298100916108315j),(-6.735544135079885e-05-0.0003113190954955141j),(-0.0001693048727693406-0.00016207315568761733j),(-0.0003718140347354707+0.0001372747130259892j),(-9.315150970001645e-05+1.7864329995710672e-05j),(0.00020766071102112617-7.586157431473212e-05j),(-0.00024434903418371-7.624819417827778e-05j),(-0.0001690040189142865-0.0004020973635781959j),(-2.3588740653803495e-05+0.00040138876426725894j),(0.0018417086575418181-0.0013946581291333817j),(-0.0012388859706670152-0.0001532874609831478j),(-0.001042603053699059-0.0013246487611380535j),(-9.527501400732908e-05-0.0001392326626285758j),(-0.0005879320658722997-0.0027791041576284785j)
