index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)","(20,)","(21,)","(22,)","(23,)","(24,)","(25,)","(26,)","(27,)","(28,)","(29,)","(30,)","(31,)","(32,)","(33,)","(34,)","(35,)","(36,)","(37,)","(38,)","(39,)","(40,)","(41,)","(42,)","(43,)","(44,)","(45,)","(46,)","(47,)","(48,)","(49,)"
"(0,)",(2.367384784910575e-05+4.841493431245771e-05j),(-3.281052792544158e-06+0.00010025261844950332j),(-5.91419637338701e-05+4.3632893639705914e-05j),(-0.000127476957893781-4.997288631801042e-05j),(-4.481484430454554e-05-0.00022044683610192856j),(0.00020927768027583578-0.00016245653139644752j),(0.0002251445590427954+6.227654639931833e-05j),(-1.7982467904604942e-05+0.00028105775158917114j),(-0.0001941873486912406+0.0001894778160249862j),(-0.00017199329859658355-8.074885516084385e-05j),(-7.945665167544034e-05-0.0003706765593061553j),(0.00018765050507592196-0.0001363329402493722j),(0.00022851488022343345+9.39390230662394e-05j),(2.440308326423124e-05+0.0002288497506740131j),(-0.00014709808893056286+0.0002812574822148586j),(-0.00016306021706978408+0.00027815556499718346j),(6.077890324477067e-05+0.0004473640796842673j),(0.00017031680267457302+0.0001861901929665287j),(0.0003380957877010603+3.1487130677057044e-05j),(0.00048073493871896836-0.00011412147435093661j),(0.0002538732245842299-0.0001717527978840995j),(0.00015376903355142238-0.00027709621307501185j),(0.00010474035838963297-0.000380530795196948j),(4.484670074302944e-05-0.0004595747738757841j),(2.718496252536954e-05-0.00045490890181513317j),(6.67160413678067e-05-0.0004733925124861899j),(5.733057809126411e-05-0.0003664945969418061j),(0.00012690439000141243-0.00022008978295825552j),(0.00028220788328103114-0.00022707083879814128j),(0.00028353544957780745-7.274418734982761e-05j),(0.0003835297133916543+6.465107275568131e-05j),(0.00019710655769773538+0.00022288486548508032j),(5.786170906421811e-05+0.00031200195114193833j),(-0.00016276882391688715+0.00029618304235139707j),(-0.0002081373938398041+0.00012801215286275364j),(-0.00015631237791043334+0.00014407841571458202j),(-4.655251828518125e-05+0.00038481433327782844j),(0.0003014264169914743+0.00023115654435659858j),(0.00033500094754882625-0.00017058217817834652j),(2.805132692910413e-05-0.00023521432444577445j),(-0.000238406318711172-0.00017567328806652403j),(-0.0002743972051193672+0.000105893749142025j),(-3.096645143310568e-05+0.00028719267210041165j),(0.00025572031230170086+0.00019649906545074318j),(0.0002183583729965195-8.992730950586849e-05j),(2.908993779118951e-05-0.00022173964042848454j),(-0.0001539015031363614-0.00012717605410637352j),(-9.250149300126217e-05+2.7583048495296598e-05j),(-2.3511739911841858e-05+8.279379194575034e-05j),(2.768786361741211e-06+1.7382512187518445e-05j)
"(1,)",(-3.28105279254416e-06+0.00010025261844950332j),(4.141854360625631e-05+0.00015545272872369626j),(-0.00010366444597757933+0.00013204208464857753j),(-0.00023452950401462366-1.565688766714317e-05j),(-0.00011907051464354653-0.0002632842248574801j),(0.00018608038559260465-0.0002713724207999377j),(0.00034344067316705246+2.1773404836140315e-05j),(0.00019063299471883547+0.00036869764464295287j),(-0.00020534662522376623+0.00030153744982469013j),(-0.0003833146882359571-1.7711107166187515e-05j),(-0.00025354815064501136-0.00045172726038606706j),(0.00023800165095361642-0.0003711481673308382j),(0.00044186829109554794-1.952107548239876e-05j),(0.00022148887656362338+0.0004897349070188471j),(-3.901041886315285e-05+0.0005196165674941343j),(-2.3774174883902756e-05+0.000496752553778695j),(0.00030593291817475094+0.00048321845718470166j),(0.00046566801746063496+0.0002533666894810819j),(0.0005724896233702733-9.811630232100008e-05j),(0.0004675850917588701-0.0003966653489240053j),(0.00024837093704660837-0.00040236452771663303j),(0.0001179510670018956-0.0005965067615963619j),(-4.032960756636239e-05-0.0005400658577218048j),(-0.0001087953072596102-0.0005244286149069698j),(-0.00015074980523595893-0.0005841073191504196j),(-9.102893588321863e-05-0.000550918943805759j),(2.37310374794954e-05-0.0005686746824597727j),(0.000184997945692227-0.0005259796806192174j),(0.0003920651283290821-0.00044752997174172317j),(0.0005678641173378342-0.00024923464399320407j),(0.0005604940844583647+0.00010034577701668944j),(0.00045225660003738485+0.00043694325234599335j),(9.52396810363933e-05+0.0006358534022908289j),(-0.0002653743678363858+0.0005156370506394129j),(-0.0004691641525870591+0.0002472839274341133j),(-0.00041781873072546736+0.0003063722580801288j),(-6.581673339399235e-05+0.0005339661138538291j),(0.0004901313884095001+0.00034592560970725134j),(0.0004790200049505196-0.00021216096904778768j),(4.295798799681598e-05-0.0004471823204916668j),(-0.00037476848851609817-0.00033342177626676764j),(-0.00041047169138974356+0.00017030038837931424j),(-5.336890082336257e-05+0.0003603990131927465j),(0.0003572449337590709+0.0002622610996222334j),(0.0003198655425759909-0.00010334905793412446j),(5.9404868225521536e-05-0.00028394623195451596j),(-0.00016774860051652462-0.00018204891280760568j),(-0.0002437833952604803+3.551074899088078e-05j),(-0.00011180718646611145+0.00017517190810552592j),(-1.99722367986495e-05+7.146850888289116e-05j)
"(2,)",(-5.91419637338701e-05+4.3632893639705914e-05j),(-0.00010366444597757933+0.00013204208464857753j),(1.194068380602222e-05+7.857893201499887e-05j),(-6.259705316419162e-05+8.550725018126657e-05j),(-0.0001512156742129284+1.0819916404036716e-05j),(-0.00010299555252972286-0.00016695444376617965j),(9.61260106788639e-05-0.0001489371706692319j),(0.00022759741752490466-3.957706831787458e-08j),(0.0001266362240771926+0.000265068622493043j),(-0.0001559356586206688+0.00025318518228395807j),(-0.0003089171353685378-1.75239575827636e-06j),(-0.00012856528648614972-0.0002231279682888674j),(0.00018553936807267973-0.00022178865920076738j),(0.00028843812833055594-7.779593053262408e-05j),(0.00026434459079520113+0.0001430661953030235j),(0.00027770579216083427+0.00012212941924393393j),(0.0002921942019557359-3.2351306610654254e-05j),(0.00026011566478495815-0.00029457728669594695j),(5.439395846935809e-05-0.0003649486747953206j),(-0.00010024865182712681-0.00030328947422058385j),(-0.00018459850838387955-0.00029088075067049943j),(-0.0002721635939594824-0.00020253195891098863j),(-0.00033701994277909766-0.00017773303042358692j),(-0.0004003127064796936-0.00020714180603815838j),(-0.00034835467671070694-0.0002045541070493482j),(-0.00026498782472528075-0.00026804288527884884j),(-0.0001706723847760051-0.00035394608663355754j),(-4.087151628604307e-05-0.0004144217940639071j),(0.00015149834968829318-0.0003286268105479458j),(0.0003811717500072115-0.0002726296882973661j),(0.0004149893557990049-1.2535482103820359e-05j),(0.00027153061630029386+0.0002473641554889085j),(4.7341051563722726e-05+0.00038473010257541876j),(-0.00021240071229447518+0.0003246764186895989j),(-0.0002363106539382032+0.00012245840489574197j),(-0.00024944017611041626+0.00020201636734427903j),(-5.1461544201891715e-05+0.0003613008652753794j),(0.00030937016366221833+0.00021005888930360976j),(0.000350464918190551-0.00014236030295527356j),(3.704328383149306e-05-0.00033661466757287133j),(-0.00024033660615652977-0.00025292014884367974j),(-0.00033127921680826483+8.816710032745377e-05j),(-8.985534507604536e-05+0.00030852284465239565j),(0.00018155441109797037+0.00019401431295012765j),(0.00022242093834931888+3.706249982053066e-07j),(0.00012636956873551792-0.0001754300291964415j),(-6.218878050099913e-05-0.00019366130678059634j),(-0.00018169448378402888-8.756246411192086e-05j),(-0.00018436229033130718-4.538739275356117e-06j),(-9.229226033363296e-05+2.6117419455966696e-05j)
"(3,)",(-0.000127476957893781-4.997288631801042e-05j),(-0.00023452950401462366-1.565688766714317e-05j),(-6.259705316419162e-05+8.550725018126657e-05j),(8.689221966219221e-06+7.203501325456246e-05j),(-6.913255016772937e-05+7.393293773999782e-05j),(-0.000126973274983844-1.4474529921368467e-05j),(-0.00010996086889928717-0.0001604595933502542j),(0.00010495676736864235-0.00016591151632879987j),(0.00018579629533791467+1.4112154872816142e-05j),(0.00011938870318684507+0.00022810794182533847j),(-0.00013492237803749786+0.00022786784197664165j),(-0.00032538723312649956+2.2400026914362123e-05j),(-0.00021667952999098887-0.00029095204043932976j),(0.00010141979236296674-0.00030770697930174775j),(0.00027575817369427584-0.00020259609070506486j),(0.0002135778604817492-0.00016060994243427036j),(9.008087972504345e-05-0.00030671374333729565j),(-9.779030428907049e-05-0.00034235827011220454j),(-0.00022076727487235835-0.0002461431734989069j),(-0.00036469774162579705-0.0001225563005672612j),(-0.0003517818308552104-3.259541264535537e-05j),(-0.00032516410102801095+4.526567471562397e-05j),(-0.0003415083222366861+9.226937301255592e-05j),(-0.0003739555464554204+8.09969984892121e-05j),(-0.0003054091179613544+1.4335741491985763e-05j),(-0.0004013468333633657-0.0001116916058634126j),(-0.0002810615081884661-0.0002423553825538845j),(-0.00010986864692824262-0.0002930621018958873j),(8.778811030859648e-05-0.00037911240644245746j),(0.0003425228602691371-0.0003184098040020681j),(0.00038669359835886725-1.3880695219618919e-06j),(0.00034544039577360673+0.0002663176372366433j),(6.9924312110625856e-06+0.000444859336719826j),(-0.0002570552173150673+0.0002985439844382475j),(-0.0004252971016292613+0.00010656988706249795j),(-0.0003360924494158342+0.00015523137013404107j),(-0.00011290925574461834+0.0003466211678244998j),(0.00019701820810701537+0.00024742226259973467j),(0.00040096801585002645-2.8607466164176104e-05j),(0.0001694562666232757-0.00028268800843377957j),(-0.0001626504817836206-0.0002929201230075596j),(-0.0002701399390858843+8.590557514684437e-07j),(-0.00016319800577910268+0.00019949515059354526j),(5.94029351470848e-05+0.00027264049248296667j),(0.000263541207847068+8.129731438066312e-05j),(0.0002461645209411151-0.00010235737514299261j),(8.423424444801658e-05-0.00023150329592028224j),(-7.241544757149475e-05-0.00021294835054281374j),(-0.00011821270759198671-0.00013986134876057938j),(-0.00011590016065838102-0.00010944372050581978j)
"(4,)",(-4.481484430454554e-05-0.00022044683610192856j),(-0.00011907051464354653-0.0002632842248574801j),(-0.0001512156742129284+1.0819916404036716e-05j),(-6.913255016772937e-05+7.393293773999782e-05j),(1.3749327219854848e-05+8.893132886424703e-05j),(-8.099246059975967e-05+9.08596455633116e-05j),(-0.0001454740249492973-8.115703441346193e-06j),(-7.765960411071628e-05-0.00014327243846101677j),(6.767572824160007e-05-0.00019090822842535203j),(0.00020715964753874726+4.366417224434963e-06j),(0.0001093617041819892+0.00019677184284316905j),(-0.00010480003426355521+0.0002017759930559124j),(-0.0003186740221398366-1.3297069844776404e-05j),(-0.00017893280736241843-0.00028304304603336025j),(1.3888490373944425e-05-0.0002798106011850186j),(-6.673207202366421e-05-0.00029808382604115316j),(-0.0001983293151073615-0.000234613828719143j),(-0.00037602553402110733-8.33639187707776e-05j),(-0.00037530161735376173+6.732778058067127e-05j),(-0.0002873083687287075+0.0002149459457045498j),(-0.00020346987218724662+0.0002165430097099498j),(-0.00018655028388220657+0.0003118926332577592j),(-0.0002068447289677906+0.0002732304673299255j),(-0.00023921354589695443+0.00022255795722305496j),(-0.0003103229672780885+0.00019166744410441946j),(-0.0003744870900692832+5.7875223939077985e-05j),(-0.0002938468898723443-0.00014058228878256897j),(-0.00021056085271726585-0.00033581959871736643j),(4.2548051763074085e-05-0.0004138819783288782j),(0.0002890873075562011-0.00028604036533289007j),(0.0003523106768590691-1.5373274338074693e-06j),(0.0002803925325293293+0.00030163929902865007j),(-5.769525474255697e-05+0.00042814090646192514j),(-0.00032614816529324877+0.00021010406446653147j),(-0.00027005669282802755+1.2201029373075104e-05j),(-0.00033091022982535754+7.588063935048758e-05j),(-0.00019265784774751734+0.0002710953262646637j),(0.00014239921451871483+0.00037553539184314954j),(0.0003511813756118917+7.5362629404884e-05j),(0.00026240561467577735-0.00025343102267328375j),(-8.230784902956906e-05-0.00033349549844921724j),(-0.0002920340724753823-0.00014937027627367978j),(-0.00034527170296222177+0.00014643455438190632j),(-6.370196956518425e-05+0.00027485093018807694j),(0.00014317494038871938+0.00025504735378155597j),(0.00027550245413011465+0.00010234143966709859j),(0.00023792057939047708-7.733940545634139e-05j),(0.0001816449658034842-0.00020745111330064002j),(0.00011272920105151777-0.00024368418052117286j),(2.6922366491039066e-05-0.00010577491031255145j)
"(5,)",(0.00020927768027583578-0.00016245653139644752j),(0.00018608038559260465-0.0002713724207999377j),(-0.00010299555252972286-0.00016695444376617965j),(-0.000126973274983844-1.4474529921368467e-05j),(-8.099246059975967e-05+9.08596455633116e-05j),(5.215519570013904e-06+8.307694285566612e-05j),(-7.126805989463353e-05+7.515251816574587e-05j),(-0.0001422657322803257-8.05117014240477e-06j),(-8.876271281028335e-05-0.00015591837959198548j),(9.192130015499979e-05-0.00013820311719816121j),(0.00023023012246879067-2.00994462865158e-05j),(8.413979245312631e-05+0.00021576659884580337j),(-0.00011934577357139343+0.000210982197607722j),(-0.0002700684894038846+5.528079879411802e-05j),(-0.00021584683766761204-0.00011725992326466882j),(-0.00020386331616064027-8.967011503510529e-05j),(-0.0003699467167152107+2.5301116402355295e-05j),(-0.00022992661214915676+0.0001936869515527816j),(-0.00015061847472673382+0.00033804151414919075j),(5.231615135582922e-06+0.0003239699393717335j),(2.056190348372768e-05+0.0003355538371030171j),(5.1235992526010144e-05+0.00032398041450974253j),(-5.7117142991307025e-06+0.00032464701107782324j),(-8.964404725717491e-05+0.0003089046100409262j),(-0.0001784198051816832+0.0002345783050033851j),(-0.0003012091853869664+0.00013317917921836355j),(-0.00037167437453849354-8.948933873009592e-05j),(-0.00019528483053615124-0.0002586305229869256j),(5.417924192380405e-05-0.000407290070354856j),(0.00025936087025821107-0.00024007265626102423j),(0.00040461704995456546+7.589186389876059e-05j),(0.0001784873280955887+0.0003455057483934584j),(-0.0001237396091284713+0.00038286264112856764j),(-0.0003454551845842059+0.00013625038397379965j),(-0.0002436695781654888-7.774732285826065e-05j),(-0.0002876167430398292-2.7484342473894922e-05j),(-0.0003719685766143206+0.0002380124365373321j),(-1.6586024465524824e-05+0.00035765190043422713j),(0.0002646589356917766+0.0002044782529964683j),(0.00035432909856759686-0.00012439986303541405j),(0.0001120084141562821-0.0003648452692626377j),(-0.0001905214724888388-0.000319054139564777j),(-0.0002769998338154847-5.086724304351862e-05j),(-0.00021428888532795654+0.00019635742286853745j),(-6.867160873247231e-05+0.000301609005335117j),(0.0001389236633237684+0.00018971132077228613j),(0.0002376088300351077+0.0001253069677286694j),(0.0002534554756704306+5.0894512542050533e-05j),(0.00022608792950709036-2.0152593751189504e-05j),(0.0002008035856011796-4.8605912285712325e-05j)
"(6,)",(0.0002251445590427954+6.227654639931833e-05j),(0.00034344067316705246+2.1773404836140315e-05j),(9.61260106788639e-05-0.0001489371706692319j),(-0.00010996086889928717-0.0001604595933502542j),(-0.0001454740249492973-8.115703441346193e-06j),(-7.126805989463353e-05+7.515251816574587e-05j),(1.583304017216941e-05+8.796695548933395e-05j),(-5.101156079996513e-05+6.4631610016188e-05j),(-0.00011661436311848414-1.0511746919355909e-05j),(-0.00011047847342926567-0.00014122951805044346j),(9.08012886517826e-05-0.00019874460720919844j),(0.0002089559455775228+1.3411146682555314e-05j),(0.00014395181796730738+0.00021128905899720063j),(-0.00013648765713255816+0.00025139865073721705j),(-0.00028668298672200566+0.00016362113246555984j),(-0.0002171258492726978+0.00018075805728748248j),(-0.00014657318671714377+0.00029529918196099234j),(4.100962343386775e-05+0.00027346641566385803j),(0.00012807434900980182+0.00025219837795162835j),(0.0002005261177365445+0.00020910670167556878j),(0.0002441151364823568+0.0002218519362792539j),(0.00023774681755671614+0.00023929330986743297j),(0.0001882828477777107+0.00030642211446238937j),(3.139011415360274e-05+0.00027318566480420404j),(-0.0001267193781783253+0.00032192370784227996j),(-0.0002473541787182244+0.0001341525619563888j),(-0.00036047564093773677-3.695858416419519e-05j),(-0.00017686755477244303-0.00027368053016914843j),(6.39489692654986e-05-0.00033006303227157405j),(0.0002917491877835279-0.00015110714912320498j),(0.0004140493974689157+0.0001654769498200935j),(0.00013115033877684714+0.0004049097044617741j),(-0.0002405995650400876+0.0003311078705614005j),(-0.00034440147096658657+2.8128542080835917e-05j),(-0.0002987433157238439-0.00024588881529063946j),(-0.0003176637015913544-0.0002097912787199765j),(-0.0004194286068551976+6.538918311557012e-05j),(-0.00014293142190876582+0.0003656577764469777j),(0.00015932585592514194+0.00030431828979661464j),(0.0003897161476901043+7.937382822688695e-05j),(0.0002829286329268441-0.00020193804569325764j),(6.7358570128788395e-06-0.00032572699103966226j),(-0.00019638918489015315-0.00027180933661737343j),(-0.0003329981115855695-5.233969812063004e-05j),(-0.00026910537736603464+0.0001697479233261988j),(-0.00010337950572147433+0.00027141559156410364j),(6.259666774773515e-05+0.00032708715363090736j),(0.0001603694901438686+0.00027591562275465205j),(0.0002163625648245736+0.0002520957424944601j),(0.00010147766266927784+0.00010276223671879266j)
"(7,)",(-1.7982467904604942e-05+0.00028105775158917114j),(0.00019063299471883547+0.00036869764464295287j),(0.00022759741752490466-3.957706831787458e-08j),(0.00010495676736864235-0.00016591151632879987j),(-7.765960411071628e-05-0.00014327243846101677j),(-0.0001422657322803257-8.05117014240477e-06j),(-5.101156079996513e-05+6.4631610016188e-05j),(5.94803564671703e-06+7.070770695893588e-05j),(-5.448455852456808e-05+7.12936704965069e-05j),(-0.00014166202135756657+5.942285639527438e-06j),(-9.783059256922487e-05-0.00017799417154734214j),(0.0001353969983616517-0.0002021667362025649j),(0.00023711560039666344-1.786071920968538e-05j),(0.00013158422852626927+0.00020515643674185136j),(2.288983020720408e-06+0.00017817581468938803j),(3.261447953701283e-05+0.00023789534776802806j),(0.00013281296114660808+0.0002060274918521595j),(0.0002798683075744205+0.0001421869569671015j),(0.00032442762648119555+2.015793339121257e-05j),(0.00032489251890030745-1.0572501447824324e-05j),(0.00029944420329574417+8.272311818617274e-06j),(0.0002409643182534897+7.154525725626099e-05j),(0.00023484710019452853+0.00017013328400472758j),(0.00011845479743814532+0.00029196183311642907j),(-8.267708140061786e-05+0.00025165841032176944j),(-0.00027241335914503424+0.00019979970198321718j),(-0.0002958989067989297-9.03367004408033e-05j),(-0.0001960862789377108-0.0003392976886318698j),(0.0001462087541189511-0.0003471646192106166j),(0.0003324379556584533-4.672730202912463e-05j),(0.00033499357387842445+0.000281378586934078j),(-3.0392818444288802e-05+0.00038609083044549027j),(-0.000339383836665343+0.00020068221660280417j),(-0.00042643624172524484-0.00011633984993929643j),(-0.00017658067812691822-0.0003108028279904938j),(-0.00021646030698349177-0.00026838415950515494j),(-0.0003388226371579126-9.331640004299101e-05j),(-0.00034622249823211814+0.00022170973214307268j),(-4.182993296401786e-05+0.0004543506715902195j),(0.0002712727372740304+0.0002820739228507094j),(0.00038065820176236243-4.069056572250095e-05j),(0.0002499510154232294-0.0002495009830362325j),(-6.732118281990014e-06-0.00031185150006091323j),(-0.00023245744295757553-0.00029213585418127276j),(-0.00039240511776829443-8.352983046551818e-05j),(-0.0002973615991008978+9.671488186622379e-05j),(-0.00028611095553830555+0.00023110659812477138j),(-0.00016065811613470132+0.0003060788415835726j),(-9.665847481901315e-05+0.0002137618454604463j),(-5.0480843964982804e-05+0.00023893163776121583j)
"(8,)",(-0.0001941873486912406+0.0001894778160249862j),(-0.00020534662522376623+0.00030153744982469013j),(0.0001266362240771926+0.000265068622493043j),(0.00018579629533791467+1.4112154872816142e-05j),(6.767572824160007e-05-0.00019090822842535203j),(-8.876271281028335e-05-0.00015591837959198548j),(-0.00011661436311848414-1.0511746919355909e-05j),(-5.448455852456808e-05+7.12936704965069e-05j),(1.5326739943519216e-05+8.818812921735409e-05j),(-7.537916453705766e-05+8.866744485585748e-05j),(-0.00014411547025894395-2.4535262479647167e-05j),(-0.00010297611043779088-0.00013325664645246697j),(0.00011055926244437061-0.00017949767403533352j),(0.00023498117007720917-1.7171487688393496e-05j),(0.00019140323025011407+0.00011064863405788522j),(0.00021366437713434734+9.735744297855538e-05j),(0.00029252987394892037-3.28447754668482e-05j),(0.00020052709820109625-0.0001266916777448583j),(0.00016856983343280292-0.00017406676058619224j),(0.00019092257414596796-0.00019542703176115168j),(0.00022850881498102032-0.0001344597814785275j),(0.00027872873596716834-5.331711216905997e-05j),(0.000274749699974284+0.00013067512373761623j),(0.00013705190432011696+0.00025522453358168174j),(-0.000106143865460157+0.00031080626320784967j),(-0.0002642946702960363+0.00013436188670361496j),(-0.00030004229641929095-0.00010204351419433411j),(-4.6521152120327494e-05-0.00035282818432849953j),(0.0002034950163794941-0.0002741277908531137j),(0.0003411445492035983+1.3149426577158422e-05j),(0.0001618403245461517+0.0003751168742290059j),(-0.00014285059312468408+0.0003136683919088654j),(-0.0003920578550078142+2.662750674255991e-05j),(-0.0002990758061542258-0.0003681217310005723j),(-1.46253100970339e-05-0.00037895238116725645j),(-3.7502335841787324e-05-0.00042588286587815193j),(-0.00027204146195933265-0.00028170064027473776j),(-0.0003917128969469193+5.025524896565768e-05j),(-0.00028575826246727545+0.0003363163796658798j),(4.6500269150841966e-05+0.0004139158394460577j),(0.00033438482179690767+0.0002610170033170218j),(0.0003681585797543211-1.700576637396693e-05j),(0.00025543617951696054-0.00029681524922925016j),(0.00010035328507674892-0.00041680235976313234j),(-0.0001606738204140765-0.0002818344155323375j),(-0.00030533541850536605-0.00021003769274356718j),(-0.00029131603445193204-9.75891070895656e-05j),(-0.0003470126045943674+1.2601150981380859e-05j),(-0.0003080334417382729+7.153420148524994e-05j),(-8.84716252473085e-05+2.3641992429655206e-05j)
"(9,)",(-0.00017199329859658355-8.074885516084385e-05j),(-0.0003833146882359571-1.7711107166187515e-05j),(-0.0001559356586206688+0.00025318518228395807j),(0.00011938870318684507+0.00022810794182533847j),(0.00020715964753874726+4.366417224434963e-06j),(9.192130015499979e-05-0.00013820311719816121j),(-0.00011047847342926567-0.00014122951805044346j),(-0.00014166202135756657+5.942285639527438e-06j),(-7.537916453705766e-05+8.866744485585748e-05j),(1.0101281377351237e-05+7.47587757551837e-05j),(-6.795399353759585e-05+7.432588391847597e-05j),(-0.00013647216196664068-8.60105503559727e-06j),(-0.0001203985312138142-0.00015631419627704551j),(0.00010368539178467386-0.0001815683550572267j),(0.0001314678652352188-8.701692372061589e-05j),(0.0001481816962694398-9.06664686842007e-05j),(0.00014222200764882562-0.0002223320543766989j),(3.0279640940552147e-05-0.0002620832237100687j),(7.780416486171648e-06-0.00021978410661682658j),(5.4361662627248166e-05-0.0002525954813408609j),(0.00015827501537486884-0.00022505552847759512j),(0.000274112240820229-0.00011214089112603869j),(0.0002581314611489737+0.000105269095251454j),(9.423153287501981e-05+0.00027380365217040105j),(-0.0001539449725472766+0.0002713423478685844j),(-0.00031909562762622934+6.997513055081314e-05j),(-0.00023357324914660634-0.0002210241690764378j),(3.4753334448136175e-05-0.00034236709198964696j),(0.0003144450557716427-0.00016218561793682245j),(0.0003628590188595988+0.00020747952170306974j),(2.1133364128095764e-05+0.0003649833782804495j),(-0.0003284937867877443+0.00021705395860755497j),(-0.0003974832901248478-0.00013617773624291014j),(-0.00011330448457854718-0.0003263820597509997j),(0.00014231724016833798-0.0002838056481785871j),(0.0001574533466178397-0.00034523908863776624j),(-5.950617416386894e-05-0.00042306097090852876j),(-0.0003723475748610123-0.00019085550363671935j),(-0.0003703292801854132+0.00011533071867015687j),(-0.0002000348533633871+0.00036690434206805843j),(7.783788081640326e-05+0.00039185016227838855j),(0.000279057773903461+0.0002487165767277714j),(0.0003812530523255758-2.3237972249429807e-05j),(0.0002815413092407891-0.00021270774346792757j),(0.00014545521086916632-0.00030465197753226j),(-1.4667617833235719e-05-0.00037491393013532634j),(-0.00012863761797264134-0.00037194510961183826j),(-0.00016824997967859138-0.0002841251052276856j),(-0.0001784731564796007-0.00017324389696349367j),(-5.8667106675837786e-05-5.418920678024627e-05j)
