index,cp
"(0, (0,))",(-0.23715396598240335-0.15846238781199684j)
"(0, (1,))",(-0.044893309698698036-0.24136214142209866j)
"(0, (2,))",(-0.01589784416401929-0.24812245393764715j)
"(0, (3,))",(-0.14291320741722166-0.18516521174651582j)
"(0, (4,))",(-0.1967400986915433+0.06910007391714544j)
"(0, (5,))",(0.09722229473095986+0.15554626521186599j)
"(0, (6,))",(0.06866062743099513-0.15271363804222232j)
"(0, (7,))",(-0.15652010354093743+0.05228879983836484j)
"(0, (8,))",(0.1477045086891377+0.09712880169072192j)
"(0, (9,))",(0.042868491898896056-0.1949503319662114j)
"(0, (10,))",(-0.21315686792488303-0.07538756475230887j)
"(0, (11,))",(-0.21752646357055935+0.1138126979473321j)
"(0, (12,))",(-0.2049288925145382+0.1407893554565402j)
"(0, (13,))",(-0.2338937133492118+0.002017758936679668j)
"(0, (14,))",(-0.06721053411498176-0.19739359349404462j)
"(0, (15,))",(0.18237541594563103-0.019647464792484925j)
"(0, (16,))",(-0.07766533907768336+0.14833688721709581j)
"(0, (17,))",(-0.05558184938228978-0.1553812067794782j)
"(0, (18,))",(0.1676277410399222+0.056138814013371445j)
"(0, (19,))",(-0.12681191299853647+0.15414953212083862j)
"(1, (0,))",(-0.2711184315580349+0.08858401662700624j)
"(1, (1,))",(-0.21752646357055913-0.11381269794733187j)
"(1, (2,))",(-0.20492889251453839-0.14078935545654028j)
"(1, (3,))",(-0.23389371334921188-0.002017758936679537j)
"(1, (4,))",(-0.06721053411498148+0.19739359349404445j)
"(1, (5,))",(0.1823754159456309+0.019647464792484734j)
"(1, (6,))",(-0.07766533907768322-0.14833688721709543j)
"(1, (7,))",(-0.055581849382289814+0.15538120677947773j)
"(1, (8,))",(0.16762774103992242-0.05613881401337136j)
"(1, (9,))",(-0.12681191299853628-0.15414953212083835j)
"(1, (10,))",(-0.19096841448152715+0.12103801028289107j)
"(1, (11,))",(-0.044893309698698036+0.24136214142209902j)
"(1, (12,))",(-0.015897844164019282+0.24812245393764704j)
"(1, (13,))",(-0.1429132074172214+0.18516521174651585j)
"(1, (14,))",(-0.19674009869154346-0.06910007391714533j)
"(1, (15,))",(0.09722229473095982-0.15554626521186626j)
"(1, (16,))",(0.06866062743099514+0.15271363804222265j)
"(1, (17,))",(-0.15652010354093793-0.0522887998383653j)
"(1, (18,))",(0.14770450868913781-0.09712880169072169j)
"(1, (19,))",(0.042868491898895966+0.19495033196621178j)
