index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(-3.0, -3.0)",(0.0077593079004854605+0.004427507066952597j),(-0.0004701408354875253+0.0075769166935303126j),(-0.004765927502414651+0.006320774032814038j),(-0.004765927502414651+0.006320774032814037j),(-0.00047014083548752245+0.007576916693530312j),(0.006195843518370284+0.0033492885788634764j),(0.0027411005337365413-0.005828256400000697j),(-0.005978399647477522+3.548489187659037e-05j),(0.003755354109386418+0.004483421136467596j),(0.0008290104279445283-0.006172332149082312j),(-0.006645243365371877+0.0028428994042607974j),(0.0038532660823772497+0.007783820029760039j),(0.00963661024182612+0.002162934490707761j),(0.009636610241826125+0.0021629344907077505j),(0.003853266082377251+0.0077838200297600255j),(-0.006645243365371879+0.002842899404260815j),(0.0008290104279445251-0.006172332149082327j),(0.003755354109386425+0.0044834211364676085j),(-0.005978399647477518+3.548489187660129e-05j),(0.0027411005337365274-0.005828256400000697j)
"(-2.877551020408163, -3.0)",(0.008775761225367648-0.0018807521016057766j),(0.00453495773134102+0.006132928968607685j),(0.00013477250701291146+0.00796921781615695j),(-0.00017590840043578052+0.007991084701822023j),(0.0038333221322216734+0.006664662354120317j),(0.007142006131347808-0.00035403020269564285j),(-0.00046453904956716155-0.006528582566443472j),(-0.0053503169599587825+0.002856197257481485j),(0.005432348696976262+0.0023122228685128086j),(-0.002096910677000317-0.005882207119725922j),(-0.004446772850279401+0.00568063308645807j),(0.007348052060514983+0.0046264519888104235j),(0.00921353036612123-0.003768760412467907j),(0.00905242419137826-0.004367269356021275j),(0.008220330606252118+0.003373564291338277j),(-0.0029421403676131467+0.006777452449440166j),(-0.003793405598505925-0.005074944157915539j),(0.005890260342867689+0.0005573392415770686j),(-0.004292025309881883+0.004222873467989679j),(-0.0020020797405069504-0.0061523675601912655j)
"(-2.7551020408163267, -3.0)",(0.005374032900141984-0.007238129639862351j),(0.007432855090922615+0.0018580251032706127j),(0.004976995178573801+0.006292356497670986j),(0.004489563415269816+0.00670445939453663j),(0.006911750666661176+0.003583837270938735j),(0.006074419378760668-0.003976213732726149j),(-0.003561440624254291-0.005618796931318137j),(-0.0035490063813265024+0.005028655688523203j),(0.005955625272623783-0.0002883104891179419j),(-0.00447744229765192-0.004379215668825569j),(-0.001320298760562531+0.007075294111264578j),(0.008667311248187268+0.0003024140689762062j),(0.005606350437080218-0.008309362428725547j),(0.00461171366528505-0.009126373912121951j),(0.008636232638351832-0.002850475300326185j),(0.0024977442174215323+0.007133851942787606j),(-0.006365630388117488-0.0010424523473362148j),(0.004667369333388387-0.003750962349118874j),(-0.0001811101273574232+0.00606196860710333j),(-0.005671793594055319-0.0031721810211255775j)
"(-2.63265306122449, -3.0)",(-0.0006621811044790677-0.009029195039929196j),(0.00697993336084147-0.003235725284026585j),(0.0078005680951675795+0.0020796238160346904j),(0.007558604458483344+0.0030299516615281703j),(0.007858774287775427-0.0006147330297480542j),(0.0033831411153879723-0.00654858466398904j),(-0.0058366946617962635-0.003415432832356642j),(-0.0010451426450645994+0.006160333242138677j),(0.005349513074657122-0.002770772569103613j),(-0.0059161955179330705-0.002114328169055634j),(0.001922878947514708+0.006915659292380628j),(0.007720699626578213-0.003907283622292354j),(0.00026438845080477887-0.010079157164687684j),(-0.0017302050339794732-0.010253607012507233j),(0.00493399120475163-0.00789717576939028j),(0.00679374520430361+0.0037050142121146244j),(-0.005443314612942012+0.003681791330270913j),(0.0007921897375595141-0.006010470542551169j),(0.004053660611132803+0.0045705549825385645j),(-0.006358095848955692+0.0014737931465416978j)
"(-2.510204081632653, -3.0)",(-0.006362798110928143-0.006491894410128221j),(0.0034861266418920057-0.006891342703303172j),(0.0075751999379781105-0.0029266725465509663j),(0.008043915801348112-0.0016729201321086192j),(0.0064954796713432685-0.004634790185946184j),(-0.00015783763001952133-0.007481156034988106j),(-0.006857896688562698-0.0004893393091329421j),(0.0016208961559467533+0.006134820522840564j),(0.003855365775336048-0.004714003597754162j),(-0.00629129491953311+0.0004018061716828737j),(0.004618723009588163+0.005466087216496219j),(0.005039943142373028-0.006998530076663125j),(-0.0050136992268499485-0.008801514409374702j),(-0.007450015046403389-0.007496171305388755j),(-0.001133121574567402-0.009469775795864565j),(0.007732803670155976-0.0017519047411048464j),(-0.0015240088703206548+0.006524352166685334j),(-0.0035806113315278686-0.0049888152899359665j),(0.0061248088260719815+0.0006065992905688334j),(-0.003778134111577278+0.005355490374752467j)
"(-2.387755102040816, -3.0)",(-0.009075874677413637-0.000943735181024179j),(-0.0014542784092582191-0.007612027218100332j),(0.004511599369749834-0.006806571540554343j),(0.005905567232588738-0.005813200291789285j),(0.003327720918266259-0.007357903225684662j),(-0.003654495991791117-0.006658698805474465j),(-0.00652249359431625+0.0025149033195595565j),(0.00397085503823317+0.005077453364138287j),(0.0018274454511409063-0.0058813086122555605j),(-0.005709679292236828+0.002727513469703444j),(0.006373443304429874+0.003201390601065206j),(0.0014756868780150035-0.008458589647014953j),(-0.008747420177350178-0.005172583482971199j),(-0.010530086102474046-0.0020793178313962333j),(-0.0068653634031657544-0.006952028225781239j),(0.004854026019302807-0.006522355113394375j),(0.0033123876539045563+0.005980310201712811j),(-0.006093255752042885-0.001264808282103332j),(0.004980511791005745-0.0036951135780686015j),(0.0006866900320986728+0.006544774475152016j)
"(-2.2653061224489797, -3.0)",(-0.007673545863136728+0.004997441521923629j),(-0.005757095291465954-0.0052233182244256285j),(-0.00015042189638521714-0.008206636190947664j),(0.0019479019170085391-0.00812453292165675j),(-0.0006976256857576703-0.008140250564887852j),(-0.006336992020689779-0.004389737807063096j),(-0.005015344701332072+0.005036749020123374j),(0.0056725026498535246+0.0032741930307270406j),(-0.0003674417560254626-0.00622040069616627j),(-0.00442080281680983+0.004563625807575693j),(0.007078301399973034+0.0006367612689980283j),(-0.0021147268573912504-0.00827289576849696j),(-0.010170970037245874-0.00042649521920095994j),(-0.010133228411338461+0.003990269006992992j),(-0.009897180886408542-0.001503311422334671j),(-0.00044431806897961106-0.008331848104472852j),(0.006577023369043438+0.002341605439649016j),(-0.0054502313049803455+0.003179747954538378j),(0.0012765514531486637-0.0061179258981290995j),(0.004799130135826484+0.004540405964540184j)
"(-2.142857142857143, -3.0)",(-0.002927764446657719+0.008708671376473178j),(-0.007751726819192478-0.0008108142299739007j),(-0.004712050256133252-0.006767650972108529j),(-0.002548187359003827-0.008025033573889668j),(-0.004520971534300089-0.0069165247163577095j),(-0.007720627317638416-0.0012565579812491984j),(-0.0027090966914750936+0.006700183605626893j),(0.006569019125128424+0.0010768931715586494j),(-0.002423482547518424-0.005823410670259607j),(-0.0027251944806250925+0.005771574656393245j),(0.006848365063801976-0.0017980862864296358j),(-0.005087215269211061-0.006787415671790411j),(-0.00928981913436551+0.004164431909178868j),(-0.006688088571453807+0.008780122998292115j),(-0.009147543278369257+0.004638886685417199j),(-0.005713050612553641-0.006386976581024643j),(0.006659604635926036-0.0025633492010729976j),(-0.002023286243506794+0.00607358936550354j),(-0.003075487087320517-0.005497532755620241j),(0.006619640520941832+0.0003992465785416072j)
"(-2.020408163265306, -3.0)",(0.0030081530307873566+0.008710589223447834j),(-0.00679752845662151+0.0038477171485900236j),(-0.00766799437106131-0.003126864552192269j),(-0.006283470399194644-0.005696813947643333j),(-0.007266340560981079-0.004121209463096625j),(-0.007660429679174954+0.0020695071047420266j),(-4.737873809853694e-05+0.007347687137722682j),(0.006663338796735583-0.0011788408350311712j),(-0.004134242423512308-0.004869330866398952j),(-0.0009020339383212099+0.006350861276271822j),(0.005928375778732406-0.0038221971115888196j),(-0.007102451238454425-0.004516444595284839j),(-0.006676673372940676+0.0076619213836518025j),(-0.0014894459439012333+0.011070592823436037j),(-0.005075508533369871+0.009199174661082367j),(-0.008660885078102148-0.0016003063866994918j),(0.0035551895810486873-0.006376464899077826j),(0.002451679004256478+0.006018738083356329j),(-0.00595057763379582-0.002218481003042044j),(0.005396315732929489-0.0038963308422377556j)
"(-1.8979591836734695, -3.0)",(0.007654561718420811+0.005176231911262982j),(-0.0034065898791698136+0.0070435216521715395j),(-0.008187226715228377+0.0014302831308073652j),(-0.008321467152260228-0.0019155078642049087j),(-0.00842720608649229-0.0004913276598007077j),(-0.0063121918258975136+0.0049908265688925j),(0.002556630232002392+0.007018385358210646j),(0.0060750075614782965-0.0032286578639533206j),(-0.005399239643411999-0.003567757184088733j),(0.000834021166400236+0.006395855150049035j),(0.004602191333847901-0.0053105586851625326j),(-0.00810703913896767-0.0019712719593914935j),(-0.0031560480847441464+0.0096212623894453j),(0.003910747422427415+0.010587187317093495j),(0.0007340990621684229+0.010733133883508864j),(-0.008134053117228592+0.003986769524537401j),(-0.001265128300178686-0.00736852478068586j),(0.005827123212190054+0.0031036177415751176j),(-0.00604959716894749+0.0021007604572573484j),(0.0017978603497509412-0.006432909073771423j)
