index,x,value,0,1
"(-3.0, -3.0)","(-3.0, -3.0)",(0.2749001363430735+0.032797757625560614j),(0.06007089932367978+0.2264739838887963j),(0.2148292370193937-0.1936762262632357j)
"(-2.9240506329113924, -3.0)","(-2.9240506329113924, -3.0)",(0.21614657665518328-0.05006082297264139j),(0.11215695267327867+0.22084435045904596j),(0.1039896239819046-0.27090517343168735j)
"(-2.848101265822785, -3.0)","(-2.848101265822785, -3.0)",(0.13156640002474274-0.09042263807533363j),(0.167254943865984+0.1978883093369846j),(-0.035688543841241274-0.2883109474123182j)
"(-2.7721518987341773, -3.0)","(-2.7721518987341773, -3.0)",(0.049451069886653404-0.07593905424651495j),(0.21592628600977157+0.16222787201993474j),(-0.16647521612311816-0.2381669262664497j)
"(-2.6962025316455698, -3.0)","(-2.6962025316455698, -3.0)",(-0.002643568935734586-0.017048247816264253j),(0.2553368567842895+0.11620546663640781j),(-0.2579804257200241-0.13325371445267206j)
"(-2.620253164556962, -3.0)","(-2.620253164556962, -3.0)",(-0.0062900024708782976+0.06394836807879486j),(0.28353595438871154+0.0627491049106078j),(-0.28982595685958984+0.0011992631681870692j)
"(-2.5443037974683547, -3.0)","(-2.5443037974683547, -3.0)",(0.043486995123859395+0.13896365766485202j),(0.29953528418985853+0.005055376056898167j),(-0.25604828906599914+0.13390828160795384j)
"(-2.4683544303797467, -3.0)","(-2.4683544303797467, -3.0)",(0.1373972433967668+0.18134600243899568j),(0.30328181738656323-0.053711505373475174j),(-0.16588457398979645+0.23505750781247087j)
"(-2.392405063291139, -3.0)","(-2.392405063291139, -3.0)",(0.25458876926564633+0.1724174423640252j),(0.29554489258903704-0.11067332117650128j),(-0.040956123323390686+0.2830907635405265j)
"(-2.3164556962025316, -3.0)","(-2.3164556962025316, -3.0)",(0.3680127116556656+0.10578372636594754j),(0.277744818232545-0.16342452107956193j),(0.09026789342312062+0.2692082474455095j)
"(-2.240506329113924, -3.0)","(-2.240506329113924, -3.0)",(0.4510033170130474-0.011485463231744736j),(0.2517520010444307-0.21014423221137127j),(0.19925131596861673+0.19865876897962653j)
"(-2.1645569620253164, -3.0)","(-2.1645569620253164, -3.0)",(0.4834334778849023-0.16089031631550288j),(0.21968315354642534-0.2496362531618462j),(0.26375032433847695+0.08874593684634334j)
"(-2.088607594936709, -3.0)","(-2.088607594936709, -3.0)",(0.4560270848170119-0.3170573065028264j),(0.18371575500720888-0.2813073592961051j),(0.272311329809803-0.03574994720672127j)
"(-2.0126582278481013, -3.0)","(-2.0126582278481013, -3.0)",(0.3719559821702723-0.4535808098284509j),(0.14593510737751644-0.30509880807643996j),(0.22602087479275587-0.14848200175201093j)
"(-1.9367088607594936, -3.0)","(-1.9367088607594936, -3.0)",(0.24555942101926337-0.5487103386782708j),(0.10822134294987332-0.3213875239107228j),(0.13733807806939005-0.22732281476754798j)
"(-1.860759493670886, -3.0)","(-1.860759493670886, -3.0)",(0.09870948107986886-0.5896036641298534j),(0.0721775857233849-0.33087261545631313j),(0.026531895356483967-0.25873104867354024j)
"(-1.7848101265822784, -3.0)","(-1.7848101265822784, -3.0)",(-0.044157206378337185-0.5743148649356482j),(0.0390957362776965-0.33446039684001094j),(-0.08325294265603368-0.23985446809563724j)
"(-1.7088607594936709, -3.0)","(-1.7088607594936709, -3.0)",(-0.1611142952456457-0.5112867905688674j),(0.009953260419287464-0.3331577409238507j),(-0.17106755566493315-0.1781290496450167j)
"(-1.6329113924050633, -3.0)","(-1.6329113924050633, -3.0)",(-0.23680271359667654-0.4167092562913823j),(-0.014567162544858323-0.3279800797626712j),(-0.22223555105181822-0.0887291765287111j)
"(-1.5569620253164556, -3.0)","(-1.5569620253164556, -3.0)",(-0.26469915617449763-0.3105466749003673j),(-0.034043507746438856-0.3198772006963497j),(-0.23065564842805877+0.009330525795982349j)
"(-1.481012658227848, -3.0)","(-1.481012658227848, -3.0)",(-0.2473169608357011-0.21224341122262544j),(-0.048273467116242336-0.30967748212461055j),(-0.19904349371945876+0.09743407090198511j)
"(-1.4050632911392404, -3.0)","(-1.4050632911392404, -3.0)",(-0.1945560780703946-0.13706197163221365j),(-0.05723312497930373-0.2980495027581419j),(-0.13732295309109088+0.16098753112592826j)
"(-1.3291139240506329, -3.0)","(-1.3291139240506329, -3.0)",(-0.12080088948278175-0.09374341435986178j),(-0.06104015621413949-0.2854790288506983j),(-0.059760733268642265+0.19173561449083654j)
"(-1.2531645569620253, -3.0)","(-1.2531645569620253, -3.0)",(-0.0415575927574294-0.08379208324335355j),(-0.05992492091687316-0.2722591249966025j),(0.018367328159443762+0.18846704175324894j)
"(-1.1772151898734178, -3.0)","(-1.1772151898734178, -3.0)",(0.029592656006719342-0.1022862080479846j),(-0.05421139806730349-0.2584913819092107j),(0.08380405407402283+0.15620517386122612j)
"(-1.10126582278481, -3.0)","(-1.10126582278481, -3.0)",(0.08313888721294188-0.13979847224251643j),(-0.044308620072841524-0.2440968267949686j),(0.1274475072857834+0.10429835455245218j)
"(-1.0253164556962024, -3.0)","(-1.0253164556962024, -3.0)",(0.11459156990417271-0.18483858876039772j),(-0.030712126669702945-0.22883579903801704j),(0.14530369657387565+0.04399721027761933j)
"(-0.9493670886075947, -3.0)","(-0.9493670886075947, -3.0)",(0.12425959437547215-0.22622085731293168j),(-0.01401390394182963-0.21233676967332715j),(0.1382734983173018-0.013884087639604515j)
"(-0.8734177215189871, -3.0)","(-0.8734177215189871, -3.0)",(0.11612594828494631-0.25488884201702994j),(0.005081739210901678-0.1941346070583592j),(0.11104420907404464-0.06075423495867076j)
"(-0.7974683544303796, -3.0)","(-0.7974683544303796, -3.0)",(0.09624007174130747-0.2649422462140306j),(0.025739909367399394-0.17371900792580175j),(0.07050016237390808-0.09122323828822886j)
"(-0.721518987341772, -3.0)","(-0.721518987341772, -3.0)",(0.07106653601669671-0.25384189872951146j),(0.04697901723648728-0.15059360350779652j),(0.024087518780209427-0.10324829522171497j)
"(-0.6455696202531644, -3.0)","(-0.6455696202531644, -3.0)",(0.04614578148471753-0.22195855085067034j),(0.06766224350481706-0.12434551839231062j),(-0.021516462020099533-0.09761303245835971j)
