index,x,value,0,1
"(-3.0, -3.0)","(-3.0, -3.0)",(-0.1521096176525526-0.057934927568004606j),(-0.0447390467785921-0.02072434299352579j),(-0.10737057087396051-0.03721058457447882j)
"(-1.8, -3.0)","(-1.8, -3.0)",(0.33052180141311827-0.07265320817096918j),(0.18136469666514785-0.04271932933018882j),(0.14915710474797042-0.02993387884078036j)
"(-0.6000000000000001, -3.0)","(-0.6000000000000001, -3.0)",(-0.9916210951433393-0.3380939365473403j),(-0.5346602784543588-0.07977317529982988j),(-0.4569608166889805-0.2583207612475104j)
"(0.5999999999999996, -3.0)","(0.5999999999999996, -3.0)",(0.2551447704460089-0.12084639567350353j),(0.09139293188105493-0.09590754321469873j),(0.16375183856495396-0.024938852458804804j)
"(1.7999999999999998, -3.0)","(1.7999999999999998, -3.0)",(-0.5747637731227724-0.3622019975376137j),(-0.3435579648755998-0.13099948395522143j),(-0.23120580824717252-0.23120251358239224j)
"(3.0, -3.0)","(3.0, -3.0)",(0.009399625901786876-0.06435554055577242j),(-0.04884541698187582-0.031753006470252115j),(0.058245042883662695-0.0326025340855203j)
"(-3.0, -1.8)","(-3.0, -1.8)",(0.1574269895340374-0.36330229206539355j),(0.05818953964205821-0.19705938638600287j),(0.09923744989197918-0.1662429056793907j)
"(-1.8, -1.8)","(-1.8, -1.8)",(-0.3437486936359735-0.13751573785886465j),(-0.13738861157082408-0.0429634488125308j),(-0.20636008206514939-0.09455228904633384j)
"(-0.6000000000000001, -1.8)","(-0.6000000000000001, -1.8)",(0.5943594816625082+1.1101767792404005j),(0.4121445068920692+0.5122726890029415j),(0.18221497477043894+0.5979040902374589j)
"(3.0, -1.8)","(3.0, -1.8)",(-0.17536142226735435-0.761869507219203j),(-0.16959462342816023-0.3397471817372727j),(-0.005766798839194107-0.42212232548193035j)
"(-3.0, -0.6000000000000001)","(-3.0, -0.6000000000000001)",(0.026288371222580334+0.013576320872074707j),(-0.05142199549882956+0.008611972840742874j),(0.0777103667214099+0.004964348031331833j)
"(-1.8, -0.6000000000000001)","(-1.8, -0.6000000000000001)",(0.32406270805140924+0.14312911587173427j),(0.1551582500967454-0.01611637126273724j),(0.16890445795466383+0.1592454871344715j)
"(-0.6000000000000001, -0.6000000000000001)","(-0.6000000000000001, -0.6000000000000001)",(-0.716938110334298+0.46834696318844693j),(-0.27940149420843197+0.3113232032188417j),(-0.43753661612586603+0.15702375996960524j)
"(3.0, -0.6000000000000001)","(3.0, -0.6000000000000001)",(1.0014849847866967+0.13698586406802005j),(0.5131240405126436-0.04956979302355846j),(0.48836094427405297+0.1865556570915785j)
"(-3.0, 0.5999999999999996)","(-3.0, 0.5999999999999996)",(0.23434247833089492+0.005680042587884446j),(0.16799974728536526-0.0646313600664092j),(0.06634273104552965+0.07031140265429364j)
"(0.5999999999999996, 0.5999999999999996)","(0.5999999999999996, 0.5999999999999996)",(-0.007011759197455409+0.16351225402324532j),(-0.00343790931883187+0.12579026011790337j),(-0.003573849878623539+0.03772199390534195j)
"(1.7999999999999998, 0.5999999999999996)","(1.7999999999999998, 0.5999999999999996)",(-0.37222976956724757-0.19129787981539575j),(-0.1688565951218572-0.055039365683488946j),(-0.20337317444539038-0.13625851413190682j)
"(3.0, 0.5999999999999996)","(3.0, 0.5999999999999996)",(-0.07136941290621808+0.27454146078526814j),(-0.003801559294324547+0.11618788800551395j),(-0.06756785361189353+0.1583535727797542j)
"(-3.0, 1.7999999999999998)","(-3.0, 1.7999999999999998)",(1.0056856520824682+1.6012322747634908j),(0.6636409721425399+0.7370876813911654j),(0.34204467993992826+0.8641445933723254j)
"(0.5999999999999996, 1.7999999999999998)","(0.5999999999999996, 1.7999999999999998)",(-1.0209689665581272-0.11997424094525076j),(-0.5554949205548948+0.033400450126326045j),(-0.4654740460032323-0.1533746910715768j)
"(1.7999999999999998, 1.7999999999999998)","(1.7999999999999998, 1.7999999999999998)",(-0.09665023097324865+0.16374204274175275j),(0.003729282875616774+0.07251362063778831j),(-0.10037951384886543+0.09122842210396445j)
"(3.0, 1.7999999999999998)","(3.0, 1.7999999999999998)",(-0.01195304022458843+0.2206017227498559j),(0.05661530985189661+0.05994577005503626j),(-0.06856835007648504+0.16065595269481964j)
"(-3.0, 3.0)","(-3.0, 3.0)",(0.005057401761814143+0.11537424267937853j),(0.05976011689220914+0.01394446041978989j),(-0.054702715130395+0.10142978225958864j)
"(-1.8, 3.0)","(-1.8, 3.0)",(0.2305682847949888-0.5616115047488586j),(0.031561341801768734-0.2701868334588853j),(0.19900694299322008-0.29142467128997335j)
"(-0.6000000000000001, 3.0)","(-0.6000000000000001, 3.0)",(0.9114710595748121-0.6371075860275244j),(0.3905559555944992-0.36085506481572477j),(0.5209151039803129-0.27625252121179966j)
"(0.5999999999999996, 3.0)","(0.5999999999999996, 3.0)",(1.623507516049974+0.5183839882020782j),(0.8554344339815471+0.11728223449039808j),(0.7680730820684267+0.4011017537116801j)
"(1.7999999999999998, 3.0)","(1.7999999999999998, 3.0)",(-0.03405001053834489+0.19268192164847278j),(0.03553598754487032+0.056968816705737835j),(-0.06958599808321521+0.13571310494273495j)
"(3.0, 3.0)","(3.0, 3.0)",(-0.07632954866185207+0.16325674400447626j),(0.008339348829571082+0.07845546070448865j),(-0.08466889749142316+0.0848012832999876j)
