index,"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)"
"(0, 0)",0.005625,0.00375,0.0,0.0,0.0,0.00375,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.00375,0.014999999999999998,0.00375,0.0,0.0,0.0025,0.009999999999999998,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",0.0,0.00375,0.014999999999999998,0.0037500000000000007,0.0,0.0,0.0025,0.009999999999999998,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",0.0,0.0,0.0037500000000000007,0.01499999999999999,0.0037500000000000007,0.0,0.0,0.0025000000000000005,0.009999999999999995,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0)",0.0,0.0,0.0,0.0037500000000000007,0.005624999999999999,0.0,0.0,0.0,0.0025000000000000005,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.00375,0.0025,0.0,0.0,0.0,0.014999999999999998,0.01,0.0,0.0,0.0,0.00375,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",0.0025,0.009999999999999998,0.0025,0.0,0.0,0.01,0.03999999999999999,0.009999999999999998,0.0,0.0,0.0025,0.009999999999999998,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",0.0,0.0025,0.009999999999999998,0.0025000000000000005,0.0,0.0,0.009999999999999998,0.03999999999999999,0.01,0.0,0.0,0.0025,0.009999999999999995,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1)",0.0,0.0,0.0025000000000000005,0.009999999999999995,0.0025000000000000005,0.0,0.0,0.01,0.039999999999999966,0.01,0.0,0.0,0.0025000000000000005,0.009999999999999995,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.0,0.0025000000000000005,0.00375,0.0,0.0,0.0,0.01,0.014999999999999998,0.0,0.0,0.0,0.0025000000000000005,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
