index,"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(6, 0)","(7, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(6, 1)","(7, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(0, 6)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(0, 7)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)"
"(0, 0)",0.00222784,0.0021649066666666666,0.0003272533333333332,0.0,0.0,0.0,0.0,0.0,0.0021649066666666666,0.0021037511111111113,0.00031800888888888876,0.0,0.0,0.0,0.0,0.0,0.00032725333333333316,0.0003180088888888888,4.807111111111106e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.0021649066666666666,0.006545066666666668,0.004090666666666665,0.0001636266666666667,0.0,0.0,0.0,0.0,0.0021037511111111113,0.006360177777777777,0.00397511111111111,0.00015900444444444446,0.0,0.0,0.0,0.0,0.0003180088888888888,0.0009614222222222218,0.0006008888888888884,2.4035555555555548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",0.0003272533333333332,0.004090666666666665,0.011044799999999999,0.004254293333333334,0.0001636266666666667,0.0,0.0,0.0,0.0003180088888888888,0.00397511111111111,0.010732799999999999,0.004134115555555555,0.00015900444444444446,0.0,0.0,0.0,4.8071111111111076e-05,0.0006008888888888883,0.001622399999999999,0.0006249244444444443,2.4035555555555548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",0.0,0.0001636266666666667,0.004254293333333334,0.0110448,0.004254293333333333,0.0001636266666666666,0.0,0.0,0.0,0.00015900444444444446,0.004134115555555555,0.010732799999999999,0.0041341155555555545,0.0001590044444444444,0.0,0.0,0.0,2.4035555555555548e-05,0.0006249244444444441,0.001622399999999999,0.0006249244444444441,2.4035555555555538e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0)",0.0,0.0,0.0001636266666666667,0.004254293333333333,0.011044799999999997,0.004254293333333333,0.00016362666666666658,0.0,0.0,0.0,0.00015900444444444446,0.0041341155555555545,0.010732799999999997,0.004134115555555555,0.00015900444444444435,0.0,0.0,0.0,2.4035555555555548e-05,0.0006249244444444441,0.0016223999999999989,0.0006249244444444443,2.403555555555553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(5, 0)",0.0,0.0,0.0,0.0001636266666666666,0.004254293333333333,0.0110448,0.004090666666666667,0.0003272533333333335,0.0,0.0,0.0,0.0001590044444444444,0.004134115555555555,0.010732799999999999,0.0039751111111111116,0.00031800888888888903,0.0,0.0,0.0,2.4035555555555538e-05,0.0006249244444444441,0.0016223999999999995,0.0006008888888888887,4.807111111111111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 0)",0.0,0.0,0.0,0.0,0.00016362666666666658,0.004090666666666667,0.006545066666666668,0.002164906666666667,0.0,0.0,0.0,0.0,0.00015900444444444435,0.0039751111111111116,0.006360177777777778,0.0021037511111111117,0.0,0.0,0.0,0.0,2.403555555555553e-05,0.0006008888888888887,0.0009614222222222218,0.00031800888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7, 0)",0.0,0.0,0.0,0.0,0.0,0.0003272533333333335,0.002164906666666667,0.002227840000000002,0.0,0.0,0.0,0.0,0.0,0.00031800888888888903,0.0021037511111111117,0.0021649066666666688,0.0,0.0,0.0,0.0,0.0,4.807111111111112e-05,0.00031800888888888887,0.00032725333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.0021649066666666666,0.0021037511111111113,0.0003180088888888888,0.0,0.0,0.0,0.0,0.0,0.006545066666666667,0.006360177777777777,0.0009614222222222219,0.0,0.0,0.0,0.0,0.0,0.004090666666666665,0.00397511111111111,0.0006008888888888884,0.0,0.0,0.0,0.0,0.0,0.00016362666666666664,0.0001590044444444444,2.4035555555555545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",0.0021037511111111113,0.006360177777777777,0.00397511111111111,0.00015900444444444446,0.0,0.0,0.0,0.0,0.006360177777777777,0.019228444444444447,0.012017777777777777,0.0004807111111111112,0.0,0.0,0.0,0.0,0.003975111111111109,0.012017777777777775,0.007511111111111108,0.0003004444444444443,0.0,0.0,0.0,0.0,0.0001590044444444444,0.0004807111111111111,0.0003004444444444443,1.2017777777777776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
