index,x,value
"(-0.5, -0.5)","(-0.5, -0.5)",
"(-0.49651332575201784, -0.5)","(-0.49651332575201784, -0.5)",(11.52602679841556-20.740075024215475j)
"(-0.4930266515040357, -0.5)","(-0.4930266515040357, -0.5)",(12.788453567045917-18.9765448300486j)
"(-0.4895399772560536, -0.5)","(-0.4895399772560536, -0.5)",(6.311621532199298-19.309856989983118j)
"(-0.48605330300807137, -0.5)","(-0.48605330300807137, -0.5)",(7.3601715387642415-30.030259289423547j)
"(-0.48256662876008927, -0.5)","(-0.48256662876008927, -0.5)",(3.064853640411723-32.36891835851138j)
"(-0.4790799545121071, -0.5)","(-0.4790799545121071, -0.5)",(-3.6335551019161016-42.143948798721496j)
"(-0.47559328026412495, -0.5)","(-0.47559328026412495, -0.5)",(4.927771813144888-32.784795759393916j)
"(-0.4721066060161428, -0.5)","(-0.4721066060161428, -0.5)",(1.7568944901103276-28.422921872131795j)
"(-0.46861993176816064, -0.5)","(-0.46861993176816064, -0.5)",(-1.2538677409760317-31.470981148755882j)
"(-0.4651332575201785, -0.5)","(-0.4651332575201785, -0.5)",(-6.485106906028188-38.405769401667214j)
"(-0.4616465832721964, -0.5)","(-0.4616465832721964, -0.5)",(-6.592812097314261-42.25631698465603j)
"(-0.4581599090242142, -0.5)","(-0.4581599090242142, -0.5)",(-5.417710243571071-34.41004242732885j)
"(-0.454673234776232, -0.5)","(-0.454673234776232, -0.5)",(-2.7140342873609438-52.955075240007226j)
"(-0.4511865605282499, -0.5)","(-0.4511865605282499, -0.5)",(-8.754303893525488-47.16729027844961j)
"(-0.44769988628026774, -0.5)","(-0.44769988628026774, -0.5)",(-11.524485836166027-54.88117917246486j)
"(-0.4442132120322856, -0.5)","(-0.4442132120322856, -0.5)",(-3.3587781830505437-53.56462240866698j)
"(-0.4407265377843035, -0.5)","(-0.4407265377843035, -0.5)",(-3.1185101542998366-48.7845134710667j)
"(-0.43723986353632127, -0.5)","(-0.43723986353632127, -0.5)",(-2.912340889595046-53.81681044523568j)
"(-0.43375318928833917, -0.5)","(-0.43375318928833917, -0.5)",(-1.956105029025311-39.603885778067614j)
"(-0.430266515040357, -0.5)","(-0.430266515040357, -0.5)",(-7.102631779231053-47.75892131989963j)
"(-0.42677984079237485, -0.5)","(-0.42677984079237485, -0.5)",(0.882455098610754-47.518282173049265j)
"(-0.4232931665443927, -0.5)","(-0.4232931665443927, -0.5)",(-1.078537573326038-47.509057466405444j)
